股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
NRG Energy Inc,NRG,2003-12-02,1.48,1.6,1.6,1.48,160000,0.0,-22.64,401.89,2.13,0.09
NRG Energy Inc,NRG,2003-12-03,1.73,1.73,1.73,1.73,300000,0.0,0.0,8.13,0.13,0.17
NRG Energy Inc,NRG,2003-12-04,2.1,2.1,2.1,2.1,50000,0.0,0.0,21.39,0.37,0.03
NRG Energy Inc,NRG,2003-12-05,2.1,2.1,2.1,2.1,0,0.0,0.0,0.0,0.0,0.0
NRG Energy Inc,NRG,2003-12-08,2.48,2.88,2.88,2.48,954000,0.0,19.05,37.14,0.78,0.54
NRG Energy Inc,NRG,2003-12-09,2.88,3.04,3.35,2.88,3014200,0.0,16.32,5.56,0.16,1.71
NRG Energy Inc,NRG,2003-12-10,3.1,3.23,3.48,3.1,2994600,0.0,12.5,6.25,0.19,1.7
NRG Energy Inc,NRG,2003-12-11,-2.34,-2.3,-2.28,-2.37,2203200,0.0,2.79,-171.21,-5.53,1.25
NRG Energy Inc,NRG,2003-12-12,-2.28,-2.29,-2.27,-2.3,709000,0.0,-1.3,0.43,0.01,0.4
NRG Energy Inc,NRG,2003-12-15,-2.3,-2.43,-2.3,-2.43,1287000,0.0,-5.68,-6.11,-0.14,0.73
NRG Energy Inc,NRG,2003-12-16,-2.44,-2.54,-2.44,-2.58,885600,0.0,-5.76,-4.53,-0.11,0.5
NRG Energy Inc,NRG,2003-12-17,-2.55,-2.67,-2.55,-2.68,1150800,0.0,-5.12,-5.12,-0.13,0.65
NRG Energy Inc,NRG,2003-12-18,-2.67,-2.64,-2.64,-2.67,2425200,0.0,-1.12,1.12,0.03,1.38
NRG Energy Inc,NRG,2003-12-19,-2.64,-2.58,-2.58,-2.64,1421800,0.0,-2.27,2.27,0.06,0.81
NRG Energy Inc,NRG,2003-12-22,-2.62,-2.62,-2.58,-2.62,5200,0.0,-1.55,-1.55,-0.04,0.0
NRG Energy Inc,NRG,2003-12-23,-2.6,-2.58,-2.57,-2.6,133800,0.0,-1.15,1.53,0.04,0.08
NRG Energy Inc,NRG,2003-12-24,-2.58,-2.57,-2.57,-2.58,20200,0.0,-0.39,0.39,0.01,0.01
NRG Energy Inc,NRG,2003-12-26,-2.57,-2.57,-2.57,-2.57,1000,0.0,0.0,0.0,0.0,0.0
NRG Energy Inc,NRG,2003-12-29,-2.58,-2.58,-2.58,-2.58,1200,0.0,0.0,-0.39,-0.01,0.0
NRG Energy Inc,NRG,2003-12-30,-2.57,-2.55,-2.55,-2.57,31600,0.0,-0.78,1.16,0.03,0.02
NRG Energy Inc,NRG,2003-12-31,-2.55,-2.55,-2.53,-2.55,14200,0.0,-0.78,0.0,0.0,0.01
NRG Energy Inc,NRG,2004-01-02,-2.53,-2.42,-2.42,-2.54,557600,0.0,-4.71,5.1,0.13,0.32
NRG Energy Inc,NRG,2004-01-05,-2.42,-2.43,-2.4,-2.45,136000,0.0,-2.07,-0.41,-0.01,0.08
NRG Energy Inc,NRG,2004-01-06,-2.43,-2.42,-2.4,-2.43,160600,0.0,-1.23,0.41,0.01,0.09
NRG Energy Inc,NRG,2004-01-07,-2.43,-2.47,-2.43,-2.53,283400,0.0,-4.13,-2.07,-0.05,0.16
NRG Energy Inc,NRG,2004-01-08,-2.44,-2.46,-2.44,-2.48,385200,0.0,-1.62,0.4,0.01,0.22
NRG Energy Inc,NRG,2004-01-09,-2.45,-2.74,-2.45,-2.74,3456200,0.0,-11.79,-11.38,-0.28,1.97
NRG Energy Inc,NRG,2004-01-12,-2.72,-2.73,-2.72,-2.73,17800,0.0,-0.36,0.36,0.01,0.01
NRG Energy Inc,NRG,2004-01-13,-2.72,-2.78,-2.69,-2.79,1069600,0.0,-3.66,-1.83,-0.05,0.61
NRG Energy Inc,NRG,2004-01-14,-2.77,-2.78,-2.75,-2.78,208600,0.0,-1.08,0.0,0.0,0.12
NRG Energy Inc,NRG,2004-01-15,-2.78,-2.82,-2.78,-2.84,54200,0.0,-2.16,-1.44,-0.04,0.03
NRG Energy Inc,NRG,2004-01-16,-2.84,-2.83,-2.8,-2.84,493800,0.0,-1.42,-0.35,-0.01,0.28
NRG Energy Inc,NRG,2004-01-20,-2.78,-2.78,-2.77,-2.79,856600,0.0,-0.71,1.77,0.05,0.49
NRG Energy Inc,NRG,2004-01-21,-2.77,-2.78,-2.74,-2.78,969600,0.0,-1.44,0.0,0.0,0.55
NRG Energy Inc,NRG,2004-01-22,-2.75,-2.65,-2.63,-2.75,863600,0.0,-4.32,4.68,0.13,0.49
NRG Energy Inc,NRG,2004-01-23,-2.65,-2.73,-2.65,-2.75,748400,0.0,-3.77,-3.02,-0.08,0.43
NRG Energy Inc,NRG,2004-01-26,-2.73,-2.82,-2.73,-2.82,291600,0.0,-3.3,-3.3,-0.09,0.17
NRG Energy Inc,NRG,2004-01-27,-2.82,-2.85,-2.82,-2.85,994600,0.0,-1.06,-1.06,-0.03,0.57
NRG Energy Inc,NRG,2004-01-28,-2.84,-2.9,-2.84,-2.92,100000,0.0,-2.81,-1.75,-0.05,0.06
NRG Energy Inc,NRG,2004-01-29,-2.9,-3.03,-2.9,-3.09,1169000,0.0,-6.55,-4.48,-0.13,0.67
NRG Energy Inc,NRG,2004-01-30,-3.03,-3.03,-2.97,-3.03,341200,0.0,-1.98,0.0,0.0,0.19
NRG Energy Inc,NRG,2004-02-02,-3.03,-2.99,-2.94,-3.03,80800,0.0,-2.97,1.32,0.04,0.05
NRG Energy Inc,NRG,2004-02-03,-3.03,-2.95,-2.95,-3.03,1379200,0.0,-2.68,1.34,0.04,0.78
NRG Energy Inc,NRG,2004-02-04,-2.97,-2.97,-2.95,-2.97,575200,0.0,-0.68,-0.68,-0.02,0.33
