股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美国网存,NTAP,2000-01-03,30.46,28.02,30.58,25.52,5426000,0.0,18.71,3.59,0.97,3.72
美国网存,NTAP,2000-01-04,26.71,22.65,27.96,22.52,4511400,0.0,19.41,-19.16,-5.37,3.09
美国网存,NTAP,2000-01-05,25.9,24.71,27.77,20.52,6633800,0.0,32.01,9.09,2.06,4.55
美国网存,NTAP,2000-01-06,24.02,20.55,24.43,20.52,5589600,0.0,15.82,-16.84,-4.16,3.83
美国网存,NTAP,2000-01-07,20.02,28.02,28.02,19.4,8510400,0.0,41.95,36.35,7.47,5.84
美国网存,NTAP,2000-01-10,29.8,29.83,31.43,28.77,6348600,0.0,9.49,6.46,1.81,4.35
美国网存,NTAP,2000-01-11,31.02,26.77,32.33,26.4,4730800,0.0,19.88,-10.26,-3.06,3.25
美国网存,NTAP,2000-01-12,26.52,29.08,29.9,24.83,4356800,0.0,18.94,8.63,2.31,2.99
美国网存,NTAP,2000-01-13,29.52,28.38,30.52,27.15,5144000,0.0,11.59,-2.41,-0.7,3.53
美国网存,NTAP,2000-01-14,29.52,32.37,33.15,29.02,6007600,0.0,14.55,14.06,3.99,4.12
美国网存,NTAP,2000-01-18,34.46,44.58,45.52,34.02,7576600,0.0,35.53,37.72,12.21,5.2
美国网存,NTAP,2000-01-19,42.33,39.77,44.02,38.52,5907600,0.0,12.34,-10.79,-4.81,4.05
美国网存,NTAP,2000-01-20,42.83,43.02,43.15,41.15,4236600,0.0,5.03,8.17,3.25,2.91
美国网存,NTAP,2000-01-21,43.4,44.08,46.27,40.52,4913400,0.0,13.37,2.46,1.06,3.37
美国网存,NTAP,2000-01-24,45.46,36.52,45.49,35.83,6404800,0.0,21.91,-17.15,-7.56,4.39
美国网存,NTAP,2000-01-25,37.4,39.12,41.02,35.02,5941600,0.0,16.43,7.12,2.6,4.08
美国网存,NTAP,2000-01-26,39.65,39.71,43.08,38.83,5902600,0.0,10.86,1.51,0.59,4.05
美国网存,NTAP,2000-01-27,40.83,36.96,41.27,35.08,6209400,0.0,15.59,-6.93,-2.75,4.26
美国网存,NTAP,2000-01-28,36.18,35.12,39.02,34.52,3665000,0.0,12.18,-4.98,-1.84,2.51
美国网存,NTAP,2000-01-31,35.96,35.71,38.02,30.83,5795600,0.0,20.47,1.68,0.59,3.98
美国网存,NTAP,2000-02-01,37.58,39.43,39.83,35.68,3727000,0.0,11.62,10.42,3.72,2.56
美国网存,NTAP,2000-02-02,40.08,42.08,43.15,38.52,4979600,0.0,11.74,6.72,2.65,3.42
美国网存,NTAP,2000-02-03,43.02,42.83,43.02,38.52,4748000,0.0,10.69,1.78,0.75,3.26
美国网存,NTAP,2000-02-04,43.58,49.49,52.46,43.27,7945400,0.0,21.46,15.55,6.66,5.45
美国网存,NTAP,2000-02-07,51.21,48.21,51.43,46.02,5134800,0.0,10.93,-2.59,-1.28,3.52
美国网存,NTAP,2000-02-08,49.55,51.52,51.77,47.08,5969400,0.0,9.73,6.87,3.31,4.09
美国网存,NTAP,2000-02-09,52.33,49.87,52.65,48.52,3716200,0.0,8.02,-3.2,-1.65,2.55
美国网存,NTAP,2000-02-10,50.55,55.15,55.46,48.46,3887400,0.0,14.04,10.59,5.28,2.67
美国网存,NTAP,2000-02-11,58.05,62.99,65.08,56.77,5743800,0.0,15.07,14.22,7.84,3.94
美国网存,NTAP,2000-02-14,65.46,59.68,65.65,57.08,7121800,0.0,13.61,-5.25,-3.31,4.89
美国网存,NTAP,2000-02-15,60.4,61.3,62.02,56.27,4891200,0.0,9.63,2.71,1.62,3.36
美国网存,NTAP,2000-02-16,66.27,73.24,73.68,64.05,10379800,0.0,15.71,19.48,11.94,7.12
美国网存,NTAP,2000-02-17,74.77,72.71,75.49,68.55,7400400,0.0,9.48,-0.72,-0.53,5.08
