股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
未来电器,301386,2023-03-29,29.11,27.4,30.08,27.09,152996,445337188.0,10.28,-5.81,-1.69,46.09
未来电器,301386,2023-03-30,25.6,26.7,28.5,24.9,122269,334981685.0,13.14,-2.55,-0.7,36.83
未来电器,301386,2023-03-31,25.78,25.59,26.08,25.1,90422,239070765.0,3.67,-4.16,-1.11,27.24
未来电器,301386,2023-04-03,26.3,25.59,26.53,25.3,72369,192921106.0,4.81,0.0,0.0,21.8
未来电器,301386,2023-04-04,25.1,24.5,25.17,24.45,71769,184071090.0,2.81,-4.26,-1.09,21.62
未来电器,301386,2023-04-06,24.45,24.65,24.9,24.1,44029,111790812.0,3.27,0.61,0.15,13.26
未来电器,301386,2023-04-07,24.61,24.6,24.95,24.53,36816,94337669.0,1.7,-0.2,-0.05,11.09
未来电器,301386,2023-04-10,24.4,23.96,24.53,23.95,40579,101817252.0,2.36,-2.6,-0.64,12.22
未来电器,301386,2023-04-11,23.99,23.39,24.0,23.25,35414,86398989.0,3.13,-2.38,-0.57,10.67
未来电器,301386,2023-04-12,23.4,23.55,23.55,23.19,22126,53729901.0,1.54,0.68,0.16,6.67
未来电器,301386,2023-04-13,23.46,23.17,23.73,23.16,25717,62526293.0,2.42,-1.61,-0.38,7.75
未来电器,301386,2023-04-14,23.35,23.76,23.9,23.12,35561,86942841.0,3.37,2.55,0.59,10.71
未来电器,301386,2023-04-17,23.49,23.72,23.97,23.49,24351,59953807.0,2.02,-0.17,-0.04,7.34
未来电器,301386,2023-04-18,23.73,23.32,23.78,23.31,20687,50469315.0,1.98,-1.69,-0.4,6.23
未来电器,301386,2023-04-19,23.3,23.45,23.47,23.25,13718,33321069.0,0.94,0.56,0.13,4.13
未来电器,301386,2023-04-20,23.46,23.46,23.55,23.1,16375,39538543.0,1.92,0.04,0.01,4.93
未来电器,301386,2023-04-21,23.62,23.97,24.69,23.61,55126,138042174.0,4.6,2.17,0.51,16.61
未来电器,301386,2023-04-24,23.75,22.62,23.75,22.6,31833,75470184.0,4.8,-5.63,-1.35,9.59
未来电器,301386,2023-04-25,22.63,21.34,22.79,21.08,29225,65867451.0,7.56,-5.66,-1.28,8.8
未来电器,301386,2023-04-26,21.18,21.59,21.96,21.18,16234,36568515.0,3.66,1.17,0.25,4.89
未来电器,301386,2023-04-27,21.55,21.23,21.57,21.18,12584,27997305.0,1.81,-1.67,-0.36,3.79
未来电器,301386,2023-04-28,21.6,21.52,21.65,21.3,14580,32677206.0,1.65,1.37,0.29,4.39
未来电器,301386,2023-05-04,21.36,21.58,21.69,21.32,12408,27846827.0,1.72,0.28,0.06,3.74
未来电器,301386,2023-05-05,21.67,21.15,21.67,21.15,13133,29121796.0,2.41,-1.99,-0.43,3.96
未来电器,301386,2023-05-08,21.16,21.27,21.38,21.15,9656,21383629.0,1.09,0.57,0.12,2.91
未来电器,301386,2023-05-09,21.29,20.85,21.29,20.84,14318,31331954.0,2.12,-1.97,-0.42,4.31
未来电器,301386,2023-05-10,20.88,21.08,21.08,20.8,10429,22821193.0,1.34,1.1,0.23,3.14
未来电器,301386,2023-05-11,21.32,21.99,22.07,21.32,32789,74704393.0,3.56,4.32,0.91,9.88
未来电器,301386,2023-05-12,21.6,21.55,21.88,21.38,17879,40136791.0,2.27,-2.0,-0.44,5.39
未来电器,301386,2023-05-15,21.33,21.86,21.96,21.33,16121,36598814.0,2.92,1.44,0.31,4.86
未来电器,301386,2023-05-16,22.1,22.8,22.94,21.9,40281,95027382.0,4.76,4.3,0.94,12.13
未来电器,301386,2023-05-17,22.38,23.5,23.7,22.2,43477,104158867.0,6.58,3.07,0.7,13.1
未来电器,301386,2023-05-18,22.89,22.9,23.18,22.55,29857,70804608.0,2.68,-2.55,-0.6,8.99
未来电器,301386,2023-05-19,22.84,22.83,23.13,22.38,18593,44057076.0,3.28,-0.31,-0.07,5.6
未来电器,301386,2023-05-22,22.84,25.02,26.85,22.82,85707,220631617.0,17.65,9.59,2.19,25.82
未来电器,301386,2023-05-23,24.3,25.78,26.28,24.07,89503,233319059.0,8.83,3.04,0.76,26.96
未来电器,301386,2023-05-24,25.1,25.17,25.49,24.55,64398,164591836.0,3.65,-2.37,-0.61,19.4
未来电器,301386,2023-05-25,24.71,26.79,29.88,24.38,132197,366051141.0,21.85,6.44,1.62,39.82
未来电器,301386,2023-05-26,25.61,23.85,25.95,23.77,103273,258225603.0,8.14,-10.97,-2.94,31.11
未来电器,301386,2023-05-29,23.51,24.75,24.83,23.01,73610,180817872.0,7.63,3.77,0.9,22.18
未来电器,301386,2023-05-30,24.3,25.7,25.86,24.15,71819,185380743.0,6.91,3.84,0.95,21.64
未来电器,301386,2023-05-31,25.27,24.61,25.62,24.58,42123,107079788.0,4.05,-4.24,-1.09,12.69
未来电器,301386,2023-06-01,24.63,24.35,24.88,24.15,33090,82440814.0,2.97,-1.06,-0.26,9.97
未来电器,301386,2023-06-02,24.28,24.35,24.71,23.95,30351,75701534.0,3.12,0.0,0.0,9.14
未来电器,301386,2023-06-05,24.5,24.61,24.64,23.9,26410,65658163.0,3.04,1.07,0.26,7.96
未来电器,301386,2023-06-06,24.51,23.77,24.52,23.55,32265,78689470.0,3.94,-3.41,-0.84,9.72
未来电器,301386,2023-06-07,24.02,23.5,24.03,23.35,21037,50685087.0,2.86,-1.14,-0.27,6.34
未来电器,301386,2023-06-08,23.28,23.54,24.27,23.28,26163,63590952.0,4.21,0.17,0.04,7.88
未来电器,301386,2023-06-09,23.42,23.93,24.05,23.35,21746,52940891.0,2.97,1.66,0.39,6.55
未来电器,301386,2023-06-12,23.83,24.5,24.73,23.5,35347,87506632.0,5.14,2.38,0.57,10.65
未来电器,301386,2023-06-13,24.58,25.56,25.9,24.5,57478,148926089.0,5.71,4.33,1.06,17.32
未来电器,301386,2023-06-14,25.36,24.98,25.36,24.7,39280,99873522.0,2.58,-2.27,-0.58,11.83
未来电器,301386,2023-06-15,24.74,24.95,24.99,24.55,25536,64539918.0,1.76,-0.12,-0.03,7.69
未来电器,301386,2023-06-16,24.8,24.4,24.95,24.18,31988,79798996.0,3.09,-2.2,-0.55,9.64
未来电器,301386,2023-06-19,24.3,24.23,24.61,24.19,18107,45035149.0,1.72,-0.7,-0.17,5.45
未来电器,301386,2023-06-20,24.28,24.35,24.66,24.02,20661,51465233.0,2.64,0.5,0.12,6.22
未来电器,301386,2023-06-21,24.19,23.88,24.94,23.88,25602,63840057.0,4.35,-1.93,-0.47,7.71
未来电器,301386,2023-06-26,23.48,23.54,24.2,23.3,15689,37846932.0,3.77,-1.42,-0.34,4.73
未来电器,301386,2023-06-27,23.7,23.97,24.03,23.47,13073,31885851.0,2.38,1.83,0.43,3.94
未来电器,301386,2023-06-28,23.86,23.34,23.89,22.62,20504,48688908.0,5.3,-2.63,-0.63,6.18
未来电器,301386,2023-06-29,23.3,24.13,24.46,23.2,25830,63446555.0,5.4,3.38,0.79,7.78
未来电器,301386,2023-06-30,24.1,24.68,24.88,23.94,24638,61632246.0,3.9,2.28,0.55,7.42
未来电器,301386,2023-07-03,24.66,24.47,25.11,24.42,17299,43629084.0,2.8,-0.85,-0.21,5.21
