股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Realty Income Corp,O,2001-01-02,-38.97,-39.09,-38.97,-39.12,60400,0.0,0.0,0.0,0.0,0.23
Realty Income Corp,O,2001-01-03,-39.12,-38.9,-38.86,-39.12,82200,0.0,-0.67,0.49,0.19,0.31
Realty Income Corp,O,2001-01-04,-38.9,-38.85,-38.85,-38.98,77800,0.0,-0.33,0.13,0.05,0.29
Realty Income Corp,O,2001-01-05,-38.83,-38.93,-38.83,-38.94,56000,0.0,-0.28,-0.21,-0.08,0.21
Realty Income Corp,O,2001-01-08,-38.9,-38.88,-38.85,-38.96,41000,0.0,-0.28,0.13,0.05,0.15
Realty Income Corp,O,2001-01-09,-38.91,-38.85,-38.85,-38.91,52400,0.0,-0.15,0.08,0.03,0.2
Realty Income Corp,O,2001-01-10,-38.83,-38.83,-38.83,-38.93,70800,0.0,-0.26,0.05,0.02,0.27
Realty Income Corp,O,2001-01-11,-38.83,-38.76,-38.74,-38.88,108400,0.0,-0.36,0.18,0.07,0.41
Realty Income Corp,O,2001-01-12,-38.73,-38.8,-38.73,-38.86,83400,0.0,-0.34,-0.1,-0.04,0.31
Realty Income Corp,O,2001-01-16,-38.76,-38.71,-38.71,-38.86,96800,0.0,-0.39,0.23,0.09,0.36
Realty Income Corp,O,2001-01-17,-38.68,-38.79,-38.65,-38.82,99200,0.0,-0.44,-0.21,-0.08,0.37
Realty Income Corp,O,2001-01-18,-38.79,-38.7,-38.68,-38.83,51800,0.0,-0.39,0.23,0.09,0.2
Realty Income Corp,O,2001-01-19,-38.7,-38.73,-38.68,-38.77,52000,0.0,-0.23,-0.08,-0.03,0.2
Realty Income Corp,O,2001-01-22,-38.7,-38.68,-38.67,-38.8,56000,0.0,-0.34,0.13,0.05,0.21
Realty Income Corp,O,2001-01-23,-38.7,-38.68,-38.62,-38.71,49200,0.0,-0.23,0.0,0.0,0.19
Realty Income Corp,O,2001-01-24,-38.77,-38.7,-38.68,-38.77,66000,0.0,-0.23,-0.05,-0.02,0.25
Realty Income Corp,O,2001-01-25,-38.68,-38.65,-38.61,-38.68,51000,0.0,-0.18,0.13,0.05,0.19
Realty Income Corp,O,2001-01-26,-38.62,-38.7,-38.62,-38.74,52600,0.0,-0.31,-0.13,-0.05,0.2
Realty Income Corp,O,2001-01-29,-38.65,-38.65,-38.64,-38.73,52800,0.0,-0.23,0.13,0.05,0.2
Realty Income Corp,O,2001-01-30,-38.62,-38.6,-38.54,-38.62,51000,0.0,-0.21,0.13,0.05,0.19
Realty Income Corp,O,2001-01-31,-38.58,-38.62,-38.55,-38.65,47000,0.0,-0.26,-0.05,-0.02,0.18
Realty Income Corp,O,2001-02-01,-38.59,-38.58,-38.57,-38.64,54200,0.0,-0.18,0.1,0.04,0.2
Realty Income Corp,O,2001-02-02,-38.61,-38.63,-38.56,-38.65,46600,0.0,-0.23,-0.13,-0.05,0.18
Realty Income Corp,O,2001-02-05,-38.62,-38.61,-38.57,-38.65,37600,0.0,-0.21,0.05,0.02,0.14
Realty Income Corp,O,2001-02-06,-38.63,-38.59,-38.57,-38.63,52000,0.0,-0.16,0.05,0.02,0.2
Realty Income Corp,O,2001-02-07,-38.5,-38.46,-38.44,-38.52,79200,0.0,-0.21,0.34,0.13,0.3
Realty Income Corp,O,2001-02-08,-38.46,-38.62,-38.44,-38.69,141000,0.0,-0.65,-0.42,-0.16,0.53
Realty Income Corp,O,2001-02-09,-38.71,-38.7,-38.68,-38.81,100600,0.0,-0.34,-0.21,-0.08,0.38
Realty Income Corp,O,2001-02-12,-38.67,-38.6,-38.57,-38.74,88600,0.0,-0.44,0.26,0.1,0.33
Realty Income Corp,O,2001-02-13,-38.62,-38.61,-38.52,-38.62,56000,0.0,-0.26,-0.03,-0.01,0.21
Realty Income Corp,O,2001-02-14,-38.58,-38.61,-38.58,-38.67,48600,0.0,-0.23,0.0,0.0,0.18
Realty Income Corp,O,2001-02-15,-38.57,-38.58,-38.57,-38.68,72400,0.0,-0.28,0.08,0.03,0.27
Realty Income Corp,O,2001-02-16,-38.57,-38.61,-38.54,-38.62,44000,0.0,-0.21,-0.08,-0.03,0.17
Realty Income Corp,O,2001-02-20,-38.58,-38.7,-38.58,-38.71,62600,0.0,-0.34,-0.23,-0.09,0.24
Realty Income Corp,O,2001-02-21,-38.7,-38.74,-38.62,-38.74,47600,0.0,-0.31,-0.1,-0.04,0.18
Realty Income Corp,O,2001-02-22,-38.74,-38.81,-38.74,-38.82,52200,0.0,-0.21,-0.18,-0.07,0.2
Realty Income Corp,O,2001-02-23,-38.81,-38.87,-38.75,-38.92,139400,0.0,-0.44,-0.15,-0.06,0.52
Realty Income Corp,O,2001-02-26,-38.87,-38.72,-38.72,-38.87,70200,0.0,-0.39,0.39,0.15,0.26
Realty Income Corp,O,2001-02-27,-38.74,-38.74,-38.64,-38.82,96200,0.0,-0.46,-0.05,-0.02,0.36
Realty Income Corp,O,2001-02-28,-38.69,-38.73,-38.67,-38.82,76200,0.0,-0.39,0.03,0.01,0.29
Realty Income Corp,O,2001-03-01,-38.69,-38.72,-38.69,-38.8,61600,0.0,-0.28,0.03,0.01,0.23
Realty Income Corp,O,2001-03-02,-38.7,-38.64,-38.59,-38.7,69200,0.0,-0.28,0.21,0.08,0.26
Realty Income Corp,O,2001-03-05,-38.68,-38.69,-38.58,-38.75,92400,0.0,-0.44,-0.13,-0.05,0.35
Realty Income Corp,O,2001-03-06,-38.65,-38.61,-38.56,-38.67,49400,0.0,-0.28,0.21,0.08,0.19
Realty Income Corp,O,2001-03-07,-38.63,-38.56,-38.53,-38.63,68200,0.0,-0.26,0.13,0.05,0.26
Realty Income Corp,O,2001-03-08,-38.58,-38.58,-38.54,-38.59,24600,0.0,-0.13,-0.05,-0.02,0.09
Realty Income Corp,O,2001-03-09,-38.58,-38.62,-38.58,-38.68,52800,0.0,-0.26,-0.1,-0.04,0.2
Realty Income Corp,O,2001-03-12,-38.62,-38.68,-38.54,-38.69,95600,0.0,-0.39,-0.16,-0.06,0.36
Realty Income Corp,O,2001-03-13,-38.68,-38.65,-38.65,-38.73,72800,0.0,-0.21,0.08,0.03,0.27
Realty Income Corp,O,2001-03-14,-38.68,-38.75,-38.63,-38.75,74600,0.0,-0.31,-0.26,-0.1,0.28
