股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Old Dominion Freight Line Inc,ODFL,2001-01-02,-5.18,-5.18,-5.18,-5.18,9001,0.0,0.0,0.0,0.0,0.11
Old Dominion Freight Line Inc,ODFL,2001-01-03,-5.18,-5.18,-5.18,-5.18,2248,0.0,0.0,0.0,0.0,0.03
Old Dominion Freight Line Inc,ODFL,2001-01-04,-5.19,-5.18,-5.18,-5.19,2248,0.0,-0.19,0.0,0.0,0.03
Old Dominion Freight Line Inc,ODFL,2001-01-05,-5.18,-5.18,-5.18,-5.18,50848,0.0,0.0,0.0,0.0,0.61
Old Dominion Freight Line Inc,ODFL,2001-01-08,-5.18,-5.18,-5.18,-5.18,12150,0.0,0.0,0.0,0.0,0.15
Old Dominion Freight Line Inc,ODFL,2001-01-09,-5.18,-5.18,-5.18,-5.18,9001,0.0,0.0,0.0,0.0,0.11
Old Dominion Freight Line Inc,ODFL,2001-01-10,-5.17,-5.17,-5.17,-5.18,81000,0.0,-0.19,0.19,0.01,0.97
Old Dominion Freight Line Inc,ODFL,2001-01-11,-5.17,-5.18,-5.17,-5.18,57601,0.0,-0.19,-0.19,-0.01,0.69
Old Dominion Freight Line Inc,ODFL,2001-01-12,-5.2,-5.19,-5.18,-5.2,155849,0.0,-0.39,-0.19,-0.01,1.87
Old Dominion Freight Line Inc,ODFL,2001-01-16,-5.19,-5.19,-5.19,-5.19,12302,0.0,0.0,0.0,0.0,0.15
Old Dominion Freight Line Inc,ODFL,2001-01-17,-5.19,-5.19,-5.19,-5.19,19050,0.0,0.0,0.0,0.0,0.23
Old Dominion Freight Line Inc,ODFL,2001-01-18,-5.19,-5.17,-5.17,-5.19,51450,0.0,-0.39,0.39,0.02,0.62
Old Dominion Freight Line Inc,ODFL,2001-01-19,-5.19,-5.17,-5.17,-5.19,3301,0.0,-0.39,0.0,0.0,0.04
Old Dominion Freight Line Inc,ODFL,2001-01-22,-5.18,-5.19,-5.18,-5.19,27150,0.0,-0.19,-0.39,-0.02,0.33
Old Dominion Freight Line Inc,ODFL,2001-01-23,-5.19,-5.19,-5.19,-5.2,159150,0.0,-0.19,0.0,0.0,1.91
Old Dominion Freight Line Inc,ODFL,2001-01-24,-5.19,-5.19,-5.19,-5.19,64051,0.0,0.0,0.0,0.0,0.77
Old Dominion Freight Line Inc,ODFL,2001-01-25,-5.19,-5.19,-5.18,-5.19,185551,0.0,-0.19,0.0,0.0,2.23
Old Dominion Freight Line Inc,ODFL,2001-01-26,-5.19,-5.19,-5.19,-5.19,145952,0.0,0.0,0.0,0.0,1.76
Old Dominion Freight Line Inc,ODFL,2001-01-29,-5.19,-5.19,-5.19,-5.19,81901,0.0,0.0,0.0,0.0,0.99
Old Dominion Freight Line Inc,ODFL,2001-01-30,-5.19,-5.19,-5.18,-5.19,143998,0.0,-0.19,0.0,0.0,1.73
Old Dominion Freight Line Inc,ODFL,2001-01-31,-5.19,-5.19,-5.18,-5.19,29251,0.0,-0.19,0.0,0.0,0.35
