股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Organon & Co,OGN,2021-06-03,31.35,34.2,35.44,29.42,22326022,803739344.0,0.0,0.0,0.0,8.82
Organon & Co,OGN,2021-06-04,33.35,31.35,33.37,30.91,7502305,259100668.0,7.19,-8.33,-2.85,2.96
Organon & Co,OGN,2021-06-07,30.8,28.62,31.08,28.05,11513110,366522192.0,9.67,-8.71,-2.73,4.55
Organon & Co,OGN,2021-06-08,27.53,26.11,28.11,25.73,18500285,545858800.0,8.32,-8.77,-2.51,7.31
Organon & Co,OGN,2021-06-09,25.5,25.65,26.64,24.45,14563600,413628768.0,8.39,-1.76,-0.46,5.75
Organon & Co,OGN,2021-06-10,25.66,27.53,28.36,25.6,11205885,339202048.0,10.76,7.33,1.88,4.43
Organon & Co,OGN,2021-06-11,27.58,26.85,27.58,26.6,5728907,170747661.0,3.56,-2.47,-0.68,2.26
Organon & Co,OGN,2021-06-14,27.28,27.48,27.83,26.47,6971953,210501779.0,5.07,2.35,0.63,2.75
Organon & Co,OGN,2021-06-15,27.23,29.01,29.29,27.0,6339088,196114013.0,8.33,5.57,1.53,2.5
Organon & Co,OGN,2021-06-16,28.72,27.9,28.85,27.47,5288132,162799779.0,4.76,-3.83,-1.11,2.09
Organon & Co,OGN,2021-06-17,27.69,28.66,28.93,27.3,5086446,158056148.0,5.84,2.72,0.76,2.01
Organon & Co,OGN,2021-06-18,28.7,27.18,28.91,27.16,10213830,309193536.0,6.11,-5.16,-1.48,4.03
Organon & Co,OGN,2021-06-21,27.4,26.61,27.87,26.56,3542702,105708450.0,4.82,-2.1,-0.57,1.4
Organon & Co,OGN,2021-06-22,26.45,26.73,27.07,26.05,4218326,123754234.0,3.83,0.45,0.12,1.66
Organon & Co,OGN,2021-06-23,26.73,26.7,27.28,26.3,3880875,114423772.0,3.67,-0.11,-0.03,1.53
Organon & Co,OGN,2021-06-24,26.59,26.97,27.27,26.5,2769564,82164479.0,2.88,1.01,0.27,1.09
Organon & Co,OGN,2021-06-25,26.97,27.39,28.07,26.41,13582744,407790576.0,6.15,1.56,0.42,5.36
Organon & Co,OGN,2021-06-28,26.89,28.14,28.23,26.61,3106152,94914973.0,5.91,2.74,0.75,1.23
Organon & Co,OGN,2021-06-29,28.18,27.75,28.52,27.66,2256727,69255588.0,3.06,-1.39,-0.39,0.89
Organon & Co,OGN,2021-06-30,27.53,27.46,28.03,27.45,2011138,61307486.0,2.09,-1.05,-0.29,0.79
Organon & Co,OGN,2021-07-01,27.31,28.02,28.44,27.26,2437119,74710278.0,4.3,2.04,0.56,0.96
Organon & Co,OGN,2021-07-02,27.91,28.06,28.32,27.5,1813073,55811687.0,2.93,0.14,0.04,0.72
Organon & Co,OGN,2021-07-06,27.8,28.2,28.3,27.1,2853517,87429211.0,4.28,0.5,0.14,1.13
Organon & Co,OGN,2021-07-07,28.2,27.32,28.24,27.07,2936212,88612774.0,4.15,-3.12,-0.88,1.16
Organon & Co,OGN,2021-07-08,26.85,26.85,27.38,26.46,1931412,57424589.0,3.37,-1.72,-0.47,0.76
Organon & Co,OGN,2021-07-09,27.15,27.3,27.48,26.79,2345711,70163490.0,2.57,1.68,0.45,0.93
Organon & Co,OGN,2021-07-12,26.97,26.94,27.58,26.77,1855651,55342361.0,2.97,-1.32,-0.36,0.73
Organon & Co,OGN,2021-07-13,26.7,26.3,27.09,26.16,2047933,60152864.0,3.45,-2.38,-0.64,0.81
Organon & Co,OGN,2021-07-14,26.18,26.54,26.6,26.04,2004663,58352138.0,2.13,0.91,0.24,0.79
Organon & Co,OGN,2021-07-15,26.05,26.11,26.69,25.89,2112296,61200858.0,3.01,-1.62,-0.43,0.83
Organon & Co,OGN,2021-07-16,25.97,26.07,26.2,25.62,1757732,50497247.0,2.22,-0.15,-0.04,0.69
Organon & Co,OGN,2021-07-19,25.83,26.34,26.37,25.74,2261653,65283166.0,2.42,1.04,0.27,0.89
Organon & Co,OGN,2021-07-20,26.37,26.81,26.98,26.26,1922637,56802552.0,2.73,1.78,0.47,0.76
Organon & Co,OGN,2021-07-21,26.86,27.66,27.7,26.73,2068422,62525515.0,3.62,3.17,0.85,0.82
Organon & Co,OGN,2021-07-22,27.63,28.12,28.26,27.45,2221127,68496416.0,2.93,1.66,0.46,0.88
Organon & Co,OGN,2021-07-23,28.09,27.0,28.12,26.91,1618174,48504244.0,4.3,-3.98,-1.12,0.64
Organon & Co,OGN,2021-07-26,26.91,26.86,27.41,26.38,1526892,45168720.0,3.81,-0.52,-0.14,0.6
Organon & Co,OGN,2021-07-27,26.56,26.32,26.84,26.03,2005402,58434124.0,3.02,-2.01,-0.54,0.79
Organon & Co,OGN,2021-07-28,26.33,26.94,27.07,26.2,1854551,54529924.0,3.31,2.36,0.62,0.73
Organon & Co,OGN,2021-07-29,26.79,26.43,27.06,26.41,1777020,52270029.0,2.41,-1.89,-0.51,0.7
Organon & Co,OGN,2021-07-30,26.26,26.21,26.6,26.11,1504450,43786002.0,1.85,-0.83,-0.22,0.59
Organon & Co,OGN,2021-08-02,26.28,26.73,26.84,26.24,1761869,51798684.0,2.29,1.98,0.52,0.69
Organon & Co,OGN,2021-08-03,26.48,26.71,26.78,26.21,1386730,40681283.0,2.13,-0.07,-0.02,0.55
Organon & Co,OGN,2021-08-04,26.52,25.83,26.52,25.81,1851926,53399556.0,2.66,-3.29,-0.88,0.73
Organon & Co,OGN,2021-08-05,25.84,26.76,26.78,25.7,2190667,63901271.0,4.18,3.6,0.93,0.86
Organon & Co,OGN,2021-08-06,26.69,26.7,26.98,26.37,1298680,38344154.0,2.28,-0.22,-0.06,0.51
Organon & Co,OGN,2021-08-09,26.98,26.3,27.2,26.12,1982564,57820606.0,4.04,-1.5,-0.4,0.78
Organon & Co,OGN,2021-08-10,26.28,27.55,27.69,26.12,2980245,89436267.0,5.97,4.75,1.25,1.18
Organon & Co,OGN,2021-08-11,27.55,27.13,27.6,26.92,1869093,56130742.0,2.47,-1.52,-0.42,0.74
Organon & Co,OGN,2021-08-12,28.26,30.7,31.2,28.2,7829569,256766349.0,11.06,13.16,3.57,3.09
Organon & Co,OGN,2021-08-13,30.7,31.41,31.69,30.06,3441477,116772353.0,5.31,2.31,0.71,1.36
Organon & Co,OGN,2021-08-16,31.44,31.53,31.99,31.11,2745751,94243948.0,2.8,0.38,0.12,1.08
Organon & Co,OGN,2021-08-17,31.94,32.58,33.02,31.64,4683490,164860734.0,4.38,3.33,1.05,1.85
Organon & Co,OGN,2021-08-18,33.08,30.79,33.69,30.74,4684987,163374726.0,9.05,-5.49,-1.79,1.85
Organon & Co,OGN,2021-08-19,30.6,31.3,31.77,30.22,2501347,84915226.0,5.03,1.66,0.51,0.99
Organon & Co,OGN,2021-08-20,31.43,30.7,31.94,30.63,2354628,78882908.0,4.19,-1.92,-0.6,0.93
Organon & Co,OGN,2021-08-23,31.03,30.72,31.27,30.34,2473710,82052181.0,3.03,0.07,0.02,0.98
Organon & Co,OGN,2021-08-24,30.83,30.64,31.3,30.44,2117657,70740523.0,2.8,-0.26,-0.08,0.84
Organon & Co,OGN,2021-08-25,30.49,30.78,31.09,29.85,1929428,64118237.0,4.05,0.46,0.14,0.76
Organon & Co,OGN,2021-08-26,30.7,31.44,31.84,30.7,1607914,54636820.0,3.7,2.14,0.66,0.63
Organon & Co,OGN,2021-08-27,31.46,31.73,31.8,31.21,1165789,39824933.0,1.88,0.92,0.29,0.46
Organon & Co,OGN,2021-08-30,31.57,31.2,31.72,31.14,1069016,36247565.0,1.83,-1.67,-0.53,0.42
Organon & Co,OGN,2021-08-31,31.02,31.37,31.58,30.9,1694611,57370742.0,2.18,0.54,0.17,0.67
Organon & Co,OGN,2021-09-01,31.93,32.04,32.85,31.74,2738788,95410492.0,3.54,2.14,0.67,1.08
Organon & Co,OGN,2021-09-02,32.6,33.09,33.12,31.83,2560691,90095771.0,4.03,3.28,1.05,1.01
Organon & Co,OGN,2021-09-03,32.95,33.09,33.13,32.34,1466389,51780085.0,2.39,0.0,0.0,0.58
Organon & Co,OGN,2021-09-07,32.76,33.12,33.23,32.35,2247963,79431978.0,2.66,0.09,0.03,0.89
Organon & Co,OGN,2021-09-08,33.01,32.45,33.01,32.23,2185017,76544903.0,2.36,-2.02,-0.67,0.86
Organon & Co,OGN,2021-09-09,32.45,32.16,32.48,31.72,1573687,54403141.0,2.34,-0.89,-0.29,0.62
Organon & Co,OGN,2021-09-10,32.39,31.36,32.48,31.35,1658485,56640918.0,3.51,-2.49,-0.8,0.65
Organon & Co,OGN,2021-09-13,31.65,31.31,31.66,31.01,1950103,66007579.0,2.07,-0.16,-0.05,0.77
Organon & Co,OGN,2021-09-14,31.23,30.9,31.36,30.73,1570318,52551455.0,2.01,-1.31,-0.41,0.62
Organon & Co,OGN,2021-09-15,30.98,31.2,31.74,30.72,1953210,66103879.0,3.3,0.97,0.3,0.77
