股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
欧尼克,OKE,2000-01-03,-36.21,-36.32,-36.21,-36.37,403200,0.0,-0.44,-0.22,-0.08,1.36
欧尼克,OKE,2000-01-04,-36.35,-36.4,-36.27,-36.43,176800,0.0,-0.44,-0.22,-0.08,0.6
欧尼克,OKE,2000-01-05,-36.35,-36.33,-36.3,-36.4,441200,0.0,-0.27,0.19,0.07,1.49
欧尼克,OKE,2000-01-06,-36.32,-36.33,-36.24,-36.38,249600,0.0,-0.39,0.0,0.0,0.84
欧尼克,OKE,2000-01-07,-36.3,-36.1,-36.1,-36.3,205200,0.0,-0.55,0.63,0.23,0.69
欧尼克,OKE,2000-01-10,-36.12,-36.12,-36.07,-36.15,168800,0.0,-0.22,-0.06,-0.02,0.57
欧尼克,OKE,2000-01-11,-36.13,-36.2,-36.09,-36.2,172800,0.0,-0.3,-0.22,-0.08,0.58
欧尼克,OKE,2000-01-12,-36.15,-36.04,-36.03,-36.15,308400,0.0,-0.33,0.44,0.16,1.04
欧尼克,OKE,2000-01-13,-36.04,-35.9,-35.89,-36.04,214800,0.0,-0.42,0.39,0.14,0.73
欧尼克,OKE,2000-01-14,-35.92,-35.96,-35.84,-36.06,183200,0.0,-0.61,-0.17,-0.06,0.62
欧尼克,OKE,2000-01-18,-36.03,-36.07,-35.96,-36.09,115200,0.0,-0.36,-0.31,-0.11,0.39
欧尼克,OKE,2000-01-19,-36.03,-36.0,-35.92,-36.03,125600,0.0,-0.3,0.19,0.07,0.42
欧尼克,OKE,2000-01-20,-35.96,-35.95,-35.93,-36.03,98400,0.0,-0.28,0.14,0.05,0.33
欧尼克,OKE,2000-01-21,-35.95,-35.64,-35.61,-36.0,186400,0.0,-1.08,0.86,0.31,0.63
欧尼克,OKE,2000-01-24,-35.64,-35.64,-35.47,-35.7,250800,0.0,-0.65,0.0,0.0,0.85
欧尼克,OKE,2000-01-25,-35.64,-35.76,-35.53,-35.76,148800,0.0,-0.65,-0.34,-0.12,0.5
欧尼克,OKE,2000-01-26,-35.7,-35.78,-35.61,-35.79,140000,0.0,-0.5,-0.06,-0.02,0.47
欧尼克,OKE,2000-01-27,-35.7,-35.86,-35.69,-35.86,106400,0.0,-0.48,-0.22,-0.08,0.36
欧尼克,OKE,2000-01-28,-35.86,-35.86,-35.78,-35.89,115200,0.0,-0.31,0.0,0.0,0.39
欧尼克,OKE,2000-01-31,-35.84,-35.84,-35.73,-36.0,150400,0.0,-0.75,0.06,0.02,0.51
欧尼克,OKE,2000-02-01,-35.87,-35.81,-35.75,-36.06,113200,0.0,-0.86,0.08,0.03,0.38
欧尼克,OKE,2000-02-02,-35.75,-35.75,-35.7,-35.84,128800,0.0,-0.39,0.17,0.06,0.44
欧尼克,OKE,2000-02-03,-35.78,-35.75,-35.7,-35.97,118400,0.0,-0.76,0.0,0.0,0.4
欧尼克,OKE,2000-02-04,-35.75,-35.92,-35.75,-36.0,118400,0.0,-0.7,-0.48,-0.17,0.4
欧尼克,OKE,2000-02-07,-35.92,-36.06,-35.92,-36.08,221600,0.0,-0.45,-0.39,-0.14,0.75
欧尼克,OKE,2000-02-08,-36.06,-36.15,-36.06,-36.36,410800,0.0,-0.83,-0.25,-0.09,1.39
欧尼克,OKE,2000-02-09,-36.22,-36.26,-36.15,-36.33,247200,0.0,-0.5,-0.3,-0.11,0.84
