股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
甲骨文,ORCL,2013-07-15,22.38,21.73,22.48,21.72,155896231,0.0,0.0,0.0,0.0,5.67
甲骨文,ORCL,2013-07-24,22.86,22.87,23.04,22.78,19873366,0.0,1.2,5.25,1.14,0.72
甲骨文,ORCL,2013-07-25,22.89,22.85,22.89,22.45,21024924,0.0,1.92,-0.09,-0.02,0.76
甲骨文,ORCL,2013-07-26,22.84,23.02,23.08,22.64,17233484,0.0,1.93,0.74,0.17,0.63
甲骨文,ORCL,2013-07-29,22.87,22.96,23.04,22.65,16105637,0.0,1.69,-0.26,-0.06,0.59
甲骨文,ORCL,2013-07-30,23.08,23.03,23.19,22.97,18323754,0.0,0.96,0.3,0.07,0.67
甲骨文,ORCL,2013-07-31,23.06,22.83,23.23,22.43,30368968,0.0,3.47,-0.87,-0.2,1.1
甲骨文,ORCL,2013-08-01,23.1,23.23,23.31,22.88,15689793,0.0,1.88,1.75,0.4,0.57
甲骨文,ORCL,2013-08-02,23.1,23.05,23.18,22.95,18526841,0.0,0.99,-0.77,-0.18,0.67
甲骨文,ORCL,2013-08-05,23.07,23.26,23.38,23.03,11047493,0.0,1.52,0.91,0.21,0.4
甲骨文,ORCL,2013-08-06,23.23,23.48,23.69,23.18,18168133,0.0,2.19,0.95,0.22,0.66
甲骨文,ORCL,2013-08-07,23.25,23.3,23.48,23.16,17174293,0.0,1.36,-0.77,-0.18,0.62
甲骨文,ORCL,2013-08-08,23.39,23.5,23.58,23.23,14110122,0.0,1.5,0.86,0.2,0.51
甲骨文,ORCL,2013-08-09,23.39,23.4,23.59,23.18,11599181,0.0,1.74,-0.43,-0.1,0.42
甲骨文,ORCL,2013-08-12,23.29,23.73,23.82,23.23,11638094,0.0,2.52,1.41,0.33,0.42
甲骨文,ORCL,2013-08-13,23.87,23.73,23.94,23.59,12729078,0.0,1.47,0.0,0.0,0.46
甲骨文,ORCL,2013-08-14,23.74,24.05,24.13,23.71,18712181,0.0,1.77,1.35,0.32,0.68
甲骨文,ORCL,2013-08-15,23.72,23.21,23.72,23.02,19023429,0.0,2.91,-3.49,-0.84,0.69
甲骨文,ORCL,2013-08-16,23.08,22.89,23.33,22.78,19397291,0.0,2.37,-1.38,-0.32,0.71
甲骨文,ORCL,2013-08-19,22.88,22.54,23.18,22.49,13276718,0.0,3.01,-1.53,-0.35,0.48
甲骨文,ORCL,2013-08-20,22.54,22.68,22.9,22.48,13607249,0.0,1.86,0.62,0.14,0.5
甲骨文,ORCL,2013-08-21,22.67,22.78,23.1,22.58,11911158,0.0,2.29,0.44,0.1,0.43
甲骨文,ORCL,2013-08-22,22.9,22.88,23.01,22.61,10271672,0.0,1.76,0.44,0.1,0.37
甲骨文,ORCL,2013-08-23,22.86,22.25,23.14,22.25,26901803,0.0,3.89,-2.75,-0.63,0.98
甲骨文,ORCL,2013-08-26,22.24,22.82,23.08,22.24,18715476,0.0,3.78,2.56,0.57,0.68
甲骨文,ORCL,2013-08-27,22.13,22.26,22.68,22.08,15984807,0.0,2.63,-2.45,-0.56,0.58
甲骨文,ORCL,2013-08-28,22.27,22.14,22.39,22.14,15840666,0.0,1.12,-0.54,-0.12,0.58
甲骨文,ORCL,2013-08-29,22.05,22.18,22.45,22.04,13748165,0.0,1.85,0.18,0.04,0.5
甲骨文,ORCL,2013-08-30,22.22,22.34,22.58,22.19,13807154,0.0,1.76,0.72,0.16,0.5
甲骨文,ORCL,2013-09-03,22.65,22.5,22.84,22.3,14628124,0.0,2.42,0.72,0.16,0.32
甲骨文,ORCL,2013-09-04,22.49,22.8,22.97,22.44,12863461,0.0,2.36,1.33,0.3,0.28
甲骨文,ORCL,2013-09-05,22.86,22.74,23.0,22.64,11345855,0.0,1.58,-0.26,-0.06,0.25
甲骨文,ORCL,2013-09-06,22.78,22.68,22.94,22.33,12608523,0.0,2.68,-0.26,-0.06,0.28
甲骨文,ORCL,2013-09-09,22.79,23.23,23.37,22.73,12094471,0.0,2.82,2.43,0.55,0.26
甲骨文,ORCL,2013-09-10,23.28,23.34,23.47,23.23,15485750,0.0,1.03,0.47,0.11,0.34
甲骨文,ORCL,2013-09-11,23.35,23.5,23.7,23.22,19582753,0.0,2.06,0.69,0.16,0.43
甲骨文,ORCL,2013-09-12,23.49,23.27,23.59,23.22,16187315,0.0,1.57,-0.98,-0.23,0.35
甲骨文,ORCL,2013-09-13,23.32,22.94,23.35,22.83,17555353,0.0,2.23,-1.42,-0.33,0.39
甲骨文,ORCL,2013-09-16,23.32,23.45,23.63,23.26,25316864,0.0,1.61,2.22,0.51,0.56
甲骨文,ORCL,2013-09-17,23.47,23.74,23.91,23.41,20147446,0.0,2.13,1.24,0.29,0.44
甲骨文,ORCL,2013-09-18,23.69,24.35,24.39,23.61,36917893,0.0,3.29,2.57,0.61,0.81
甲骨文,ORCL,2013-09-19,24.12,24.37,24.48,23.73,63208644,0.0,3.08,0.08,0.02,1.39
甲骨文,ORCL,2013-09-20,24.42,24.53,24.61,24.15,49694712,0.0,1.89,0.66,0.16,1.09
甲骨文,ORCL,2013-09-23,24.28,24.42,24.82,24.23,26201472,0.0,2.41,-0.45,-0.11,0.57
甲骨文,ORCL,2013-09-24,24.31,24.12,24.37,24.07,18587116,0.0,1.23,-1.23,-0.3,0.41
甲骨文,ORCL,2013-09-25,24.24,24.35,24.57,24.18,19503032,0.0,1.62,0.95,0.23,0.43
甲骨文,ORCL,2013-09-26,24.46,24.29,24.74,24.17,15582152,0.0,2.34,-0.25,-0.06,0.34
甲骨文,ORCL,2013-09-27,24.11,24.26,24.43,23.99,14022378,0.0,1.81,-0.12,-0.03,0.31
甲骨文,ORCL,2013-09-30,23.97,23.65,24.01,23.52,24894103,0.0,2.02,-2.51,-0.61,0.55
甲骨文,ORCL,2013-10-01,23.68,23.98,24.03,23.54,16071022,0.0,2.07,1.4,0.33,0.35
甲骨文,ORCL,2013-10-02,23.79,24.16,24.2,23.74,19206188,0.0,1.92,0.75,0.18,0.42
甲骨文,ORCL,2013-10-03,24.01,23.72,24.15,23.56,15042098,0.0,2.44,-1.82,-0.44,0.33
甲骨文,ORCL,2013-10-04,23.78,23.81,24.09,23.66,15041859,0.0,1.81,0.38,0.09,0.33
甲骨文,ORCL,2013-10-07,23.46,23.44,23.84,23.39,14004921,0.0,1.89,-1.55,-0.37,0.31
甲骨文,ORCL,2013-10-08,23.43,22.97,23.52,22.87,23513999,0.0,2.77,-2.01,-0.47,0.52
甲骨文,ORCL,2013-10-09,23.05,22.79,23.05,22.6,19557276,0.0,1.96,-0.78,-0.18,0.43
甲骨文,ORCL,2013-10-10,23.08,23.59,23.6,22.94,21237637,0.0,2.9,3.51,0.8,0.47
甲骨文,ORCL,2013-10-11,23.68,23.86,23.98,23.54,13860361,0.0,1.87,1.14,0.27,0.3
甲骨文,ORCL,2013-10-14,23.61,23.88,23.95,23.49,12840208,0.0,1.93,0.08,0.02,0.28
甲骨文,ORCL,2013-10-15,23.74,23.35,23.86,23.3,20482382,0.0,2.35,-2.22,-0.53,0.45
甲骨文,ORCL,2013-10-16,23.51,23.62,23.8,23.49,16274685,0.0,1.33,1.16,0.27,0.36
甲骨文,ORCL,2013-10-17,23.22,23.47,23.65,23.11,22741904,0.0,2.29,-0.64,-0.15,0.5
甲骨文,ORCL,2013-10-18,23.35,23.5,23.59,23.15,17420786,0.0,1.87,0.13,0.03,0.38
甲骨文,ORCL,2013-10-21,23.83,23.55,24.0,23.43,16504002,0.0,2.43,0.21,0.05,0.36
甲骨文,ORCL,2013-10-22,23.69,23.5,23.74,23.45,19704202,0.0,1.23,-0.21,-0.05,0.43
甲骨文,ORCL,2013-10-23,23.46,23.3,23.49,23.03,24502991,0.0,1.96,-0.85,-0.2,0.54
甲骨文,ORCL,2013-10-24,23.34,23.67,23.85,23.33,24409063,0.0,2.23,1.59,0.37,0.54
甲骨文,ORCL,2013-10-25,23.81,23.75,24.09,23.61,19663822,0.0,2.03,0.34,0.08,0.43
甲骨文,ORCL,2013-10-28,23.84,23.74,24.06,23.69,16211979,0.0,1.56,-0.04,-0.01,0.36
甲骨文,ORCL,2013-10-29,23.84,24.31,24.33,23.84,15778141,0.0,2.06,2.4,0.57,0.35
甲骨文,ORCL,2013-10-30,24.42,24.13,24.55,24.02,14887217,0.0,2.18,-0.74,-0.18,0.33
甲骨文,ORCL,2013-10-31,24.1,24.1,24.51,24.04,16120386,0.0,1.95,-0.12,-0.03,0.35
甲骨文,ORCL,2013-11-01,24.3,24.13,24.42,24.03,15031965,0.0,1.62,0.12,0.03,0.33
甲骨文,ORCL,2013-11-04,24.3,24.31,24.36,24.06,12629533,0.0,1.24,0.75,0.18,0.28
甲骨文,ORCL,2013-11-05,24.15,24.1,24.29,24.01,11043184,0.0,1.15,-0.86,-0.21,0.24
甲骨文,ORCL,2013-11-06,24.26,24.67,24.94,24.22,24976910,0.0,2.99,2.37,0.57,0.55
甲骨文,ORCL,2013-11-07,24.78,24.6,25.06,24.54,16951872,0.0,2.11,-0.28,-0.07,0.37
甲骨文,ORCL,2013-11-08,24.52,24.95,24.95,24.36,13905459,0.0,2.4,1.42,0.35,0.31
甲骨文,ORCL,2013-11-11,24.91,24.97,25.23,24.88,11403081,0.0,1.4,0.08,0.02,0.25
甲骨文,ORCL,2013-11-12,25.06,25.3,25.45,24.87,16060518,0.0,2.32,1.32,0.33,0.35
甲骨文,ORCL,2013-11-13,25.2,25.6,25.6,25.19,14550778,0.0,1.62,1.19,0.3,0.32
甲骨文,ORCL,2013-11-14,24.77,24.98,25.17,24.66,25528581,0.0,1.99,-2.42,-0.62,0.56
甲骨文,ORCL,2013-11-15,24.96,25.52,25.53,24.91,21311671,0.0,2.48,2.16,0.54,0.47
甲骨文,ORCL,2013-11-18,25.48,25.53,25.73,25.42,15065114,0.0,1.21,0.04,0.01,0.33
甲骨文,ORCL,2013-11-19,25.59,25.36,25.59,25.23,14386787,0.0,1.41,-0.67,-0.17,0.32
甲骨文,ORCL,2013-11-20,25.44,25.35,25.57,25.27,12088727,0.0,1.18,-0.04,-0.01,0.27
甲骨文,ORCL,2013-11-21,25.44,25.54,25.65,25.31,11656079,0.0,1.34,0.75,0.19,0.26
甲骨文,ORCL,2013-11-22,25.42,25.43,25.56,25.27,13804438,0.0,1.14,-0.43,-0.11,0.3
甲骨文,ORCL,2013-11-25,25.52,25.38,25.56,25.2,14729097,0.0,1.42,-0.2,-0.05,0.32
甲骨文,ORCL,2013-11-26,25.29,25.53,25.76,25.21,24754553,0.0,2.17,0.59,0.15,0.54
甲骨文,ORCL,2013-11-27,25.66,25.89,26.0,25.62,16041744,0.0,1.49,1.41,0.36,0.35
甲骨文,ORCL,2013-11-29,25.7,25.89,26.02,25.64,11848811,0.0,1.47,0.0,0.0,0.26
甲骨文,ORCL,2013-12-02,25.97,25.68,25.99,25.56,20111030,0.0,1.66,-0.81,-0.21,0.45
甲骨文,ORCL,2013-12-03,25.59,25.67,25.71,25.44,16455909,0.0,1.05,-0.04,-0.01,0.37
甲骨文,ORCL,2013-12-04,25.5,25.67,25.78,25.42,19921024,0.0,1.4,0.0,0.0,0.44
甲骨文,ORCL,2013-12-05,25.77,25.45,25.77,25.42,20766532,0.0,1.36,-0.86,-0.22,0.46
甲骨文,ORCL,2013-12-06,25.75,26.08,26.11,25.7,15554209,0.0,1.61,2.48,0.63,0.35
甲骨文,ORCL,2013-12-09,26.08,26.2,26.35,26.0,16721398,0.0,1.34,0.46,0.12,0.37
甲骨文,ORCL,2013-12-10,26.02,25.4,26.07,25.37,25371393,0.0,2.67,-3.05,-0.8,0.56
甲骨文,ORCL,2013-12-11,25.55,25.16,25.66,25.02,17090783,0.0,2.52,-0.94,-0.24,0.38
甲骨文,ORCL,2013-12-12,24.45,24.2,24.49,23.89,30525656,0.0,2.38,-3.82,-0.96,0.68
甲骨文,ORCL,2013-12-13,24.26,23.83,24.3,23.82,18124069,0.0,1.98,-1.53,-0.37,0.4
甲骨文,ORCL,2013-12-16,24.0,24.14,24.48,23.95,20832653,0.0,2.22,1.3,0.31,0.46
甲骨文,ORCL,2013-12-17,24.23,24.23,24.39,23.98,21747576,0.0,1.7,0.37,0.09,0.48
