股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
奥莱利,ORLY,2000-01-03,11.06,10.75,11.06,10.03,248000,0.0,9.58,0.0,0.0,0.49
奥莱利,ORLY,2000-01-04,10.5,9.97,10.5,9.78,295000,0.0,6.7,-7.26,-0.78,0.58
奥莱利,ORLY,2000-01-05,10.0,10.03,10.31,9.88,778200,0.0,4.31,0.6,0.06,1.53
奥莱利,ORLY,2000-01-06,10.13,9.47,10.13,9.41,819200,0.0,7.18,-5.58,-0.56,1.61
奥莱利,ORLY,2000-01-07,9.63,8.31,9.75,8.1,2182600,0.0,17.42,-12.25,-1.16,4.3
奥莱利,ORLY,2000-01-10,8.5,8.41,8.56,8.22,3289600,0.0,4.09,1.2,0.1,6.48
奥莱利,ORLY,2000-01-11,8.5,8.28,8.53,8.22,1875000,0.0,3.69,-1.55,-0.13,3.69
奥莱利,ORLY,2000-01-12,8.28,8.13,8.31,7.88,953600,0.0,5.19,-1.81,-0.15,1.88
奥莱利,ORLY,2000-01-13,8.27,8.19,8.31,8.1,890600,0.0,2.58,0.74,0.06,1.75
奥莱利,ORLY,2000-01-14,8.31,7.14,8.31,7.13,2553400,0.0,14.41,-12.82,-1.05,5.03
奥莱利,ORLY,2000-01-18,7.5,7.06,7.5,6.78,4223400,0.0,10.08,-1.12,-0.08,8.31
奥莱利,ORLY,2000-01-19,7.25,6.66,7.41,6.57,1381800,0.0,11.9,-5.67,-0.4,2.72
奥莱利,ORLY,2000-01-20,6.88,6.66,6.94,6.6,1205000,0.0,5.11,0.0,0.0,2.37
奥莱利,ORLY,2000-01-21,6.97,6.78,7.03,6.66,1189600,0.0,5.56,1.8,0.12,2.34
奥莱利,ORLY,2000-01-24,6.92,6.75,7.19,6.75,930600,0.0,6.49,-0.44,-0.03,1.83
奥莱利,ORLY,2000-01-25,7.0,6.88,7.03,6.63,956800,0.0,5.93,1.93,0.13,1.88
奥莱利,ORLY,2000-01-26,6.91,6.31,6.94,6.19,1509800,0.0,10.9,-8.28,-0.57,2.97
奥莱利,ORLY,2000-01-27,6.63,6.66,6.75,6.38,1312800,0.0,5.86,5.55,0.35,2.58
奥莱利,ORLY,2000-01-28,6.69,6.5,6.69,6.5,1743200,0.0,2.85,-2.4,-0.16,3.43
奥莱利,ORLY,2000-01-31,6.6,6.56,6.72,6.5,1718000,0.0,3.38,0.92,0.06,3.38
奥莱利,ORLY,2000-02-01,6.53,6.69,6.88,6.5,998800,0.0,5.79,1.98,0.13,1.97
奥莱利,ORLY,2000-02-02,6.75,6.38,6.78,6.31,1186600,0.0,7.03,-4.63,-0.31,2.34
奥莱利,ORLY,2000-02-03,6.5,6.78,6.88,6.31,2125600,0.0,8.93,6.27,0.4,4.18
奥莱利,ORLY,2000-02-04,6.78,6.63,6.85,6.56,1116800,0.0,4.28,-2.21,-0.15,2.2
奥莱利,ORLY,2000-02-07,6.66,6.5,6.75,6.44,1265200,0.0,4.68,-1.96,-0.13,2.49
奥莱利,ORLY,2000-02-08,6.53,6.63,6.63,6.25,1574400,0.0,5.85,2.0,0.13,3.1
奥莱利,ORLY,2000-02-09,6.56,6.03,6.56,6.03,1259200,0.0,7.99,-9.05,-0.6,2.48
奥莱利,ORLY,2000-02-10,6.06,6.53,6.56,6.0,1007200,0.0,9.29,8.29,0.5,1.98
奥莱利,ORLY,2000-02-11,6.53,6.1,6.6,5.94,1045600,0.0,10.11,-6.58,-0.43,2.06
奥莱利,ORLY,2000-02-14,6.1,6.35,6.38,6.06,795200,0.0,5.25,4.1,0.25,1.57
奥莱利,ORLY,2000-02-15,6.38,6.1,6.38,6.06,496600,0.0,5.04,-3.94,-0.25,0.98
奥莱利,ORLY,2000-02-16,6.13,5.75,6.16,5.63,671400,0.0,8.69,-5.74,-0.35,1.32
奥莱利,ORLY,2000-02-17,5.85,5.38,5.88,5.25,1684200,0.0,10.96,-6.43,-0.37,3.32
奥莱利,ORLY,2000-02-18,5.47,5.38,5.81,5.38,1237000,0.0,7.99,0.0,0.0,2.44
奥莱利,ORLY,2000-02-22,5.47,5.63,5.94,5.38,1693800,0.0,10.41,4.65,0.25,3.33
奥莱利,ORLY,2000-02-24,5.81,6.53,6.81,5.78,699400,0.0,18.29,15.99,0.9,1.38
奥莱利,ORLY,2000-02-25,6.52,6.44,6.53,6.31,702000,0.0,3.37,-1.38,-0.09,1.38
奥莱利,ORLY,2000-02-28,6.5,6.55,6.66,6.35,601200,0.0,4.81,1.71,0.11,1.18
奥莱利,ORLY,2000-02-29,6.72,7.0,7.25,6.6,495200,0.0,9.92,6.87,0.45,0.97
奥莱利,ORLY,2000-03-01,6.97,6.03,6.97,6.0,1274600,0.0,13.86,-13.86,-0.97,2.51
奥莱利,ORLY,2000-03-02,6.03,5.53,6.03,5.53,975800,0.0,8.29,-8.29,-0.5,1.92
奥莱利,ORLY,2000-03-03,5.85,6.06,6.06,5.56,703800,0.0,9.04,9.58,0.53,1.38
奥莱利,ORLY,2000-03-06,6.03,5.47,6.16,5.47,662000,0.0,11.39,-9.74,-0.59,1.3
奥莱利,ORLY,2000-03-07,5.69,4.81,5.69,4.75,2053200,0.0,17.18,-12.07,-0.66,4.04
奥莱利,ORLY,2000-03-08,5.0,4.63,5.0,4.13,4427400,0.0,18.09,-3.74,-0.18,8.71
奥莱利,ORLY,2000-03-09,4.88,5.47,5.5,4.78,1316800,0.0,15.55,18.14,0.84,2.59
奥莱利,ORLY,2000-03-10,5.47,5.0,5.69,5.0,910600,0.0,12.61,-8.59,-0.47,1.79
奥莱利,ORLY,2000-03-13,5.13,5.28,5.44,5.0,491800,0.0,8.8,5.6,0.28,0.97
