股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
公共服务企业,PEG,2001-01-02,-22.66,-23.11,-22.66,-23.13,1143600,0.0,0.0,0.0,0.0,0.55
公共服务企业,PEG,2001-01-03,-23.11,-24.0,-22.91,-24.05,2640200,0.0,-4.93,-3.85,-0.89,1.27
公共服务企业,PEG,2001-01-04,-24.0,-24.86,-24.0,-24.89,2356800,0.0,-3.71,-3.58,-0.86,1.13
公共服务企业,PEG,2001-01-05,-24.8,-24.67,-24.38,-24.81,2542800,0.0,-1.73,0.76,0.19,1.22
公共服务企业,PEG,2001-01-08,-24.66,-24.41,-24.34,-24.66,1508600,0.0,-1.3,1.05,0.26,0.73
公共服务企业,PEG,2001-01-09,-24.44,-24.33,-24.33,-24.59,1759800,0.0,-1.07,0.33,0.08,0.85
公共服务企业,PEG,2001-01-10,-24.39,-24.41,-24.2,-24.55,1705600,0.0,-1.44,-0.33,-0.08,0.82
公共服务企业,PEG,2001-01-11,-24.36,-25.24,-24.36,-25.27,3521000,0.0,-3.73,-3.4,-0.83,1.69
公共服务企业,PEG,2001-01-12,-25.2,-25.0,-24.94,-25.38,2491800,0.0,-1.74,0.95,0.24,1.2
公共服务企业,PEG,2001-01-16,-24.46,-24.49,-24.4,-24.5,2862200,0.0,-0.4,2.04,0.51,1.38
公共服务企业,PEG,2001-01-17,-25.06,-25.03,-24.94,-25.17,2489800,0.0,-0.94,-2.2,-0.54,1.2
公共服务企业,PEG,2001-01-18,-25.05,-24.88,-24.84,-25.06,1340200,0.0,-0.88,0.6,0.15,0.64
公共服务企业,PEG,2001-01-19,-24.94,-24.78,-24.77,-25.13,2094800,0.0,-1.45,0.4,0.1,1.01
公共服务企业,PEG,2001-01-22,-24.77,-24.61,-24.56,-24.86,1408000,0.0,-1.21,0.69,0.17,0.68
公共服务企业,PEG,2001-01-23,-24.59,-24.53,-24.25,-24.59,1324200,0.0,-1.38,0.33,0.08,0.64
公共服务企业,PEG,2001-01-24,-24.47,-24.3,-24.19,-24.47,1150600,0.0,-1.14,0.94,0.23,0.55
公共服务企业,PEG,2001-01-25,-24.19,-24.2,-24.05,-24.33,1090600,0.0,-1.15,0.41,0.1,0.52
公共服务企业,PEG,2001-01-26,-24.14,-24.2,-24.05,-24.53,1442200,0.0,-1.98,0.0,0.0,0.69
公共服务企业,PEG,2001-01-29,-24.2,-24.12,-23.96,-24.21,842600,0.0,-1.03,0.33,0.08,0.41
公共服务企业,PEG,2001-01-30,-24.16,-24.3,-24.14,-24.33,785000,0.0,-0.79,-0.75,-0.18,0.38
公共服务企业,PEG,2001-01-31,-24.34,-24.55,-24.34,-24.73,1758000,0.0,-1.6,-1.03,-0.25,0.85
公共服务企业,PEG,2001-02-01,-24.53,-24.53,-24.48,-24.69,1283800,0.0,-0.86,0.08,0.02,0.62
公共服务企业,PEG,2001-02-02,-24.53,-24.58,-24.44,-24.66,1492600,0.0,-0.9,-0.2,-0.05,0.72
公共服务企业,PEG,2001-02-05,-24.57,-24.52,-24.38,-24.57,1377400,0.0,-0.77,0.24,0.06,0.66
