股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
PENN Entertainment Inc,PENN,2001-01-02,0.64,0.65,0.66,0.6,230400,0.0,0.0,0.0,0.0,0.15
PENN Entertainment Inc,PENN,2001-01-03,0.65,0.63,0.65,0.59,444800,0.0,9.23,-3.08,-0.02,0.29
PENN Entertainment Inc,PENN,2001-01-04,0.62,0.61,0.65,0.6,358400,0.0,7.94,-3.17,-0.02,0.24
PENN Entertainment Inc,PENN,2001-01-05,0.61,0.6,0.64,0.58,174800,0.0,9.84,-1.64,-0.01,0.12
PENN Entertainment Inc,PENN,2001-01-08,0.62,0.61,0.63,0.59,287200,0.0,6.67,1.67,0.01,0.19
PENN Entertainment Inc,PENN,2001-01-09,0.62,0.64,0.65,0.62,240000,0.0,4.92,4.92,0.03,0.16
PENN Entertainment Inc,PENN,2001-01-10,0.64,0.63,0.65,0.62,350400,0.0,4.69,-1.56,-0.01,0.23
PENN Entertainment Inc,PENN,2001-01-11,0.63,0.74,0.79,0.63,422800,0.0,25.4,17.46,0.11,0.28
PENN Entertainment Inc,PENN,2001-01-12,0.74,0.77,0.8,0.73,72000,0.0,9.46,4.05,0.03,0.05
PENN Entertainment Inc,PENN,2001-01-16,0.79,0.78,0.8,0.77,344000,0.0,3.9,1.3,0.01,0.23
PENN Entertainment Inc,PENN,2001-01-17,0.8,0.83,0.84,0.8,110000,0.0,5.13,6.41,0.05,0.07
PENN Entertainment Inc,PENN,2001-01-18,0.81,0.81,0.84,0.79,70000,0.0,6.02,-2.41,-0.02,0.05
PENN Entertainment Inc,PENN,2001-01-19,0.84,0.78,0.84,0.78,124400,0.0,7.41,-3.7,-0.03,0.08
PENN Entertainment Inc,PENN,2001-01-22,0.77,0.77,0.81,0.77,67600,0.0,5.13,-1.28,-0.01,0.04
PENN Entertainment Inc,PENN,2001-01-23,0.81,0.8,0.81,0.77,30400,0.0,5.19,3.9,0.03,0.02
PENN Entertainment Inc,PENN,2001-01-24,0.78,0.76,0.78,0.75,80000,0.0,3.75,-5.0,-0.04,0.05
PENN Entertainment Inc,PENN,2001-01-25,0.76,0.73,0.77,0.73,84400,0.0,5.26,-3.95,-0.03,0.06
PENN Entertainment Inc,PENN,2001-01-26,0.73,0.73,0.73,0.67,137600,0.0,8.22,0.0,0.0,0.09
PENN Entertainment Inc,PENN,2001-01-29,0.73,0.83,0.86,0.73,146000,0.0,17.81,13.7,0.1,0.1
PENN Entertainment Inc,PENN,2001-01-30,0.82,0.81,0.83,0.79,290400,0.0,4.82,-2.41,-0.02,0.19
PENN Entertainment Inc,PENN,2001-01-31,0.8,0.78,0.8,0.78,154800,0.0,2.47,-3.7,-0.03,0.1
PENN Entertainment Inc,PENN,2001-02-01,0.78,0.81,0.81,0.78,45200,0.0,3.85,3.85,0.03,0.03
PENN Entertainment Inc,PENN,2001-02-02,0.8,0.81,0.82,0.8,60400,0.0,2.47,0.0,0.0,0.04
PENN Entertainment Inc,PENN,2001-02-05,0.8,0.8,0.8,0.78,26800,0.0,2.47,-1.23,-0.01,0.02
PENN Entertainment Inc,PENN,2001-02-06,0.8,0.8,0.8,0.8,7200,0.0,0.0,0.0,0.0,0.0
PENN Entertainment Inc,PENN,2001-02-07,0.8,0.8,0.81,0.8,57600,0.0,1.25,0.0,0.0,0.04
PENN Entertainment Inc,PENN,2001-02-08,0.83,0.82,0.83,0.82,141600,0.0,1.25,2.5,0.02,0.09
PENN Entertainment Inc,PENN,2001-02-09,0.82,0.83,0.84,0.81,75600,0.0,3.66,1.22,0.01,0.05
PENN Entertainment Inc,PENN,2001-02-12,0.83,0.84,0.85,0.83,35600,0.0,2.41,1.2,0.01,0.02
PENN Entertainment Inc,PENN,2001-02-13,0.83,0.88,0.88,0.81,99600,0.0,8.33,4.76,0.04,0.07
PENN Entertainment Inc,PENN,2001-02-14,0.89,0.88,0.95,0.84,322000,0.0,12.5,0.0,0.0,0.21
PENN Entertainment Inc,PENN,2001-02-15,0.89,0.89,0.9,0.87,64800,0.0,3.41,1.14,0.01,0.04
PENN Entertainment Inc,PENN,2001-02-16,0.9,0.9,0.9,0.89,65600,0.0,1.12,1.12,0.01,0.04
PENN Entertainment Inc,PENN,2001-02-20,0.9,0.84,0.9,0.81,198000,0.0,10.0,-6.67,-0.06,0.13
PENN Entertainment Inc,PENN,2001-02-21,0.83,0.86,0.86,0.83,118800,0.0,3.57,2.38,0.02,0.08
PENN Entertainment Inc,PENN,2001-02-22,0.86,0.86,0.88,0.83,112400,0.0,5.81,0.0,0.0,0.07
PENN Entertainment Inc,PENN,2001-02-23,0.86,0.84,0.88,0.82,856400,0.0,6.98,-2.33,-0.02,0.57
PENN Entertainment Inc,PENN,2001-02-26,0.86,0.9,0.92,0.83,71200,0.0,10.71,7.14,0.06,0.05
PENN Entertainment Inc,PENN,2001-02-27,0.92,0.92,0.92,0.88,134800,0.0,4.44,2.22,0.02,0.09
PENN Entertainment Inc,PENN,2001-02-28,0.92,0.93,0.93,0.91,157600,0.0,2.17,1.09,0.01,0.1
PENN Entertainment Inc,PENN,2001-03-01,0.91,0.94,0.95,0.91,543600,0.0,4.3,1.08,0.01,0.36
PENN Entertainment Inc,PENN,2001-03-02,0.94,0.92,0.94,0.92,468800,0.0,2.13,-2.13,-0.02,0.31
PENN Entertainment Inc,PENN,2001-03-05,0.93,0.93,0.94,0.9,90400,0.0,4.35,1.09,0.01,0.06
PENN Entertainment Inc,PENN,2001-03-06,0.92,0.91,0.93,0.91,20000,0.0,2.15,-2.15,-0.02,0.01
PENN Entertainment Inc,PENN,2001-03-07,0.9,0.89,0.92,0.89,55600,0.0,3.3,-2.2,-0.02,0.04
PENN Entertainment Inc,PENN,2001-03-08,0.91,0.9,0.91,0.88,50800,0.0,3.37,1.12,0.01,0.03
PENN Entertainment Inc,PENN,2001-03-09,0.89,0.89,0.9,0.88,168400,0.0,2.22,-1.11,-0.01,0.11
PENN Entertainment Inc,PENN,2001-03-12,0.88,0.88,0.89,0.88,100800,0.0,1.12,-1.12,-0.01,0.07
PENN Entertainment Inc,PENN,2001-03-13,0.87,0.89,0.89,0.87,197600,0.0,2.27,1.14,0.01,0.13
PENN Entertainment Inc,PENN,2001-03-14,0.86,0.84,0.89,0.83,178400,0.0,6.74,-5.62,-0.05,0.12
PENN Entertainment Inc,PENN,2001-03-15,0.85,0.83,0.85,0.83,85600,0.0,2.38,-1.19,-0.01,0.06
PENN Entertainment Inc,PENN,2001-03-16,0.83,0.81,0.83,0.77,103200,0.0,7.23,-2.41,-0.02,0.07
PENN Entertainment Inc,PENN,2001-03-19,0.77,0.79,0.8,0.77,47200,0.0,3.7,-2.47,-0.02,0.03
PENN Entertainment Inc,PENN,2001-03-20,0.78,0.78,0.8,0.77,22800,0.0,3.8,-1.27,-0.01,0.02
PENN Entertainment Inc,PENN,2001-03-21,0.77,0.71,0.8,0.71,76800,0.0,11.54,-8.97,-0.07,0.05
PENN Entertainment Inc,PENN,2001-03-22,0.71,0.67,0.72,0.63,72000,0.0,12.68,-5.63,-0.04,0.05
PENN Entertainment Inc,PENN,2001-03-23,0.69,0.76,0.76,0.67,105600,0.0,13.43,13.43,0.09,0.07
PENN Entertainment Inc,PENN,2001-03-26,0.75,0.77,0.79,0.75,50000,0.0,5.26,1.32,0.01,0.03
PENN Entertainment Inc,PENN,2001-03-27,0.79,0.84,0.84,0.77,149600,0.0,9.09,9.09,0.07,0.1
PENN Entertainment Inc,PENN,2001-03-28,0.84,0.8,0.85,0.78,119200,0.0,8.33,-4.76,-0.04,0.08
PENN Entertainment Inc,PENN,2001-03-29,0.8,0.77,0.81,0.77,117600,0.0,5.0,-3.75,-0.03,0.08
PENN Entertainment Inc,PENN,2001-03-30,0.77,0.78,0.79,0.77,5200,0.0,2.6,1.3,0.01,0.0
PENN Entertainment Inc,PENN,2001-04-02,0.77,0.74,0.77,0.74,47200,0.0,3.85,-5.13,-0.04,0.03
PENN Entertainment Inc,PENN,2001-04-03,0.7,0.7,0.73,0.68,158800,0.0,6.76,-5.41,-0.04,0.11
PENN Entertainment Inc,PENN,2001-04-04,0.7,0.7,0.73,0.69,63600,0.0,5.71,0.0,0.0,0.04
PENN Entertainment Inc,PENN,2001-04-05,0.71,0.72,0.72,0.7,154400,0.0,2.86,2.86,0.02,0.1
PENN Entertainment Inc,PENN,2001-04-06,0.73,0.81,0.85,0.72,152400,0.0,18.06,12.5,0.09,0.1
PENN Entertainment Inc,PENN,2001-04-09,0.8,0.78,0.8,0.78,284800,0.0,2.47,-3.7,-0.03,0.19
PENN Entertainment Inc,PENN,2001-04-10,0.78,0.8,0.8,0.73,65600,0.0,8.97,2.56,0.02,0.04
PENN Entertainment Inc,PENN,2001-04-11,0.8,0.8,0.8,0.8,3600,0.0,0.0,0.0,0.0,0.0
PENN Entertainment Inc,PENN,2001-04-12,0.81,0.81,0.81,0.77,51600,0.0,5.0,1.25,0.01,0.03
PENN Entertainment Inc,PENN,2001-04-16,0.81,0.8,0.82,0.8,19600,0.0,2.47,-1.23,-0.01,0.01
PENN Entertainment Inc,PENN,2001-04-17,0.8,0.82,0.82,0.79,139600,0.0,3.75,2.5,0.02,0.09
PENN Entertainment Inc,PENN,2001-04-18,0.81,0.83,0.83,0.8,150400,0.0,3.66,1.22,0.01,0.1
PENN Entertainment Inc,PENN,2001-04-19,0.83,0.76,0.83,0.75,348400,0.0,9.64,-8.43,-0.07,0.23
PENN Entertainment Inc,PENN,2001-04-20,0.76,0.75,0.76,0.73,385600,0.0,3.95,-1.32,-0.01,0.26
PENN Entertainment Inc,PENN,2001-04-23,0.78,0.84,0.85,0.77,1351600,0.0,10.67,12.0,0.09,0.89
PENN Entertainment Inc,PENN,2001-04-24,0.85,0.95,0.97,0.85,1198000,0.0,14.29,13.1,0.11,0.79
PENN Entertainment Inc,PENN,2001-04-25,0.94,1.03,1.06,0.94,964800,0.0,12.63,8.42,0.08,0.64
PENN Entertainment Inc,PENN,2001-04-26,1.06,1.06,1.07,1.04,793200,0.0,2.91,2.91,0.03,0.52
PENN Entertainment Inc,PENN,2001-04-27,1.06,1.02,1.06,1.0,328800,0.0,5.66,-3.77,-0.04,0.22
PENN Entertainment Inc,PENN,2001-04-30,1.02,1.02,1.05,1.01,656800,0.0,3.92,0.0,0.0,0.43
PENN Entertainment Inc,PENN,2001-05-01,1.03,1.02,1.03,1.0,190000,0.0,2.94,0.0,0.0,0.13
PENN Entertainment Inc,PENN,2001-05-02,1.02,1.03,1.04,1.01,375200,0.0,2.94,0.98,0.01,0.25
PENN Entertainment Inc,PENN,2001-05-03,1.03,1.03,1.04,1.02,224800,0.0,1.94,0.0,0.0,0.15
PENN Entertainment Inc,PENN,2001-05-04,1.03,1.03,1.04,1.01,598800,0.0,2.91,0.0,0.0,0.4
PENN Entertainment Inc,PENN,2001-05-07,1.03,1.0,1.05,0.97,176400,0.0,7.77,-2.91,-0.03,0.12
PENN Entertainment Inc,PENN,2001-05-08,1.04,1.13,1.16,1.02,4323200,0.0,14.0,13.0,0.13,2.86
PENN Entertainment Inc,PENN,2001-05-09,1.17,1.24,1.25,1.14,4324400,0.0,9.73,9.73,0.11,2.86
PENN Entertainment Inc,PENN,2001-05-10,1.28,1.2,1.29,1.19,1608400,0.0,8.06,-3.23,-0.04,1.06
PENN Entertainment Inc,PENN,2001-05-11,1.21,1.16,1.21,1.12,1190800,0.0,7.5,-3.33,-0.04,0.79
PENN Entertainment Inc,PENN,2001-05-14,1.17,1.18,1.18,1.15,854000,0.0,2.59,1.72,0.02,0.56
PENN Entertainment Inc,PENN,2001-05-15,1.17,1.13,1.2,1.13,740000,0.0,5.93,-4.24,-0.05,0.49
PENN Entertainment Inc,PENN,2001-05-16,1.13,1.18,1.19,1.13,1321600,0.0,5.31,4.42,0.05,0.87
PENN Entertainment Inc,PENN,2001-05-17,1.19,1.21,1.23,1.19,1059600,0.0,3.39,2.54,0.03,0.7
PENN Entertainment Inc,PENN,2001-05-18,1.21,1.21,1.23,1.19,421200,0.0,3.31,0.0,0.0,0.28
PENN Entertainment Inc,PENN,2001-05-21,1.24,1.37,1.39,1.23,4233600,0.0,13.22,13.22,0.16,2.8
PENN Entertainment Inc,PENN,2001-05-22,1.5,1.37,1.5,1.28,3243600,0.0,16.06,0.0,0.0,2.15
PENN Entertainment Inc,PENN,2001-05-23,1.37,1.32,1.41,1.32,1324800,0.0,6.57,-3.65,-0.05,0.88
PENN Entertainment Inc,PENN,2001-05-24,1.32,1.31,1.39,1.3,741200,0.0,6.82,-0.76,-0.01,0.49
PENN Entertainment Inc,PENN,2001-05-25,1.29,1.34,1.36,1.29,654000,0.0,5.34,2.29,0.03,0.43
PENN Entertainment Inc,PENN,2001-05-29,1.34,1.21,1.39,1.16,2140000,0.0,17.16,-9.7,-0.13,1.42
PENN Entertainment Inc,PENN,2001-05-30,1.03,1.19,1.22,1.02,2108000,0.0,16.53,-1.65,-0.02,1.39
