股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
苹果,AAPL,2000-01-03,-6.81,-6.75,-6.75,-6.84,19144400,0.0,-1.32,1.17,0.08,0.12
苹果,AAPL,2000-01-04,-6.78,-6.83,-6.76,-6.85,18310000,0.0,-1.33,-1.19,-0.08,0.12
苹果,AAPL,2000-01-05,-6.82,-6.82,-6.76,-6.83,27818000,0.0,-1.02,0.15,0.01,0.18
苹果,AAPL,2000-01-06,-6.8,-6.9,-6.79,-6.9,27443200,0.0,-1.61,-1.17,-0.08,0.18
苹果,AAPL,2000-01-07,-6.89,-6.86,-6.85,-6.9,16463200,0.0,-0.72,0.58,0.04,0.11
苹果,AAPL,2000-01-10,-6.84,-6.88,-6.84,-6.9,18059200,0.0,-0.87,-0.29,-0.02,0.12
苹果,AAPL,2000-01-11,-6.89,-6.92,-6.86,-6.94,15775200,0.0,-1.16,-0.58,-0.04,0.1
苹果,AAPL,2000-01-12,-6.9,-6.97,-6.9,-6.98,34870800,0.0,-1.16,-0.72,-0.05,0.23
苹果,AAPL,2000-01-13,-6.91,-6.89,-6.87,-6.92,36882400,0.0,-0.72,1.15,0.08,0.24
苹果,AAPL,2000-01-14,-6.86,-6.85,-6.84,-6.86,13954400,0.0,-0.29,0.58,0.04,0.09
苹果,AAPL,2000-01-18,-6.85,-6.82,-6.8,-6.85,16421200,0.0,-0.73,0.44,0.03,0.11
苹果,AAPL,2000-01-19,-6.81,-6.8,-6.78,-6.83,21358000,0.0,-0.73,0.29,0.02,0.14
苹果,AAPL,2000-01-20,-6.72,-6.74,-6.66,-6.74,65418800,0.0,-1.18,0.88,0.06,0.42
苹果,AAPL,2000-01-21,-6.73,-6.76,-6.73,-6.77,17729200,0.0,-0.59,-0.3,-0.02,0.11
苹果,AAPL,2000-01-24,-6.78,-6.8,-6.74,-6.81,15760000,0.0,-1.04,-0.59,-0.04,0.1
苹果,AAPL,2000-01-25,-6.81,-6.75,-6.74,-6.84,17775200,0.0,-1.47,0.74,0.05,0.11
苹果,AAPL,2000-01-26,-6.77,-6.77,-6.73,-6.77,13131200,0.0,-0.59,-0.3,-0.02,0.08
苹果,AAPL,2000-01-27,-6.78,-6.77,-6.74,-6.79,12163600,0.0,-0.74,0.0,0.0,0.08
苹果,AAPL,2000-01-28,-6.78,-6.84,-6.76,-6.85,15142000,0.0,-1.33,-1.03,-0.07,0.1
苹果,AAPL,2000-01-31,-6.85,-6.82,-6.82,-6.91,25071200,0.0,-1.32,0.29,0.02,0.16
苹果,AAPL,2000-02-01,-6.82,-6.85,-6.81,-6.86,11380000,0.0,-0.73,-0.44,-0.03,0.07
苹果,AAPL,2000-02-02,-6.85,-6.87,-6.84,-6.88,16588800,0.0,-0.58,-0.29,-0.02,0.11
苹果,AAPL,2000-02-03,-6.85,-6.83,-6.82,-6.85,16977600,0.0,-0.44,0.58,0.04,0.11
苹果,AAPL,2000-02-04,-6.82,-6.79,-6.77,-6.82,15206800,0.0,-0.73,0.59,0.04,0.1
苹果,AAPL,2000-02-07,-6.79,-6.73,-6.73,-6.8,15770800,0.0,-1.03,0.88,0.06,0.1
苹果,AAPL,2000-02-08,-6.73,-6.72,-6.71,-6.76,14613600,0.0,-0.74,0.15,0.01,0.09
苹果,AAPL,2000-02-09,-6.73,-6.74,-6.7,-6.75,10698000,0.0,-0.74,-0.3,-0.02,0.07
苹果,AAPL,2000-02-10,-6.74,-6.74,-6.73,-6.77,10832400,0.0,-0.59,0.0,0.0,0.07
苹果,AAPL,2000-02-11,-6.74,-6.78,-6.73,-6.78,7592000,0.0,-0.74,-0.59,-0.04,0.05
苹果,AAPL,2000-02-14,-6.77,-6.72,-6.72,-6.78,13130000,0.0,-0.88,0.88,0.06,0.08
苹果,AAPL,2000-02-15,-6.72,-6.69,-6.68,-6.72,17363600,0.0,-0.6,0.45,0.03,0.11
苹果,AAPL,2000-02-16,-6.7,-6.73,-6.7,-6.75,13525200,0.0,-0.75,-0.6,-0.04,0.09
