股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
派克汉尼汾,PH,2000-01-03,-12.54,-14.2,-12.54,-14.41,593400,0.0,-14.91,-13.24,-1.66,0.53
派克汉尼汾,PH,2000-01-04,-14.2,-15.49,-13.91,-15.49,217600,0.0,-11.13,-9.08,-1.29,0.19
派克汉尼汾,PH,2000-01-05,-15.32,-15.49,-14.91,-15.66,420900,0.0,-4.84,0.0,0.0,0.38
派克汉尼汾,PH,2000-01-06,-15.4,-14.91,-14.91,-15.99,1203400,0.0,-6.97,3.74,0.58,1.08
派克汉尼汾,PH,2000-01-07,-12.08,-12.0,-10.76,-12.25,2630100,0.0,-9.99,19.52,2.91,2.35
派克汉尼汾,PH,2000-01-10,-12.0,-12.42,-11.13,-12.92,774900,0.0,-14.92,-3.5,-0.42,0.69
派克汉尼汾,PH,2000-01-11,-12.58,-13.29,-12.21,-13.42,523500,0.0,-9.74,-7.0,-0.87,0.47
派克汉尼汾,PH,2000-01-12,-13.12,-12.84,-12.62,-13.16,1079000,0.0,-4.06,3.39,0.45,0.96
派克汉尼汾,PH,2000-01-13,-12.79,-13.25,-12.79,-13.54,551600,0.0,-5.84,-3.19,-0.41,0.49
派克汉尼汾,PH,2000-01-14,-13.16,-13.66,-13.16,-14.33,741200,0.0,-8.83,-3.09,-0.41,0.66
派克汉尼汾,PH,2000-01-18,-14.08,-15.62,-13.96,-16.36,1312800,0.0,-17.57,-14.35,-1.96,1.17
派克汉尼汾,PH,2000-01-19,-16.07,-14.82,-14.82,-16.24,899200,0.0,-9.09,5.12,0.8,0.8
派克汉尼汾,PH,2000-01-20,-14.08,-15.03,-14.08,-15.2,862800,0.0,-7.56,-1.42,-0.21,0.77
派克汉尼汾,PH,2000-01-21,-15.03,-15.57,-14.74,-16.07,755200,0.0,-8.85,-3.59,-0.54,0.67
派克汉尼汾,PH,2000-01-24,-15.53,-17.19,-15.53,-17.32,783900,0.0,-11.5,-10.4,-1.62,0.7
派克汉尼汾,PH,2000-01-25,-17.15,-17.98,-17.06,-18.23,556000,0.0,-6.81,-4.6,-0.79,0.5
派克汉尼汾,PH,2000-01-26,-17.86,-17.36,-16.98,-18.85,1097700,0.0,-10.4,3.45,0.62,0.98
派克汉尼汾,PH,2000-01-27,-17.4,-17.48,-16.74,-17.73,442500,0.0,-5.7,-0.69,-0.12,0.4
派克汉尼汾,PH,2000-01-28,-17.65,-18.6,-17.65,-18.72,567200,0.0,-6.12,-6.41,-1.12,0.51
派克汉尼汾,PH,2000-01-31,-18.64,-17.9,-17.65,-18.93,387900,0.0,-6.88,3.76,0.7,0.35
派克汉尼汾,PH,2000-02-01,-17.98,-17.32,-17.11,-17.98,705400,0.0,-4.86,3.24,0.58,0.63
派克汉尼汾,PH,2000-02-02,-17.32,-18.02,-16.9,-18.23,306200,0.0,-7.68,-4.04,-0.7,0.27
派克汉尼汾,PH,2000-02-03,-17.94,-18.35,-17.69,-18.81,320400,0.0,-6.22,-1.83,-0.33,0.29
派克汉尼汾,PH,2000-02-04,-18.18,-18.77,-18.06,-19.1,404400,0.0,-5.67,-2.29,-0.42,0.36
派克汉尼汾,PH,2000-02-07,-18.72,-19.43,-18.44,-19.89,653200,0.0,-7.73,-3.52,-0.66,0.58
派克汉尼汾,PH,2000-02-08,-19.43,-19.43,-18.56,-19.43,587700,0.0,-4.48,0.0,0.0,0.53
派克汉尼汾,PH,2000-02-09,-19.3,-20.92,-19.26,-21.26,1052100,0.0,-10.29,-7.67,-1.49,0.94
派克汉尼汾,PH,2000-02-10,-20.59,-21.5,-20.55,-21.63,828600,0.0,-5.16,-2.77,-0.58,0.74
派克汉尼汾,PH,2000-02-11,-21.5,-23.04,-21.5,-23.12,843300,0.0,-7.53,-7.16,-1.54,0.75
派克汉尼汾,PH,2000-02-14,-22.88,-21.26,-20.84,-22.96,763600,0.0,-9.2,7.73,1.78,0.68
派克汉尼汾,PH,2000-02-15,-21.09,-18.93,-18.77,-21.09,1480000,0.0,-10.91,10.96,2.33,1.32
派克汉尼汾,PH,2000-02-16,-19.06,-18.77,-17.81,-19.06,1201000,0.0,-6.6,0.85,0.16,1.07
派克汉尼汾,PH,2000-02-17,-18.6,-19.72,-18.6,-20.06,483900,0.0,-7.78,-5.06,-0.95,0.43
派克汉尼汾,PH,2000-02-18,-19.22,-19.26,-18.44,-19.35,797000,0.0,-4.61,2.33,0.46,0.71
派克汉尼汾,PH,2000-02-22,-19.5,-18.96,-18.75,-19.5,776600,0.0,-3.89,1.56,0.3,0.69
派克汉尼汾,PH,2000-02-24,-19.66,-21.54,-19.66,-21.83,771900,0.0,-11.45,-13.61,-2.58,0.69
派克汉尼汾,PH,2000-02-25,-21.37,-23.62,-21.0,-23.75,1359900,0.0,-12.77,-9.66,-2.08,1.22
