股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
普得集团(帕尔迪),PHM,2000-01-03,0.11,-0.24,0.11,-0.49,923600,0.0,545.45,-318.18,-0.35,0.43
普得集团(帕尔迪),PHM,2000-01-04,-0.3,-0.49,-0.3,-0.52,196400,0.0,-91.67,-104.17,-0.25,0.09
普得集团(帕尔迪),PHM,2000-01-05,-0.49,-0.58,-0.46,-0.63,1044800,0.0,-34.69,-18.37,-0.09,0.48
普得集团(帕尔迪),PHM,2000-01-06,-0.57,-0.61,-0.57,-0.66,469200,0.0,-15.52,-5.17,-0.03,0.22
普得集团(帕尔迪),PHM,2000-01-07,-0.64,-0.53,-0.49,-0.64,509600,0.0,-24.59,13.11,0.08,0.24
普得集团(帕尔迪),PHM,2000-01-10,-0.57,-0.63,-0.5,-0.63,1116400,0.0,-24.53,-18.87,-0.1,0.52
普得集团(帕尔迪),PHM,2000-01-11,-0.58,-0.83,-0.55,-0.89,1533200,0.0,-53.97,-31.75,-0.2,0.71
普得集团(帕尔迪),PHM,2000-01-12,-0.77,-0.99,-0.77,-1.05,1540400,0.0,-33.73,-19.28,-0.16,0.71
普得集团(帕尔迪),PHM,2000-01-13,-0.97,-0.77,-0.77,-0.97,1454800,0.0,-20.2,22.22,0.22,0.67
普得集团(帕尔迪),PHM,2000-01-14,-0.71,-0.8,-0.67,-0.91,692800,0.0,-31.17,-3.9,-0.03,0.32
普得集团(帕尔迪),PHM,2000-01-18,-0.83,-0.85,-0.82,-0.88,354400,0.0,-7.5,-6.25,-0.05,0.16
普得集团(帕尔迪),PHM,2000-01-19,-0.82,-1.03,-0.82,-1.06,973600,0.0,-28.24,-21.18,-0.18,0.45
普得集团(帕尔迪),PHM,2000-01-20,-1.02,-0.99,-0.91,-1.19,1896800,0.0,-27.18,3.88,0.04,0.88
普得集团(帕尔迪),PHM,2000-01-21,-0.71,-0.92,-0.67,-0.99,1245200,0.0,-32.32,7.07,0.07,0.58
普得集团(帕尔迪),PHM,2000-01-24,-0.89,-1.05,-0.82,-1.1,1358800,0.0,-30.43,-14.13,-0.13,0.63
普得集团(帕尔迪),PHM,2000-01-25,-0.99,-1.27,-0.99,-1.33,1631600,0.0,-32.38,-20.95,-0.22,0.76
普得集团(帕尔迪),PHM,2000-01-26,-1.22,-1.16,-1.1,-1.24,2785600,0.0,-11.02,8.66,0.11,1.29
普得集团(帕尔迪),PHM,2000-01-27,-1.14,-1.03,-1.02,-1.17,1858800,0.0,-12.93,11.21,0.13,0.86
普得集团(帕尔迪),PHM,2000-01-28,-1.0,-1.08,-0.96,-1.08,1246400,0.0,-11.65,-4.85,-0.05,0.58
普得集团(帕尔迪),PHM,2000-01-31,-1.03,-1.16,-1.03,-1.19,1228000,0.0,-14.81,-7.41,-0.08,0.57
普得集团(帕尔迪),PHM,2000-02-01,-1.11,-1.22,-1.08,-1.24,798800,0.0,-13.79,-5.17,-0.06,0.37
普得集团(帕尔迪),PHM,2000-02-02,-1.16,-1.27,-1.16,-1.28,1172400,0.0,-9.84,-4.1,-0.05,0.54
普得集团(帕尔迪),PHM,2000-02-03,-1.2,-1.2,-1.16,-1.27,999600,0.0,-8.66,5.51,0.07,0.46
普得集团(帕尔迪),PHM,2000-02-04,-1.19,-1.2,-1.13,-1.25,4247200,0.0,-10.0,0.0,0.0,1.97
普得集团(帕尔迪),PHM,2000-02-07,-1.2,-1.38,-1.19,-1.41,1506400,0.0,-18.33,-15.0,-0.18,0.7
普得集团(帕尔迪),PHM,2000-02-08,-1.27,-1.06,-1.0,-1.28,1397600,0.0,-20.29,23.19,0.32,0.65
普得集团(帕尔迪),PHM,2000-02-09,-1.08,-1.1,-1.05,-1.14,860400,0.0,-8.49,-3.77,-0.04,0.4
普得集团(帕尔迪),PHM,2000-02-10,-1.1,-1.16,-1.03,-1.19,937200,0.0,-14.55,-5.45,-0.06,0.43
普得集团(帕尔迪),PHM,2000-02-11,-1.16,-1.11,-1.03,-1.17,785200,0.0,-12.07,4.31,0.05,0.36
普得集团(帕尔迪),PHM,2000-02-14,-1.1,-1.13,-1.06,-1.14,664800,0.0,-7.21,-1.8,-0.02,0.31
普得集团(帕尔迪),PHM,2000-02-15,-1.16,-0.89,-0.74,-1.16,1352400,0.0,-37.17,21.24,0.24,0.63
普得集团(帕尔迪),PHM,2000-02-16,-0.89,-1.1,-0.89,-1.13,676000,0.0,-26.97,-23.6,-0.21,0.31
普得集团(帕尔迪),PHM,2000-02-17,-1.05,-1.1,-0.96,-1.13,1258400,0.0,-15.45,0.0,0.0,0.58
普得集团(帕尔迪),PHM,2000-02-18,-1.11,-1.08,-1.08,-1.3,796000,0.0,-20.0,1.82,0.02,0.37
普得集团(帕尔迪),PHM,2000-02-22,-1.11,-1.19,-1.02,-1.2,324400,0.0,-16.67,-10.19,-0.11,0.15
普得集团(帕尔迪),PHM,2000-02-24,-1.2,-1.31,-1.14,-1.38,634800,0.0,-20.17,-10.08,-0.12,0.29
普得集团(帕尔迪),PHM,2000-02-25,-1.33,-1.47,-1.28,-1.49,810800,0.0,-16.03,-12.21,-0.16,0.38
普得集团(帕尔迪),PHM,2000-02-28,-1.52,-1.42,-1.41,-1.52,594400,0.0,-7.48,3.4,0.05,0.28
普得集团(帕尔迪),PHM,2000-02-29,-1.38,-1.31,-1.22,-1.44,741200,0.0,-15.49,7.75,0.11,0.34
普得集团(帕尔迪),PHM,2000-03-01,-1.31,-1.25,-1.19,-1.38,714400,0.0,-14.5,4.58,0.06,0.33
普得集团(帕尔迪),PHM,2000-03-02,-1.25,-1.36,-1.24,-1.52,1325600,0.0,-22.4,-8.8,-0.11,0.61
普得集团(帕尔迪),PHM,2000-03-03,-1.31,-1.39,-1.27,-1.47,523600,0.0,-14.71,-2.21,-0.03,0.24
普得集团(帕尔迪),PHM,2000-03-06,-1.39,-1.47,-1.34,-1.49,433600,0.0,-10.79,-5.76,-0.08,0.2
普得集团(帕尔迪),PHM,2000-03-07,-1.44,-1.53,-1.42,-1.61,606000,0.0,-12.93,-4.08,-0.06,0.28
