股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美国包装,PKG,2001-01-02,-25.41,-25.85,-25.35,-26.09,128400,0.0,-2.51,12.28,3.62,0.12
美国包装,PKG,2001-01-03,-25.85,-25.72,-25.41,-25.97,85300,0.0,-2.17,0.5,0.13,0.08
美国包装,PKG,2001-01-04,-25.72,-25.16,-25.16,-26.09,302000,0.0,-3.62,2.18,0.56,0.28
美国包装,PKG,2001-01-05,-25.09,-25.78,-24.97,-26.22,222000,0.0,-4.97,-2.46,-0.62,0.21
美国包装,PKG,2001-01-08,-25.66,-25.47,-25.47,-25.72,124800,0.0,-0.97,1.2,0.31,0.12
美国包装,PKG,2001-01-09,-25.35,-25.78,-25.35,-25.97,125200,0.0,-2.43,-1.22,-0.31,0.12
美国包装,PKG,2001-01-10,-25.97,-26.47,-25.97,-26.47,192200,0.0,-1.94,-2.68,-0.69,0.18
美国包装,PKG,2001-01-11,-26.35,-27.16,-26.22,-27.41,193000,0.0,-4.5,-2.61,-0.69,0.18
美国包装,PKG,2001-01-12,-27.22,-27.35,-27.16,-27.85,287000,0.0,-2.54,-0.7,-0.19,0.27
美国包装,PKG,2001-01-16,-27.22,-26.97,-26.47,-27.66,301500,0.0,-4.35,1.39,0.38,0.28
美国包装,PKG,2001-01-17,-26.97,-27.28,-26.91,-27.97,351300,0.0,-3.93,-1.15,-0.31,0.33
美国包装,PKG,2001-01-18,-27.35,-27.47,-27.09,-27.59,133000,0.0,-1.83,-0.7,-0.19,0.13
美国包装,PKG,2001-01-19,-27.59,-27.97,-27.35,-28.16,199700,0.0,-2.95,-1.82,-0.5,0.19
美国包装,PKG,2001-01-22,-27.85,-28.09,-27.41,-28.59,219700,0.0,-4.22,-0.43,-0.12,0.21
美国包装,PKG,2001-01-23,-28.22,-27.22,-26.97,-28.22,513900,0.0,-4.45,3.1,0.87,0.48
美国包装,PKG,2001-01-24,-27.16,-27.35,-27.16,-27.85,266800,0.0,-2.53,-0.48,-0.13,0.25
美国包装,PKG,2001-01-25,-27.41,-27.16,-26.97,-27.53,246400,0.0,-2.05,0.69,0.19,0.23
美国包装,PKG,2001-01-26,-27.22,-27.28,-27.16,-27.35,360400,0.0,-0.7,-0.44,-0.12,0.34
美国包装,PKG,2001-01-29,-27.37,-27.67,-27.37,-27.79,507600,0.0,-1.54,-1.43,-0.39,0.48
美国包装,PKG,2001-01-30,-27.67,-27.47,-27.47,-27.72,278600,0.0,-0.9,0.72,0.2,0.26
美国包装,PKG,2001-01-31,-27.47,-27.37,-26.98,-27.47,285700,0.0,-1.78,0.36,0.1,0.27
美国包装,PKG,2001-02-01,-27.27,-27.43,-27.02,-27.47,137200,0.0,-1.64,-0.22,-0.06,0.13
美国包装,PKG,2001-02-02,-27.43,-27.42,-27.17,-27.43,136100,0.0,-0.95,0.04,0.01,0.13
美国包装,PKG,2001-02-05,-27.37,-27.27,-27.07,-27.47,117000,0.0,-1.46,0.55,0.15,0.11
美国包装,PKG,2001-02-06,-27.27,-27.12,-27.04,-27.32,124900,0.0,-1.03,0.55,0.15,0.12
美国包装,PKG,2001-02-07,-27.17,-27.27,-27.17,-27.35,98900,0.0,-0.66,-0.55,-0.15,0.09
美国包装,PKG,2001-02-08,-27.27,-27.28,-27.02,-27.31,100800,0.0,-1.06,-0.04,-0.01,0.09
美国包装,PKG,2001-02-09,-27.3,-27.25,-27.17,-27.36,209000,0.0,-0.7,0.11,0.03,0.2
美国包装,PKG,2001-02-12,-27.32,-27.29,-27.27,-27.65,161000,0.0,-1.39,-0.15,-0.04,0.15
美国包装,PKG,2001-02-13,-27.29,-27.25,-27.25,-27.47,118600,0.0,-0.81,0.15,0.04,0.11
美国包装,PKG,2001-02-14,-27.57,-27.34,-27.29,-27.57,120300,0.0,-1.03,-0.33,-0.09,0.11
美国包装,PKG,2001-02-15,-27.37,-27.23,-27.22,-27.4,94600,0.0,-0.66,0.4,0.11,0.09
美国包装,PKG,2001-02-16,-27.27,-27.37,-27.23,-27.43,61000,0.0,-0.73,-0.51,-0.14,0.06
美国包装,PKG,2001-02-20,-27.32,-27.45,-27.24,-27.47,49400,0.0,-0.84,-0.29,-0.08,0.05
美国包装,PKG,2001-02-21,-27.35,-27.52,-27.35,-27.61,106200,0.0,-0.95,-0.26,-0.07,0.1
美国包装,PKG,2001-02-22,-27.47,-27.87,-27.47,-27.87,151300,0.0,-1.45,-1.27,-0.35,0.14
美国包装,PKG,2001-02-23,-27.82,-27.59,-27.53,-27.92,88400,0.0,-1.4,1.0,0.28,0.08
美国包装,PKG,2001-02-26,-27.58,-26.97,-26.87,-27.58,285000,0.0,-2.57,2.25,0.62,0.27
美国包装,PKG,2001-02-27,-27.22,-27.16,-27.04,-27.27,170500,0.0,-0.85,-0.7,-0.19,0.16
美国包装,PKG,2001-02-28,-27.22,-26.97,-26.97,-27.57,332400,0.0,-2.21,0.7,0.19,0.31
美国包装,PKG,2001-03-01,-26.97,-27.09,-26.97,-27.52,65900,0.0,-2.04,-0.44,-0.12,0.06
美国包装,PKG,2001-03-02,-27.19,-26.97,-26.97,-27.22,156900,0.0,-0.92,0.44,0.12,0.15
美国包装,PKG,2001-03-05,-27.07,-26.49,-26.48,-27.07,171200,0.0,-2.19,1.78,0.48,0.16
美国包装,PKG,2001-03-06,-26.49,-26.67,-26.49,-26.82,126200,0.0,-1.25,-0.68,-0.18,0.12
美国包装,PKG,2001-03-07,-26.74,-26.56,-26.52,-26.87,188600,0.0,-1.31,0.41,0.11,0.18
美国包装,PKG,2001-03-08,-26.56,-26.77,-26.56,-26.9,146600,0.0,-1.28,-0.79,-0.21,0.14
美国包装,PKG,2001-03-09,-26.85,-26.73,-26.65,-26.87,93100,0.0,-0.82,0.15,0.04,0.09
美国包装,PKG,2001-03-12,-27.07,-27.18,-26.79,-27.19,46600,0.0,-1.5,-1.68,-0.45,0.04
美国包装,PKG,2001-03-13,-27.22,-27.84,-27.22,-28.47,130700,0.0,-4.6,-2.43,-0.66,0.12
美国包装,PKG,2001-03-14,-27.84,-27.74,-27.41,-27.84,109200,0.0,-1.54,0.36,0.1,0.1
美国包装,PKG,2001-03-15,-27.74,-28.27,-27.47,-28.27,98400,0.0,-2.88,-1.91,-0.53,0.09
美国包装,PKG,2001-03-16,-28.12,-27.97,-27.77,-28.26,109500,0.0,-1.73,1.06,0.3,0.1
美国包装,PKG,2001-03-19,-27.97,-27.87,-27.81,-28.17,62800,0.0,-1.29,0.36,0.1,0.06
美国包装,PKG,2001-03-20,-27.87,-28.09,-27.64,-28.09,86700,0.0,-1.61,-0.79,-0.22,0.08
美国包装,PKG,2001-03-21,-28.07,-28.17,-27.97,-28.31,58400,0.0,-1.21,-0.28,-0.08,0.05
美国包装,PKG,2001-03-22,-28.37,-28.47,-28.29,-28.72,277200,0.0,-1.53,-1.06,-0.3,0.26
美国包装,PKG,2001-03-23,-28.47,-28.42,-28.39,-28.82,272200,0.0,-1.51,0.18,0.05,0.26
美国包装,PKG,2001-03-26,-28.42,-27.62,-27.47,-28.43,121700,0.0,-3.38,2.81,0.8,0.11
美国包装,PKG,2001-03-27,-27.72,-27.52,-27.4,-28.15,148900,0.0,-2.72,0.36,0.1,0.14
美国包装,PKG,2001-03-28,-27.51,-27.66,-27.47,-28.28,109300,0.0,-2.94,-0.51,-0.14,0.1
美国包装,PKG,2001-03-29,-27.62,-27.82,-27.47,-28.02,143300,0.0,-1.99,-0.58,-0.16,0.13
美国包装,PKG,2001-03-30,-27.77,-28.27,-27.69,-28.32,229600,0.0,-2.26,-1.62,-0.45,0.22
美国包装,PKG,2001-04-02,-28.37,-28.02,-27.97,-28.45,195200,0.0,-1.7,0.88,0.25,0.18
美国包装,PKG,2001-04-03,-28.03,-28.02,-27.97,-28.55,180100,0.0,-2.07,0.0,0.0,0.17
美国包装,PKG,2001-04-04,-28.01,-28.07,-28.01,-28.62,224600,0.0,-2.18,-0.18,-0.05,0.21
美国包装,PKG,2001-04-05,-28.07,-27.57,-27.57,-28.22,121000,0.0,-2.32,1.78,0.5,0.11
美国包装,PKG,2001-04-06,-27.67,-27.77,-27.67,-28.1,33400,0.0,-1.56,-0.73,-0.2,0.03
美国包装,PKG,2001-04-09,-27.87,-27.71,-27.54,-27.87,151300,0.0,-1.19,0.22,0.06,0.14
美国包装,PKG,2001-04-10,-27.7,-27.57,-27.48,-27.7,108300,0.0,-0.79,0.51,0.14,0.1
美国包装,PKG,2001-04-11,-27.49,-27.49,-27.47,-27.71,68900,0.0,-0.87,0.29,0.08,0.06
美国包装,PKG,2001-04-12,-27.49,-27.77,-27.49,-27.97,64800,0.0,-1.75,-1.02,-0.28,0.06
美国包装,PKG,2001-04-16,-27.77,-26.82,-26.6,-27.77,309900,0.0,-4.21,3.42,0.95,0.29
美国包装,PKG,2001-04-17,-26.82,-26.99,-26.82,-27.27,109600,0.0,-1.68,-0.63,-0.17,0.1
美国包装,PKG,2001-04-18,-26.99,-27.42,-26.82,-27.42,5695500,0.0,-2.22,-1.59,-0.43,5.36
美国包装,PKG,2001-04-19,-27.39,-27.29,-27.17,-27.4,342000,0.0,-0.84,0.47,0.13,0.32
美国包装,PKG,2001-04-20,-27.28,-27.37,-27.07,-27.45,455200,0.0,-1.39,-0.29,-0.08,0.43
美国包装,PKG,2001-04-23,-27.32,-27.29,-27.08,-27.42,468400,0.0,-1.24,0.29,0.08,0.44
美国包装,PKG,2001-04-24,-27.25,-27.53,-27.25,-27.72,350400,0.0,-1.72,-0.88,-0.24,0.33
美国包装,PKG,2001-04-25,-27.52,-27.77,-27.47,-27.87,808500,0.0,-1.45,-0.87,-0.24,0.76
美国包装,PKG,2001-04-26,-27.67,-27.72,-27.67,-27.92,377900,0.0,-0.9,0.18,0.05,0.36
美国包装,PKG,2001-04-27,-27.67,-27.55,-27.37,-27.92,532100,0.0,-1.98,0.61,0.17,0.5
