股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Tompkins Financial Corp,TMP,2001-01-02,-17.4,-17.57,-17.4,-17.57,4290,0.0,0.0,0.0,0.0,0.06
Tompkins Financial Corp,TMP,2001-01-03,-17.74,-17.57,-17.57,-17.74,4290,0.0,-0.97,0.0,0.0,0.06
Tompkins Financial Corp,TMP,2001-01-04,-17.74,-17.91,-17.74,-17.91,6381,0.0,-0.97,-1.94,-0.34,0.09
Tompkins Financial Corp,TMP,2001-01-05,-18.08,-17.91,-17.91,-18.08,1650,0.0,-0.95,0.0,0.0,0.02
Tompkins Financial Corp,TMP,2001-01-08,-18.08,-18.08,-18.08,-18.08,329,0.0,0.0,-0.95,-0.17,0.0
Tompkins Financial Corp,TMP,2001-01-09,-18.08,-17.87,-17.87,-18.08,1540,0.0,-1.16,1.16,0.21,0.02
Tompkins Financial Corp,TMP,2001-01-10,-18.08,-18.08,-17.91,-18.08,1870,0.0,-0.95,-1.18,-0.21,0.03
Tompkins Financial Corp,TMP,2001-01-11,-17.91,-17.83,-17.83,-17.91,1100,0.0,-0.44,1.38,0.25,0.02
Tompkins Financial Corp,TMP,2001-01-12,-17.74,-17.74,-17.74,-17.74,1430,0.0,0.0,0.5,0.09,0.02
Tompkins Financial Corp,TMP,2001-01-16,-17.74,-17.91,-17.66,-17.91,5830,0.0,-1.41,-0.96,-0.17,0.08
Tompkins Financial Corp,TMP,2001-01-17,-17.74,-17.91,-17.4,-17.91,21670,0.0,-2.85,0.0,0.0,0.3
Tompkins Financial Corp,TMP,2001-01-19,-17.91,-17.91,-17.91,-17.91,2089,0.0,0.0,0.0,0.0,0.03
Tompkins Financial Corp,TMP,2001-01-22,-17.91,-17.91,-17.91,-17.91,441,0.0,0.0,0.0,0.0,0.01
Tompkins Financial Corp,TMP,2001-01-23,-17.74,-17.4,-17.4,-17.74,7151,0.0,-1.9,2.85,0.51,0.1
Tompkins Financial Corp,TMP,2001-01-24,-17.4,-17.57,-17.32,-17.57,2420,0.0,-1.44,-0.98,-0.17,0.03
