股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
滨特尔,PNR,2001-01-02,-7.42,-8.2,-7.36,-8.39,403600,0.0,0.0,0.0,0.0,0.83
滨特尔,PNR,2001-01-03,-8.14,-7.83,-7.61,-8.33,445000,0.0,-8.78,4.51,0.37,0.91
滨特尔,PNR,2001-01-04,-7.89,-7.77,-7.58,-8.02,469000,0.0,-5.62,0.77,0.06,0.96
滨特尔,PNR,2001-01-05,-7.89,-8.2,-7.86,-8.24,429000,0.0,-4.89,-5.53,-0.43,0.88
滨特尔,PNR,2001-01-08,-8.2,-8.33,-8.08,-8.64,315400,0.0,-6.83,-1.59,-0.13,0.65
滨特尔,PNR,2001-01-09,-8.33,-8.24,-8.05,-8.39,646000,0.0,-4.08,1.08,0.09,1.33
滨特尔,PNR,2001-01-10,-8.24,-8.02,-7.86,-8.49,357000,0.0,-7.65,2.67,0.22,0.73
滨特尔,PNR,2001-01-11,-7.96,-7.77,-7.74,-8.08,448800,0.0,-4.24,3.12,0.25,0.92
滨特尔,PNR,2001-01-12,-7.64,-7.7,-7.64,-7.83,232400,0.0,-2.45,0.9,0.07,0.48
滨特尔,PNR,2001-01-16,-7.58,-8.17,-7.52,-8.33,1103400,0.0,-10.52,-6.1,-0.47,2.27
滨特尔,PNR,2001-01-17,-8.08,-7.89,-7.86,-8.08,487000,0.0,-2.69,3.43,0.28,1.0
滨特尔,PNR,2001-01-18,-7.89,-8.11,-7.58,-8.14,724800,0.0,-7.1,-2.79,-0.22,1.49
滨特尔,PNR,2001-01-19,-7.99,-7.42,-7.27,-7.99,841400,0.0,-8.88,8.51,0.69,1.73
滨特尔,PNR,2001-01-22,-7.55,-6.74,-6.46,-7.58,1746200,0.0,-15.09,9.16,0.68,3.58
滨特尔,PNR,2001-01-23,-6.7,-6.89,-6.7,-7.14,407200,0.0,-6.53,-2.23,-0.15,0.84
滨特尔,PNR,2001-01-24,-6.66,-5.94,-5.53,-6.66,1435800,0.0,-16.4,13.79,0.95,2.95
滨特尔,PNR,2001-01-25,-5.94,-6.0,-5.91,-6.19,364200,0.0,-4.71,-1.01,-0.06,0.75
滨特尔,PNR,2001-01-26,-6.1,-6.13,-5.94,-6.25,190400,0.0,-5.17,-2.17,-0.13,0.39
滨特尔,PNR,2001-01-29,-6.13,-5.79,-5.48,-6.26,602800,0.0,-12.72,5.55,0.34,1.24
滨特尔,PNR,2001-01-30,-5.76,-5.79,-5.41,-5.87,832000,0.0,-7.94,0.0,0.0,1.71
滨特尔,PNR,2001-01-31,-5.63,-5.54,-5.06,-5.63,280400,0.0,-9.84,4.32,0.25,0.58
滨特尔,PNR,2001-02-01,-5.31,-4.9,-4.33,-5.39,1626400,0.0,-19.13,11.55,0.64,3.34
滨特尔,PNR,2001-02-02,-4.89,-5.46,-4.89,-5.66,393200,0.0,-15.71,-11.43,-0.56,0.81
滨特尔,PNR,2001-02-05,-5.45,-5.59,-5.13,-5.59,536800,0.0,-8.42,-2.38,-0.13,1.1
滨特尔,PNR,2001-02-06,-5.47,-5.13,-5.01,-5.49,441400,0.0,-8.59,8.23,0.46,0.91
滨特尔,PNR,2001-02-07,-5.13,-5.12,-4.96,-5.15,373000,0.0,-3.7,0.19,0.01,0.77
滨特尔,PNR,2001-02-08,-5.16,-4.87,-4.81,-5.16,153800,0.0,-6.84,4.88,0.25,0.32
滨特尔,PNR,2001-02-09,-4.87,-5.16,-4.87,-5.31,507400,0.0,-9.03,-5.95,-0.29,1.04
滨特尔,PNR,2001-02-12,-5.29,-5.16,-5.06,-5.42,545400,0.0,-6.98,0.0,0.0,1.12
滨特尔,PNR,2001-02-13,-4.97,-4.85,-4.67,-4.97,487000,0.0,-5.81,6.01,0.31,1.0
滨特尔,PNR,2001-02-14,-4.81,-5.21,-4.81,-5.26,383600,0.0,-9.28,-7.42,-0.36,0.79
滨特尔,PNR,2001-02-15,-5.21,-5.17,-5.01,-5.29,613000,0.0,-5.37,0.77,0.04,1.26
滨特尔,PNR,2001-02-16,-5.17,-5.16,-5.16,-5.31,219000,0.0,-2.9,0.19,0.01,0.45
滨特尔,PNR,2001-02-20,-5.16,-5.01,-4.81,-5.25,350400,0.0,-8.53,2.91,0.15,0.72
滨特尔,PNR,2001-02-21,-4.99,-5.27,-4.93,-5.41,253200,0.0,-9.58,-5.19,-0.26,0.52
滨特尔,PNR,2001-02-22,-5.43,-5.71,-5.33,-5.91,339600,0.0,-11.01,-8.35,-0.44,0.7
滨特尔,PNR,2001-02-23,-5.66,-5.91,-5.64,-6.19,200200,0.0,-9.63,-3.5,-0.2,0.41
滨特尔,PNR,2001-02-26,-5.89,-5.77,-5.73,-6.09,389600,0.0,-6.09,2.37,0.14,0.8
滨特尔,PNR,2001-02-27,-5.71,-5.79,-5.71,-5.91,515600,0.0,-3.47,-0.35,-0.02,1.05
滨特尔,PNR,2001-02-28,-5.29,-5.56,-5.29,-5.89,473200,0.0,-10.36,3.97,0.23,0.97
滨特尔,PNR,2001-03-01,-5.43,-5.64,-5.43,-5.79,553400,0.0,-6.47,-1.44,-0.08,1.13
滨特尔,PNR,2001-03-02,-5.56,-5.26,-4.63,-5.56,742600,0.0,-16.49,6.74,0.38,1.52
滨特尔,PNR,2001-03-05,-5.26,-4.89,-4.57,-5.26,2052000,0.0,-13.12,7.03,0.37,4.19
滨特尔,PNR,2001-03-06,-4.83,-4.66,-4.58,-4.86,952000,0.0,-5.73,4.7,0.23,1.94
滨特尔,PNR,2001-03-07,-4.63,-4.49,-4.33,-4.66,897000,0.0,-7.08,3.65,0.17,1.83
滨特尔,PNR,2001-03-08,-4.31,-4.13,-4.0,-4.41,288600,0.0,-9.13,8.02,0.36,0.59
滨特尔,PNR,2001-03-09,-4.11,-4.29,-4.11,-4.41,455400,0.0,-7.26,-3.87,-0.16,0.93
滨特尔,PNR,2001-03-12,-4.41,-5.23,-4.41,-5.31,400400,0.0,-20.98,-21.91,-0.94,0.82
滨特尔,PNR,2001-03-13,-5.39,-5.09,-5.03,-5.64,597400,0.0,-11.66,2.68,0.14,1.22
滨特尔,PNR,2001-03-14,-5.26,-5.43,-5.26,-5.61,354800,0.0,-6.88,-6.68,-0.34,0.72
滨特尔,PNR,2001-03-15,-5.43,-5.77,-5.26,-5.81,502200,0.0,-10.13,-6.26,-0.34,1.02
滨特尔,PNR,2001-03-16,-5.69,-5.92,-5.66,-5.96,344200,0.0,-5.2,-2.6,-0.15,0.7
滨特尔,PNR,2001-03-19,-5.92,-6.04,-5.92,-6.21,429600,0.0,-4.9,-2.03,-0.12,0.88
滨特尔,PNR,2001-03-20,-5.89,-5.75,-5.31,-5.91,356000,0.0,-9.93,4.8,0.29,0.73
滨特尔,PNR,2001-03-21,-5.83,-7.03,-5.83,-7.09,569800,0.0,-21.91,-22.26,-1.28,1.16
滨特尔,PNR,2001-03-22,-6.99,-7.54,-6.93,-8.01,708400,0.0,-15.36,-7.25,-0.51,1.45
滨特尔,PNR,2001-03-23,-7.21,-7.06,-7.05,-7.33,424200,0.0,-3.71,6.37,0.48,0.87
滨特尔,PNR,2001-03-26,-6.75,-6.84,-6.68,-6.96,735200,0.0,-3.97,3.12,0.22,1.5
滨特尔,PNR,2001-03-27,-6.65,-6.26,-6.26,-6.89,509200,0.0,-9.21,8.48,0.58,1.04
滨特尔,PNR,2001-03-28,-6.27,-6.66,-6.27,-6.71,531000,0.0,-7.03,-6.39,-0.4,1.08
滨特尔,PNR,2001-03-29,-6.66,-6.43,-6.28,-6.83,542600,0.0,-8.26,3.45,0.23,1.11
