股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
品尼高西方资本,PNW,2000-01-03,-25.95,-26.51,-25.95,-26.88,246300,0.0,-3.62,-3.11,-0.8,0.29
品尼高西方资本,PNW,2000-01-04,-26.69,-26.14,-26.14,-26.69,347800,0.0,-2.07,1.4,0.37,0.41
品尼高西方资本,PNW,2000-01-05,-26.39,-25.33,-25.03,-26.39,453000,0.0,-5.2,3.1,0.81,0.53
品尼高西方资本,PNW,2000-01-06,-25.46,-25.15,-25.09,-25.46,139300,0.0,-1.46,0.71,0.18,0.16
品尼高西方资本,PNW,2000-01-07,-25.15,-24.28,-24.22,-25.4,303300,0.0,-4.69,3.46,0.87,0.36
品尼高西方资本,PNW,2000-01-10,-24.53,-24.72,-24.41,-24.9,178800,0.0,-2.02,-1.81,-0.44,0.21
品尼高西方资本,PNW,2000-01-11,-24.72,-25.03,-24.59,-25.4,150800,0.0,-3.28,-1.25,-0.31,0.18
品尼高西方资本,PNW,2000-01-12,-25.15,-24.53,-24.28,-25.21,143500,0.0,-3.72,2.0,0.5,0.17
品尼高西方资本,PNW,2000-01-13,-24.53,-25.21,-24.53,-25.46,1107400,0.0,-3.79,-2.77,-0.68,1.31
品尼高西方资本,PNW,2000-01-14,-25.27,-25.4,-25.27,-25.64,204300,0.0,-1.47,-0.75,-0.19,0.24
品尼高西方资本,PNW,2000-01-18,-25.4,-26.14,-25.27,-26.26,348600,0.0,-3.9,-2.91,-0.74,0.41
品尼高西方资本,PNW,2000-01-19,-26.57,-25.21,-25.21,-26.57,208500,0.0,-5.2,3.56,0.93,0.25
品尼高西方资本,PNW,2000-01-20,-25.09,-25.89,-24.78,-25.95,326300,0.0,-4.64,-2.7,-0.68,0.38
品尼高西方资本,PNW,2000-01-21,-25.33,-25.4,-25.15,-25.77,233400,0.0,-2.39,1.89,0.49,0.28
品尼高西方资本,PNW,2000-01-24,-25.4,-24.59,-24.22,-25.58,520000,0.0,-5.35,3.19,0.81,0.61
品尼高西方资本,PNW,2000-01-25,-24.35,-25.95,-23.98,-26.2,519900,0.0,-9.03,-5.53,-1.36,0.61
品尼高西方资本,PNW,2000-01-26,-25.77,-25.4,-25.03,-26.01,308700,0.0,-3.78,2.12,0.55,0.36
