股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
PPG工业,PPG,2000-01-03,-1.93,-3.23,-1.93,-3.42,550000,0.0,-76.02,-64.8,-1.27,0.32
PPG工业,PPG,2000-01-04,-3.35,-4.25,-3.26,-4.32,589800,0.0,-32.82,-31.58,-1.02,0.34
PPG工业,PPG,2000-01-05,-4.22,-3.17,-3.11,-4.22,830200,0.0,-26.12,25.41,1.08,0.48
PPG工业,PPG,2000-01-06,-3.17,-1.74,-1.03,-3.17,1075700,0.0,-67.51,45.11,1.43,0.62
PPG工业,PPG,2000-01-07,-1.52,-1.18,-1.0,-1.62,812300,0.0,-35.63,32.18,0.56,0.47
PPG工业,PPG,2000-01-10,-1.31,-2.18,-1.31,-2.33,572700,0.0,-86.44,-84.75,-1.0,0.33
PPG工业,PPG,2000-01-11,-2.3,-2.3,-2.18,-2.76,559300,0.0,-26.61,-5.5,-0.12,0.32
PPG工业,PPG,2000-01-12,-2.3,-1.83,-1.43,-2.3,581600,0.0,-37.83,20.43,0.47,0.33
PPG工业,PPG,2000-01-13,-1.74,-1.06,-0.72,-1.8,847200,0.0,-59.02,42.08,0.77,0.49
PPG工业,PPG,2000-01-14,-1.12,-1.74,-1.0,-2.05,957800,0.0,-99.06,-64.15,-0.68,0.55
PPG工业,PPG,2000-01-18,-2.18,-2.49,-1.87,-2.49,809900,0.0,-35.63,-43.1,-0.75,0.47
PPG工业,PPG,2000-01-19,-2.8,-3.07,-2.52,-3.54,791300,0.0,-40.96,-23.29,-0.58,0.45
PPG工业,PPG,2000-01-20,-2.95,-4.28,-2.95,-4.47,435100,0.0,-49.51,-39.41,-1.21,0.25
PPG工业,PPG,2000-01-21,-4.16,-3.91,-3.57,-4.66,766500,0.0,-25.47,8.64,0.37,0.44
PPG工业,PPG,2000-01-24,-3.66,-4.22,-3.48,-4.41,564600,0.0,-23.79,-7.93,-0.31,0.32
PPG工业,PPG,2000-01-25,-4.1,-4.94,-3.82,-5.46,854300,0.0,-38.86,-17.06,-0.72,0.49
PPG工业,PPG,2000-01-26,-4.84,-4.5,-4.16,-4.97,861500,0.0,-16.4,8.91,0.44,0.5
PPG工业,PPG,2000-01-27,-4.22,-4.16,-3.82,-4.32,759800,0.0,-11.11,7.56,0.34,0.44
PPG工业,PPG,2000-01-28,-4.25,-4.87,-4.25,-5.83,563100,0.0,-37.98,-17.07,-0.71,0.32
PPG工业,PPG,2000-01-31,-4.84,-5.68,-4.75,-5.8,558400,0.0,-21.56,-16.63,-0.81,0.32
PPG工业,PPG,2000-02-01,-5.56,-5.18,-5.09,-5.65,590100,0.0,-9.86,8.8,0.5,0.34
PPG工业,PPG,2000-02-02,-5.34,-5.68,-5.31,-5.9,270500,0.0,-11.39,-9.65,-0.5,0.16
PPG工业,PPG,2000-02-03,-5.68,-5.83,-5.59,-6.14,313600,0.0,-9.68,-2.64,-0.15,0.18
PPG工业,PPG,2000-02-04,-5.68,-6.18,-5.68,-6.27,400400,0.0,-10.12,-6.0,-0.35,0.23
PPG工业,PPG,2000-02-07,-6.14,-7.04,-6.14,-7.2,663700,0.0,-17.15,-13.92,-0.86,0.38
PPG工业,PPG,2000-02-08,-6.95,-7.26,-6.83,-7.39,418500,0.0,-7.95,-3.13,-0.22,0.24
PPG工业,PPG,2000-02-09,-7.45,-7.7,-7.26,-7.7,591600,0.0,-6.06,-6.06,-0.44,0.34
PPG工业,PPG,2000-02-10,-7.45,-7.94,-7.39,-8.13,505300,0.0,-9.61,-3.12,-0.24,0.29
PPG工业,PPG,2000-02-11,-7.82,-8.87,-7.76,-9.09,700900,0.0,-16.75,-11.71,-0.93,0.4
PPG工业,PPG,2000-02-14,-8.63,-7.88,-7.88,-9.03,793800,0.0,-12.97,11.16,0.99,0.46
PPG工业,PPG,2000-02-15,-7.88,-6.95,-6.8,-8.01,697100,0.0,-15.36,11.8,0.93,0.4
PPG工业,PPG,2000-02-16,-6.46,-6.8,-6.46,-7.11,543400,0.0,-9.35,2.16,0.15,0.31
PPG工业,PPG,2000-02-17,-6.3,-6.55,-6.05,-6.93,595900,0.0,-12.94,3.68,0.25,0.34
PPG工业,PPG,2000-02-18,-6.65,-7.27,-6.65,-7.49,463700,0.0,-12.82,-10.99,-0.72,0.27
PPG工业,PPG,2000-02-22,-7.27,-6.49,-6.02,-7.27,359400,0.0,-17.19,10.73,0.78,0.21
PPG工业,PPG,2000-02-24,-6.24,-7.68,-6.24,-7.96,661600,0.0,-26.5,-18.34,-1.19,0.38
PPG工业,PPG,2000-02-25,-7.65,-8.27,-7.65,-8.52,694800,0.0,-11.33,-7.68,-0.59,0.4
PPG工业,PPG,2000-02-28,-8.15,-8.27,-7.68,-8.49,782900,0.0,-9.79,0.0,0.0,0.45
PPG工业,PPG,2000-02-29,-8.3,-8.12,-8.12,-8.71,694300,0.0,-7.13,1.81,0.15,0.4
PPG工业,PPG,2000-03-01,-8.24,-8.65,-8.24,-9.02,406300,0.0,-9.61,-6.53,-0.53,0.23
PPG工业,PPG,2000-03-02,-8.93,-9.24,-8.71,-9.49,288000,0.0,-9.02,-6.82,-0.59,0.17
PPG工业,PPG,2000-03-03,-9.21,-8.27,-7.49,-9.3,965200,0.0,-19.59,10.5,0.97,0.55
PPG工业,PPG,2000-03-06,-8.68,-8.8,-8.55,-9.4,493800,0.0,-10.28,-6.41,-0.53,0.28
PPG工业,PPG,2000-03-07,-9.18,-9.55,-8.99,-9.8,457100,0.0,-9.2,-8.52,-0.75,0.26
PPG工业,PPG,2000-03-08,-9.8,-9.77,-9.46,-9.99,581400,0.0,-5.55,-2.3,-0.22,0.33
PPG工业,PPG,2000-03-09,-9.99,-10.02,-9.86,-10.61,484800,0.0,-7.68,-2.56,-0.25,0.28
PPG工业,PPG,2000-03-10,-9.99,-9.46,-9.21,-10.24,389700,0.0,-10.28,5.59,0.56,0.22
PPG工业,PPG,2000-03-13,-9.8,-9.83,-9.46,-10.24,368100,0.0,-8.25,-3.91,-0.37,0.21
PPG工业,PPG,2000-03-14,-9.74,-9.8,-9.33,-10.02,344900,0.0,-7.02,0.31,0.03,0.2
PPG工业,PPG,2000-03-15,-10.05,-7.71,-7.61,-10.18,714500,0.0,-26.22,21.33,2.09,0.41
PPG工业,PPG,2000-03-16,-7.83,-6.4,-6.4,-7.86,713500,0.0,-18.94,16.99,1.31,0.41
PPG工业,PPG,2000-03-17,-7.18,-7.77,-7.02,-7.99,626000,0.0,-15.16,-21.41,-1.37,0.36
PPG工业,PPG,2000-03-20,-7.68,-7.27,-6.8,-7.68,382500,0.0,-11.33,6.44,0.5,0.22
PPG工业,PPG,2000-03-21,-7.3,-6.71,-6.36,-7.49,495400,0.0,-15.54,7.7,0.56,0.28
PPG工业,PPG,2000-03-22,-6.83,-7.9,-6.83,-8.05,429000,0.0,-18.18,-17.73,-1.19,0.25
PPG工业,PPG,2000-03-23,-8.3,-7.61,-7.4,-8.46,502300,0.0,-13.42,3.67,0.29,0.29
PPG工业,PPG,2000-03-24,-7.49,-7.52,-7.3,-7.77,472300,0.0,-6.18,1.18,0.09,0.27
PPG工业,PPG,2000-03-27,-7.68,-8.05,-7.58,-8.18,274200,0.0,-7.98,-7.05,-0.53,0.16
PPG工业,PPG,2000-03-28,-8.3,-7.93,-7.21,-8.3,458500,0.0,-13.54,1.49,0.12,0.26
PPG工业,PPG,2000-03-29,-8.55,-7.37,-7.21,-8.55,393700,0.0,-16.9,7.06,0.56,0.23
