股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
PPL能源,PPL,2000-01-03,-18.15,-18.52,-18.12,-18.56,1548600,0.0,-2.42,-1.87,-0.34,1.08
PPL能源,PPL,2000-01-04,-18.46,-18.24,-17.99,-18.46,912800,0.0,-2.54,1.51,0.28,0.64
PPL能源,PPL,2000-01-05,-18.24,-17.99,-17.77,-18.27,850400,0.0,-2.74,1.37,0.25,0.59
PPL能源,PPL,2000-01-06,-17.93,-18.15,-17.87,-18.24,656400,0.0,-2.06,-0.89,-0.16,0.46
PPL能源,PPL,2000-01-07,-18.02,-17.93,-17.81,-18.06,471400,0.0,-1.38,1.21,0.22,0.33
PPL能源,PPL,2000-01-10,-17.96,-18.06,-17.71,-18.09,440000,0.0,-2.12,-0.73,-0.13,0.31
PPL能源,PPL,2000-01-11,-17.96,-18.15,-17.74,-18.24,648600,0.0,-2.77,-0.5,-0.09,0.45
PPL能源,PPL,2000-01-12,-18.18,-18.09,-17.96,-18.18,564800,0.0,-1.21,0.33,0.06,0.39
PPL能源,PPL,2000-01-13,-18.06,-18.02,-17.74,-18.06,621600,0.0,-1.77,0.39,0.07,0.43
PPL能源,PPL,2000-01-14,-17.93,-18.09,-17.84,-18.15,687600,0.0,-1.72,-0.39,-0.07,0.48
PPL能源,PPL,2000-01-18,-18.15,-18.18,-18.09,-18.4,756400,0.0,-1.71,-0.5,-0.09,0.53
PPL能源,PPL,2000-01-19,-18.18,-18.12,-17.99,-18.21,661600,0.0,-1.21,0.33,0.06,0.46
PPL能源,PPL,2000-01-20,-18.12,-18.06,-17.96,-18.12,497800,0.0,-0.88,0.33,0.06,0.35
PPL能源,PPL,2000-01-21,-17.84,-17.81,-17.62,-17.93,1027000,0.0,-1.72,1.38,0.25,0.71
PPL能源,PPL,2000-01-24,-17.81,-17.87,-17.71,-17.96,1057800,0.0,-1.4,-0.34,-0.06,0.74
PPL能源,PPL,2000-01-25,-17.93,-18.21,-17.84,-18.27,667600,0.0,-2.41,-1.9,-0.34,0.46
PPL能源,PPL,2000-01-26,-18.21,-18.31,-18.02,-18.31,918400,0.0,-1.59,-0.55,-0.1,0.64
PPL能源,PPL,2000-01-27,-18.18,-18.02,-17.84,-18.18,967800,0.0,-1.86,1.58,0.29,0.67
PPL能源,PPL,2000-01-28,-18.12,-18.52,-18.09,-18.59,793800,0.0,-2.77,-2.77,-0.5,0.55
PPL能源,PPL,2000-01-31,-18.12,-18.02,-17.93,-18.27,776600,0.0,-1.84,2.7,0.5,0.54
PPL能源,PPL,2000-02-01,-17.99,-18.09,-17.99,-18.15,471600,0.0,-0.89,-0.39,-0.07,0.33
PPL能源,PPL,2000-02-02,-18.18,-18.09,-18.02,-18.21,367800,0.0,-1.05,0.0,0.0,0.26
PPL能源,PPL,2000-02-03,-18.18,-17.87,-17.84,-18.24,808000,0.0,-2.21,1.22,0.22,0.56
PPL能源,PPL,2000-02-04,-17.96,-18.4,-17.9,-18.56,442600,0.0,-3.69,-2.97,-0.53,0.31
PPL能源,PPL,2000-02-07,-18.37,-18.49,-18.24,-18.52,390800,0.0,-1.52,-0.49,-0.09,0.27
PPL能源,PPL,2000-02-08,-18.43,-18.46,-18.15,-18.49,372200,0.0,-1.84,0.16,0.03,0.26
PPL能源,PPL,2000-02-09,-18.52,-18.56,-18.37,-18.84,631200,0.0,-2.55,-0.54,-0.1,0.44
PPL能源,PPL,2000-02-10,-18.59,-18.59,-18.46,-18.77,564400,0.0,-1.67,-0.16,-0.03,0.39
PPL能源,PPL,2000-02-11,-18.65,-18.71,-18.62,-18.84,315200,0.0,-1.18,-0.65,-0.12,0.22
PPL能源,PPL,2000-02-14,-18.65,-18.56,-18.43,-18.68,539800,0.0,-1.34,0.8,0.15,0.38
PPL能源,PPL,2000-02-15,-18.43,-18.37,-18.24,-18.43,641800,0.0,-1.02,1.02,0.19,0.45
PPL能源,PPL,2000-02-16,-18.4,-18.56,-18.37,-18.71,465400,0.0,-1.85,-1.03,-0.19,0.32
PPL能源,PPL,2000-02-17,-18.56,-18.74,-18.56,-18.87,532600,0.0,-1.67,-0.97,-0.18,0.37
PPL能源,PPL,2000-02-18,-18.87,-19.09,-18.84,-19.15,642200,0.0,-1.65,-1.87,-0.35,0.45
PPL能源,PPL,2000-02-22,-19.02,-19.12,-18.9,-19.15,237800,0.0,-1.31,-0.16,-0.03,0.17
PPL能源,PPL,2000-02-23,-19.12,-19.31,-19.12,-19.37,302200,0.0,-1.31,-0.99,-0.19,0.21
PPL能源,PPL,2000-02-24,-19.21,-19.46,-19.21,-19.96,648600,0.0,-3.88,-0.78,-0.15,0.45
PPL能源,PPL,2000-02-25,-19.62,-19.65,-19.34,-19.71,634800,0.0,-1.9,-0.98,-0.19,0.44
PPL能源,PPL,2000-02-28,-19.81,-19.46,-19.4,-19.81,646400,0.0,-2.09,0.97,0.19,0.45
PPL能源,PPL,2000-02-29,-19.43,-19.56,-19.43,-19.74,472000,0.0,-1.59,-0.51,-0.1,0.33
PPL能源,PPL,2000-03-01,-19.65,-19.52,-19.43,-19.71,513800,0.0,-1.43,0.2,0.04,0.36
PPL能源,PPL,2000-03-02,-19.52,-19.46,-19.43,-19.65,598200,0.0,-1.13,0.31,0.06,0.42
PPL能源,PPL,2000-03-03,-19.46,-19.34,-19.27,-19.52,218400,0.0,-1.28,0.62,0.12,0.15
PPL能源,PPL,2000-03-06,-19.49,-19.84,-19.46,-19.87,374400,0.0,-2.12,-2.59,-0.5,0.26
