股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
PTC Inc,PTC,2014-01-10,34.98,35.31,35.32,34.47,439569,0.0,0.0,0.0,0.0,0.37
PTC Inc,PTC,2014-12-31,36.99,36.64,37.28,36.63,461405,0.0,1.84,3.77,1.33,0.4
PTC Inc,PTC,2015-01-02,36.87,36.35,36.98,36.01,557917,0.0,2.65,-0.79,-0.29,0.48
PTC Inc,PTC,2015-01-05,36.08,35.36,36.39,35.26,855214,0.0,3.11,-2.72,-0.99,0.74
PTC Inc,PTC,2015-01-06,35.54,35.07,35.89,34.85,1251600,0.0,2.94,-0.82,-0.29,1.09
PTC Inc,PTC,2015-01-07,35.38,35.22,35.38,34.99,697698,0.0,1.11,0.43,0.15,0.61
PTC Inc,PTC,2015-01-08,35.44,35.75,36.09,35.43,687665,0.0,1.87,1.5,0.53,0.6
PTC Inc,PTC,2015-01-09,35.89,35.62,36.01,35.31,520579,0.0,1.96,-0.36,-0.13,0.45
PTC Inc,PTC,2015-01-12,35.5,34.71,35.57,34.64,594193,0.0,2.61,-2.55,-0.91,0.52
PTC Inc,PTC,2015-01-13,34.93,34.25,35.25,33.93,652603,0.0,3.8,-1.33,-0.46,0.57
PTC Inc,PTC,2015-01-14,33.81,33.79,34.52,33.43,730294,0.0,3.18,-1.34,-0.46,0.64
PTC Inc,PTC,2015-01-15,34.0,33.54,34.21,33.27,690416,0.0,2.78,-0.74,-0.25,0.6
PTC Inc,PTC,2015-01-16,33.49,34.07,34.13,33.46,691818,0.0,2.0,1.58,0.53,0.6
PTC Inc,PTC,2015-01-20,34.23,34.18,34.35,33.72,448802,0.0,1.85,0.32,0.11,0.39
PTC Inc,PTC,2015-01-21,34.13,34.21,34.45,33.87,132733,0.0,1.7,0.09,0.03,0.12
PTC Inc,PTC,2015-01-22,34.27,34.96,34.98,33.9,795514,0.0,3.16,2.19,0.75,0.69
PTC Inc,PTC,2015-01-23,34.97,34.87,35.39,34.83,571737,0.0,1.6,-0.26,-0.09,0.5
PTC Inc,PTC,2015-01-26,34.93,34.92,35.13,34.51,681986,0.0,1.78,0.14,0.05,0.59
PTC Inc,PTC,2015-01-27,34.5,34.29,34.53,33.85,839362,0.0,1.95,-1.8,-0.63,0.73
PTC Inc,PTC,2015-01-28,34.81,32.9,35.09,32.86,1518547,0.0,6.5,-4.05,-1.39,1.32
PTC Inc,PTC,2015-01-29,31.58,33.99,34.16,31.15,1814451,0.0,9.15,3.31,1.09,1.58
PTC Inc,PTC,2015-01-30,33.75,33.41,34.04,32.86,1394190,0.0,3.47,-1.71,-0.58,1.21
PTC Inc,PTC,2015-02-02,33.47,33.46,33.86,32.8,905304,0.0,3.17,0.15,0.05,0.79
PTC Inc,PTC,2015-02-03,33.61,34.6,34.65,33.4,798366,0.0,3.74,3.41,1.14,0.69
PTC Inc,PTC,2015-02-04,34.56,34.25,34.9,34.19,731791,0.0,2.05,-1.01,-0.35,0.64
PTC Inc,PTC,2015-02-05,34.45,34.22,34.59,33.95,623739,0.0,1.87,-0.09,-0.03,0.54
PTC Inc,PTC,2015-02-06,34.25,33.94,34.4,33.77,632133,0.0,1.84,-0.82,-0.28,0.55
PTC Inc,PTC,2015-02-09,33.77,33.67,33.98,33.53,533435,0.0,1.33,-0.8,-0.27,0.46
PTC Inc,PTC,2015-02-10,34.01,34.06,34.44,33.55,1043540,0.0,2.64,1.16,0.39,0.91
PTC Inc,PTC,2015-02-11,34.08,33.73,34.25,33.59,500248,0.0,1.94,-0.97,-0.33,0.44
PTC Inc,PTC,2015-02-12,33.93,33.65,33.93,33.48,1270623,0.0,1.33,-0.24,-0.08,1.11
PTC Inc,PTC,2015-02-13,33.66,34.02,34.04,33.51,1206517,0.0,1.58,1.1,0.37,1.05
PTC Inc,PTC,2015-02-17,34.17,34.61,34.63,34.06,882845,0.0,1.68,1.73,0.59,0.77
PTC Inc,PTC,2015-02-18,34.62,34.77,35.12,34.57,555841,0.0,1.59,0.46,0.16,0.48
PTC Inc,PTC,2015-02-19,34.41,34.79,34.81,34.31,869906,0.0,1.44,0.06,0.02,0.76
PTC Inc,PTC,2015-02-20,34.82,34.93,34.98,34.5,595721,0.0,1.38,0.4,0.14,0.52
PTC Inc,PTC,2015-02-23,34.94,34.32,34.95,34.17,550006,0.0,2.23,-1.75,-0.61,0.48
PTC Inc,PTC,2015-02-24,34.03,34.45,34.63,33.85,1245078,0.0,2.27,0.38,0.13,1.08
PTC Inc,PTC,2015-02-25,34.53,34.17,34.53,34.04,756826,0.0,1.42,-0.81,-0.28,0.66
PTC Inc,PTC,2015-02-26,34.9,34.65,35.3,34.6,1572323,0.0,2.05,1.4,0.48,1.37
PTC Inc,PTC,2015-02-27,34.65,34.65,35.09,34.5,993964,0.0,1.7,0.0,0.0,0.86
PTC Inc,PTC,2015-03-02,34.75,34.5,35.08,34.26,933386,0.0,2.37,-0.43,-0.15,0.81
PTC Inc,PTC,2015-03-03,34.41,33.84,34.41,33.74,832747,0.0,1.94,-1.91,-0.66,0.72
PTC Inc,PTC,2015-03-04,33.68,33.63,33.81,33.39,621372,0.0,1.24,-0.62,-0.21,0.54
PTC Inc,PTC,2015-03-05,33.74,34.0,34.08,33.32,750070,0.0,2.26,1.1,0.37,0.65
PTC Inc,PTC,2015-03-06,33.88,33.52,33.99,33.35,448849,0.0,1.88,-1.41,-0.48,0.39
PTC Inc,PTC,2015-03-09,33.65,33.67,33.92,33.5,668822,0.0,1.25,0.45,0.15,0.58
PTC Inc,PTC,2015-03-10,33.48,32.88,33.48,32.87,713683,0.0,1.81,-2.35,-0.79,0.62
PTC Inc,PTC,2015-03-11,33.01,32.84,33.07,32.53,549969,0.0,1.64,-0.12,-0.04,0.48
PTC Inc,PTC,2015-03-12,32.95,32.86,33.07,32.73,535548,0.0,1.04,0.06,0.02,0.47
PTC Inc,PTC,2015-03-13,32.67,33.0,33.04,32.18,1253452,0.0,2.62,0.43,0.14,1.09
PTC Inc,PTC,2015-03-16,33.22,34.04,34.14,33.03,1116786,0.0,3.36,3.15,1.04,0.97
PTC Inc,PTC,2015-03-17,33.94,34.37,34.46,33.72,1101144,0.0,2.17,0.97,0.33,0.96
PTC Inc,PTC,2015-03-18,34.35,36.16,36.49,34.16,2455701,0.0,6.78,5.21,1.79,2.14
PTC Inc,PTC,2015-03-19,36.01,36.1,36.55,35.72,1637653,0.0,2.3,-0.17,-0.06,1.42
PTC Inc,PTC,2015-03-20,36.29,37.01,37.06,36.05,1321376,0.0,2.8,2.52,0.91,1.15
PTC Inc,PTC,2015-03-23,37.01,35.87,37.04,35.66,1381072,0.0,3.73,-3.08,-1.14,1.2
PTC Inc,PTC,2015-03-24,35.9,35.79,36.14,35.66,1344056,0.0,1.34,-0.22,-0.08,1.17
PTC Inc,PTC,2015-03-25,35.8,35.35,36.0,35.27,1528177,0.0,2.04,-1.23,-0.44,1.33
PTC Inc,PTC,2015-03-26,35.18,35.75,36.05,35.0,987406,0.0,2.97,1.13,0.4,0.86
PTC Inc,PTC,2015-03-27,35.69,36.04,36.13,35.63,1592972,0.0,1.4,0.81,0.29,1.39
PTC Inc,PTC,2015-03-30,36.35,36.09,36.74,36.05,802111,0.0,1.91,0.14,0.05,0.7
PTC Inc,PTC,2015-03-31,35.95,36.17,36.36,35.79,848545,0.0,1.58,0.22,0.08,0.74
PTC Inc,PTC,2015-04-01,36.13,36.16,36.2,35.72,700013,0.0,1.33,-0.03,-0.01,0.61
