股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
先锋自然资源,PXD,2000-01-03,-43.35,-43.47,-43.29,-43.66,149600,0.0,-0.86,-1.16,-0.5,0.06
先锋自然资源,PXD,2000-01-04,-43.53,-43.35,-43.35,-43.79,140100,0.0,-1.01,0.28,0.12,0.06
先锋自然资源,PXD,2000-01-05,-43.29,-43.6,-43.16,-43.79,199900,0.0,-1.45,-0.58,-0.25,0.09
先锋自然资源,PXD,2000-01-06,-43.6,-43.41,-43.16,-43.6,216200,0.0,-1.01,0.44,0.19,0.09
先锋自然资源,PXD,2000-01-07,-43.35,-43.16,-43.1,-43.41,164900,0.0,-0.71,0.58,0.25,0.07
先锋自然资源,PXD,2000-01-10,-43.29,-43.41,-43.29,-43.53,107300,0.0,-0.56,-0.58,-0.25,0.05
先锋自然资源,PXD,2000-01-11,-43.53,-43.29,-43.22,-43.6,80900,0.0,-0.88,0.28,0.12,0.03
先锋自然资源,PXD,2000-01-12,-43.29,-43.72,-43.22,-43.72,186600,0.0,-1.16,-0.99,-0.43,0.08
先锋自然资源,PXD,2000-01-13,-43.47,-43.47,-43.47,-43.6,153100,0.0,-0.3,0.57,0.25,0.07
先锋自然资源,PXD,2000-01-14,-43.53,-43.22,-43.1,-43.6,391900,0.0,-1.15,0.58,0.25,0.17
先锋自然资源,PXD,2000-01-18,-42.97,-42.6,-42.6,-43.22,449100,0.0,-1.43,1.43,0.62,0.19
先锋自然资源,PXD,2000-01-19,-42.53,-42.78,-42.29,-43.16,490600,0.0,-2.04,-0.42,-0.18,0.21
先锋自然资源,PXD,2000-01-20,-42.91,-42.91,-42.91,-43.22,279300,0.0,-0.72,-0.3,-0.13,0.12
先锋自然资源,PXD,2000-01-21,-42.91,-42.47,-42.47,-42.91,449000,0.0,-1.03,1.03,0.44,0.19
先锋自然资源,PXD,2000-01-24,-42.47,-42.41,-41.72,-42.47,390900,0.0,-1.77,0.14,0.06,0.17
先锋自然资源,PXD,2000-01-25,-42.29,-42.16,-42.03,-42.53,208800,0.0,-1.18,0.59,0.25,0.09
先锋自然资源,PXD,2000-01-26,-41.79,-42.1,-41.72,-42.1,331700,0.0,-0.9,0.14,0.06,0.14
先锋自然资源,PXD,2000-01-27,-42.1,-43.1,-42.03,-43.1,215000,0.0,-2.54,-2.38,-1.0,0.09
先锋自然资源,PXD,2000-01-28,-43.04,-43.29,-42.78,-43.29,190000,0.0,-1.18,-0.44,-0.19,0.08
先锋自然资源,PXD,2000-01-31,-43.29,-43.35,-43.1,-43.35,164200,0.0,-0.58,-0.14,-0.06,0.07
先锋自然资源,PXD,2000-02-01,-43.29,-42.97,-42.97,-43.47,134100,0.0,-1.15,0.88,0.38,0.06
先锋自然资源,PXD,2000-02-02,-42.91,-42.6,-42.41,-42.91,232100,0.0,-1.16,0.86,0.37,0.1
先锋自然资源,PXD,2000-02-03,-42.47,-42.91,-42.47,-43.16,137100,0.0,-1.62,-0.73,-0.31,0.06
先锋自然资源,PXD,2000-02-04,-42.78,-43.04,-42.66,-43.35,99400,0.0,-1.61,-0.3,-0.13,0.04
先锋自然资源,PXD,2000-02-07,-42.97,-43.22,-42.97,-43.6,133900,0.0,-1.46,-0.42,-0.18,0.06
先锋自然资源,PXD,2000-02-08,-43.22,-43.53,-43.22,-43.6,189200,0.0,-0.88,-0.72,-0.31,0.08
先锋自然资源,PXD,2000-02-09,-43.53,-43.79,-43.53,-43.79,108500,0.0,-0.6,-0.6,-0.26,0.05
先锋自然资源,PXD,2000-02-10,-43.85,-43.6,-43.53,-43.97,155800,0.0,-1.0,0.43,0.19,0.07
先锋自然资源,PXD,2000-02-11,-43.6,-43.79,-43.6,-43.91,154300,0.0,-0.71,-0.44,-0.19,0.07
先锋自然资源,PXD,2000-02-14,-43.91,-44.03,-43.85,-44.16,206900,0.0,-0.71,-0.55,-0.24,0.09
先锋自然资源,PXD,2000-02-15,-43.91,-43.85,-43.79,-44.16,665400,0.0,-0.84,0.41,0.18,0.28
先锋自然资源,PXD,2000-02-16,-43.91,-44.16,-43.91,-44.22,617200,0.0,-0.71,-0.71,-0.31,0.26
先锋自然资源,PXD,2000-02-17,-44.1,-44.22,-43.97,-44.41,211200,0.0,-1.0,-0.14,-0.06,0.09
先锋自然资源,PXD,2000-02-18,-44.16,-45.03,-44.1,-45.16,630400,0.0,-2.4,-1.83,-0.81,0.27
先锋自然资源,PXD,2000-02-22,-44.79,-44.47,-44.22,-44.85,411400,0.0,-1.4,1.24,0.56,0.18
先锋自然资源,PXD,2000-02-24,-44.35,-44.16,-44.16,-44.47,273800,0.0,-0.7,0.7,0.31,0.12
先锋自然资源,PXD,2000-02-25,-44.22,-44.47,-43.97,-44.54,210700,0.0,-1.29,-0.7,-0.31,0.09
先锋自然资源,PXD,2000-02-28,-44.66,-44.22,-44.16,-44.72,146600,0.0,-1.26,0.56,0.25,0.06
先锋自然资源,PXD,2000-02-29,-44.28,-43.6,-43.53,-44.41,363300,0.0,-1.99,1.4,0.62,0.16
先锋自然资源,PXD,2000-03-01,-43.72,-43.47,-42.91,-44.03,387800,0.0,-2.57,0.3,0.13,0.17
先锋自然资源,PXD,2000-03-02,-43.6,-43.16,-43.1,-43.66,385300,0.0,-1.29,0.71,0.31,0.16
先锋自然资源,PXD,2000-03-03,-43.22,-43.72,-43.16,-43.72,217400,0.0,-1.3,-1.3,-0.56,0.09
先锋自然资源,PXD,2000-03-06,-43.6,-43.53,-43.41,-43.72,200300,0.0,-0.71,0.43,0.19,0.09
先锋自然资源,PXD,2000-03-07,-43.6,-42.85,-42.35,-43.6,551500,0.0,-2.87,1.56,0.68,0.24
先锋自然资源,PXD,2000-03-08,-42.91,-42.78,-42.78,-43.22,383800,0.0,-1.03,0.16,0.07,0.16
先锋自然资源,PXD,2000-03-09,-42.78,-42.47,-42.41,-43.04,337800,0.0,-1.47,0.72,0.31,0.14
先锋自然资源,PXD,2000-03-10,-42.47,-42.97,-42.22,-42.97,184000,0.0,-1.77,-1.18,-0.5,0.08
先锋自然资源,PXD,2000-03-13,-42.72,-43.47,-42.72,-43.47,111500,0.0,-1.75,-1.16,-0.5,0.05
先锋自然资源,PXD,2000-03-14,-43.35,-43.16,-42.78,-43.35,205100,0.0,-1.31,0.71,0.31,0.09
先锋自然资源,PXD,2000-03-15,-43.16,-43.35,-42.97,-43.6,296100,0.0,-1.46,-0.44,-0.19,0.13
先锋自然资源,PXD,2000-03-16,-43.16,-42.66,-42.66,-43.35,218400,0.0,-1.59,1.59,0.69,0.09
先锋自然资源,PXD,2000-03-17,-43.29,-42.91,-42.66,-43.29,384900,0.0,-1.48,-0.59,-0.25,0.16
先锋自然资源,PXD,2000-03-20,-42.78,-43.1,-42.78,-43.35,190400,0.0,-1.33,-0.44,-0.19,0.08
先锋自然资源,PXD,2000-03-21,-43.1,-42.91,-42.78,-43.22,232400,0.0,-1.02,0.44,0.19,0.1
先锋自然资源,PXD,2000-03-22,-42.91,-42.66,-42.66,-42.91,230500,0.0,-0.58,0.58,0.25,0.1
先锋自然资源,PXD,2000-03-23,-42.66,-42.78,-42.47,-42.91,124100,0.0,-1.03,-0.28,-0.12,0.05
先锋自然资源,PXD,2000-03-24,-42.85,-42.53,-42.22,-42.85,174500,0.0,-1.47,0.58,0.25,0.07
先锋自然资源,PXD,2000-03-27,-42.66,-42.66,-42.53,-42.85,80900,0.0,-0.75,-0.31,-0.13,0.03
先锋自然资源,PXD,2000-03-28,-42.66,-42.91,-42.53,-43.04,196300,0.0,-1.2,-0.59,-0.25,0.08
先锋自然资源,PXD,2000-03-29,-42.85,-42.72,-42.6,-42.91,175400,0.0,-0.72,0.44,0.19,0.08
先锋自然资源,PXD,2000-03-30,-42.6,-41.91,-41.6,-42.6,362000,0.0,-2.34,1.9,0.81,0.15
先锋自然资源,PXD,2000-03-31,-41.79,-41.41,-41.16,-41.91,435600,0.0,-1.79,1.19,0.5,0.19
先锋自然资源,PXD,2000-04-03,-41.28,-41.41,-41.03,-41.66,328400,0.0,-1.52,0.0,0.0,0.14
