股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
PayPal Holdings Inc,PYPL,2015-07-20,41.46,40.47,42.55,39.8,52106044,0.0,0.0,0.0,0.0,4.28
PayPal Holdings Inc,PYPL,2015-07-21,41.08,39.35,41.11,39.12,32390779,0.0,4.92,-2.77,-1.12,2.66
PayPal Holdings Inc,PYPL,2015-07-22,39.35,38.39,39.71,38.1,25314408,0.0,4.09,-2.44,-0.96,2.08
PayPal Holdings Inc,PYPL,2015-07-23,38.74,37.01,38.75,36.93,19131366,0.0,4.74,-3.59,-1.38,1.57
PayPal Holdings Inc,PYPL,2015-07-24,37.71,37.02,38.0,36.91,14247299,0.0,2.95,0.03,0.01,1.17
PayPal Holdings Inc,PYPL,2015-07-27,36.78,36.38,37.38,36.22,15515410,0.0,3.13,-1.73,-0.64,1.27
PayPal Holdings Inc,PYPL,2015-07-28,37.19,37.6,38.0,36.83,18924742,0.0,3.22,3.35,1.22,1.55
PayPal Holdings Inc,PYPL,2015-07-29,38.03,37.95,38.1,37.62,11754118,0.0,1.28,0.93,0.35,0.96
PayPal Holdings Inc,PYPL,2015-07-30,38.04,38.45,39.01,37.71,13832335,0.0,3.43,1.32,0.5,1.13
PayPal Holdings Inc,PYPL,2015-07-31,39.14,38.73,39.2,38.22,12295422,0.0,2.55,0.73,0.28,1.01
PayPal Holdings Inc,PYPL,2015-08-03,39.25,39.39,39.88,38.9,15065950,0.0,2.53,1.7,0.66,1.24
PayPal Holdings Inc,PYPL,2015-08-04,39.91,38.95,39.91,38.43,10872150,0.0,3.76,-1.12,-0.44,0.89
PayPal Holdings Inc,PYPL,2015-08-05,39.7,39.28,39.88,39.17,9423004,0.0,1.82,0.85,0.33,0.77
PayPal Holdings Inc,PYPL,2015-08-06,39.63,38.86,39.74,38.55,7293913,0.0,3.03,-1.07,-0.42,0.6
PayPal Holdings Inc,PYPL,2015-08-07,39.04,39.13,39.23,38.6,8320886,0.0,1.62,0.69,0.27,0.68
PayPal Holdings Inc,PYPL,2015-08-10,39.43,39.05,39.69,38.77,7939583,0.0,2.35,-0.2,-0.08,0.65
PayPal Holdings Inc,PYPL,2015-08-11,38.93,38.85,39.28,38.72,8153878,0.0,1.43,-0.51,-0.2,0.67
PayPal Holdings Inc,PYPL,2015-08-12,38.55,38.19,38.58,37.01,21284278,0.0,4.04,-1.7,-0.66,1.75
PayPal Holdings Inc,PYPL,2015-08-13,38.4,37.62,38.49,37.44,7813959,0.0,2.75,-1.49,-0.57,0.64
PayPal Holdings Inc,PYPL,2015-08-14,37.49,38.14,38.18,37.38,6239341,0.0,2.13,1.38,0.52,0.51
PayPal Holdings Inc,PYPL,2015-08-17,38.3,38.74,38.75,37.7,4773007,0.0,2.75,1.57,0.6,0.39
PayPal Holdings Inc,PYPL,2015-08-18,39.0,37.99,39.0,37.87,4642608,0.0,2.92,-1.94,-0.75,0.38
PayPal Holdings Inc,PYPL,2015-08-19,37.87,37.19,38.1,37.03,6863701,0.0,2.82,-2.11,-0.8,0.56
PayPal Holdings Inc,PYPL,2015-08-20,36.85,35.98,37.34,35.88,10532913,0.0,3.93,-3.25,-1.21,0.86
PayPal Holdings Inc,PYPL,2015-08-21,35.57,34.27,36.11,33.83,15375182,0.0,6.34,-4.75,-1.71,1.26
PayPal Holdings Inc,PYPL,2015-08-24,31.17,33.77,34.85,30.0,19517469,0.0,14.15,-1.46,-0.5,1.6
PayPal Holdings Inc,PYPL,2015-08-25,35.44,32.71,35.46,32.7,15405768,0.0,8.17,-3.14,-1.06,1.26
PayPal Holdings Inc,PYPL,2015-08-26,33.7,33.17,33.84,31.71,25236177,0.0,6.51,1.41,0.46,2.07
PayPal Holdings Inc,PYPL,2015-08-27,33.87,34.6,34.77,33.16,18771264,0.0,4.85,4.31,1.43,1.54
PayPal Holdings Inc,PYPL,2015-08-28,34.51,35.05,35.26,34.37,8289942,0.0,2.57,1.3,0.45,0.68
PayPal Holdings Inc,PYPL,2015-08-31,35.5,35.0,35.51,34.77,11986028,0.0,2.11,-0.14,-0.05,0.98
PayPal Holdings Inc,PYPL,2015-09-01,34.15,33.77,34.68,33.41,13235252,0.0,3.63,-3.51,-1.23,1.09
PayPal Holdings Inc,PYPL,2015-09-02,34.6,35.07,35.08,33.83,7428789,0.0,3.7,3.85,1.3,0.61
PayPal Holdings Inc,PYPL,2015-09-03,35.01,35.31,35.46,34.77,6627962,0.0,1.97,0.68,0.24,0.54
PayPal Holdings Inc,PYPL,2015-09-04,34.71,34.29,34.72,33.78,7395422,0.0,2.66,-2.89,-1.02,0.61
PayPal Holdings Inc,PYPL,2015-09-08,34.81,34.7,34.89,34.25,7619500,0.0,1.87,1.2,0.41,0.63
