股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
皇家加勒比邮轮,RCL,2001-01-02,7.8,6.86,7.8,6.79,547100,0.0,0.0,0.0,0.0,0.21
皇家加勒比邮轮,RCL,2001-01-03,5.27,7.32,7.67,4.81,1424900,0.0,41.69,6.71,0.46,0.56
皇家加勒比邮轮,RCL,2001-01-04,6.77,7.22,7.57,6.17,984100,0.0,19.13,-1.37,-0.1,0.38
皇家加勒比邮轮,RCL,2001-01-05,7.19,7.22,7.77,7.12,756500,0.0,9.0,0.0,0.0,0.3
皇家加勒比邮轮,RCL,2001-01-08,7.36,6.98,7.67,6.73,198900,0.0,13.02,-3.32,-0.24,0.08
皇家加勒比邮轮,RCL,2001-01-09,7.01,7.04,7.17,6.42,188900,0.0,10.74,0.86,0.06,0.07
皇家加勒比邮轮,RCL,2001-01-10,7.17,7.12,7.52,6.67,226300,0.0,12.07,1.14,0.08,0.09
皇家加勒比邮轮,RCL,2001-01-11,7.31,7.93,8.07,6.67,296300,0.0,19.66,11.38,0.81,0.12
皇家加勒比邮轮,RCL,2001-01-12,7.86,7.48,7.86,7.22,170800,0.0,8.07,-5.67,-0.45,0.07
皇家加勒比邮轮,RCL,2001-01-16,6.67,7.37,7.47,6.47,1136200,0.0,13.37,-1.47,-0.11,0.44
皇家加勒比邮轮,RCL,2001-01-17,7.97,9.17,9.27,7.97,1992500,0.0,17.64,24.42,1.8,0.78
皇家加勒比邮轮,RCL,2001-01-18,9.17,9.82,10.55,9.15,2045300,0.0,15.27,7.09,0.65,0.8
皇家加勒比邮轮,RCL,2001-01-19,9.82,9.67,10.07,9.32,1349800,0.0,7.64,-1.53,-0.15,0.53
皇家加勒比邮轮,RCL,2001-01-22,9.47,10.06,10.16,9.05,783500,0.0,11.48,4.03,0.39,0.31
皇家加勒比邮轮,RCL,2001-01-23,10.3,10.61,10.89,10.02,796700,0.0,8.65,5.47,0.55,0.31
皇家加勒比邮轮,RCL,2001-01-24,10.42,10.26,10.62,9.82,661100,0.0,7.54,-3.3,-0.35,0.26
皇家加勒比邮轮,RCL,2001-01-25,8.27,8.67,10.0,7.79,3281200,0.0,21.54,-15.5,-1.59,1.28
皇家加勒比邮轮,RCL,2001-01-26,8.67,8.22,9.17,8.05,2761400,0.0,12.92,-5.19,-0.45,1.08
皇家加勒比邮轮,RCL,2001-01-29,7.67,7.32,7.87,6.69,4652600,0.0,14.36,-10.95,-0.9,1.82
皇家加勒比邮轮,RCL,2001-01-30,7.62,7.37,7.67,6.69,3207100,0.0,13.39,0.68,0.05,1.25
皇家加勒比邮轮,RCL,2001-01-31,7.57,7.85,8.37,7.42,2614400,0.0,12.89,6.51,0.48,1.02
皇家加勒比邮轮,RCL,2001-02-01,8.1,7.92,8.12,7.51,1329600,0.0,7.77,0.89,0.07,0.52
皇家加勒比邮轮,RCL,2001-02-02,7.67,7.47,7.67,6.97,1379700,0.0,8.84,-5.68,-0.45,0.54
皇家加勒比邮轮,RCL,2001-02-05,7.47,8.71,8.87,7.12,1924600,0.0,23.43,16.6,1.24,0.75
皇家加勒比邮轮,RCL,2001-02-06,9.02,9.19,9.82,9.02,1830400,0.0,9.18,5.51,0.48,0.71
皇家加勒比邮轮,RCL,2001-02-07,9.16,10.47,10.62,8.88,2853000,0.0,18.93,13.93,1.28,1.11
皇家加勒比邮轮,RCL,2001-02-08,10.67,10.79,11.67,10.07,2806400,0.0,15.28,3.06,0.32,1.1
皇家加勒比邮轮,RCL,2001-02-09,11.15,11.67,11.92,10.67,2434700,0.0,11.58,8.16,0.88,0.95
皇家加勒比邮轮,RCL,2001-02-12,11.52,11.27,11.91,10.91,1474000,0.0,8.57,-3.43,-0.4,0.58
皇家加勒比邮轮,RCL,2001-02-13,11.42,10.61,11.42,10.52,1496700,0.0,7.99,-5.86,-0.66,0.58
皇家加勒比邮轮,RCL,2001-02-14,10.67,10.67,10.86,9.67,1596500,0.0,11.22,0.57,0.06,0.62
皇家加勒比邮轮,RCL,2001-02-15,10.17,10.42,10.56,9.92,1013000,0.0,6.0,-2.34,-0.25,0.4
皇家加勒比邮轮,RCL,2001-02-16,10.32,10.28,10.87,10.02,416300,0.0,8.16,-1.34,-0.14,0.16
皇家加勒比邮轮,RCL,2001-02-20,10.27,10.31,11.25,10.12,752500,0.0,10.99,0.29,0.03,0.29
皇家加勒比邮轮,RCL,2001-02-21,10.31,10.22,10.91,10.18,799400,0.0,7.08,-0.87,-0.09,0.31
皇家加勒比邮轮,RCL,2001-02-22,10.42,10.37,10.77,10.27,883500,0.0,4.89,1.47,0.15,0.34
皇家加勒比邮轮,RCL,2001-02-23,10.12,9.41,10.17,8.62,1074500,0.0,14.95,-9.26,-0.96,0.42
皇家加勒比邮轮,RCL,2001-02-26,9.77,9.27,9.97,8.57,2566700,0.0,14.88,-1.49,-0.14,1.0
皇家加勒比邮轮,RCL,2001-02-27,9.37,9.88,10.3,9.15,1257400,0.0,12.41,6.58,0.61,0.49
皇家加勒比邮轮,RCL,2001-02-28,10.2,10.05,10.41,9.83,806000,0.0,5.87,1.72,0.17,0.31
皇家加勒比邮轮,RCL,2001-03-01,9.89,9.25,9.89,9.2,629800,0.0,6.87,-7.96,-0.8,0.25
皇家加勒比邮轮,RCL,2001-03-02,8.8,9.05,9.4,8.55,494000,0.0,9.19,-2.16,-0.2,0.19
皇家加勒比邮轮,RCL,2001-03-05,8.75,8.54,9.15,8.38,598500,0.0,8.51,-5.64,-0.51,0.23
皇家加勒比邮轮,RCL,2001-03-06,9.06,9.48,9.75,9.0,765000,0.0,8.78,11.01,0.94,0.3
皇家加勒比邮轮,RCL,2001-03-07,9.7,9.09,9.7,9.08,288900,0.0,6.54,-4.11,-0.39,0.11
皇家加勒比邮轮,RCL,2001-03-08,8.99,8.79,9.0,8.72,708000,0.0,3.08,-3.3,-0.3,0.28
皇家加勒比邮轮,RCL,2001-03-09,8.65,7.35,8.65,7.3,929300,0.0,15.36,-16.38,-1.44,0.36
皇家加勒比邮轮,RCL,2001-03-12,7.2,5.7,7.2,5.65,1947500,0.0,21.09,-22.45,-1.65,0.76
皇家加勒比邮轮,RCL,2001-03-13,5.9,6.25,6.32,5.71,1194500,0.0,10.7,9.65,0.55,0.47
皇家加勒比邮轮,RCL,2001-03-14,4.95,4.7,5.5,4.67,1582500,0.0,13.28,-24.8,-1.55,0.62
皇家加勒比邮轮,RCL,2001-03-15,4.71,5.3,5.3,4.45,2787000,0.0,18.09,12.77,0.6,1.09
皇家加勒比邮轮,RCL,2001-03-16,4.95,4.5,4.95,4.31,697400,0.0,12.08,-15.09,-0.8,0.27
皇家加勒比邮轮,RCL,2001-03-19,4.45,3.87,4.45,3.63,954100,0.0,18.22,-14.0,-0.63,0.37
皇家加勒比邮轮,RCL,2001-03-20,4.05,3.85,4.55,3.75,907200,0.0,20.67,-0.52,-0.02,0.35
皇家加勒比邮轮,RCL,2001-03-21,4.05,2.69,4.05,2.4,2226200,0.0,42.86,-30.13,-1.16,0.87
皇家加勒比邮轮,RCL,2001-03-22,2.5,2.36,2.7,1.67,872900,0.0,38.29,-12.27,-0.33,0.34
皇家加勒比邮轮,RCL,2001-03-23,2.7,2.98,3.38,2.4,769100,0.0,41.53,26.27,0.62,0.3
皇家加勒比邮轮,RCL,2001-03-26,3.23,3.7,3.99,3.2,908800,0.0,26.51,24.16,0.72,0.35
皇家加勒比邮轮,RCL,2001-03-27,3.8,4.28,4.3,3.61,711900,0.0,18.65,15.68,0.58,0.28
皇家加勒比邮轮,RCL,2001-03-28,3.95,3.93,4.0,3.7,536300,0.0,7.01,-8.18,-0.35,0.21
皇家加勒比邮轮,RCL,2001-03-29,4.17,4.4,4.8,4.02,719500,0.0,19.85,11.96,0.47,0.28
皇家加勒比邮轮,RCL,2001-03-30,4.65,4.85,4.91,4.43,436400,0.0,10.91,10.23,0.45,0.17
皇家加勒比邮轮,RCL,2001-04-02,4.7,4.35,4.89,4.06,710500,0.0,17.11,-10.31,-0.5,0.28
皇家加勒比邮轮,RCL,2001-04-03,4.1,2.65,4.1,2.65,795100,0.0,33.33,-39.08,-1.7,0.31
皇家加勒比邮轮,RCL,2001-04-04,2.79,3.0,3.55,2.56,755500,0.0,37.36,13.21,0.35,0.29
皇家加勒比邮轮,RCL,2001-04-05,3.5,3.85,4.46,3.5,629100,0.0,32.0,28.33,0.85,0.25
皇家加勒比邮轮,RCL,2001-04-06,3.7,3.2,3.8,3.11,466000,0.0,17.92,-16.88,-0.65,0.18
皇家加勒比邮轮,RCL,2001-04-09,3.45,3.99,4.0,3.29,457300,0.0,22.19,24.69,0.79,0.18
皇家加勒比邮轮,RCL,2001-04-10,3.74,3.95,4.25,3.5,505200,0.0,18.8,-1.0,-0.04,0.2
皇家加勒比邮轮,RCL,2001-04-11,3.8,3.5,3.86,3.3,275300,0.0,14.18,-11.39,-0.45,0.11
皇家加勒比邮轮,RCL,2001-04-12,3.3,3.3,3.47,2.7,764300,0.0,22.0,-5.71,-0.2,0.3
皇家加勒比邮轮,RCL,2001-04-16,3.55,2.8,3.55,2.75,363800,0.0,24.24,-15.15,-0.5,0.14
皇家加勒比邮轮,RCL,2001-04-17,2.3,1.9,2.3,1.3,2351300,0.0,35.71,-32.14,-0.9,0.92
皇家加勒比邮轮,RCL,2001-04-18,2.45,3.86,4.19,2.45,1953700,0.0,91.58,103.16,1.96,0.76
皇家加勒比邮轮,RCL,2001-04-19,3.8,3.4,4.0,2.86,1229600,0.0,29.53,-11.92,-0.46,0.48
皇家加勒比邮轮,RCL,2001-04-20,3.25,2.35,3.25,2.3,1400200,0.0,27.94,-30.88,-1.05,0.55
皇家加勒比邮轮,RCL,2001-04-23,2.5,2.7,2.75,2.36,208600,0.0,16.6,14.89,0.35,0.08
皇家加勒比邮轮,RCL,2001-04-24,2.7,2.21,2.8,2.11,568000,0.0,25.56,-18.15,-0.49,0.22
皇家加勒比邮轮,RCL,2001-04-25,1.6,1.9,2.0,1.25,2078500,0.0,33.94,-14.03,-0.31,0.81
皇家加勒比邮轮,RCL,2001-04-26,1.4,1.3,1.75,1.25,1644300,0.0,26.32,-31.58,-0.6,0.64
皇家加勒比邮轮,RCL,2001-04-27,1.3,1.6,1.7,1.15,1148000,0.0,42.31,23.08,0.3,0.45
皇家加勒比邮轮,RCL,2001-04-30,1.7,2.18,2.34,1.69,1231900,0.0,40.63,36.25,0.58,0.48
皇家加勒比邮轮,RCL,2001-05-01,1.93,2.3,2.55,1.93,457100,0.0,28.44,5.5,0.12,0.18
皇家加勒比邮轮,RCL,2001-05-02,2.2,2.56,2.9,2.05,917000,0.0,36.96,11.3,0.26,0.36
皇家加勒比邮轮,RCL,2001-05-03,2.67,2.84,3.04,2.43,1148900,0.0,23.83,10.94,0.28,0.45
皇家加勒比邮轮,RCL,2001-05-04,2.8,2.84,3.33,2.7,759200,0.0,22.18,0.0,0.0,0.3
皇家加勒比邮轮,RCL,2001-05-07,2.84,2.86,3.23,2.8,218200,0.0,15.14,0.7,0.02,0.09
皇家加勒比邮轮,RCL,2001-05-08,2.86,2.92,3.0,2.79,300100,0.0,7.34,2.1,0.06,0.12
皇家加勒比邮轮,RCL,2001-05-09,2.7,2.66,3.14,2.6,395400,0.0,18.49,-8.9,-0.26,0.15
皇家加勒比邮轮,RCL,2001-05-10,2.8,2.87,3.15,2.8,505000,0.0,13.16,7.89,0.21,0.2
皇家加勒比邮轮,RCL,2001-05-11,2.9,2.95,3.14,2.81,162800,0.0,11.5,2.79,0.08,0.06
皇家加勒比邮轮,RCL,2001-05-14,2.0,1.3,2.0,1.1,5926000,0.0,30.51,-55.93,-1.65,2.31
皇家加勒比邮轮,RCL,2001-05-15,1.7,1.79,1.9,1.58,3245700,0.0,24.62,37.69,0.49,1.27
皇家加勒比邮轮,RCL,2001-05-16,1.8,2.79,2.79,1.78,2059700,0.0,56.42,55.87,1.0,0.8
皇家加勒比邮轮,RCL,2001-05-17,2.8,3.12,3.3,2.7,1609100,0.0,21.51,11.83,0.33,0.63
皇家加勒比邮轮,RCL,2001-05-18,3.05,3.0,3.25,2.8,545800,0.0,14.42,-3.85,-0.12,0.21
皇家加勒比邮轮,RCL,2001-05-21,3.25,3.95,4.1,3.05,1885100,0.0,35.0,31.67,0.95,0.74
皇家加勒比邮轮,RCL,2001-05-22,4.1,3.7,4.25,3.65,788200,0.0,15.19,-6.33,-0.25,0.31
