股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Regency Centers Corp,REG,2018-11-13,52.26,52.27,52.53,51.44,937069,60295932.0,0.0,0.0,0.0,0.55
Regency Centers Corp,REG,2018-11-14,52.53,51.61,52.69,51.4,728795,46702662.0,2.47,-1.26,-0.66,0.43
Regency Centers Corp,REG,2018-11-15,51.31,50.26,51.52,50.06,856392,53631923.0,2.83,-2.62,-1.35,0.51
Regency Centers Corp,REG,2018-11-16,50.22,51.25,51.25,49.86,1045048,65963734.0,2.77,1.97,0.99,0.62
Regency Centers Corp,REG,2018-11-19,51.37,51.29,51.99,50.81,866619,55034231.0,2.3,0.08,0.04,0.51
Regency Centers Corp,REG,2018-11-20,51.33,51.28,52.14,50.94,644868,40994354.0,2.34,-0.02,-0.01,0.38
Regency Centers Corp,REG,2018-11-21,51.28,50.92,52.08,50.55,682442,43281158.0,2.98,-0.7,-0.36,0.4
Regency Centers Corp,REG,2018-11-23,50.97,50.5,50.97,49.8,262200,16448516.0,2.3,-0.82,-0.42,0.15
Regency Centers Corp,REG,2018-11-26,50.64,50.31,50.92,49.95,896336,55998652.0,1.92,-0.38,-0.19,0.53
Regency Centers Corp,REG,2018-11-27,50.33,50.37,50.55,50.02,1090302,68121173.0,1.05,0.12,0.06,0.64
Regency Centers Corp,REG,2018-11-28,50.33,50.6,50.65,49.96,1259525,78899147.0,1.37,0.46,0.23,0.74
Regency Centers Corp,REG,2018-11-29,50.6,50.55,50.89,50.08,977717,61418225.0,1.6,-0.1,-0.05,0.58
Regency Centers Corp,REG,2018-11-30,50.79,51.39,51.51,50.76,1357239,86137052.0,1.48,1.66,0.84,0.8
Regency Centers Corp,REG,2018-12-03,51.58,51.79,51.82,51.24,1139337,72685022.0,1.13,0.78,0.4,0.67
Regency Centers Corp,REG,2018-12-04,51.94,50.92,52.21,50.68,1451950,92437594.0,2.95,-1.68,-0.87,0.86
Regency Centers Corp,REG,2018-12-06,50.56,53.55,53.63,50.17,1544270,99420933.0,6.79,5.16,2.63,0.91
Regency Centers Corp,REG,2018-12-07,53.54,52.79,53.57,52.6,1241904,81067493.0,1.81,-1.42,-0.76,0.73
Regency Centers Corp,REG,2018-12-10,52.94,51.89,52.94,51.14,1058211,67710994.0,3.41,-1.7,-0.9,0.62
Regency Centers Corp,REG,2018-12-11,52.13,51.66,52.46,51.63,862145,55422407.0,1.6,-0.44,-0.23,0.51
Regency Centers Corp,REG,2018-12-12,51.84,49.94,52.23,49.9,1350731,84597722.0,4.51,-3.33,-1.72,0.8
Regency Centers Corp,REG,2018-12-13,49.89,50.03,51.09,49.89,1504515,94020964.0,2.4,0.18,0.09,0.89
Regency Centers Corp,REG,2018-12-14,49.66,49.23,49.95,48.98,1550038,95589565.0,1.94,-1.6,-0.8,0.91
Regency Centers Corp,REG,2018-12-17,49.32,45.97,49.62,45.62,2004201,117989750.0,8.13,-6.62,-3.26,1.18
Regency Centers Corp,REG,2018-12-18,46.52,47.0,47.34,46.05,1642155,97180048.0,2.81,2.24,1.03,0.97
Regency Centers Corp,REG,2018-12-19,47.12,45.48,48.47,45.46,2008370,117218035.0,6.4,-3.23,-1.52,1.19
Regency Centers Corp,REG,2018-12-20,45.77,45.26,46.0,44.92,1358261,78310003.0,2.37,-0.48,-0.22,0.8
Regency Centers Corp,REG,2018-12-21,45.1,45.19,46.69,44.6,2451086,141560264.0,4.62,-0.15,-0.07,1.45
Regency Centers Corp,REG,2018-12-24,45.05,43.49,45.48,43.43,703634,39547611.0,4.54,-3.76,-1.7,0.42
Regency Centers Corp,REG,2018-12-26,43.7,45.81,45.9,43.23,1193238,68005676.0,6.14,5.33,2.32,0.7
Regency Centers Corp,REG,2018-12-27,45.29,46.07,46.12,44.42,1504642,86597261.0,3.71,0.57,0.26,0.89
Regency Centers Corp,REG,2018-12-28,46.42,46.2,47.52,45.39,1363247,79555948.0,4.62,0.28,0.13,0.8
Regency Centers Corp,REG,2018-12-31,46.33,46.41,46.48,45.24,1013292,58980024.0,2.68,0.45,0.21,0.6
Regency Centers Corp,REG,2019-01-02,46.02,44.54,46.02,44.23,1064536,60628675.0,3.86,-4.03,-1.87,0.64
Regency Centers Corp,REG,2019-01-03,44.52,44.62,45.58,44.5,1050809,60053511.0,2.42,0.18,0.08,0.63
Regency Centers Corp,REG,2019-01-04,44.87,44.83,47.35,44.59,1450703,83033259.0,6.19,0.47,0.21,0.87
Regency Centers Corp,REG,2019-01-07,44.95,45.39,46.63,44.8,1216060,70204023.0,4.08,1.25,0.56,0.73
Regency Centers Corp,REG,2019-01-08,45.57,46.61,46.67,45.33,1445986,84539484.0,2.95,2.69,1.22,0.86
Regency Centers Corp,REG,2019-01-09,46.71,46.54,46.84,45.9,824480,48384694.0,2.02,-0.15,-0.07,0.49
