股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
地区金融,RF,2004-07-01,18.75,19.1,19.44,18.62,1788600,0.0,0.0,0.0,0.0,0.19
地区金融,RF,2004-07-02,19.38,19.43,19.61,19.18,1190000,0.0,2.25,1.73,0.33,0.13
地区金融,RF,2004-07-06,19.33,19.58,19.58,19.1,1045200,0.0,2.47,0.77,0.15,0.11
地区金融,RF,2004-07-07,19.58,19.7,19.87,19.46,1224000,0.0,2.09,0.61,0.12,0.13
地区金融,RF,2004-07-08,19.7,19.39,19.7,19.31,1027700,0.0,1.98,-1.57,-0.31,0.11
地区金融,RF,2004-07-09,19.34,19.16,19.34,18.83,927200,0.0,2.63,-1.19,-0.23,0.1
地区金融,RF,2004-07-12,18.98,19.12,19.12,18.71,770900,0.0,2.14,-0.21,-0.04,0.08
地区金融,RF,2004-07-13,19.12,19.08,19.23,18.95,714200,0.0,1.46,-0.21,-0.04,0.08
地区金融,RF,2004-07-14,18.98,18.79,18.98,18.65,789600,0.0,1.73,-1.52,-0.29,0.09
地区金融,RF,2004-07-15,18.71,19.08,19.12,18.61,1376600,0.0,2.71,1.54,0.29,0.15
地区金融,RF,2004-07-16,18.78,18.9,19.13,18.74,1386100,0.0,2.04,-0.94,-0.18,0.15
地区金融,RF,2004-07-19,18.78,18.9,19.08,18.78,970800,0.0,1.59,0.0,0.0,0.11
地区金融,RF,2004-07-20,18.88,18.95,19.09,18.69,1538000,0.0,2.12,0.26,0.05,0.17
地区金融,RF,2004-07-21,19.08,18.64,19.19,18.63,892800,0.0,2.96,-1.64,-0.31,0.1
地区金融,RF,2004-07-22,18.38,18.47,18.61,18.28,1064400,0.0,1.77,-0.91,-0.17,0.12
地区金融,RF,2004-07-23,18.43,18.55,18.68,18.38,854800,0.0,1.62,0.43,0.08,0.09
地区金融,RF,2004-07-26,18.42,18.51,18.58,18.39,917100,0.0,1.02,-0.22,-0.04,0.1
地区金融,RF,2004-07-27,18.44,18.76,18.8,18.39,1100900,0.0,2.22,1.35,0.25,0.12
地区金融,RF,2004-07-28,18.78,18.69,18.9,18.41,1535100,0.0,2.61,-0.37,-0.07,0.17
地区金融,RF,2004-07-29,18.72,18.79,18.95,18.63,966300,0.0,1.71,0.54,0.1,0.1
地区金融,RF,2004-07-30,18.8,18.91,19.12,18.72,958300,0.0,2.13,0.64,0.12,0.1
地区金融,RF,2004-08-02,18.94,19.04,19.1,18.73,890200,0.0,1.96,0.69,0.13,0.1
地区金融,RF,2004-08-03,19.11,19.17,19.27,19.0,1154100,0.0,1.42,0.68,0.13,0.12
地区金融,RF,2004-08-04,19.19,19.36,19.59,19.07,1312200,0.0,2.71,0.99,0.19,0.14
地区金融,RF,2004-08-05,19.25,19.19,19.41,19.19,890100,0.0,1.14,-0.88,-0.17,0.1
地区金融,RF,2004-08-06,19.2,19.22,19.42,18.46,1008500,0.0,5.0,0.16,0.03,0.11
地区金融,RF,2004-08-09,19.26,19.18,19.38,19.18,770400,0.0,1.04,-0.21,-0.04,0.08
地区金融,RF,2004-08-10,19.19,19.6,19.64,19.19,966600,0.0,2.35,2.19,0.42,0.1
地区金融,RF,2004-08-11,19.66,19.89,19.9,19.41,647200,0.0,2.5,1.48,0.29,0.07
地区金融,RF,2004-08-12,19.72,19.77,19.95,19.68,783500,0.0,1.36,-0.6,-0.12,0.08
地区金融,RF,2004-08-13,19.92,19.88,19.98,19.74,652400,0.0,1.21,0.56,0.11,0.07
地区金融,RF,2004-08-16,20.01,20.3,20.32,19.84,1034100,0.0,2.41,2.11,0.42,0.11
地区金融,RF,2004-08-17,20.31,20.34,20.41,20.12,1155500,0.0,1.43,0.2,0.04,0.13
地区金融,RF,2004-08-18,20.19,20.77,20.78,20.19,862400,0.0,2.9,2.11,0.43,0.09
地区金融,RF,2004-08-19,20.52,20.64,20.86,20.43,782700,0.0,2.07,-0.63,-0.13,0.08
