股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
瑞杰金融,RJF,2001-01-02,-7.55,-7.49,-7.32,-7.56,687400,0.0,0.0,0.0,0.0,1.47
瑞杰金融,RJF,2001-01-03,-7.5,-7.18,-7.06,-7.55,910300,0.0,-6.54,4.14,0.31,1.94
瑞杰金融,RJF,2001-01-04,-7.15,-6.88,-6.88,-7.16,1568500,0.0,-3.9,4.18,0.3,3.35
瑞杰金融,RJF,2001-01-05,-6.91,-7.19,-6.91,-7.24,555201,0.0,-4.8,-4.51,-0.31,1.18
瑞杰金融,RJF,2001-01-08,-7.2,-7.17,-7.17,-7.35,462501,0.0,-2.5,0.28,0.02,0.99
瑞杰金融,RJF,2001-01-09,-7.18,-7.21,-7.14,-7.28,300400,0.0,-1.95,-0.56,-0.04,0.64
瑞杰金融,RJF,2001-01-10,-7.24,-7.08,-7.05,-7.25,516800,0.0,-2.77,1.8,0.13,1.1
瑞杰金融,RJF,2001-01-11,-7.08,-7.11,-6.97,-7.13,333299,0.0,-2.26,-0.42,-0.03,0.71
瑞杰金融,RJF,2001-01-12,-7.08,-7.06,-7.03,-7.11,297900,0.0,-1.13,0.7,0.05,0.64
瑞杰金融,RJF,2001-01-16,-7.11,-7.17,-7.07,-7.23,885600,0.0,-2.27,-1.56,-0.11,1.89
瑞杰金融,RJF,2001-01-17,-7.14,-7.08,-6.91,-7.16,856199,0.0,-3.49,1.26,0.09,1.83
瑞杰金融,RJF,2001-01-18,-7.11,-6.98,-6.98,-7.14,318699,0.0,-2.26,1.41,0.1,0.68
瑞杰金融,RJF,2001-01-19,-7.07,-7.05,-6.99,-7.13,402100,0.0,-2.01,-1.0,-0.07,0.86
瑞杰金融,RJF,2001-01-22,-7.02,-7.11,-6.96,-7.12,434799,0.0,-2.27,-0.85,-0.06,0.93
瑞杰金融,RJF,2001-01-23,-7.14,-7.12,-7.12,-7.29,843201,0.0,-2.39,-0.14,-0.01,1.8
瑞杰金融,RJF,2001-01-24,-7.1,-6.9,-6.89,-7.13,590600,0.0,-3.37,3.09,0.22,1.26
瑞杰金融,RJF,2001-01-25,-6.95,-7.02,-6.93,-7.02,209700,0.0,-1.3,-1.74,-0.12,0.45
瑞杰金融,RJF,2001-01-26,-7.02,-7.06,-6.99,-7.09,163899,0.0,-1.42,-0.57,-0.04,0.35
瑞杰金融,RJF,2001-01-29,-7.06,-6.93,-6.91,-7.06,584399,0.0,-2.12,1.84,0.13,1.25
瑞杰金融,RJF,2001-01-30,-6.89,-6.99,-6.89,-7.08,589700,0.0,-2.74,-0.87,-0.06,1.26
瑞杰金融,RJF,2001-01-31,-6.96,-7.09,-6.94,-7.09,459200,0.0,-2.15,-1.43,-0.1,0.98
瑞杰金融,RJF,2001-02-01,-7.06,-6.89,-6.89,-7.14,590101,0.0,-3.53,2.82,0.2,1.26
瑞杰金融,RJF,2001-02-02,-6.91,-6.95,-6.71,-6.98,953100,0.0,-3.92,-0.87,-0.06,2.03
瑞杰金融,RJF,2001-02-05,-6.95,-7.0,-6.95,-7.16,366100,0.0,-3.02,-0.72,-0.05,0.78
瑞杰金融,RJF,2001-02-06,-7.0,-7.07,-7.0,-7.1,158200,0.0,-1.43,-1.0,-0.07,0.34
瑞杰金融,RJF,2001-02-07,-7.05,-7.13,-7.05,-7.15,255200,0.0,-1.41,-0.85,-0.06,0.54
瑞杰金融,RJF,2001-02-08,-7.13,-7.28,-7.07,-7.34,475900,0.0,-3.79,-2.1,-0.15,1.02
瑞杰金融,RJF,2001-02-09,-7.35,-7.3,-7.27,-7.49,535401,0.0,-3.02,-0.27,-0.02,1.14
瑞杰金融,RJF,2001-02-12,-7.3,-7.11,-7.09,-7.3,357599,0.0,-2.88,2.6,0.19,0.76
瑞杰金融,RJF,2001-02-13,-7.11,-7.06,-6.93,-7.11,469600,0.0,-2.53,0.7,0.05,1.0
瑞杰金融,RJF,2001-02-14,-7.08,-7.11,-7.08,-7.19,257600,0.0,-1.56,-0.71,-0.05,0.55
瑞杰金融,RJF,2001-02-15,-7.14,-7.12,-7.09,-7.15,243500,0.0,-0.84,-0.14,-0.01,0.52
瑞杰金融,RJF,2001-02-16,-7.16,-7.23,-7.16,-7.23,279000,0.0,-0.98,-1.54,-0.11,0.6
瑞杰金融,RJF,2001-02-20,-7.21,-7.32,-7.2,-7.42,415400,0.0,-3.04,-1.24,-0.09,0.89
瑞杰金融,RJF,2001-02-21,-7.34,-7.45,-7.27,-7.5,485001,0.0,-3.14,-1.78,-0.13,1.03
瑞杰金融,RJF,2001-02-22,-7.51,-7.57,-7.49,-7.72,671200,0.0,-3.09,-1.61,-0.12,1.43
瑞杰金融,RJF,2001-02-23,-7.59,-7.69,-7.55,-7.86,539399,0.0,-4.1,-1.59,-0.12,1.15
瑞杰金融,RJF,2001-02-26,-7.74,-7.64,-7.63,-7.76,684400,0.0,-1.69,0.65,0.05,1.46
瑞杰金融,RJF,2001-02-27,-7.61,-7.64,-7.53,-7.65,317099,0.0,-1.57,0.0,0.0,0.68
瑞杰金融,RJF,2001-02-28,-7.61,-7.8,-7.59,-7.82,309301,0.0,-3.01,-2.09,-0.16,0.66
瑞杰金融,RJF,2001-03-01,-7.8,-7.82,-7.8,-8.02,408800,0.0,-2.82,-0.26,-0.02,0.87
瑞杰金融,RJF,2001-03-02,-7.91,-7.75,-7.69,-7.96,385900,0.0,-3.45,0.9,0.07,0.82
瑞杰金融,RJF,2001-03-05,-7.76,-7.86,-7.73,-7.9,226100,0.0,-2.19,-1.42,-0.11,0.48
瑞杰金融,RJF,2001-03-06,-7.91,-7.75,-7.7,-7.91,426699,0.0,-2.67,1.4,0.11,0.91
瑞杰金融,RJF,2001-03-07,-7.75,-7.72,-7.64,-7.8,423200,0.0,-2.06,0.39,0.03,0.9
瑞杰金融,RJF,2001-03-08,-7.7,-7.88,-7.66,-7.88,303901,0.0,-2.85,-2.07,-0.16,0.65
瑞杰金融,RJF,2001-03-09,-7.88,-7.93,-7.88,-7.97,300899,0.0,-1.14,-0.63,-0.05,0.64
瑞杰金融,RJF,2001-03-12,-7.96,-8.19,-7.96,-8.2,344099,0.0,-3.03,-3.28,-0.26,0.73
瑞杰金融,RJF,2001-03-13,-8.16,-8.12,-8.09,-8.28,591599,0.0,-2.32,0.85,0.07,1.26
瑞杰金融,RJF,2001-03-14,-8.25,-8.25,-8.14,-8.34,424899,0.0,-2.46,-1.6,-0.13,0.91
瑞杰金融,RJF,2001-03-15,-8.22,-8.19,-8.08,-8.25,379501,0.0,-2.06,0.73,0.06,0.81
瑞杰金融,RJF,2001-03-16,-8.16,-8.26,-8.09,-8.31,742900,0.0,-2.69,-0.85,-0.07,1.58
瑞杰金融,RJF,2001-03-19,-8.27,-8.1,-8.1,-8.38,612700,0.0,-3.39,1.94,0.16,1.31
瑞杰金融,RJF,2001-03-20,-8.17,-8.24,-8.02,-8.29,289400,0.0,-3.33,-1.73,-0.14,0.62
瑞杰金融,RJF,2001-03-21,-8.24,-8.4,-8.2,-8.41,557300,0.0,-2.55,-1.94,-0.16,1.19
