股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
拉夫劳伦,RL,2000-01-03,-16.24,-16.11,-15.68,-16.24,217000,0.0,-3.4,2.3,0.38,0.22
拉夫劳伦,RL,2000-01-04,-16.36,-16.8,-16.3,-16.92,92700,0.0,-3.85,-4.28,-0.69,0.09
拉夫劳伦,RL,2000-01-05,-16.86,-16.49,-16.43,-17.05,237600,0.0,-3.69,1.85,0.31,0.24
拉夫劳伦,RL,2000-01-06,-16.49,-16.49,-16.43,-16.55,238100,0.0,-0.73,0.0,0.0,0.24
拉夫劳伦,RL,2000-01-07,-16.49,-16.05,-16.05,-16.74,368400,0.0,-4.18,2.67,0.44,0.37
拉夫劳伦,RL,2000-01-10,-15.24,-15.3,-15.11,-15.93,241100,0.0,-5.11,4.67,0.75,0.24
拉夫劳伦,RL,2000-01-11,-15.42,-15.93,-15.36,-16.11,196500,0.0,-4.9,-4.12,-0.63,0.2
拉夫劳伦,RL,2000-01-12,-16.55,-16.8,-16.05,-16.92,135600,0.0,-5.46,-5.46,-0.87,0.14
拉夫劳伦,RL,2000-01-13,-17.55,-17.11,-17.11,-18.24,909000,0.0,-6.73,-1.85,-0.31,0.91
拉夫劳伦,RL,2000-01-14,-16.92,-17.24,-16.74,-17.3,266300,0.0,-3.27,-0.76,-0.13,0.27
拉夫劳伦,RL,2000-01-18,-17.43,-17.55,-17.43,-17.67,137200,0.0,-1.39,-1.8,-0.31,0.14
拉夫劳伦,RL,2000-01-19,-17.8,-17.3,-17.3,-17.8,165200,0.0,-2.85,1.42,0.25,0.17
拉夫劳伦,RL,2000-01-20,-17.18,-17.8,-17.11,-17.8,301600,0.0,-3.99,-2.89,-0.5,0.3
拉夫劳伦,RL,2000-01-21,-17.67,-18.05,-17.67,-18.05,285000,0.0,-2.13,-1.4,-0.25,0.29
拉夫劳伦,RL,2000-01-24,-17.93,-18.49,-17.8,-18.61,268600,0.0,-4.49,-2.44,-0.44,0.27
拉夫劳伦,RL,2000-01-25,-18.61,-18.8,-18.42,-18.99,80200,0.0,-3.08,-1.68,-0.31,0.08
拉夫劳伦,RL,2000-01-26,-18.74,-18.42,-18.05,-18.8,211200,0.0,-3.99,2.02,0.38,0.21
拉夫劳伦,RL,2000-01-27,-18.3,-18.05,-17.86,-18.42,170200,0.0,-3.04,2.01,0.37,0.17
拉夫劳伦,RL,2000-01-28,-17.67,-18.17,-17.43,-18.17,283000,0.0,-4.1,-0.66,-0.12,0.28
拉夫劳伦,RL,2000-01-31,-18.3,-18.68,-18.05,-18.8,131800,0.0,-4.13,-2.81,-0.51,0.13
拉夫劳伦,RL,2000-02-01,-18.74,-18.93,-18.36,-19.3,237500,0.0,-5.03,-1.34,-0.25,0.24
拉夫劳伦,RL,2000-02-02,-18.42,-18.99,-18.42,-19.11,389800,0.0,-3.65,-0.32,-0.06,0.39
拉夫劳伦,RL,2000-02-03,-18.93,-19.17,-18.8,-19.24,377500,0.0,-2.32,-0.95,-0.18,0.38
拉夫劳伦,RL,2000-02-04,-19.11,-19.43,-18.8,-19.43,298300,0.0,-3.29,-1.36,-0.26,0.3
拉夫劳伦,RL,2000-02-07,-18.68,-17.3,-17.11,-18.8,723000,0.0,-8.7,10.96,2.13,0.73
拉夫劳伦,RL,2000-02-08,-16.8,-17.11,-16.11,-17.18,612000,0.0,-6.18,1.1,0.19,0.61
拉夫劳伦,RL,2000-02-09,-17.11,-17.55,-17.11,-18.17,255300,0.0,-6.2,-2.57,-0.44,0.26
拉夫劳伦,RL,2000-02-10,-17.55,-18.49,-17.55,-18.55,263400,0.0,-5.7,-5.36,-0.94,0.26
拉夫劳伦,RL,2000-02-11,-18.49,-18.42,-18.17,-19.11,398800,0.0,-5.08,0.38,0.07,0.4
拉夫劳伦,RL,2000-02-14,-18.05,-18.05,-17.8,-18.11,240100,0.0,-1.68,2.01,0.37,0.24
拉夫劳伦,RL,2000-02-15,-17.93,-17.99,-17.86,-18.05,285500,0.0,-1.05,0.33,0.06,0.29
拉夫劳伦,RL,2000-02-16,-17.99,-17.99,-17.93,-18.11,178300,0.0,-1.0,0.0,0.0,0.18
拉夫劳伦,RL,2000-02-17,-18.05,-18.36,-18.05,-18.55,206000,0.0,-2.78,-2.06,-0.37,0.21
拉夫劳伦,RL,2000-02-18,-18.49,-18.55,-18.17,-18.55,133600,0.0,-2.07,-1.03,-0.19,0.13
拉夫劳伦,RL,2000-02-22,-18.55,-18.61,-18.49,-19.05,118800,0.0,-3.02,-0.32,-0.06,0.12
拉夫劳伦,RL,2000-02-24,-18.74,-18.86,-18.55,-18.93,74000,0.0,-2.04,-1.34,-0.25,0.07
