股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
瑞思迈,RMD,2001-01-02,-13.21,-13.26,-13.19,-13.26,709600,0.0,0.0,0.0,0.0,2.3
瑞思迈,RMD,2001-01-03,-13.22,-13.03,-13.03,-13.22,1439200,0.0,-1.43,1.73,0.23,4.65
瑞思迈,RMD,2001-01-04,-13.03,-13.23,-13.03,-13.3,1487200,0.0,-2.07,-1.53,-0.2,4.81
瑞思迈,RMD,2001-01-05,-13.24,-13.3,-13.24,-13.33,982000,0.0,-0.68,-0.53,-0.07,3.18
瑞思迈,RMD,2001-01-08,-13.3,-13.27,-13.25,-13.32,595600,0.0,-0.53,0.23,0.03,1.93
瑞思迈,RMD,2001-01-09,-13.27,-13.24,-13.24,-13.29,511200,0.0,-0.38,0.23,0.03,1.65
瑞思迈,RMD,2001-01-10,-13.22,-13.2,-13.17,-13.23,483600,0.0,-0.45,0.3,0.04,1.56
瑞思迈,RMD,2001-01-11,-13.19,-13.18,-13.15,-13.2,936400,0.0,-0.38,0.15,0.02,3.03
瑞思迈,RMD,2001-01-12,-13.17,-13.18,-13.12,-13.18,581200,0.0,-0.46,0.0,0.0,1.88
瑞思迈,RMD,2001-01-16,-13.17,-13.2,-13.12,-13.2,841600,0.0,-0.61,-0.15,-0.02,2.72
瑞思迈,RMD,2001-01-17,-13.17,-13.21,-13.14,-13.21,413600,0.0,-0.53,-0.08,-0.01,1.34
瑞思迈,RMD,2001-01-18,-13.2,-13.13,-13.13,-13.2,374400,0.0,-0.53,0.61,0.08,1.21
瑞思迈,RMD,2001-01-19,-13.13,-13.09,-13.08,-13.15,516000,0.0,-0.53,0.3,0.04,1.67
瑞思迈,RMD,2001-01-22,-13.1,-13.06,-13.04,-13.1,493600,0.0,-0.46,0.23,0.03,1.6
瑞思迈,RMD,2001-01-23,-13.07,-13.04,-13.01,-13.07,1090000,0.0,-0.46,0.15,0.02,3.53
瑞思迈,RMD,2001-01-24,-13.03,-13.05,-13.02,-13.06,837200,0.0,-0.31,-0.08,-0.01,2.71
瑞思迈,RMD,2001-01-25,-13.07,-13.07,-13.02,-13.08,692800,0.0,-0.46,-0.15,-0.02,2.24
瑞思迈,RMD,2001-01-26,-13.06,-13.14,-13.06,-13.17,509200,0.0,-0.84,-0.54,-0.07,1.65
瑞思迈,RMD,2001-01-29,-13.14,-13.16,-13.14,-13.2,613200,0.0,-0.46,-0.15,-0.02,1.98
瑞思迈,RMD,2001-01-30,-13.13,-13.12,-13.1,-13.14,396800,0.0,-0.3,0.3,0.04,1.28
瑞思迈,RMD,2001-01-31,-13.13,-13.1,-13.1,-13.16,647200,0.0,-0.46,0.15,0.02,2.09
瑞思迈,RMD,2001-02-01,-13.11,-13.05,-13.05,-13.11,534000,0.0,-0.46,0.38,0.05,1.73
瑞思迈,RMD,2001-02-02,-13.05,-12.99,-12.96,-13.05,1498000,0.0,-0.69,0.46,0.06,4.85
瑞思迈,RMD,2001-02-05,-12.96,-13.01,-12.88,-13.03,1123200,0.0,-1.15,-0.15,-0.02,3.63
瑞思迈,RMD,2001-02-06,-13.1,-13.13,-13.1,-13.25,1564400,0.0,-1.15,-0.92,-0.12,5.06
瑞思迈,RMD,2001-02-07,-13.11,-13.06,-13.05,-13.13,304400,0.0,-0.61,0.53,0.07,0.98
瑞思迈,RMD,2001-02-08,-13.05,-13.04,-13.03,-13.07,425200,0.0,-0.31,0.15,0.02,1.38
瑞思迈,RMD,2001-02-09,-13.02,-13.02,-13.01,-13.06,1018800,0.0,-0.38,0.15,0.02,3.3
瑞思迈,RMD,2001-02-12,-12.99,-12.91,-12.89,-12.99,446000,0.0,-0.77,0.84,0.11,1.44
瑞思迈,RMD,2001-02-13,-12.91,-12.79,-12.78,-12.91,873200,0.0,-1.01,0.93,0.12,2.82
瑞思迈,RMD,2001-02-14,-12.84,-12.85,-12.84,-12.89,1115600,0.0,-0.39,-0.47,-0.06,3.61
瑞思迈,RMD,2001-02-15,-12.9,-12.9,-12.87,-12.91,313600,0.0,-0.31,-0.39,-0.05,1.01
瑞思迈,RMD,2001-02-16,-12.91,-12.96,-12.91,-12.99,249200,0.0,-0.62,-0.47,-0.06,0.81
瑞思迈,RMD,2001-02-20,-12.93,-12.91,-12.88,-12.93,423600,0.0,-0.39,0.39,0.05,1.37
瑞思迈,RMD,2001-02-21,-12.92,-12.87,-12.84,-12.92,407200,0.0,-0.62,0.31,0.04,1.32
瑞思迈,RMD,2001-02-22,-12.86,-12.78,-12.77,-12.86,517200,0.0,-0.7,0.7,0.09,1.67
瑞思迈,RMD,2001-02-23,-12.79,-12.86,-12.79,-12.93,735200,0.0,-1.1,-0.63,-0.08,2.38
瑞思迈,RMD,2001-02-26,-12.86,-12.85,-12.83,-12.87,482000,0.0,-0.31,0.08,0.01,1.56
瑞思迈,RMD,2001-02-27,-12.86,-12.85,-12.83,-12.86,797600,0.0,-0.23,0.0,0.0,2.58
瑞思迈,RMD,2001-02-28,-12.85,-12.91,-12.83,-12.92,833600,0.0,-0.7,-0.47,-0.06,2.7
瑞思迈,RMD,2001-03-01,-12.91,-12.9,-12.9,-12.94,482000,0.0,-0.31,0.08,0.01,1.56
瑞思迈,RMD,2001-03-02,-12.94,-12.88,-12.84,-12.95,419200,0.0,-0.85,0.16,0.02,1.36
瑞思迈,RMD,2001-03-05,-12.88,-12.91,-12.88,-12.92,207600,0.0,-0.31,-0.23,-0.03,0.67
瑞思迈,RMD,2001-03-06,-12.88,-12.95,-12.88,-12.95,230800,0.0,-0.54,-0.31,-0.04,0.75
瑞思迈,RMD,2001-03-07,-12.95,-12.95,-12.94,-12.96,378000,0.0,-0.15,0.0,0.0,1.22
瑞思迈,RMD,2001-03-08,-12.97,-13.1,-12.97,-13.13,1050400,0.0,-1.24,-1.16,-0.15,3.4
瑞思迈,RMD,2001-03-09,-13.12,-13.24,-13.08,-13.25,1409600,0.0,-1.3,-1.07,-0.14,4.56
瑞思迈,RMD,2001-03-12,-13.24,-13.29,-13.24,-13.3,742800,0.0,-0.45,-0.38,-0.05,2.4
瑞思迈,RMD,2001-03-13,-13.34,-13.29,-13.27,-13.35,471600,0.0,-0.6,0.0,0.0,1.53
瑞思迈,RMD,2001-03-14,-13.3,-13.43,-13.27,-13.46,824800,0.0,-1.43,-1.05,-0.14,2.67
瑞思迈,RMD,2001-03-15,-13.35,-13.37,-13.35,-13.41,839600,0.0,-0.45,0.45,0.06,2.72
瑞思迈,RMD,2001-03-16,-13.35,-13.32,-13.31,-13.35,1290000,0.0,-0.3,0.37,0.05,4.17
瑞思迈,RMD,2001-03-19,-13.32,-13.27,-13.26,-13.34,679600,0.0,-0.6,0.38,0.05,2.2
瑞思迈,RMD,2001-03-20,-13.22,-13.28,-13.21,-13.28,645600,0.0,-0.53,-0.08,-0.01,2.09
瑞思迈,RMD,2001-03-21,-13.28,-13.34,-13.28,-13.4,989600,0.0,-0.9,-0.45,-0.06,3.2
瑞思迈,RMD,2001-03-22,-13.36,-13.41,-13.36,-13.45,475600,0.0,-0.67,-0.52,-0.07,1.54
瑞思迈,RMD,2001-03-23,-13.4,-13.35,-13.35,-13.4,418400,0.0,-0.37,0.45,0.06,1.35
