股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Rollins Inc,ROL,2001-01-02,-3.6,-3.61,-3.6,-3.62,93302,0.0,0.0,0.0,0.0,0.31
Rollins Inc,ROL,2001-01-03,-3.61,-3.61,-3.61,-3.61,106201,0.0,0.0,0.0,0.0,0.35
Rollins Inc,ROL,2001-01-04,-3.61,-3.62,-3.61,-3.62,235052,0.0,-0.28,-0.28,-0.01,0.78
Rollins Inc,ROL,2001-01-05,-3.62,-3.62,-3.62,-3.62,42748,0.0,0.0,0.0,0.0,0.14
Rollins Inc,ROL,2001-01-08,-3.62,-3.62,-3.62,-3.62,45902,0.0,0.0,0.0,0.0,0.15
Rollins Inc,ROL,2001-01-09,-3.62,-3.61,-3.61,-3.62,66749,0.0,-0.28,0.28,0.01,0.22
Rollins Inc,ROL,2001-01-10,-3.61,-3.61,-3.61,-3.62,97352,0.0,-0.28,0.0,0.0,0.32
Rollins Inc,ROL,2001-01-11,-3.61,-3.61,-3.61,-3.61,22498,0.0,0.0,0.0,0.0,0.07
Rollins Inc,ROL,2001-01-12,-3.61,-3.61,-3.6,-3.61,122401,0.0,-0.28,0.0,0.0,0.41
Rollins Inc,ROL,2001-01-16,-3.61,-3.61,-3.61,-3.61,39751,0.0,0.0,0.0,0.0,0.13
Rollins Inc,ROL,2001-01-17,-3.61,-3.62,-3.61,-3.62,125550,0.0,-0.28,-0.28,-0.01,0.42
Rollins Inc,ROL,2001-01-18,-3.62,-3.62,-3.62,-3.62,80251,0.0,0.0,0.0,0.0,0.27
Rollins Inc,ROL,2001-01-19,-3.62,-3.62,-3.62,-3.62,56700,0.0,0.0,0.0,0.0,0.19
Rollins Inc,ROL,2001-01-22,-3.62,-3.62,-3.62,-3.62,28502,0.0,0.0,0.0,0.0,0.09
Rollins Inc,ROL,2001-01-23,-3.62,-3.62,-3.62,-3.62,60902,0.0,0.0,0.0,0.0,0.2
Rollins Inc,ROL,2001-01-24,-3.62,-3.63,-3.62,-3.63,82949,0.0,-0.28,-0.28,-0.01,0.28
Rollins Inc,ROL,2001-01-25,-3.63,-3.63,-3.63,-3.63,35701,0.0,0.0,0.0,0.0,0.12
Rollins Inc,ROL,2001-01-26,-3.63,-3.64,-3.63,-3.64,45451,0.0,-0.28,-0.28,-0.01,0.15
Rollins Inc,ROL,2001-01-29,-3.64,-3.64,-3.64,-3.64,67650,0.0,0.0,0.0,0.0,0.23
Rollins Inc,ROL,2001-01-30,-3.64,-3.64,-3.64,-3.64,163200,0.0,0.0,0.0,0.0,0.54
Rollins Inc,ROL,2001-01-31,-3.64,-3.63,-3.63,-3.64,811200,0.0,-0.27,0.27,0.01,2.7
Rollins Inc,ROL,2001-02-01,-3.63,-3.63,-3.63,-3.63,69751,0.0,0.0,0.0,0.0,0.23
Rollins Inc,ROL,2001-02-02,-3.63,-3.63,-3.63,-3.63,66749,0.0,0.0,0.0,0.0,0.22
Rollins Inc,ROL,2001-02-05,-3.63,-3.62,-3.62,-3.63,42449,0.0,-0.28,0.28,0.01,0.14
Rollins Inc,ROL,2001-02-06,-3.62,-3.62,-3.62,-3.63,86999,0.0,-0.28,0.0,0.0,0.29
Rollins Inc,ROL,2001-02-07,-3.62,-3.62,-3.62,-3.62,35701,0.0,0.0,0.0,0.0,0.12
Rollins Inc,ROL,2001-02-08,-3.62,-3.62,-3.62,-3.62,68101,0.0,0.0,0.0,0.0,0.23
Rollins Inc,ROL,2001-02-09,-3.62,-3.62,-3.62,-3.62,89252,0.0,0.0,0.0,0.0,0.3
Rollins Inc,ROL,2001-02-12,-3.62,-3.62,-3.62,-3.62,79198,0.0,0.0,0.0,0.0,0.26
Rollins Inc,ROL,2001-02-13,-3.62,-3.61,-3.61,-3.62,109350,0.0,-0.28,0.28,0.01,0.36
Rollins Inc,ROL,2001-02-14,-3.61,-3.61,-3.61,-3.61,60902,0.0,0.0,0.0,0.0,0.2
Rollins Inc,ROL,2001-02-15,-3.61,-3.6,-3.6,-3.61,70202,0.0,-0.28,0.28,0.01,0.23
Rollins Inc,ROL,2001-02-16,-3.6,-3.61,-3.6,-3.61,124350,0.0,-0.28,-0.28,-0.01,0.41
Rollins Inc,ROL,2001-02-20,-3.61,-3.61,-3.61,-3.61,37802,0.0,0.0,0.0,0.0,0.13
Rollins Inc,ROL,2001-02-21,-3.61,-3.6,-3.6,-3.61,81000,0.0,-0.28,0.28,0.01,0.27
Rollins Inc,ROL,2001-02-22,-3.6,-3.61,-3.6,-3.61,102151,0.0,-0.28,-0.28,-0.01,0.34
Rollins Inc,ROL,2001-02-23,-3.61,-3.61,-3.61,-3.61,32400,0.0,0.0,0.0,0.0,0.11
Rollins Inc,ROL,2001-02-26,-3.61,-3.6,-3.6,-3.61,58948,0.0,-0.28,0.28,0.01,0.2
Rollins Inc,ROL,2001-02-27,-3.6,-3.61,-3.6,-3.61,95398,0.0,-0.28,-0.28,-0.01,0.32
Rollins Inc,ROL,2001-02-28,-3.61,-3.6,-3.6,-3.61,143102,0.0,-0.28,0.28,0.01,0.47
Rollins Inc,ROL,2001-03-01,-3.6,-3.6,-3.6,-3.6,33752,0.0,0.0,0.0,0.0,0.11
Rollins Inc,ROL,2001-03-02,-3.6,-3.6,-3.6,-3.6,157201,0.0,0.0,0.0,0.0,0.52
