股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
儒博实业,ROP,2023-07-06,471.38,474.89,477.54,470.18,517092,246534015.0,0.0,0.0,0.0,0.49
儒博实业,ROP,2023-07-07,471.15,474.98,478.2,471.15,392591,187179193.0,1.48,0.02,0.09,0.37
儒博实业,ROP,2023-07-10,475.51,474.22,480.67,472.22,330228,157249596.0,1.78,-0.16,-0.76,0.31
儒博实业,ROP,2023-07-11,475.42,475.49,476.86,471.57,486776,231712457.0,1.12,0.27,1.27,0.46
儒博实业,ROP,2023-07-12,478.67,475.8,480.47,474.31,379583,181270079.0,1.3,0.07,0.31,0.36
儒博实业,ROP,2023-07-13,477.52,477.42,478.82,474.37,430074,205579371.0,0.94,0.34,1.62,0.4
儒博实业,ROP,2023-07-14,476.55,476.2,479.54,475.56,349885,167457468.0,0.83,-0.26,-1.22,0.33
儒博实业,ROP,2023-07-17,474.18,475.1,475.65,471.15,708760,337560112.0,0.94,-0.23,-1.1,0.66
儒博实业,ROP,2023-07-18,472.21,478.77,479.04,470.75,537113,256322129.0,1.74,0.77,3.67,0.5
儒博实业,ROP,2023-07-19,479.53,481.2,481.77,477.92,568193,273752224.0,0.8,0.51,2.43,0.53
儒博实业,ROP,2023-07-20,481.1,480.16,485.03,478.89,471630,227720585.0,1.28,-0.22,-1.04,0.44
儒博实业,ROP,2023-07-21,498.57,497.95,500.57,491.87,838033,418073904.0,1.81,3.71,17.79,0.79
儒博实业,ROP,2023-07-24,498.7,493.73,500.7,490.69,745369,369287808.0,2.01,-0.85,-4.22,0.7
儒博实业,ROP,2023-07-25,490.31,492.93,494.79,486.31,720013,355894480.0,1.72,-0.16,-0.8,0.68
儒博实业,ROP,2023-07-26,489.67,492.42,493.59,485.59,450890,222218352.0,1.62,-0.1,-0.51,0.42
儒博实业,ROP,2023-07-27,495.79,489.76,496.57,487.35,420962,206975290.0,1.87,-0.54,-2.66,0.39
儒博实业,ROP,2023-07-28,493.1,490.97,494.17,487.93,339004,166788428.0,1.27,0.25,1.21,0.32
儒博实业,ROP,2023-07-31,493.17,491.62,493.17,488.74,354807,174747148.0,0.9,0.13,0.65,0.33
儒博实业,ROP,2023-08-01,490.08,491.22,492.94,488.31,279766,137852377.0,0.94,-0.08,-0.4,0.26
儒博实业,ROP,2023-08-02,488.46,489.73,492.54,486.89,338586,166389195.0,1.15,-0.3,-1.49,0.32
儒博实业,ROP,2023-08-03,487.7,489.54,492.25,487.65,303045,148975622.0,0.94,-0.04,-0.19,0.28
儒博实业,ROP,2023-08-04,492.91,485.28,492.91,484.75,234020,114351059.0,1.67,-0.87,-4.26,0.22
儒博实业,ROP,2023-08-07,487.02,491.27,491.35,486.84,312728,153856021.0,0.93,1.23,5.99,0.29
儒博实业,ROP,2023-08-08,491.27,489.85,491.37,486.45,353094,173367597.0,1.0,-0.29,-1.42,0.33
儒博实业,ROP,2023-08-09,491.57,487.13,491.57,486.25,372670,182501939.0,1.09,-0.56,-2.72,0.35
儒博实业,ROP,2023-08-10,491.57,486.55,493.52,485.82,234986,114954636.0,1.58,-0.12,-0.58,0.22
儒博实业,ROP,2023-08-11,486.15,487.68,489.27,484.74,319560,156257162.0,0.93,0.23,1.13,0.3
儒博实业,ROP,2023-08-14,487.6,494.78,496.44,487.58,376695,186676294.0,1.82,1.46,7.1,0.35
儒博实业,ROP,2023-08-15,494.0,493.38,496.08,492.59,369997,183287043.0,0.71,-0.28,-1.4,0.35
儒博实业,ROP,2023-08-16,493.61,494.21,496.26,490.77,363969,180629014.0,1.11,0.17,0.83,0.34
儒博实业,ROP,2023-08-17,493.64,485.3,495.4,484.74,345970,169400833.0,2.16,-1.8,-8.91,0.32
儒博实业,ROP,2023-08-18,482.41,482.91,485.81,480.66,256149,124164350.0,1.06,-0.49,-2.39,0.24
儒博实业,ROP,2023-08-21,482.93,484.56,486.0,481.31,287015,139415191.0,0.97,0.34,1.65,0.27
儒博实业,ROP,2023-08-22,485.88,486.14,489.54,484.07,258158,125772599.0,1.13,0.33,1.58,0.24
