股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
罗斯百货,ROST,2000-01-03,-7.25,-7.34,-7.24,-7.34,2033600,0.0,-1.38,-0.96,-0.07,0.6
罗斯百货,ROST,2000-01-04,-7.35,-7.43,-7.34,-7.44,3506000,0.0,-1.36,-1.23,-0.09,1.04
罗斯百货,ROST,2000-01-05,-7.42,-7.38,-7.38,-7.44,3495200,0.0,-0.81,0.67,0.05,1.04
罗斯百货,ROST,2000-01-06,-7.41,-7.61,-7.38,-7.66,12073200,0.0,-3.79,-3.12,-0.23,3.59
罗斯百货,ROST,2000-01-07,-7.63,-7.63,-7.62,-7.68,7228000,0.0,-0.79,-0.26,-0.02,2.15
罗斯百货,ROST,2000-01-10,-7.63,-7.6,-7.57,-7.64,6084000,0.0,-0.92,0.39,0.03,1.81
罗斯百货,ROST,2000-01-11,-7.62,-7.69,-7.6,-7.7,6426400,0.0,-1.32,-1.18,-0.09,1.91
罗斯百货,ROST,2000-01-12,-7.69,-7.81,-7.69,-7.85,9677200,0.0,-2.08,-1.56,-0.12,2.87
罗斯百货,ROST,2000-01-13,-7.82,-7.87,-7.79,-7.9,11604800,0.0,-1.41,-0.77,-0.06,3.45
罗斯百货,ROST,2000-01-14,-7.85,-7.8,-7.8,-7.85,7626400,0.0,-0.64,0.89,0.07,2.27
罗斯百货,ROST,2000-01-18,-7.81,-7.91,-7.8,-7.91,9755600,0.0,-1.41,-1.41,-0.11,2.9
罗斯百货,ROST,2000-01-19,-7.9,-7.98,-7.9,-8.01,11760000,0.0,-1.39,-0.88,-0.07,3.49
罗斯百货,ROST,2000-01-20,-7.98,-7.88,-7.85,-7.98,9596000,0.0,-1.63,1.25,0.1,2.85
罗斯百货,ROST,2000-01-21,-7.82,-7.83,-7.8,-7.87,9149200,0.0,-0.89,0.63,0.05,2.72
罗斯百货,ROST,2000-01-24,-7.83,-7.94,-7.82,-7.96,9600800,0.0,-1.79,-1.4,-0.11,2.85
罗斯百货,ROST,2000-01-25,-7.94,-7.94,-7.92,-8.01,8342000,0.0,-1.13,0.0,0.0,2.48
罗斯百货,ROST,2000-01-26,-7.96,-7.86,-7.84,-7.98,7618000,0.0,-1.76,1.01,0.08,2.26
罗斯百货,ROST,2000-01-27,-7.83,-7.89,-7.81,-7.93,8465200,0.0,-1.53,-0.38,-0.03,2.51
罗斯百货,ROST,2000-01-28,-7.89,-7.9,-7.87,-7.94,3118800,0.0,-0.89,-0.13,-0.01,0.93
罗斯百货,ROST,2000-01-31,-7.9,-7.91,-7.87,-7.98,3766800,0.0,-1.39,-0.13,-0.01,1.12
罗斯百货,ROST,2000-02-01,-7.87,-7.92,-7.87,-7.99,3432000,0.0,-1.52,-0.13,-0.01,1.02
罗斯百货,ROST,2000-02-02,-7.89,-7.94,-7.87,-7.94,5978800,0.0,-0.88,-0.25,-0.02,1.78
罗斯百货,ROST,2000-02-03,-7.74,-7.57,-7.55,-7.75,23690800,0.0,-2.52,4.66,0.37,7.04
罗斯百货,ROST,2000-02-04,-7.6,-7.63,-7.59,-7.66,8696400,0.0,-0.92,-0.79,-0.06,2.58
罗斯百货,ROST,2000-02-07,-7.62,-7.63,-7.6,-7.65,6940400,0.0,-0.66,0.0,0.0,2.06
罗斯百货,ROST,2000-02-08,-7.63,-7.59,-7.59,-7.64,2187200,0.0,-0.66,0.52,0.04,0.65
罗斯百货,ROST,2000-02-09,-7.59,-7.62,-7.59,-7.63,6460800,0.0,-0.53,-0.4,-0.03,1.92
罗斯百货,ROST,2000-02-10,-7.61,-7.65,-7.6,-7.66,7088000,0.0,-0.79,-0.39,-0.03,2.11
罗斯百货,ROST,2000-02-11,-7.66,-7.67,-7.65,-7.7,6302800,0.0,-0.65,-0.26,-0.02,1.87
罗斯百货,ROST,2000-02-14,-7.66,-7.67,-7.62,-7.7,3322400,0.0,-1.04,0.0,0.0,0.99
