股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
共和废品处理,RSG,2000-01-03,-12.08,-12.42,-12.08,-12.58,767100,0.0,-4.06,-0.73,-0.09,0.44
共和废品处理,RSG,2000-01-04,-12.54,-13.0,-12.54,-13.12,674000,0.0,-4.67,-4.67,-0.58,0.38
共和废品处理,RSG,2000-01-05,-12.92,-13.16,-12.87,-13.24,782700,0.0,-2.85,-1.23,-0.16,0.45
共和废品处理,RSG,2000-01-06,-13.16,-13.2,-13.12,-13.33,1115600,0.0,-1.6,-0.3,-0.04,0.64
共和废品处理,RSG,2000-01-07,-13.2,-12.74,-12.74,-13.2,892600,0.0,-3.48,3.48,0.46,0.51
共和废品处理,RSG,2000-01-10,-12.83,-12.7,-12.66,-13.08,401600,0.0,-3.3,0.31,0.04,0.23
共和废品处理,RSG,2000-01-11,-12.7,-12.92,-12.5,-13.0,783400,0.0,-3.94,-1.73,-0.22,0.45
共和废品处理,RSG,2000-01-12,-12.92,-12.87,-12.87,-13.0,461600,0.0,-1.01,0.39,0.05,0.26
共和废品处理,RSG,2000-01-13,-12.92,-12.83,-12.62,-13.0,919800,0.0,-2.95,0.31,0.04,0.52
共和废品处理,RSG,2000-01-14,-12.92,-12.87,-12.87,-13.0,1282400,0.0,-1.01,-0.31,-0.04,0.73
共和废品处理,RSG,2000-01-18,-12.83,-13.0,-12.7,-13.08,1297800,0.0,-2.95,-1.01,-0.13,0.74
共和废品处理,RSG,2000-01-19,-13.08,-13.16,-13.0,-13.29,790800,0.0,-2.23,-1.23,-0.16,0.45
共和废品处理,RSG,2000-01-20,-13.16,-13.16,-13.08,-13.24,1080300,0.0,-1.22,0.0,0.0,0.62
共和废品处理,RSG,2000-01-21,-13.12,-13.16,-13.08,-13.33,616500,0.0,-1.9,0.0,0.0,0.35
共和废品处理,RSG,2000-01-24,-13.16,-13.37,-13.16,-13.46,526400,0.0,-2.28,-1.6,-0.21,0.3
共和废品处理,RSG,2000-01-25,-13.33,-13.5,-13.33,-13.66,529000,0.0,-2.47,-0.97,-0.13,0.3
共和废品处理,RSG,2000-01-26,-13.58,-13.92,-13.58,-14.12,2514800,0.0,-4.0,-3.11,-0.42,1.43
共和废品处理,RSG,2000-01-27,-13.58,-13.83,-13.24,-13.87,3865400,0.0,-4.53,0.65,0.09,2.2
共和废品处理,RSG,2000-01-28,-13.83,-14.0,-13.66,-14.16,3408800,0.0,-3.62,-1.23,-0.17,1.94
共和废品处理,RSG,2000-01-31,-14.0,-14.0,-13.83,-14.08,1712200,0.0,-1.79,0.0,0.0,0.98
共和废品处理,RSG,2000-02-01,-13.92,-14.42,-13.92,-14.42,2837400,0.0,-3.57,-3.0,-0.42,1.62
共和废品处理,RSG,2000-02-02,-14.42,-14.37,-14.16,-14.42,1602600,0.0,-1.8,0.35,0.05,0.91
共和废品处理,RSG,2000-02-03,-14.46,-14.62,-14.42,-14.74,4670000,0.0,-2.23,-1.74,-0.25,2.66
共和废品处理,RSG,2000-02-04,-14.54,-14.16,-14.12,-14.58,1280600,0.0,-3.15,3.15,0.46,0.73
共和废品处理,RSG,2000-02-07,-14.16,-14.24,-14.12,-14.24,739800,0.0,-0.85,-0.56,-0.08,0.42
共和废品处理,RSG,2000-02-08,-14.16,-14.29,-14.12,-14.29,980800,0.0,-1.19,-0.35,-0.05,0.56
共和废品处理,RSG,2000-02-09,-14.33,-14.5,-14.33,-14.58,918000,0.0,-1.75,-1.47,-0.21,0.52
共和废品处理,RSG,2000-02-10,-14.54,-14.92,-14.5,-15.29,5055300,0.0,-5.45,-2.9,-0.42,2.88
共和废品处理,RSG,2000-02-11,-14.92,-15.12,-14.79,-15.16,2683200,0.0,-2.48,-1.34,-0.2,1.53
共和废品处理,RSG,2000-02-14,-14.96,-14.87,-14.87,-15.12,1523700,0.0,-1.65,1.65,0.25,0.87
共和废品处理,RSG,2000-02-15,-14.96,-14.54,-14.54,-15.12,1507500,0.0,-3.9,2.22,0.33,0.86
共和废品处理,RSG,2000-02-16,-14.54,-14.54,-14.42,-14.79,609000,0.0,-2.54,0.0,0.0,0.35
共和废品处理,RSG,2000-02-17,-14.54,-14.16,-14.16,-14.74,1972000,0.0,-3.99,2.61,0.38,1.12
共和废品处理,RSG,2000-02-18,-14.08,-14.58,-14.08,-15.0,1413400,0.0,-6.5,-2.97,-0.42,0.81
共和废品处理,RSG,2000-02-22,-14.46,-14.29,-14.29,-14.79,471900,0.0,-3.43,1.99,0.29,0.27
共和废品处理,RSG,2000-02-24,-14.04,-14.29,-14.04,-14.46,899700,0.0,-2.94,0.0,0.0,0.51
共和废品处理,RSG,2000-02-25,-14.46,-14.29,-14.08,-14.5,746700,0.0,-2.94,0.0,0.0,0.43
共和废品处理,RSG,2000-02-28,-14.33,-14.7,-14.29,-14.74,900800,0.0,-3.15,-2.87,-0.41,0.51
共和废品处理,RSG,2000-02-29,-14.7,-14.66,-14.58,-14.87,773800,0.0,-1.97,0.27,0.04,0.44
共和废品处理,RSG,2000-03-01,-14.83,-14.74,-14.74,-15.12,2198400,0.0,-2.59,-0.55,-0.08,1.25
