股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
SBA通信-A,SBAC,2001-01-02,29.67,28.15,29.78,26.15,215000,0.0,-168.06,1403.24,30.31,0.75
SBA通信-A,SBAC,2001-01-03,26.53,26.46,26.78,24.84,534800,0.0,6.89,-6.0,-1.69,1.87
SBA通信-A,SBAC,2001-01-04,26.53,25.53,26.84,25.46,303100,0.0,5.22,-3.51,-0.93,1.06
SBA通信-A,SBAC,2001-01-05,25.36,23.53,25.36,23.34,333400,0.0,7.91,-7.83,-2.0,1.16
SBA通信-A,SBAC,2001-01-08,23.84,24.09,24.34,23.72,575700,0.0,2.63,2.38,0.56,2.01
SBA通信-A,SBAC,2001-01-09,24.15,23.84,24.22,21.84,240200,0.0,9.88,-1.04,-0.25,0.84
SBA通信-A,SBAC,2001-01-10,23.76,25.28,25.78,23.15,556200,0.0,11.03,6.04,1.44,1.94
SBA通信-A,SBAC,2001-01-11,25.32,30.34,35.22,25.09,854500,0.0,40.07,20.02,5.06,2.98
SBA通信-A,SBAC,2001-01-12,30.72,29.65,30.78,27.84,480900,0.0,9.69,-2.27,-0.69,1.68
SBA通信-A,SBAC,2001-01-16,29.23,30.84,30.96,28.78,264700,0.0,7.35,4.01,1.19,0.92
SBA通信-A,SBAC,2001-01-17,30.73,30.96,31.72,29.72,124000,0.0,6.49,0.39,0.12,0.43
SBA通信-A,SBAC,2001-01-18,31.15,33.15,34.03,30.22,294300,0.0,12.31,7.07,2.19,1.03
SBA通信-A,SBAC,2001-01-19,32.9,33.46,34.59,32.34,434200,0.0,6.79,0.94,0.31,1.52
SBA通信-A,SBAC,2001-01-22,33.86,33.65,35.96,32.22,588700,0.0,11.18,0.57,0.19,2.05
SBA通信-A,SBAC,2001-01-23,33.84,34.84,35.09,33.59,672500,0.0,4.46,3.54,1.19,2.35
SBA通信-A,SBAC,2001-01-24,34.72,34.72,34.72,33.46,361800,0.0,3.62,-0.34,-0.12,1.26
SBA通信-A,SBAC,2001-01-25,34.34,31.72,34.34,31.34,159800,0.0,8.64,-8.64,-3.0,0.56
SBA通信-A,SBAC,2001-01-26,31.42,31.65,32.09,30.59,501100,0.0,4.73,-0.22,-0.07,1.75
SBA通信-A,SBAC,2001-01-29,30.72,32.03,32.34,30.72,228300,0.0,5.12,1.2,0.38,0.8
SBA通信-A,SBAC,2001-01-30,32.28,33.84,34.01,31.34,407700,0.0,8.34,5.65,1.81,1.42
SBA通信-A,SBAC,2001-01-31,34.07,34.15,35.28,33.78,787600,0.0,4.43,0.92,0.31,2.75
