股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
三宝农业,838646,2016-11-01,3.0,3.0,3.0,3.0,10000,9000000.0,0.0,0.0,0.0,10.57
三宝农业,838646,2017-03-09,1.87,1.87,1.87,1.87,400,224000.0,0.0,-37.67,-1.13,0.42
三宝农业,838646,2017-03-13,1.87,1.87,1.87,1.87,2100,1176000.0,0.0,0.0,0.0,2.22
三宝农业,838646,2017-04-11,3.0,3.0,3.0,3.0,1000,900000.0,0.0,60.43,1.13,1.06
三宝农业,838646,2017-04-12,3.0,3.0,3.0,3.0,1600,1440000.0,0.0,0.0,0.0,1.69
三宝农业,838646,2017-05-02,3.0,3.0,3.0,3.0,3400,3060000.0,0.0,0.0,0.0,3.59
三宝农业,838646,2018-04-19,2.0,2.0,2.0,2.0,10,2000.0,0.0,-33.33,-1.0,0.01
三宝农业,838646,2018-04-26,2.0,2.0,2.0,2.0,240,48000.0,0.0,0.0,0.0,0.25
三宝农业,838646,2018-04-27,2.0,2.0,2.0,2.0,250,50000.0,0.0,0.0,0.0,0.26
三宝农业,838646,2018-05-24,2.0,2.0,2.0,2.0,510,102000.0,0.0,0.0,0.0,0.54
三宝农业,838646,2019-03-21,1.3,1.3,1.3,1.3,4990,648700.0,0.0,-35.0,-0.7,5.27
三宝农业,838646,2019-03-27,1.3,1.3,1.3,1.3,2500,325000.0,0.0,0.0,0.0,2.64
三宝农业,838646,2020-05-20,0.65,0.65,0.65,0.65,2,130.0,0.0,-50.0,-0.65,0.0
三宝农业,838646,2020-05-21,0.33,0.33,0.33,0.33,3,99.0,0.0,-49.23,-0.32,0.0
三宝农业,838646,2020-05-22,0.17,0.17,0.17,0.17,470,7990.0,0.0,-48.48,-0.16,0.5
三宝农业,838646,2021-09-30,0.2,0.2,0.2,0.2,300,6000.0,0.0,17.65,0.03,0.32
三宝农业,838646,2021-10-08,0.23,0.23,0.23,0.23,10,230.0,0.0,15.0,0.03,0.01
三宝农业,838646,2021-10-11,0.23,0.46,0.46,0.23,254,5873.0,100.0,100.0,0.23,0.27
三宝农业,838646,2022-07-08,0.91,0.9,0.91,0.9,13,1171.0,2.17,95.65,0.44,0.01
三宝农业,838646,2022-07-12,1.78,1.78,1.78,1.78,1,178.0,0.0,97.78,0.88,0.0
三宝农业,838646,2022-07-21,1.78,1.78,1.78,1.78,1,178.0,0.0,0.0,0.0,0.0
