股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
硅谷银行,SIVBQ,2013-06-20,74.55,76.29,76.83,74.43,408252,0.0,0.0,0.0,0.0,0.69
硅谷银行,SIVBQ,2013-06-21,76.89,78.75,79.39,76.53,993637,0.0,3.75,3.22,2.46,1.68
硅谷银行,SIVBQ,2013-06-24,78.52,80.39,80.88,78.15,480606,0.0,3.47,2.08,1.64,0.81
硅谷银行,SIVBQ,2013-06-25,81.06,81.81,82.08,80.34,633709,0.0,2.16,1.77,1.42,1.07
硅谷银行,SIVBQ,2013-06-26,82.31,81.69,82.58,81.18,485404,0.0,1.71,-0.15,-0.12,0.82
硅谷银行,SIVBQ,2013-06-27,82.07,82.87,83.55,81.71,368033,0.0,2.25,1.44,1.18,0.62
硅谷银行,SIVBQ,2013-06-28,82.81,83.32,83.91,82.33,326023,0.0,1.91,0.54,0.45,0.55
硅谷银行,SIVBQ,2013-07-01,83.8,86.08,86.83,83.5,484651,0.0,4.0,3.31,2.76,0.82
硅谷银行,SIVBQ,2013-07-02,86.29,86.74,87.45,85.67,366590,0.0,2.07,0.77,0.66,0.62
硅谷银行,SIVBQ,2013-07-03,86.06,86.52,87.0,85.83,130422,0.0,1.35,-0.25,-0.22,0.22
硅谷银行,SIVBQ,2013-07-05,86.83,89.87,89.95,86.83,349159,0.0,3.61,3.87,3.35,0.59
硅谷银行,SIVBQ,2013-07-08,90.17,90.12,90.51,89.5,290239,0.0,1.12,0.28,0.25,0.49
硅谷银行,SIVBQ,2013-07-09,90.37,90.17,90.91,88.95,260145,0.0,2.17,0.06,0.05,0.44
硅谷银行,SIVBQ,2013-07-10,90.05,89.01,90.18,88.47,206311,0.0,1.9,-1.29,-1.16,0.35
硅谷银行,SIVBQ,2013-07-11,89.41,86.75,89.45,86.33,405150,0.0,3.51,-2.54,-2.26,0.68
硅谷银行,SIVBQ,2013-07-12,86.95,86.94,87.4,86.66,371214,0.0,0.85,0.22,0.19,0.63
硅谷银行,SIVBQ,2013-07-15,87.35,86.85,87.6,86.0,659911,0.0,1.84,-0.1,-0.09,1.11
硅谷银行,SIVBQ,2013-07-16,87.27,86.09,87.5,84.92,432757,0.0,2.97,-0.88,-0.76,0.73
硅谷银行,SIVBQ,2013-07-17,85.96,86.04,86.81,85.68,349202,0.0,1.31,-0.06,-0.05,0.59
硅谷银行,SIVBQ,2013-07-18,86.44,88.24,88.32,86.44,236537,0.0,2.19,2.56,2.2,0.4
硅谷银行,SIVBQ,2013-07-19,87.68,88.23,88.43,87.68,153479,0.0,0.85,-0.01,-0.01,0.26
硅谷银行,SIVBQ,2013-07-22,88.28,89.9,90.02,88.02,175643,0.0,2.27,1.89,1.67,0.3
硅谷银行,SIVBQ,2013-07-23,90.01,90.28,90.54,88.93,288660,0.0,1.79,0.42,0.38,0.49
硅谷银行,SIVBQ,2013-07-24,90.24,90.1,91.12,89.76,339137,0.0,1.51,-0.2,-0.18,0.57
硅谷银行,SIVBQ,2013-07-25,89.82,89.71,90.72,89.07,305964,0.0,1.83,-0.43,-0.39,0.52
硅谷银行,SIVBQ,2013-07-26,89.83,89.26,91.46,85.87,595023,0.0,6.23,-0.5,-0.45,1.0
硅谷银行,SIVBQ,2013-07-29,89.18,87.67,89.47,87.47,259130,0.0,2.24,-1.78,-1.59,0.44
硅谷银行,SIVBQ,2013-07-30,87.7,87.54,89.08,87.32,285854,0.0,2.01,-0.15,-0.13,0.48
硅谷银行,SIVBQ,2013-07-31,87.47,87.23,88.94,87.2,431411,0.0,1.99,-0.35,-0.31,0.73
硅谷银行,SIVBQ,2013-08-01,88.22,89.25,89.52,87.0,475818,0.0,2.89,2.32,2.02,0.8
硅谷银行,SIVBQ,2013-08-02,88.95,88.5,89.43,88.22,223461,0.0,1.36,-0.84,-0.75,0.38
硅谷银行,SIVBQ,2013-08-05,88.42,88.42,89.11,88.08,158906,0.0,1.16,-0.09,-0.08,0.27
硅谷银行,SIVBQ,2013-08-06,88.02,87.12,88.49,86.78,176980,0.0,1.93,-1.47,-1.3,0.3
硅谷银行,SIVBQ,2013-08-07,86.98,86.67,86.99,85.72,164829,0.0,1.46,-0.52,-0.45,0.28
硅谷银行,SIVBQ,2013-08-08,87.23,87.39,87.75,86.24,108356,0.0,1.74,0.83,0.72,0.18
硅谷银行,SIVBQ,2013-08-09,87.34,87.05,88.03,86.85,120163,0.0,1.35,-0.39,-0.34,0.2
硅谷银行,SIVBQ,2013-08-13,86.48,87.94,87.96,86.07,150870,0.0,2.17,1.02,0.89,0.25
硅谷银行,SIVBQ,2013-08-14,88.12,87.61,88.6,87.28,107879,0.0,1.5,-0.38,-0.33,0.18
硅谷银行,SIVBQ,2013-08-15,87.31,86.16,87.45,85.77,148397,0.0,1.92,-1.66,-1.45,0.25
硅谷银行,SIVBQ,2013-08-16,85.79,87.52,87.79,85.79,203466,0.0,2.32,1.58,1.36,0.34
硅谷银行,SIVBQ,2013-08-19,87.25,86.3,87.66,85.91,146718,0.0,2.0,-1.39,-1.22,0.25
硅谷银行,SIVBQ,2013-08-20,86.16,87.83,88.3,86.1,197386,0.0,2.55,1.77,1.53,0.33
硅谷银行,SIVBQ,2013-08-21,87.62,88.0,88.92,87.22,204402,0.0,1.94,0.19,0.17,0.34
硅谷银行,SIVBQ,2013-08-22,87.9,88.84,89.25,87.6,84219,0.0,1.88,0.95,0.84,0.14
硅谷银行,SIVBQ,2013-08-23,88.89,88.24,89.97,87.61,82149,0.0,2.66,-0.68,-0.6,0.14
硅谷银行,SIVBQ,2013-08-26,88.18,86.88,88.87,86.57,162205,0.0,2.61,-1.54,-1.36,0.27
硅谷银行,SIVBQ,2013-08-27,86.19,84.04,86.19,83.78,128095,0.0,2.77,-3.27,-2.84,0.22
硅谷银行,SIVBQ,2013-08-28,84.1,84.29,84.55,83.64,318665,0.0,1.08,0.3,0.25,0.54
硅谷银行,SIVBQ,2013-08-29,84.2,84.55,86.02,84.2,108889,0.0,2.16,0.31,0.26,0.18
硅谷银行,SIVBQ,2013-08-30,84.52,82.8,84.54,82.28,247567,0.0,2.67,-2.07,-1.75,0.42
硅谷银行,SIVBQ,2013-09-03,83.58,82.75,84.84,81.85,410460,0.0,3.61,-0.06,-0.05,0.69
