股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
深粮B,200019,2000-01-04,-0.21,-0.22,-0.21,-0.34,6,1401.0,-43.33,26.67,0.08,0.0
深粮B,200019,2000-01-05,-0.21,-0.26,-0.21,-0.32,88,19000.0,-50.0,-18.18,-0.04,0.03
深粮B,200019,2000-01-06,-0.26,-0.26,-0.26,-0.26,70,15000.0,0.0,0.0,0.0,0.03
深粮B,200019,2000-01-07,-0.23,-0.23,-0.23,-0.3,1036,235000.0,-26.92,11.54,0.03,0.4
深粮B,200019,2000-01-10,-0.26,-0.25,-0.24,-0.29,789,176000.0,-21.74,-8.7,-0.02,0.3
深粮B,200019,2000-01-11,-0.26,-0.28,-0.26,-0.31,32,6958.0,-20.0,-12.0,-0.03,0.01
深粮B,200019,2000-01-12,-0.29,-0.28,-0.22,-0.38,177,38000.0,-57.14,0.0,0.0,0.07
深粮B,200019,2000-01-13,-0.33,-0.33,-0.26,-0.38,105,22000.0,-42.86,-17.86,-0.05,0.04
深粮B,200019,2000-01-14,-0.44,-0.35,-0.29,-0.44,35,7000.0,-45.45,-6.06,-0.02,0.01
深粮B,200019,2000-01-17,-0.29,-0.38,-0.29,-0.46,1599,315000.0,-48.57,-8.57,-0.03,0.61
深粮B,200019,2000-01-18,-0.45,-0.37,-0.32,-0.45,125,25000.0,-34.21,2.63,0.01,0.05
深粮B,200019,2000-01-19,-0.41,-0.37,-0.33,-0.41,84,16912.0,-21.62,0.0,0.0,0.03
深粮B,200019,2000-01-20,-0.48,-0.34,-0.34,-0.48,9,1858.0,-37.84,8.11,0.03,0.0
深粮B,200019,2000-01-21,-0.36,-0.36,-0.29,-0.37,303,61000.0,-23.53,-5.88,-0.02,0.12
深粮B,200019,2000-01-24,-0.41,-0.33,-0.32,-0.41,202,39000.0,-25.0,8.33,0.03,0.08
深粮B,200019,2000-01-25,-0.38,-0.38,-0.38,-0.38,345,69000.0,0.0,-15.15,-0.05,0.13
深粮B,200019,2000-01-26,-0.48,-0.33,-0.33,-0.48,16,3226.0,-39.47,13.16,0.05,0.01
深粮B,200019,2000-01-27,-0.37,-0.29,-0.29,-0.38,302,60000.0,-27.27,12.12,0.04,0.12
深粮B,200019,2000-01-28,-0.28,-0.28,-0.28,-0.38,613,125000.0,-34.48,3.45,0.01,0.23
深粮B,200019,2000-02-14,-0.36,-0.18,-0.17,-0.36,922,218000.0,-67.86,35.71,0.1,0.35
深粮B,200019,2000-02-15,-0.17,-0.15,-0.1,-0.18,1290,316000.0,-44.44,16.67,0.03,0.49
深粮B,200019,2000-02-16,-0.15,-0.16,-0.15,-0.23,523,124000.0,-53.33,-6.67,-0.01,0.2
深粮B,200019,2000-02-17,-0.16,-0.16,-0.16,-0.21,346,81000.0,-31.25,0.0,0.0,0.13
深粮B,200019,2000-02-18,-0.16,-0.18,-0.16,-0.28,956,214000.0,-75.0,-12.5,-0.02,0.37
