股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
南方电力,SO,2000-01-03,-24.17,-24.48,-23.93,-24.48,2264200,0.0,-2.32,-3.12,-0.74,0.34
南方电力,SO,2000-01-04,-24.61,-24.24,-24.11,-24.61,1406500,0.0,-2.04,0.98,0.24,0.21
南方电力,SO,2000-01-05,-24.11,-23.06,-22.88,-24.11,1874000,0.0,-5.07,4.87,1.18,0.28
南方电力,SO,2000-01-06,-22.82,-23.0,-22.57,-23.06,1570400,0.0,-2.12,0.26,0.06,0.24
南方电力,SO,2000-01-07,-22.69,-22.57,-22.45,-22.82,1676500,0.0,-1.61,1.87,0.43,0.25
南方电力,SO,2000-01-10,-22.69,-22.76,-22.45,-22.88,1086300,0.0,-1.91,-0.84,-0.19,0.16
南方电力,SO,2000-01-11,-22.88,-22.94,-22.69,-23.0,830400,0.0,-1.36,-0.79,-0.18,0.12
南方电力,SO,2000-01-12,-23.0,-22.51,-22.32,-23.0,1233900,0.0,-2.96,1.87,0.43,0.19
南方电力,SO,2000-01-13,-22.57,-22.82,-22.51,-22.94,1290300,0.0,-1.91,-1.38,-0.31,0.19
南方电力,SO,2000-01-14,-22.88,-23.13,-22.76,-23.31,1023900,0.0,-2.41,-1.36,-0.31,0.15
南方电力,SO,2000-01-18,-23.56,-23.87,-23.43,-23.87,911400,0.0,-1.9,-3.2,-0.74,0.14
南方电力,SO,2000-01-19,-23.93,-23.31,-23.13,-23.93,856000,0.0,-3.35,2.35,0.56,0.13
南方电力,SO,2000-01-20,-23.62,-23.43,-23.31,-23.74,1200000,0.0,-1.84,-0.51,-0.12,0.18
南方电力,SO,2000-01-21,-23.13,-22.76,-22.51,-23.31,1542400,0.0,-3.41,2.86,0.67,0.23
南方电力,SO,2000-01-24,-22.63,-22.14,-22.02,-22.63,1547900,0.0,-2.68,2.72,0.62,0.23
南方电力,SO,2000-01-25,-22.2,-21.89,-21.89,-22.51,2145900,0.0,-2.8,1.13,0.25,0.32
南方电力,SO,2000-01-26,-21.89,-21.77,-21.65,-22.02,1473100,0.0,-1.69,0.55,0.12,0.22
南方电力,SO,2000-01-27,-21.77,-21.71,-21.4,-21.77,1174700,0.0,-1.7,0.28,0.06,0.18
南方电力,SO,2000-01-28,-21.71,-21.95,-21.52,-22.14,1919100,0.0,-2.86,-1.11,-0.24,0.29
南方电力,SO,2000-01-31,-21.95,-21.58,-21.52,-22.02,1270600,0.0,-2.28,1.69,0.37,0.19
南方电力,SO,2000-02-01,-21.65,-21.89,-21.4,-21.89,1386000,0.0,-2.27,-1.44,-0.31,0.21
南方电力,SO,2000-02-02,-22.02,-22.08,-21.83,-22.14,2125800,0.0,-1.42,-0.87,-0.19,0.32
南方电力,SO,2000-02-03,-21.76,-21.5,-21.07,-21.76,2035500,0.0,-3.13,2.63,0.58,0.31
南方电力,SO,2000-02-04,-21.26,-22.07,-21.26,-22.07,1656200,0.0,-3.77,-2.65,-0.57,0.25
南方电力,SO,2000-02-07,-22.19,-22.07,-21.94,-22.19,772600,0.0,-1.13,0.0,0.0,0.12
南方电力,SO,2000-02-08,-22.13,-21.94,-21.44,-22.13,756400,0.0,-3.13,0.59,0.13,0.11
南方电力,SO,2000-02-09,-22.0,-22.13,-21.76,-22.19,1477100,0.0,-1.96,-0.87,-0.19,0.22
南方电力,SO,2000-02-10,-22.13,-21.88,-21.69,-22.13,1496600,0.0,-1.99,1.13,0.25,0.22
南方电力,SO,2000-02-11,-21.82,-22.0,-21.82,-22.13,1481600,0.0,-1.42,-0.55,-0.12,0.22
南方电力,SO,2000-02-14,-22.0,-22.0,-21.69,-22.13,739600,0.0,-2.0,0.0,0.0,0.11
南方电力,SO,2000-02-15,-22.0,-22.07,-21.88,-22.19,1241100,0.0,-1.41,-0.32,-0.07,0.19
