股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
西蒙地产,SPG,2000-01-03,-86.06,-86.25,-85.81,-86.56,326100,0.0,-0.87,-0.37,-0.32,0.19
西蒙地产,SPG,2000-01-04,-86.31,-86.5,-86.18,-87.0,337700,0.0,-0.95,-0.29,-0.25,0.2
西蒙地产,SPG,2000-01-05,-86.87,-86.31,-86.25,-86.87,233900,0.0,-0.72,0.22,0.19,0.14
西蒙地产,SPG,2000-01-06,-86.25,-85.75,-85.75,-86.37,204500,0.0,-0.72,0.65,0.56,0.12
西蒙地产,SPG,2000-01-07,-85.81,-84.75,-84.68,-85.87,291400,0.0,-1.39,1.17,1.0,0.17
西蒙地产,SPG,2000-01-10,-84.62,-84.5,-84.5,-85.18,302500,0.0,-0.8,0.29,0.25,0.18
西蒙地产,SPG,2000-01-11,-84.25,-84.56,-84.12,-84.68,358900,0.0,-0.66,-0.07,-0.06,0.21
西蒙地产,SPG,2000-01-12,-84.81,-84.56,-84.56,-84.93,390200,0.0,-0.44,0.0,0.0,0.23
西蒙地产,SPG,2000-01-13,-84.75,-84.56,-84.56,-84.93,307300,0.0,-0.44,0.0,0.0,0.18
西蒙地产,SPG,2000-01-14,-84.56,-84.18,-84.18,-84.62,382800,0.0,-0.52,0.45,0.38,0.22
西蒙地产,SPG,2000-01-18,-84.18,-84.06,-83.93,-84.37,373300,0.0,-0.52,0.14,0.12,0.22
西蒙地产,SPG,2000-01-19,-84.12,-83.93,-83.87,-84.18,234500,0.0,-0.37,0.15,0.13,0.14
西蒙地产,SPG,2000-01-20,-83.87,-83.81,-83.81,-84.06,165600,0.0,-0.3,0.14,0.12,0.1
西蒙地产,SPG,2000-01-21,-83.93,-83.5,-83.5,-83.93,331300,0.0,-0.51,0.37,0.31,0.19
西蒙地产,SPG,2000-01-24,-83.62,-83.75,-83.37,-83.93,217800,0.0,-0.67,-0.3,-0.25,0.13
西蒙地产,SPG,2000-01-25,-83.75,-84.0,-83.62,-84.06,282200,0.0,-0.53,-0.3,-0.25,0.16
西蒙地产,SPG,2000-01-26,-84.06,-83.93,-83.93,-84.12,183600,0.0,-0.23,0.08,0.07,0.11
西蒙地产,SPG,2000-01-27,-83.81,-83.81,-83.75,-84.0,238300,0.0,-0.3,0.14,0.12,0.14
西蒙地产,SPG,2000-01-28,-83.81,-83.93,-83.81,-84.06,111700,0.0,-0.3,-0.14,-0.12,0.06
西蒙地产,SPG,2000-01-31,-83.87,-84.18,-83.81,-84.25,134700,0.0,-0.52,-0.3,-0.25,0.08
西蒙地产,SPG,2000-02-01,-84.06,-84.06,-83.87,-84.25,358400,0.0,-0.45,0.14,0.12,0.21
西蒙地产,SPG,2000-02-02,-84.12,-84.12,-83.93,-84.31,406100,0.0,-0.45,-0.07,-0.06,0.23
西蒙地产,SPG,2000-02-03,-84.0,-83.75,-83.75,-84.37,472000,0.0,-0.74,0.44,0.37,0.27
西蒙地产,SPG,2000-02-04,-83.81,-83.62,-83.56,-83.87,341400,0.0,-0.37,0.16,0.13,0.2
西蒙地产,SPG,2000-02-07,-83.62,-83.75,-83.56,-83.87,247500,0.0,-0.37,-0.16,-0.13,0.14
西蒙地产,SPG,2000-02-08,-83.93,-84.0,-83.68,-84.25,428400,0.0,-0.68,-0.3,-0.25,0.25
西蒙地产,SPG,2000-02-09,-84.06,-84.06,-83.93,-84.31,271700,0.0,-0.45,-0.07,-0.06,0.16
西蒙地产,SPG,2000-02-10,-83.87,-84.18,-83.43,-84.31,181600,0.0,-1.05,-0.14,-0.12,0.11
西蒙地产,SPG,2000-02-11,-84.31,-84.43,-84.18,-84.5,243100,0.0,-0.38,-0.3,-0.25,0.14
西蒙地产,SPG,2000-02-14,-84.5,-84.81,-84.5,-85.0,228100,0.0,-0.59,-0.45,-0.38,0.13
西蒙地产,SPG,2000-02-15,-84.87,-85.06,-84.87,-85.12,305000,0.0,-0.29,-0.29,-0.25,0.18
西蒙地产,SPG,2000-02-16,-85.31,-85.31,-85.0,-85.5,290000,0.0,-0.59,-0.29,-0.25,0.17
