股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
桑普拉能源,SRE,2000-01-03,-20.02,-19.99,-19.87,-20.21,512400,0.0,-1.7,-0.15,-0.03,0.22
桑普拉能源,SRE,2000-01-04,-20.02,-19.9,-19.78,-20.02,731100,0.0,-1.2,0.45,0.09,0.31
桑普拉能源,SRE,2000-01-05,-19.78,-19.72,-19.56,-19.81,1481700,0.0,-1.26,0.9,0.18,0.62
桑普拉能源,SRE,2000-01-06,-19.65,-19.47,-19.41,-19.78,427300,0.0,-1.88,1.27,0.25,0.18
桑普拉能源,SRE,2000-01-07,-19.44,-19.65,-19.41,-19.72,460000,0.0,-1.59,-0.92,-0.18,0.19
桑普拉能源,SRE,2000-01-10,-19.59,-19.75,-19.56,-19.78,427700,0.0,-1.12,-0.51,-0.1,0.18
桑普拉能源,SRE,2000-01-11,-20.12,-20.21,-20.12,-20.52,1899000,0.0,-2.03,-2.33,-0.46,0.8
桑普拉能源,SRE,2000-01-12,-20.24,-19.84,-19.84,-20.27,864200,0.0,-2.13,1.83,0.37,0.36
桑普拉能源,SRE,2000-01-13,-19.93,-19.9,-19.81,-20.05,437400,0.0,-1.21,-0.3,-0.06,0.18
桑普拉能源,SRE,2000-01-14,-19.96,-19.93,-19.93,-20.21,726000,0.0,-1.41,-0.15,-0.03,0.31
桑普拉能源,SRE,2000-01-18,-19.99,-19.99,-19.93,-20.12,699000,0.0,-0.95,-0.3,-0.06,0.29
桑普拉能源,SRE,2000-01-19,-19.96,-20.02,-19.96,-20.15,2051500,0.0,-0.95,-0.15,-0.03,0.86
桑普拉能源,SRE,2000-01-20,-20.12,-20.05,-20.05,-20.12,545900,0.0,-0.35,-0.15,-0.03,0.23
桑普拉能源,SRE,2000-01-21,-20.05,-19.93,-19.93,-20.15,824500,0.0,-1.1,0.6,0.12,0.35
桑普拉能源,SRE,2000-01-24,-20.05,-20.05,-19.96,-20.09,559400,0.0,-0.65,-0.6,-0.12,0.24
桑普拉能源,SRE,2000-01-25,-20.09,-20.02,-19.93,-20.18,570200,0.0,-1.25,0.15,0.03,0.24
桑普拉能源,SRE,2000-01-26,-19.25,-19.35,-19.1,-19.65,4601100,0.0,-2.75,3.35,0.67,1.94
桑普拉能源,SRE,2000-01-27,-19.41,-19.5,-19.41,-19.62,1234600,0.0,-1.09,-0.78,-0.15,0.52
桑普拉能源,SRE,2000-01-28,-19.53,-19.59,-19.5,-19.68,899100,0.0,-0.92,-0.46,-0.09,0.38
桑普拉能源,SRE,2000-01-31,-19.59,-19.38,-19.31,-19.62,636700,0.0,-1.58,1.07,0.21,0.27
桑普拉能源,SRE,2000-02-01,-19.44,-19.31,-19.31,-19.44,484400,0.0,-0.67,0.36,0.07,0.2
桑普拉能源,SRE,2000-02-02,-19.38,-19.28,-19.16,-19.38,657700,0.0,-1.14,0.16,0.03,0.28
桑普拉能源,SRE,2000-02-03,-19.22,-19.16,-19.04,-19.25,838600,0.0,-1.09,0.62,0.12,0.35
桑普拉能源,SRE,2000-02-04,-19.16,-19.16,-19.13,-19.22,956100,0.0,-0.47,0.0,0.0,0.4
桑普拉能源,SRE,2000-02-07,-19.16,-19.13,-19.07,-19.19,967300,0.0,-0.63,0.16,0.03,0.41
桑普拉能源,SRE,2000-02-08,-19.16,-19.13,-19.1,-19.16,886200,0.0,-0.31,0.0,0.0,0.37
桑普拉能源,SRE,2000-02-09,-19.13,-19.28,-19.07,-19.28,840600,0.0,-1.1,-0.78,-0.15,0.35
桑普拉能源,SRE,2000-02-10,-19.22,-19.28,-19.16,-19.35,1013500,0.0,-0.99,0.0,0.0,0.43
桑普拉能源,SRE,2000-02-11,-19.28,-19.25,-19.22,-19.35,536000,0.0,-0.67,0.16,0.03,0.23
桑普拉能源,SRE,2000-02-14,-19.25,-19.25,-19.16,-19.28,2229700,0.0,-0.62,0.0,0.0,0.94
桑普拉能源,SRE,2000-02-15,-19.25,-19.22,-19.19,-19.28,684900,0.0,-0.47,0.16,0.03,0.29
