股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
希捷科技,STX,2002-12-11,-18.81,-18.81,-18.31,-19.06,36551200,0.0,-4.1,-2.73,-0.5,8.57
希捷科技,STX,2002-12-12,-18.81,-19.13,-18.72,-19.29,9195600,0.0,-3.03,-1.7,-0.32,2.16
希捷科技,STX,2002-12-13,-19.21,-18.89,-18.66,-19.36,7739400,0.0,-3.66,1.25,0.24,1.81
希捷科技,STX,2002-12-16,-18.99,-18.7,-18.69,-19.18,3836400,0.0,-2.59,1.01,0.19,0.9
希捷科技,STX,2002-12-17,-18.71,-18.81,-18.53,-18.86,2729900,0.0,-1.76,-0.59,-0.11,0.64
希捷科技,STX,2002-12-18,-18.51,-19.11,-18.51,-19.18,2152800,0.0,-3.56,-1.59,-0.3,0.5
希捷科技,STX,2002-12-19,-19.11,-19.55,-19.11,-19.6,6450800,0.0,-2.56,-2.3,-0.44,1.51
希捷科技,STX,2002-12-20,-19.46,-19.5,-19.37,-19.75,2930900,0.0,-1.94,0.26,0.05,0.69
希捷科技,STX,2002-12-23,-19.6,-19.91,-19.6,-20.11,3455900,0.0,-2.62,-2.1,-0.41,0.81
希捷科技,STX,2002-12-24,-19.91,-20.07,-19.86,-20.31,3302500,0.0,-2.26,-0.8,-0.16,0.77
希捷科技,STX,2002-12-26,-20.26,-20.28,-20.11,-20.31,2019200,0.0,-1.0,-1.05,-0.21,0.47
希捷科技,STX,2002-12-27,-20.31,-20.18,-20.18,-20.45,1639400,0.0,-1.33,0.49,0.1,0.38
希捷科技,STX,2002-12-30,-19.94,-19.84,-19.76,-20.31,2742800,0.0,-2.73,1.68,0.34,0.64
希捷科技,STX,2002-12-31,-20.01,-19.58,-19.35,-20.01,3730800,0.0,-3.33,1.31,0.26,0.87
希捷科技,STX,2003-01-02,-19.56,-19.81,-19.55,-20.06,3473000,0.0,-2.6,-1.17,-0.23,0.81
希捷科技,STX,2003-01-03,-19.81,-19.56,-19.56,-19.98,1716600,0.0,-2.12,1.26,0.25,0.4
希捷科技,STX,2003-01-06,-19.41,-18.88,-18.74,-19.46,4041400,0.0,-3.68,3.48,0.68,0.95
希捷科技,STX,2003-01-07,-18.81,-18.06,-18.06,-18.91,6823500,0.0,-4.5,4.34,0.82,1.6
希捷科技,STX,2003-01-08,-18.26,-18.11,-18.07,-18.36,4623100,0.0,-1.61,-0.28,-0.05,1.08
希捷科技,STX,2003-01-09,-18.01,-17.71,-17.36,-18.06,9553400,0.0,-3.87,2.21,0.4,2.24
希捷科技,STX,2003-01-10,-18.81,-19.21,-17.71,-19.61,7554700,0.0,-10.73,-8.47,-1.5,1.77
希捷科技,STX,2003-01-13,-19.1,-20.08,-19.03,-20.16,2834700,0.0,-5.88,-4.53,-0.87,0.66
希捷科技,STX,2003-01-14,-20.08,-20.06,-19.96,-20.31,1629200,0.0,-1.74,0.1,0.02,0.38
希捷科技,STX,2003-01-15,-19.8,-19.54,-19.43,-20.12,2588100,0.0,-3.44,2.59,0.52,0.61
希捷科技,STX,2003-01-16,-19.33,-19.3,-19.21,-19.53,1443400,0.0,-1.64,1.23,0.24,0.34
希捷科技,STX,2003-01-17,-19.61,-19.51,-19.31,-19.91,2000000,0.0,-3.11,-1.09,-0.21,0.47
希捷科技,STX,2003-01-21,-19.41,-20.07,-19.33,-20.1,1165700,0.0,-3.95,-2.87,-0.56,0.27
希捷科技,STX,2003-01-22,-19.97,-20.79,-19.97,-21.01,3488500,0.0,-5.18,-3.59,-0.72,0.82
希捷科技,STX,2003-01-23,-20.56,-20.31,-20.16,-20.7,2498200,0.0,-2.6,2.31,0.48,0.59
希捷科技,STX,2003-01-24,-20.14,-20.36,-19.88,-20.51,2772100,0.0,-3.1,-0.25,-0.05,0.65
希捷科技,STX,2003-01-27,-20.51,-20.96,-20.41,-20.99,1150600,0.0,-2.85,-2.95,-0.6,0.27
希捷科技,STX,2003-01-28,-20.88,-20.91,-20.6,-20.91,1267000,0.0,-1.48,0.24,0.05,0.3
希捷科技,STX,2003-01-29,-20.89,-20.58,-20.39,-20.91,1174400,0.0,-2.49,1.58,0.33,0.28
希捷科技,STX,2003-01-30,-20.52,-20.91,-20.42,-20.91,720700,0.0,-2.38,-1.6,-0.33,0.17
希捷科技,STX,2003-01-31,-21.01,-21.13,-20.97,-21.32,1402500,0.0,-1.67,-1.05,-0.22,0.33
希捷科技,STX,2003-02-03,-21.08,-21.14,-20.86,-21.15,1002400,0.0,-1.37,-0.05,-0.01,0.24
希捷科技,STX,2003-02-04,-21.13,-21.26,-21.13,-21.36,1087700,0.0,-1.09,-0.57,-0.12,0.26
希捷科技,STX,2003-02-05,-21.19,-21.26,-21.1,-21.33,1233500,0.0,-1.08,0.0,0.0,0.29
希捷科技,STX,2003-02-06,-21.21,-21.26,-20.97,-21.28,923500,0.0,-1.46,0.0,0.0,0.22
希捷科技,STX,2003-02-07,-21.16,-21.31,-21.14,-21.35,1069500,0.0,-0.99,-0.24,-0.05,0.25
希捷科技,STX,2003-02-10,-21.36,-21.61,-21.36,-22.53,10046400,0.0,-5.49,-1.41,-0.3,2.36
希捷科技,STX,2003-02-11,-21.61,-21.38,-21.38,-22.08,2238900,0.0,-3.24,1.06,0.23,0.52
希捷科技,STX,2003-02-12,-21.33,-21.94,-21.33,-22.1,1726000,0.0,-3.6,-2.62,-0.56,0.4
希捷科技,STX,2003-02-13,-21.93,-22.22,-21.83,-22.28,2111000,0.0,-2.05,-1.28,-0.28,0.49
希捷科技,STX,2003-02-14,-22.22,-21.88,-21.88,-22.22,881000,0.0,-1.53,1.53,0.34,0.21
希捷科技,STX,2003-02-18,-21.88,-21.54,-21.54,-21.89,2049100,0.0,-1.6,1.55,0.34,0.48
希捷科技,STX,2003-02-19,-21.47,-21.29,-21.28,-21.54,1506300,0.0,-1.21,1.16,0.25,0.35
希捷科技,STX,2003-02-20,-21.39,-21.27,-21.13,-21.41,760000,0.0,-1.32,0.09,0.02,0.18
希捷科技,STX,2003-02-21,-21.25,-21.08,-20.92,-21.25,1519300,0.0,-1.55,0.89,0.19,0.36
希捷科技,STX,2003-02-24,-21.03,-21.28,-20.88,-21.4,1055600,0.0,-2.47,-0.95,-0.2,0.25
希捷科技,STX,2003-02-25,-21.28,-20.6,-20.53,-21.31,3049400,0.0,-3.67,3.2,0.68,0.72
希捷科技,STX,2003-02-26,-20.63,-20.76,-20.54,-20.86,782300,0.0,-1.55,-0.78,-0.16,0.18
希捷科技,STX,2003-02-27,-20.86,-20.83,-20.59,-20.96,387000,0.0,-1.78,-0.34,-0.07,0.09
希捷科技,STX,2003-02-28,-20.78,-21.01,-20.78,-21.1,808500,0.0,-1.54,-0.86,-0.18,0.19
希捷科技,STX,2003-03-03,-21.03,-20.98,-20.76,-21.06,575800,0.0,-1.43,0.14,0.03,0.14
希捷科技,STX,2003-03-04,-20.95,-21.01,-20.89,-21.08,517600,0.0,-0.91,-0.14,-0.03,0.12
希捷科技,STX,2003-03-05,-21.05,-20.99,-20.86,-21.14,1017700,0.0,-1.33,0.1,0.02,0.24
希捷科技,STX,2003-03-06,-21.09,-20.7,-20.53,-21.09,1481100,0.0,-2.67,1.38,0.29,0.35
希捷科技,STX,2003-03-07,-20.8,-20.58,-20.44,-20.89,898800,0.0,-2.17,0.58,0.12,0.21
希捷科技,STX,2003-03-10,-20.83,-20.52,-20.52,-20.83,1837100,0.0,-1.51,0.29,0.06,0.43
希捷科技,STX,2003-03-11,-20.58,-20.73,-20.53,-20.83,1960400,0.0,-1.46,-1.02,-0.21,0.46
希捷科技,STX,2003-03-12,-20.93,-21.25,-20.88,-21.33,4556400,0.0,-2.17,-2.51,-0.52,1.07
希捷科技,STX,2003-03-13,-21.25,-21.23,-21.13,-21.4,4223600,0.0,-1.27,0.09,0.02,0.99
希捷科技,STX,2003-03-14,-21.26,-21.32,-21.18,-21.53,2401400,0.0,-1.65,-0.42,-0.09,0.56
希捷科技,STX,2003-03-17,-21.32,-20.93,-20.85,-21.43,994400,0.0,-2.72,1.83,0.39,0.23
希捷科技,STX,2003-03-18,-20.93,-20.74,-20.72,-20.93,782500,0.0,-1.0,0.91,0.19,0.18
希捷科技,STX,2003-03-19,-20.83,-20.94,-20.77,-21.1,874000,0.0,-1.59,-0.96,-0.2,0.2
希捷科技,STX,2003-03-20,-21.03,-20.84,-20.83,-21.08,1609600,0.0,-1.19,0.48,0.1,0.38
希捷科技,STX,2003-03-21,-20.78,-20.48,-20.29,-20.88,2559900,0.0,-2.83,1.73,0.36,0.6
希捷科技,STX,2003-03-24,-20.83,-20.73,-20.52,-20.85,1945600,0.0,-1.61,-1.22,-0.25,0.46
希捷科技,STX,2003-03-25,-20.78,-20.28,-20.06,-20.83,4664700,0.0,-3.71,2.17,0.45,1.09
希捷科技,STX,2003-03-26,-20.43,-20.18,-20.09,-20.53,2908700,0.0,-2.17,0.49,0.1,0.68
希捷科技,STX,2003-03-27,-20.33,-19.4,-19.39,-20.34,4410700,0.0,-4.71,3.87,0.78,1.03
希捷科技,STX,2003-03-28,-19.59,-19.93,-19.48,-19.93,2628000,0.0,-2.32,-2.73,-0.53,0.62
希捷科技,STX,2003-03-31,-20.28,-19.96,-19.84,-20.3,1127600,0.0,-2.31,-0.15,-0.03,0.26
希捷科技,STX,2003-04-01,-19.86,-19.71,-19.6,-19.95,1558200,0.0,-1.75,1.25,0.25,0.37
希捷科技,STX,2003-04-02,-19.53,-19.54,-19.33,-19.72,4117900,0.0,-1.98,0.86,0.17,0.97
希捷科技,STX,2003-04-03,-19.44,-19.56,-19.43,-19.87,1517100,0.0,-2.25,-0.1,-0.02,0.36
希捷科技,STX,2003-04-04,-19.66,-20.01,-19.65,-20.13,4553400,0.0,-2.45,-2.3,-0.45,1.07
希捷科技,STX,2003-04-07,-19.98,-19.97,-19.8,-20.08,3600200,0.0,-1.4,0.2,0.04,0.84
希捷科技,STX,2003-04-08,-19.93,-19.76,-19.62,-20.03,2169200,0.0,-2.05,1.05,0.21,0.51
希捷科技,STX,2003-04-09,-19.66,-19.56,-19.48,-19.78,1889300,0.0,-1.52,1.01,0.2,0.44
希捷科技,STX,2003-04-10,-19.56,-19.45,-19.38,-19.72,1988500,0.0,-1.74,0.56,0.11,0.47
希捷科技,STX,2003-04-11,-19.43,-19.33,-19.33,-19.46,1500200,0.0,-0.67,0.62,0.12,0.35
希捷科技,STX,2003-04-14,-19.38,-19.23,-19.23,-19.62,991300,0.0,-2.02,0.52,0.1,0.23
希捷科技,STX,2003-04-15,-19.28,-18.83,-18.53,-19.38,2470200,0.0,-4.42,2.08,0.4,0.58
希捷科技,STX,2003-04-16,-18.68,-18.38,-17.93,-18.68,8202400,0.0,-3.98,2.39,0.45,1.92
希捷科技,STX,2003-04-17,-18.41,-18.03,-18.03,-18.48,2437600,0.0,-2.45,1.9,0.35,0.57
希捷科技,STX,2003-04-21,-18.18,-18.02,-17.98,-18.28,1866600,0.0,-1.66,0.06,0.01,0.44
希捷科技,STX,2003-04-22,-18.09,-17.93,-17.83,-18.28,1270200,0.0,-2.5,0.5,0.09,0.3
希捷科技,STX,2003-04-23,-17.93,-18.53,-17.93,-18.83,2737800,0.0,-5.02,-3.35,-0.6,0.64
希捷科技,STX,2003-04-24,-18.63,-18.78,-18.55,-18.82,1244800,0.0,-1.46,-1.35,-0.25,0.29
希捷科技,STX,2003-04-25,-18.78,-18.92,-18.78,-19.18,1543400,0.0,-2.13,-0.75,-0.14,0.36
希捷科技,STX,2003-04-28,-18.95,-18.8,-18.58,-18.98,1635800,0.0,-2.11,0.63,0.12,0.38
希捷科技,STX,2003-04-29,-18.68,-18.24,-18.16,-18.68,1513300,0.0,-2.77,2.98,0.56,0.35
希捷科技,STX,2003-04-30,-18.37,-18.19,-18.19,-18.7,3005000,0.0,-2.8,0.27,0.05,0.7
希捷科技,STX,2003-05-01,-18.25,-18.03,-17.98,-18.33,1312200,0.0,-1.92,0.88,0.16,0.31
