股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
星座品牌-A,STZ,2000-01-03,-16.42,-16.56,-16.42,-16.76,217600,0.0,-2.07,-0.85,-0.14,1.04
星座品牌-A,STZ,2000-01-04,-16.35,-16.8,-16.29,-16.88,310400,0.0,-3.56,-1.45,-0.24,1.49
星座品牌-A,STZ,2000-01-05,-16.77,-16.6,-16.59,-16.88,551200,0.0,-1.73,1.19,0.2,2.65
星座品牌-A,STZ,2000-01-06,-16.56,-16.35,-16.3,-16.6,318400,0.0,-1.81,1.51,0.25,1.53
星座品牌-A,STZ,2000-01-07,-16.32,-16.17,-16.1,-16.32,169600,0.0,-1.35,1.1,0.18,0.81
星座品牌-A,STZ,2000-01-10,-16.2,-16.42,-16.09,-16.68,644800,0.0,-3.65,-1.55,-0.25,3.1
星座品牌-A,STZ,2000-01-11,-16.42,-16.49,-16.42,-16.63,274400,0.0,-1.28,-0.43,-0.07,1.32
星座品牌-A,STZ,2000-01-12,-16.52,-16.43,-16.4,-16.53,147200,0.0,-0.79,0.36,0.06,0.71
星座品牌-A,STZ,2000-01-13,-16.42,-16.36,-16.35,-16.42,149600,0.0,-0.43,0.43,0.07,0.72
星座品牌-A,STZ,2000-01-14,-16.35,-16.31,-16.26,-16.35,90400,0.0,-0.55,0.31,0.05,0.43
星座品牌-A,STZ,2000-01-18,-16.3,-16.26,-16.24,-16.35,127200,0.0,-0.67,0.31,0.05,0.61
星座品牌-A,STZ,2000-01-19,-16.25,-16.11,-16.1,-16.25,170400,0.0,-0.92,0.92,0.15,0.82
星座品牌-A,STZ,2000-01-20,-16.13,-16.08,-16.02,-16.2,116800,0.0,-1.12,0.19,0.03,0.56
星座品牌-A,STZ,2000-01-21,-16.1,-16.27,-16.1,-16.34,53600,0.0,-1.49,-1.18,-0.19,0.26
星座品牌-A,STZ,2000-01-24,-16.24,-16.45,-16.18,-16.47,151200,0.0,-1.78,-1.11,-0.18,0.73
星座品牌-A,STZ,2000-01-25,-16.45,-16.42,-16.42,-16.48,174400,0.0,-0.36,0.18,0.03,0.84
星座品牌-A,STZ,2000-01-26,-16.38,-16.29,-16.17,-16.38,108000,0.0,-1.28,0.79,0.13,0.52
星座品牌-A,STZ,2000-01-27,-16.28,-16.35,-16.28,-16.46,82400,0.0,-1.1,-0.37,-0.06,0.4
星座品牌-A,STZ,2000-01-28,-16.38,-16.42,-16.36,-16.47,83200,0.0,-0.67,-0.43,-0.07,0.4
星座品牌-A,STZ,2000-01-31,-16.42,-16.31,-16.26,-16.49,110400,0.0,-1.4,0.67,0.11,0.53
星座品牌-A,STZ,2000-02-01,-16.3,-16.2,-16.17,-16.34,203200,0.0,-1.04,0.67,0.11,0.98
星座品牌-A,STZ,2000-02-02,-16.2,-16.17,-16.1,-16.2,118400,0.0,-0.62,0.19,0.03,0.57
星座品牌-A,STZ,2000-02-03,-16.2,-16.18,-16.12,-16.2,84800,0.0,-0.49,-0.06,-0.01,0.41
星座品牌-A,STZ,2000-02-04,-16.17,-16.42,-16.17,-16.45,117600,0.0,-1.73,-1.48,-0.24,0.56
星座品牌-A,STZ,2000-02-07,-16.4,-16.21,-16.13,-16.4,96800,0.0,-1.64,1.28,0.21,0.46
星座品牌-A,STZ,2000-02-08,-16.21,-16.35,-16.17,-16.35,54400,0.0,-1.11,-0.86,-0.14,0.26
星座品牌-A,STZ,2000-02-09,-16.35,-16.21,-16.17,-16.37,108800,0.0,-1.22,0.86,0.14,0.52
星座品牌-A,STZ,2000-02-10,-16.2,-16.1,-15.95,-16.23,220000,0.0,-1.73,0.68,0.11,1.06
星座品牌-A,STZ,2000-02-11,-16.13,-16.22,-16.07,-16.23,191200,0.0,-0.99,-0.75,-0.12,0.92
星座品牌-A,STZ,2000-02-14,-16.21,-16.11,-16.04,-16.22,108000,0.0,-1.11,0.68,0.11,0.52
星座品牌-A,STZ,2000-02-15,-16.11,-16.14,-15.96,-16.17,192800,0.0,-1.3,-0.19,-0.03,0.93
星座品牌-A,STZ,2000-02-16,-16.17,-16.28,-16.15,-16.4,216000,0.0,-1.55,-0.87,-0.14,1.04
星座品牌-A,STZ,2000-02-17,-16.26,-16.33,-16.21,-16.33,214400,0.0,-0.74,-0.31,-0.05,1.03
星座品牌-A,STZ,2000-02-18,-16.34,-16.53,-16.33,-16.56,99200,0.0,-1.41,-1.22,-0.2,0.48
星座品牌-A,STZ,2000-02-22,-16.54,-16.27,-16.24,-16.65,196800,0.0,-2.48,1.57,0.26,0.94
星座品牌-A,STZ,2000-02-23,-16.3,-16.57,-16.29,-16.57,172000,0.0,-1.72,-1.84,-0.3,0.83
星座品牌-A,STZ,2000-02-24,-16.59,-16.59,-16.51,-16.75,97600,0.0,-1.45,-0.12,-0.02,0.47
星座品牌-A,STZ,2000-02-25,-16.59,-16.7,-16.56,-16.71,96000,0.0,-0.9,-0.66,-0.11,0.46
星座品牌-A,STZ,2000-02-28,-16.67,-16.65,-16.65,-16.82,127200,0.0,-1.02,0.3,0.05,0.61
星座品牌-A,STZ,2000-02-29,-16.37,-16.67,-16.34,-16.74,208800,0.0,-2.4,-0.12,-0.02,1.0
星座品牌-A,STZ,2000-03-01,-16.7,-16.58,-16.56,-16.71,78400,0.0,-0.9,0.54,0.09,0.38
星座品牌-A,STZ,2000-03-02,-16.57,-16.76,-16.57,-16.77,73600,0.0,-1.21,-1.09,-0.18,0.35
星座品牌-A,STZ,2000-03-03,-16.78,-16.56,-16.53,-16.81,100000,0.0,-1.67,1.19,0.2,0.48
星座品牌-A,STZ,2000-03-06,-16.53,-16.56,-16.52,-16.56,75200,0.0,-0.24,0.0,0.0,0.36
星座品牌-A,STZ,2000-03-07,-16.6,-16.95,-16.6,-16.95,124800,0.0,-2.11,-2.36,-0.39,0.6
星座品牌-A,STZ,2000-03-08,-16.95,-17.2,-16.95,-17.2,189600,0.0,-1.47,-1.47,-0.25,0.91
星座品牌-A,STZ,2000-03-09,-17.17,-17.22,-17.17,-17.46,192800,0.0,-1.69,-0.12,-0.02,0.93
星座品牌-A,STZ,2000-03-10,-17.24,-17.42,-17.24,-17.49,146400,0.0,-1.45,-1.16,-0.2,0.7
星座品牌-A,STZ,2000-03-13,-17.42,-17.27,-17.19,-17.5,224000,0.0,-1.78,0.86,0.15,1.08
星座品牌-A,STZ,2000-03-14,-17.28,-17.47,-17.23,-17.47,52800,0.0,-1.39,-1.16,-0.2,0.25
星座品牌-A,STZ,2000-03-15,-17.44,-17.1,-17.07,-17.74,446400,0.0,-3.84,2.12,0.37,2.14
星座品牌-A,STZ,2000-03-16,-17.12,-16.58,-16.54,-17.13,328000,0.0,-3.45,3.04,0.52,1.57
星座品牌-A,STZ,2000-03-17,-16.62,-16.95,-16.6,-16.97,163200,0.0,-2.23,-2.23,-0.37,0.78
星座品牌-A,STZ,2000-03-20,-16.92,-17.08,-16.92,-17.1,48800,0.0,-1.06,-0.77,-0.13,0.23
星座品牌-A,STZ,2000-03-21,-17.07,-16.9,-16.84,-17.07,188000,0.0,-1.35,1.05,0.18,0.9
星座品牌-A,STZ,2000-03-22,-16.9,-16.82,-16.82,-16.91,51200,0.0,-0.53,0.47,0.08,0.25
星座品牌-A,STZ,2000-03-23,-16.85,-16.63,-16.61,-16.9,145600,0.0,-1.72,1.13,0.19,0.7
星座品牌-A,STZ,2000-03-24,-16.6,-16.74,-16.6,-16.77,224000,0.0,-1.02,-0.66,-0.11,1.08
星座品牌-A,STZ,2000-03-27,-16.67,-16.76,-16.64,-16.96,330400,0.0,-1.91,-0.12,-0.02,1.59
星座品牌-A,STZ,2000-03-28,-16.77,-16.7,-16.65,-16.79,115200,0.0,-0.84,0.36,0.06,0.55
星座品牌-A,STZ,2000-03-29,-16.73,-16.8,-16.72,-16.92,76000,0.0,-1.2,-0.6,-0.1,0.36
星座品牌-A,STZ,2000-03-30,-16.83,-16.7,-16.61,-16.83,195200,0.0,-1.31,0.6,0.1,0.94
星座品牌-A,STZ,2000-03-31,-16.67,-16.42,-16.42,-16.67,112000,0.0,-1.5,1.68,0.28,0.54
星座品牌-A,STZ,2000-04-03,-16.44,-16.35,-16.26,-16.45,226400,0.0,-1.16,0.43,0.07,1.09
星座品牌-A,STZ,2000-04-04,-16.35,-16.44,-16.29,-16.54,220000,0.0,-1.53,-0.55,-0.09,1.06
星座品牌-A,STZ,2000-04-05,-16.44,-16.29,-16.29,-16.47,139200,0.0,-1.09,0.91,0.15,0.67
星座品牌-A,STZ,2000-04-06,-16.27,-16.35,-16.23,-16.47,228000,0.0,-1.47,-0.37,-0.06,1.09
星座品牌-A,STZ,2000-04-07,-16.34,-16.28,-16.27,-16.44,150400,0.0,-1.04,0.43,0.07,0.72
星座品牌-A,STZ,2000-04-10,-16.28,-16.52,-16.23,-16.59,144800,0.0,-2.21,-1.47,-0.24,0.7
星座品牌-A,STZ,2000-04-11,-16.49,-16.45,-16.35,-16.52,123200,0.0,-1.03,0.42,0.07,0.59
星座品牌-A,STZ,2000-04-12,-16.42,-16.03,-15.92,-16.42,249600,0.0,-3.04,2.55,0.42,1.2
星座品牌-A,STZ,2000-04-13,-15.9,-16.24,-15.82,-16.24,173600,0.0,-2.62,-1.31,-0.21,0.83
星座品牌-A,STZ,2000-04-14,-16.27,-16.63,-16.27,-16.77,161600,0.0,-3.08,-2.4,-0.39,0.78
星座品牌-A,STZ,2000-04-17,-16.61,-16.43,-16.42,-16.7,119200,0.0,-1.68,1.2,0.2,0.57
星座品牌-A,STZ,2000-04-18,-16.46,-16.31,-16.31,-16.52,144000,0.0,-1.28,0.73,0.12,0.69
星座品牌-A,STZ,2000-04-19,-16.33,-16.47,-16.31,-16.52,113600,0.0,-1.29,-0.98,-0.16,0.55
星座品牌-A,STZ,2000-04-20,-16.47,-16.46,-16.42,-16.48,50400,0.0,-0.36,0.06,0.01,0.24
星座品牌-A,STZ,2000-04-24,-16.45,-16.49,-16.45,-16.55,107200,0.0,-0.61,-0.18,-0.03,0.51
星座品牌-A,STZ,2000-04-25,-16.48,-16.49,-16.46,-16.52,84000,0.0,-0.36,0.0,0.0,0.4
星座品牌-A,STZ,2000-04-26,-16.49,-16.56,-16.42,-16.6,72000,0.0,-1.09,-0.42,-0.07,0.35
星座品牌-A,STZ,2000-04-27,-16.57,-16.66,-16.57,-16.67,100800,0.0,-0.6,-0.6,-0.1,0.48
星座品牌-A,STZ,2000-04-28,-16.66,-16.49,-16.49,-16.66,88000,0.0,-1.02,1.02,0.17,0.42
星座品牌-A,STZ,2000-05-01,-16.48,-16.47,-16.37,-16.54,97600,0.0,-1.03,0.12,0.02,0.47
星座品牌-A,STZ,2000-05-02,-16.5,-16.48,-16.45,-16.54,52800,0.0,-0.55,-0.06,-0.01,0.25
星座品牌-A,STZ,2000-05-03,-16.5,-16.33,-16.27,-16.5,112800,0.0,-1.4,0.91,0.15,0.54
星座品牌-A,STZ,2000-05-04,-16.36,-16.29,-16.27,-16.42,88000,0.0,-0.92,0.24,0.04,0.42
星座品牌-A,STZ,2000-05-05,-16.26,-16.45,-16.18,-16.61,197600,0.0,-2.64,-0.98,-0.16,0.95
星座品牌-A,STZ,2000-05-08,-16.46,-16.36,-16.18,-16.47,136000,0.0,-1.76,0.55,0.09,0.65
星座品牌-A,STZ,2000-05-09,-16.38,-16.2,-16.2,-16.38,72000,0.0,-1.1,0.98,0.16,0.35
