股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
思佳讯,SWKS,2001-01-02,22.21,16.78,22.59,16.21,1632200,0.0,0.0,0.0,0.0,3.83
思佳讯,SWKS,2001-01-03,16.21,18.97,21.84,12.71,3219600,0.0,54.41,13.05,2.19,7.55
思佳讯,SWKS,2001-01-04,19.34,16.28,19.34,15.84,2014000,0.0,18.45,-14.18,-2.69,4.72
思佳讯,SWKS,2001-01-05,16.59,12.47,16.71,11.34,2394600,0.0,32.99,-23.4,-3.81,5.62
思佳讯,SWKS,2001-01-08,12.65,13.09,13.59,9.47,2347500,0.0,33.04,4.97,0.62,5.51
思佳讯,SWKS,2001-01-09,10.62,11.84,12.47,10.34,2811900,0.0,16.27,-9.55,-1.25,6.59
思佳讯,SWKS,2001-01-10,11.59,13.15,14.09,10.21,1520200,0.0,32.77,11.06,1.31,3.57
思佳讯,SWKS,2001-01-11,12.4,20.09,21.21,11.47,2925400,0.0,74.07,52.78,6.94,6.86
思佳讯,SWKS,2001-01-12,20.03,20.53,21.97,19.97,2809400,0.0,9.96,2.19,0.44,6.59
思佳讯,SWKS,2001-01-16,20.59,18.59,20.71,17.21,1850900,0.0,17.05,-9.45,-1.94,4.34
思佳讯,SWKS,2001-01-17,19.84,15.15,20.84,15.09,3252000,0.0,30.93,-18.5,-3.44,7.63
思佳讯,SWKS,2001-01-18,14.84,17.4,18.97,14.71,6288500,0.0,28.12,14.85,2.25,14.75
思佳讯,SWKS,2001-01-19,19.59,17.78,21.03,16.65,2859400,0.0,25.17,2.18,0.38,6.71
思佳讯,SWKS,2001-01-22,18.21,16.53,18.28,16.47,975300,0.0,10.18,-7.03,-1.25,2.29
思佳讯,SWKS,2001-01-23,16.59,17.65,17.9,16.47,1348700,0.0,8.65,6.78,1.12,3.16
思佳讯,SWKS,2001-01-24,18.4,16.84,18.47,15.65,1519300,0.0,15.98,-4.59,-0.81,3.56
思佳讯,SWKS,2001-01-25,17.09,15.09,17.09,14.09,899300,0.0,17.81,-10.39,-1.75,2.11
思佳讯,SWKS,2001-01-26,14.97,14.78,15.21,13.2,925800,0.0,13.32,-2.05,-0.31,2.17
思佳讯,SWKS,2001-01-29,14.71,15.09,16.21,14.09,811800,0.0,14.34,2.1,0.31,1.9
思佳讯,SWKS,2001-01-30,14.59,15.03,15.71,13.28,1521300,0.0,16.1,-0.4,-0.06,3.57
思佳讯,SWKS,2001-01-31,15.97,14.59,15.97,13.71,1376100,0.0,15.04,-2.93,-0.44,3.23
思佳讯,SWKS,2001-02-01,15.09,15.59,16.65,14.97,1795800,0.0,11.51,6.85,1.0,4.21
思佳讯,SWKS,2001-02-02,15.9,15.47,17.03,15.09,1306500,0.0,12.44,-0.77,-0.12,3.06
思佳讯,SWKS,2001-02-05,15.4,14.78,15.97,14.15,1074700,0.0,11.76,-4.46,-0.69,2.52
思佳讯,SWKS,2001-02-06,14.97,14.28,15.81,14.09,442800,0.0,11.64,-3.38,-0.5,1.04
思佳讯,SWKS,2001-02-07,14.03,13.47,14.21,12.21,695800,0.0,14.01,-5.67,-0.81,1.63
思佳讯,SWKS,2001-02-08,13.21,11.84,13.71,11.59,697100,0.0,15.74,-12.1,-1.63,1.63
思佳讯,SWKS,2001-02-09,11.65,10.78,11.71,10.03,772700,0.0,14.19,-8.95,-1.06,1.81
思佳讯,SWKS,2001-02-12,10.97,10.59,10.97,9.47,803000,0.0,13.91,-1.76,-0.19,1.88
思佳讯,SWKS,2001-02-13,11.34,10.47,12.84,9.84,648400,0.0,28.33,-1.13,-0.12,1.52
