股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Synchrony Financial,SYF,2014-07-31,16.98,16.98,17.98,16.58,56459269,0.0,8.24,0.0,0.0,6.8
Synchrony Financial,SYF,2014-08-01,16.88,16.98,16.98,16.65,6457908,0.0,1.94,0.0,0.0,0.78
Synchrony Financial,SYF,2014-08-04,17.08,16.98,17.11,16.88,3445965,0.0,1.35,0.0,0.0,0.42
Synchrony Financial,SYF,2014-08-05,16.97,16.98,16.99,16.65,4448987,0.0,2.0,0.0,0.0,0.54
Synchrony Financial,SYF,2014-08-06,16.78,16.96,16.96,16.65,6993029,0.0,1.83,-0.12,-0.02,0.84
Synchrony Financial,SYF,2014-08-07,16.87,16.91,16.98,16.78,3185150,0.0,1.18,-0.29,-0.05,0.38
Synchrony Financial,SYF,2014-08-08,16.91,16.93,17.01,16.78,2854923,0.0,1.36,0.12,0.02,0.34
Synchrony Financial,SYF,2014-08-11,16.88,16.91,16.91,16.78,1761541,0.0,0.77,-0.12,-0.02,0.21
Synchrony Financial,SYF,2014-08-12,16.87,16.98,16.98,16.81,1549484,0.0,1.01,0.41,0.07,0.19
Synchrony Financial,SYF,2014-08-13,16.98,17.16,17.21,16.86,1657696,0.0,2.06,1.06,0.18,0.2
Synchrony Financial,SYF,2014-08-14,17.18,16.99,17.2,16.93,1391657,0.0,1.57,-0.99,-0.17,0.17
Synchrony Financial,SYF,2014-08-15,17.0,16.98,17.06,16.98,1948118,0.0,0.47,-0.06,-0.01,0.23
Synchrony Financial,SYF,2014-08-18,17.04,17.15,17.15,17.0,1073559,0.0,0.88,1.0,0.17,0.13
Synchrony Financial,SYF,2014-08-19,17.18,18.39,18.41,17.18,2851819,0.0,7.17,7.23,1.24,0.34
Synchrony Financial,SYF,2014-08-20,18.28,19.17,19.57,18.24,3544489,0.0,7.23,4.24,0.78,0.43
Synchrony Financial,SYF,2014-08-21,19.45,19.37,19.5,18.9,2357411,0.0,3.13,1.04,0.2,0.28
Synchrony Financial,SYF,2014-08-22,19.23,19.34,19.41,19.08,891337,0.0,1.7,-0.15,-0.03,0.11
Synchrony Financial,SYF,2014-08-25,19.35,19.1,19.38,18.86,1185435,0.0,2.69,-1.24,-0.24,0.14
Synchrony Financial,SYF,2014-08-26,18.98,19.03,19.08,18.92,950795,0.0,0.84,-0.37,-0.07,0.11
Synchrony Financial,SYF,2014-08-27,18.98,19.45,19.52,18.93,1230580,0.0,3.1,2.21,0.42,0.15
Synchrony Financial,SYF,2014-08-28,19.38,19.67,19.82,19.29,981732,0.0,2.72,1.13,0.22,0.12
Synchrony Financial,SYF,2014-08-29,19.79,19.77,19.92,19.43,981178,0.0,2.49,0.51,0.1,0.12
Synchrony Financial,SYF,2014-09-02,19.68,19.77,19.88,19.5,1873183,0.0,1.92,0.0,0.0,0.23
Synchrony Financial,SYF,2014-09-03,19.97,19.77,19.97,19.61,996517,0.0,1.82,0.0,0.0,0.12
Synchrony Financial,SYF,2014-09-04,19.51,19.68,19.73,19.49,1117454,0.0,1.21,-0.46,-0.09,0.13
Synchrony Financial,SYF,2014-09-05,19.68,19.75,20.0,19.6,1089278,0.0,2.03,0.36,0.07,0.13
Synchrony Financial,SYF,2014-09-08,19.8,18.82,19.96,18.6,2534536,0.0,6.89,-4.71,-0.93,0.3
Synchrony Financial,SYF,2014-09-09,19.28,19.02,19.58,18.68,3608563,0.0,4.78,1.06,0.2,0.43
Synchrony Financial,SYF,2014-09-10,19.17,18.68,19.28,18.67,1974529,0.0,3.21,-1.79,-0.34,0.24
Synchrony Financial,SYF,2014-09-11,18.73,18.63,19.0,18.61,2028119,0.0,2.09,-0.27,-0.05,0.24
Synchrony Financial,SYF,2014-09-12,18.51,18.48,18.73,18.42,1106815,0.0,1.66,-0.81,-0.15,0.13
Synchrony Financial,SYF,2014-09-15,18.33,18.13,18.36,17.9,1125620,0.0,2.49,-1.89,-0.35,0.14
Synchrony Financial,SYF,2014-09-16,18.22,18.29,18.34,17.86,1512128,0.0,2.65,0.88,0.16,0.18
Synchrony Financial,SYF,2014-09-17,18.43,18.53,18.67,18.34,940400,0.0,1.8,1.31,0.24,0.11
Synchrony Financial,SYF,2014-09-18,18.55,18.65,18.82,18.54,879112,0.0,1.51,0.65,0.12,0.11
Synchrony Financial,SYF,2014-09-19,18.83,19.39,19.47,18.69,5153335,0.0,4.18,3.97,0.74,0.62
Synchrony Financial,SYF,2014-09-22,19.26,18.82,19.34,18.73,735765,0.0,3.15,-2.94,-0.57,0.09
Synchrony Financial,SYF,2014-09-23,18.64,18.56,18.68,18.16,939952,0.0,2.76,-1.38,-0.26,0.11
Synchrony Financial,SYF,2014-09-24,18.71,18.9,18.98,18.65,964606,0.0,1.78,1.83,0.34,0.12
Synchrony Financial,SYF,2014-09-25,18.96,18.61,18.96,18.59,1349775,0.0,1.96,-1.53,-0.29,0.16
Synchrony Financial,SYF,2014-09-26,18.59,18.75,18.78,18.32,1252153,0.0,2.47,0.75,0.14,0.15
Synchrony Financial,SYF,2014-09-29,18.55,18.68,18.75,18.32,1474591,0.0,2.29,-0.37,-0.07,0.18
Synchrony Financial,SYF,2014-09-30,18.85,18.53,19.1,18.19,6718590,0.0,4.87,-0.8,-0.15,0.81
Synchrony Financial,SYF,2014-10-01,18.42,18.2,18.57,18.16,1196643,0.0,2.21,-1.78,-0.33,0.14
Synchrony Financial,SYF,2014-10-02,18.33,18.56,18.67,17.74,1250603,0.0,5.11,1.98,0.36,0.15
