股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美国电话电报,T,2000-01-03,10.07,8.51,10.51,8.14,5791900,0.0,23.1,-17.06,-1.75,0.17
美国电话电报,T,2000-01-04,8.57,5.76,9.26,5.01,7173600,0.0,49.94,-32.31,-2.75,0.21
美国电话电报,T,2000-01-05,6.51,6.45,6.76,5.95,9090000,0.0,14.06,11.98,0.69,0.27
美国电话电报,T,2000-01-06,6.31,5.5,6.75,4.88,7153600,0.0,28.99,-14.73,-0.95,0.21
美国电话电报,T,2000-01-07,6.31,5.88,6.5,5.13,5885600,0.0,24.91,6.91,0.38,0.17
美国电话电报,T,2000-01-10,6.5,6.5,6.75,6.0,7118700,0.0,12.76,10.54,0.62,0.21
美国电话电报,T,2000-01-11,6.44,5.88,6.69,5.56,6472800,0.0,17.38,-9.54,-0.62,0.19
美国电话电报,T,2000-01-12,5.25,3.56,5.31,3.25,8920000,0.0,35.03,-39.46,-2.32,0.26
美国电话电报,T,2000-01-13,4.13,2.56,4.69,2.5,8250000,0.0,61.52,-28.09,-1.0,0.24
美国电话电报,T,2000-01-14,3.0,3.75,3.75,1.75,9888300,0.0,78.13,46.48,1.19,0.29
美国电话电报,T,2000-01-18,3.88,2.88,4.81,2.63,9824500,0.0,58.13,-23.2,-0.87,0.29
美国电话电报,T,2000-01-19,2.75,2.31,2.75,1.75,10212300,0.0,34.72,-19.79,-0.57,0.3
美国电话电报,T,2000-01-20,2.56,2.75,3.31,1.81,10080400,0.0,64.94,19.05,0.44,0.3
美国电话电报,T,2000-01-21,4.63,4.75,5.13,3.75,15950400,0.0,50.18,72.73,2.0,0.47
美国电话电报,T,2000-01-24,5.19,3.75,5.25,2.69,9980400,0.0,53.89,-21.05,-1.0,0.29
美国电话电报,T,2000-01-25,2.75,1.75,2.88,0.31,15943100,0.0,68.53,-53.33,-2.0,0.47
美国电话电报,T,2000-01-26,2.25,1.75,2.25,1.44,7662100,0.0,46.29,0.0,0.0,0.22
美国电话电报,T,2000-01-27,1.81,0.75,2.06,0.75,6920100,0.0,74.86,-57.14,-1.0,0.2
美国电话电报,T,2000-01-28,1.06,1.0,2.19,0.75,8650600,0.0,192.0,33.33,0.25,0.25
美国电话电报,T,2000-01-31,1.25,4.63,5.25,0.81,11255300,0.0,444.0,363.0,3.63,0.33
美国电话电报,T,2000-02-01,4.75,4.13,4.75,3.5,8949600,0.0,27.0,-10.8,-0.5,0.26
美国电话电报,T,2000-02-02,4.75,4.25,4.88,4.25,6675100,0.0,15.25,2.91,0.12,0.2
