股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
摩森康胜-B,TAP,2000-01-03,1.37,0.47,1.44,0.4,211000,0.0,75.91,-65.69,-0.9,0.57
摩森康胜-B,TAP,2000-01-04,0.34,0.15,0.75,0.12,181000,0.0,134.04,-68.09,-0.32,0.49
摩森康胜-B,TAP,2000-01-05,0.15,1.34,1.59,0.15,467400,0.0,960.0,793.33,1.19,1.27
摩森康胜-B,TAP,2000-01-06,1.22,1.03,2.0,1.03,200000,0.0,72.39,-23.13,-0.31,0.54
摩森康胜-B,TAP,2000-01-07,0.9,1.59,1.94,0.9,223400,0.0,100.97,54.37,0.56,0.61
摩森康胜-B,TAP,2000-01-10,1.47,0.56,1.47,0.4,318800,0.0,67.3,-64.78,-1.03,0.87
摩森康胜-B,TAP,2000-01-11,0.5,0.22,0.53,-0.01,249000,0.0,96.43,-60.71,-0.34,0.68
摩森康胜-B,TAP,2000-01-12,0.25,0.47,0.5,0.19,322800,0.0,140.91,113.64,0.25,0.88
摩森康胜-B,TAP,2000-01-13,0.75,1.47,1.56,0.75,323800,0.0,172.34,212.77,1.0,0.88
摩森康胜-B,TAP,2000-01-14,1.34,0.72,1.37,0.72,286200,0.0,44.22,-51.02,-0.75,0.78
摩森康胜-B,TAP,2000-01-18,0.59,-0.07,0.59,-0.23,331200,0.0,113.89,-109.72,-0.79,0.9
摩森康胜-B,TAP,2000-01-19,0.06,0.25,0.84,0.06,207200,0.0,-1114.29,457.14,0.32,0.56
摩森康胜-B,TAP,2000-01-20,0.22,0.03,0.34,-0.13,146200,0.0,188.0,-88.0,-0.22,0.4
摩森康胜-B,TAP,2000-01-21,0.19,-0.51,0.19,-0.69,246200,0.0,2933.33,-1800.0,-0.54,0.67
摩森康胜-B,TAP,2000-01-24,-0.48,-1.13,-0.23,-1.32,248800,0.0,-213.73,-121.57,-0.62,0.68
摩森康胜-B,TAP,2000-01-25,-1.01,-1.32,-0.69,-1.32,185600,0.0,-55.75,-16.81,-0.19,0.51
摩森康胜-B,TAP,2000-01-26,-1.32,-1.6,-1.29,-2.01,340400,0.0,-54.55,-21.21,-0.28,0.93
摩森康胜-B,TAP,2000-01-27,-1.63,-1.35,-1.29,-1.69,208200,0.0,-25.0,15.63,0.25,0.57
摩森康胜-B,TAP,2000-01-28,-1.35,-1.44,-1.13,-1.44,302200,0.0,-22.96,-6.67,-0.09,0.82
摩森康胜-B,TAP,2000-01-31,-1.48,-0.63,-0.57,-1.54,221800,0.0,-67.36,56.25,0.81,0.6
摩森康胜-B,TAP,2000-02-01,-0.73,-0.57,-0.51,-0.82,199000,0.0,-49.21,9.52,0.06,0.54
摩森康胜-B,TAP,2000-02-02,-0.51,-0.63,-0.32,-0.63,250600,0.0,-54.39,-10.53,-0.06,0.68
摩森康胜-B,TAP,2000-02-03,-0.63,-0.23,0.19,-0.63,487800,0.0,-130.16,63.49,0.4,1.33
摩森康胜-B,TAP,2000-02-04,-0.29,-1.13,-0.29,-1.38,417200,0.0,-473.91,-391.3,-0.9,1.14
摩森康胜-B,TAP,2000-02-07,-1.13,-0.26,0.12,-1.13,383800,0.0,-110.62,76.99,0.87,1.05
摩森康胜-B,TAP,2000-02-08,-0.26,-1.48,-0.04,-1.6,191600,0.0,-600.0,-469.23,-1.22,0.52
摩森康胜-B,TAP,2000-02-09,-0.94,-1.04,-0.6,-1.13,321200,0.0,-35.81,29.73,0.44,0.87
摩森康胜-B,TAP,2000-02-10,-0.91,-0.32,-0.26,-1.23,502800,0.0,-93.27,69.23,0.72,1.37
摩森康胜-B,TAP,2000-02-11,-0.32,-0.29,-0.16,-0.63,305400,0.0,-146.88,9.38,0.03,0.83
摩森康胜-B,TAP,2000-02-14,0.12,-0.04,0.69,-0.19,380000,0.0,-303.45,86.21,0.25,1.03
摩森康胜-B,TAP,2000-02-15,-0.04,0.37,0.4,-0.51,360000,0.0,-2275.0,1025.0,0.41,0.98
摩森康胜-B,TAP,2000-02-16,0.31,-0.57,0.34,-0.6,349600,0.0,254.05,-254.05,-0.94,0.95
摩森康胜-B,TAP,2000-02-17,-0.51,-1.19,-0.13,-1.19,224000,0.0,-185.96,-108.77,-0.62,0.61
摩森康胜-B,TAP,2000-02-18,-1.19,-1.79,-1.13,-1.88,318400,0.0,-63.03,-50.42,-0.6,0.87
摩森康胜-B,TAP,2000-02-22,-1.79,-1.91,-1.79,-2.48,387400,0.0,-38.55,-6.7,-0.12,1.05
摩森康胜-B,TAP,2000-02-23,-1.73,-2.13,-1.69,-2.44,270400,0.0,-39.27,-11.52,-0.22,0.74
摩森康胜-B,TAP,2000-02-24,-2.26,-3.66,-2.26,-3.88,487200,0.0,-76.06,-71.83,-1.53,1.33
摩森康胜-B,TAP,2000-02-25,-3.67,-3.83,-3.42,-4.08,449400,0.0,-18.03,-4.64,-0.17,1.22
摩森康胜-B,TAP,2000-02-28,-3.64,-3.27,-2.98,-3.8,250600,0.0,-21.41,14.62,0.56,0.68
摩森康胜-B,TAP,2000-02-29,-3.05,-2.86,-2.48,-3.05,413400,0.0,-17.43,12.54,0.41,1.13
摩森康胜-B,TAP,2000-03-01,-2.7,-3.05,-2.45,-3.11,237600,0.0,-23.08,-6.64,-0.19,0.65
摩森康胜-B,TAP,2000-03-02,-3.14,-3.61,-3.11,-3.77,273400,0.0,-21.64,-18.36,-0.56,0.74
摩森康胜-B,TAP,2000-03-03,-3.61,-3.64,-3.55,-4.05,468200,0.0,-13.85,-0.83,-0.03,1.27
摩森康胜-B,TAP,2000-03-06,-3.64,-3.8,-3.64,-3.83,331000,0.0,-5.22,-4.4,-0.16,0.9
摩森康胜-B,TAP,2000-03-07,-3.86,-5.39,-3.86,-5.45,725000,0.0,-41.84,-41.84,-1.59,1.97
