股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
TransDigm Group Inc,TDG,2009-09-16,-184.63,-184.25,-184.19,-184.83,618502,0.0,-0.31,11.63,24.25,1.31
TransDigm Group Inc,TDG,2009-09-17,-184.63,-184.25,-184.19,-184.83,618502,0.0,-0.35,0.0,0.0,1.31
TransDigm Group Inc,TDG,2009-09-18,-184.63,-184.25,-184.19,-184.83,618502,0.0,-0.35,0.0,0.0,1.31
TransDigm Group Inc,TDG,2009-09-21,-181.51,-181.44,-181.07,-181.81,254809,0.0,-0.4,1.53,2.81,0.54
TransDigm Group Inc,TDG,2009-09-22,-181.46,-180.99,-180.86,-181.47,288099,0.0,-0.34,0.25,0.45,0.61
TransDigm Group Inc,TDG,2009-09-23,-180.72,-180.82,-180.52,-181.13,254727,0.0,-0.34,0.09,0.17,0.54
TransDigm Group Inc,TDG,2009-09-24,-180.94,-181.1,-180.72,-181.21,549708,0.0,-0.27,-0.15,-0.28,1.17
TransDigm Group Inc,TDG,2009-09-25,-180.96,-181.48,-180.96,-181.82,169526,0.0,-0.47,-0.21,-0.38,0.36
TransDigm Group Inc,TDG,2009-09-28,-180.96,-181.48,-180.96,-181.82,169526,0.0,-0.47,0.0,0.0,0.36
TransDigm Group Inc,TDG,2009-09-29,-181.25,-181.38,-180.9,-181.77,198664,0.0,-0.48,0.06,0.1,0.42
TransDigm Group Inc,TDG,2009-09-30,-181.05,-179.69,-178.57,-181.2,1392245,0.0,-1.45,0.93,1.69,2.84
TransDigm Group Inc,TDG,2009-10-01,-179.57,-180.87,-178.68,-180.94,635461,0.0,-1.26,-0.66,-1.18,1.3
TransDigm Group Inc,TDG,2009-10-02,-182.11,-181.87,-181.63,-183.35,649374,0.0,-0.95,-0.55,-1.0,1.33
TransDigm Group Inc,TDG,2009-10-05,-182.1,-181.91,-181.66,-182.36,574675,0.0,-0.38,-0.02,-0.04,1.17
TransDigm Group Inc,TDG,2009-10-06,-181.21,-181.76,-181.11,-182.43,1269990,0.0,-0.73,0.08,0.15,2.59
TransDigm Group Inc,TDG,2009-10-07,-179.66,-181.49,-179.66,-182.62,889049,0.0,-1.63,0.15,0.27,1.82
TransDigm Group Inc,TDG,2009-10-08,-181.06,-179.95,-179.78,-181.67,844008,0.0,-1.04,0.85,1.54,1.72
TransDigm Group Inc,TDG,2009-10-09,-179.65,-179.43,-179.35,-180.37,426387,0.0,-0.57,0.29,0.52,0.87
TransDigm Group Inc,TDG,2009-10-12,-178.89,-179.6,-178.56,-180.16,582286,0.0,-0.89,-0.09,-0.17,1.19
TransDigm Group Inc,TDG,2009-10-13,-179.37,-179.83,-179.3,-180.49,1788104,0.0,-0.66,-0.13,-0.23,3.65
TransDigm Group Inc,TDG,2009-10-14,-179.25,-177.4,-177.35,-179.8,1209928,0.0,-1.36,1.35,2.43,2.47
TransDigm Group Inc,TDG,2009-10-15,-177.34,-177.78,-177.34,-178.2,400355,0.0,-0.48,-0.21,-0.38,0.82
TransDigm Group Inc,TDG,2009-10-16,-177.95,-178.43,-177.8,-178.49,243881,0.0,-0.39,-0.37,-0.65,0.5
TransDigm Group Inc,TDG,2009-10-19,-178.7,-178.54,-178.29,-178.73,355091,0.0,-0.25,-0.06,-0.11,0.73
TransDigm Group Inc,TDG,2009-10-20,-178.52,-179.77,-178.37,-179.91,436329,0.0,-0.86,-0.69,-1.23,0.89
TransDigm Group Inc,TDG,2009-10-21,-179.93,-180.26,-179.21,-180.5,735805,0.0,-0.72,-0.27,-0.49,1.5
TransDigm Group Inc,TDG,2009-10-22,-180.5,-179.54,-179.4,-180.89,640198,0.0,-0.83,0.4,0.72,1.31
TransDigm Group Inc,TDG,2009-10-23,-179.31,-180.58,-179.18,-180.71,401024,0.0,-0.85,-0.58,-1.04,0.82
TransDigm Group Inc,TDG,2009-10-26,-180.86,-181.5,-180.45,-181.57,462793,0.0,-0.62,-0.51,-0.92,0.95
TransDigm Group Inc,TDG,2009-10-27,-181.61,-181.78,-181.42,-182.05,450977,0.0,-0.35,-0.15,-0.28,0.92
TransDigm Group Inc,TDG,2009-10-28,-182.0,-182.64,-181.82,-182.72,540921,0.0,-0.5,-0.47,-0.86,1.1
TransDigm Group Inc,TDG,2009-10-29,-182.45,-181.98,-181.91,-182.66,310813,0.0,-0.41,0.36,0.66,0.63
TransDigm Group Inc,TDG,2009-10-30,-182.4,-182.67,-181.99,-182.93,325186,0.0,-0.52,-0.38,-0.69,0.66
TransDigm Group Inc,TDG,2009-11-02,-182.42,-182.35,-181.96,-182.83,341733,0.0,-0.48,0.18,0.32,0.7
TransDigm Group Inc,TDG,2009-11-03,-182.3,-182.18,-182.01,-182.6,262326,0.0,-0.32,0.09,0.17,0.54
TransDigm Group Inc,TDG,2009-11-04,-181.85,-181.55,-181.32,-181.9,335998,0.0,-0.32,0.35,0.63,0.69
TransDigm Group Inc,TDG,2009-11-05,-181.61,-180.65,-180.55,-181.71,181260,0.0,-0.64,0.5,0.9,0.37
TransDigm Group Inc,TDG,2009-11-06,-181.15,-181.39,-180.71,-181.83,456210,0.0,-0.62,-0.41,-0.74,0.93
TransDigm Group Inc,TDG,2009-11-09,-181.42,-181.09,-181.02,-181.85,228813,0.0,-0.46,0.17,0.3,0.47
TransDigm Group Inc,TDG,2009-11-10,-181.35,-181.36,-180.85,-181.74,206654,0.0,-0.49,-0.15,-0.27,0.42
TransDigm Group Inc,TDG,2009-11-11,-181.2,-181.72,-181.03,-182.18,515363,0.0,-0.63,-0.2,-0.36,1.05
TransDigm Group Inc,TDG,2009-11-12,-181.59,-181.73,-181.02,-181.81,177257,0.0,-0.43,-0.01,-0.01,0.36
TransDigm Group Inc,TDG,2009-11-13,-181.71,-181.19,-181.17,-182.01,289223,0.0,-0.46,0.3,0.54,0.59
TransDigm Group Inc,TDG,2009-11-16,-181.01,-180.18,-179.9,-181.61,558915,0.0,-0.94,0.56,1.01,1.14
TransDigm Group Inc,TDG,2009-11-17,-179.91,-179.93,-179.77,-180.38,411540,0.0,-0.34,0.14,0.25,0.84
TransDigm Group Inc,TDG,2009-11-18,-179.74,-179.81,-179.74,-180.41,409877,0.0,-0.37,0.07,0.12,0.84
TransDigm Group Inc,TDG,2009-11-19,-179.88,-180.09,-179.79,-181.45,696152,0.0,-0.92,-0.16,-0.28,1.42
TransDigm Group Inc,TDG,2009-11-20,-180.07,-179.26,-178.13,-180.14,787123,0.0,-1.12,0.46,0.83,1.61
TransDigm Group Inc,TDG,2009-11-23,-178.98,-178.71,-178.3,-179.05,288976,0.0,-0.42,0.31,0.55,0.59
TransDigm Group Inc,TDG,2009-11-24,-178.4,-178.52,-178.4,-179.07,210417,0.0,-0.37,0.11,0.19,0.43
TransDigm Group Inc,TDG,2009-11-25,-178.48,-178.47,-178.36,-178.83,206084,0.0,-0.26,0.03,0.05,0.42
TransDigm Group Inc,TDG,2009-11-27,-179.46,-178.79,-178.46,-179.68,97245,0.0,-0.68,-0.18,-0.32,0.2
TransDigm Group Inc,TDG,2009-11-30,-178.55,-178.57,-178.48,-178.89,269197,0.0,-0.23,0.12,0.22,0.55
TransDigm Group Inc,TDG,2009-12-01,-178.21,-177.85,-177.48,-178.27,392064,0.0,-0.44,0.4,0.72,0.8
TransDigm Group Inc,TDG,2009-12-02,-177.6,-177.17,-176.67,-177.74,514339,0.0,-0.6,0.38,0.68,1.05
TransDigm Group Inc,TDG,2009-12-03,-177.36,-176.53,-176.3,-177.36,340737,0.0,-0.6,0.36,0.64,0.7
TransDigm Group Inc,TDG,2009-12-04,-176.61,-175.85,-175.57,-176.77,483682,0.0,-0.68,0.39,0.68,0.99
TransDigm Group Inc,TDG,2009-12-07,-175.71,-175.52,-175.28,-176.04,481977,0.0,-0.43,0.19,0.33,0.98
TransDigm Group Inc,TDG,2009-12-08,-175.69,-175.92,-175.59,-176.23,327030,0.0,-0.36,-0.23,-0.4,0.67
TransDigm Group Inc,TDG,2009-12-09,-175.88,-175.86,-175.8,-176.68,271857,0.0,-0.5,0.03,0.06,0.56
TransDigm Group Inc,TDG,2009-12-10,-175.1,-175.04,-174.85,-175.47,611408,0.0,-0.35,0.47,0.82,1.25
TransDigm Group Inc,TDG,2009-12-11,-174.77,-174.62,-174.16,-175.16,237634,0.0,-0.57,0.24,0.42,0.49
TransDigm Group Inc,TDG,2009-12-14,-174.3,-174.57,-174.3,-174.72,229532,0.0,-0.24,0.03,0.05,0.47
TransDigm Group Inc,TDG,2009-12-15,-174.37,-174.4,-173.92,-174.57,348498,0.0,-0.37,0.1,0.17,0.71
TransDigm Group Inc,TDG,2009-12-16,-174.4,-174.2,-174.09,-174.4,297639,0.0,-0.18,0.11,0.2,0.61
TransDigm Group Inc,TDG,2009-12-17,-176.07,-174.63,-174.6,-176.07,192085,0.0,-0.84,-0.25,-0.43,0.39
TransDigm Group Inc,TDG,2009-12-18,-174.35,-174.95,-174.35,-175.04,148870,0.0,-0.4,-0.18,-0.32,0.3
TransDigm Group Inc,TDG,2009-12-21,-174.86,-174.52,-174.35,-174.86,100895,0.0,-0.29,0.25,0.43,0.21
TransDigm Group Inc,TDG,2009-12-22,-174.57,-174.07,-173.78,-174.67,162316,0.0,-0.51,0.26,0.45,0.33
TransDigm Group Inc,TDG,2009-12-23,-173.68,-174.01,-173.46,-174.02,124978,0.0,-0.32,0.03,0.06,0.26
TransDigm Group Inc,TDG,2009-12-24,-174.03,-173.55,-173.55,-174.1,42358,0.0,-0.32,0.26,0.46,0.09
TransDigm Group Inc,TDG,2009-12-28,-173.55,-173.85,-173.55,-173.99,100178,0.0,-0.25,-0.17,-0.3,0.2
TransDigm Group Inc,TDG,2009-12-29,-174.55,-173.85,-173.79,-175.02,303630,0.0,-0.71,0.0,0.0,0.62
TransDigm Group Inc,TDG,2009-12-30,-173.87,-174.15,-173.85,-174.23,192083,0.0,-0.22,-0.17,-0.3,0.39
TransDigm Group Inc,TDG,2009-12-31,-173.95,-174.24,-173.95,-174.37,99635,0.0,-0.24,-0.05,-0.09,0.2
TransDigm Group Inc,TDG,2010-01-04,-173.69,-172.53,-172.53,-173.85,740627,0.0,-0.76,0.98,1.71,1.51
TransDigm Group Inc,TDG,2010-01-05,-172.45,-171.93,-171.69,-172.58,201213,0.0,-0.52,0.35,0.6,0.41
TransDigm Group Inc,TDG,2010-01-06,-172.19,-171.61,-171.43,-172.19,243451,0.0,-0.44,0.19,0.32,0.5
TransDigm Group Inc,TDG,2010-01-07,-171.63,-171.05,-170.84,-171.93,325890,0.0,-0.64,0.33,0.56,0.67
TransDigm Group Inc,TDG,2010-01-08,-170.85,-170.51,-169.97,-171.03,214054,0.0,-0.62,0.32,0.54,0.44
TransDigm Group Inc,TDG,2010-01-11,-169.96,-170.54,-169.96,-171.0,160911,0.0,-0.61,-0.02,-0.03,0.33
TransDigm Group Inc,TDG,2010-01-12,-170.65,-171.65,-170.65,-171.74,233406,0.0,-0.64,-0.65,-1.11,0.48
TransDigm Group Inc,TDG,2010-01-13,-171.38,-171.54,-171.07,-171.77,318578,0.0,-0.41,0.06,0.11,0.65
TransDigm Group Inc,TDG,2010-01-14,-171.7,-171.16,-171.02,-171.85,318882,0.0,-0.48,0.22,0.38,0.65
TransDigm Group Inc,TDG,2010-01-15,-171.27,-171.52,-171.15,-171.64,288787,0.0,-0.29,-0.21,-0.36,0.59
TransDigm Group Inc,TDG,2010-01-19,-171.26,-171.5,-171.15,-171.56,255422,0.0,-0.24,0.01,0.02,0.52
TransDigm Group Inc,TDG,2010-01-20,-170.99,-171.18,-170.76,-171.84,424278,0.0,-0.63,0.19,0.32,0.87
