股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
普信集团,TROW,2000-01-03,-29.89,-30.86,-29.8,-31.11,748800,0.0,-4.37,-3.0,-0.9,0.62
普信集团,TROW,2000-01-04,-31.08,-31.39,-30.86,-31.42,1076200,0.0,-1.81,-1.72,-0.53,0.9
普信集团,TROW,2000-01-05,-31.54,-31.42,-30.95,-31.82,1050400,0.0,-2.77,-0.1,-0.03,0.87
普信集团,TROW,2000-01-06,-31.45,-30.92,-30.92,-31.73,478200,0.0,-2.58,1.59,0.5,0.4
普信集团,TROW,2000-01-07,-30.81,-31.05,-30.67,-31.17,466200,0.0,-1.62,-0.42,-0.13,0.39
普信集团,TROW,2000-01-10,-30.77,-30.86,-30.55,-30.98,407600,0.0,-1.38,0.61,0.19,0.34
普信集团,TROW,2000-01-11,-30.92,-30.92,-30.64,-31.14,402400,0.0,-1.62,-0.19,-0.06,0.34
普信集团,TROW,2000-01-12,-30.64,-30.17,-30.17,-30.83,717200,0.0,-2.13,2.43,0.75,0.6
普信集团,TROW,2000-01-13,-30.11,-29.18,-28.59,-30.13,1763400,0.0,-5.1,3.28,0.99,1.47
普信集团,TROW,2000-01-14,-29.05,-28.9,-28.87,-29.24,1019200,0.0,-1.27,0.96,0.28,0.85
普信集团,TROW,2000-01-18,-29.02,-29.64,-28.99,-29.83,673600,0.0,-2.91,-2.56,-0.74,0.56
普信集团,TROW,2000-01-19,-29.58,-29.36,-28.8,-29.61,371800,0.0,-2.73,0.94,0.28,0.31
普信集团,TROW,2000-01-20,-29.15,-29.36,-29.11,-29.55,379800,0.0,-1.5,0.0,0.0,0.32
普信集团,TROW,2000-01-21,-28.99,-28.46,-28.34,-29.24,1067200,0.0,-3.07,3.07,0.9,0.89
普信集团,TROW,2000-01-24,-28.37,-28.68,-27.5,-28.8,1131000,0.0,-4.57,-0.77,-0.22,0.94
普信集团,TROW,2000-01-25,-28.71,-27.25,-27.18,-29.18,1019800,0.0,-6.97,4.99,1.43,0.85
普信集团,TROW,2000-01-26,-27.25,-27.43,-27.12,-28.62,984000,0.0,-5.5,-0.66,-0.18,0.82
普信集团,TROW,2000-01-27,-27.5,-28.8,-27.0,-28.83,1275600,0.0,-6.67,-4.99,-1.37,1.06
普信集团,TROW,2000-01-28,-28.74,-30.17,-28.74,-30.24,1215800,0.0,-5.21,-4.76,-1.37,1.01
普信集团,TROW,2000-01-31,-30.3,-28.99,-28.99,-30.48,851600,0.0,-4.94,3.91,1.18,0.71
普信集团,TROW,2000-02-01,-29.11,-28.87,-28.77,-29.74,807200,0.0,-3.35,0.41,0.12,0.67
普信集团,TROW,2000-02-02,-28.87,-28.62,-28.55,-29.43,1163000,0.0,-3.05,0.87,0.25,0.97
普信集团,TROW,2000-02-03,-28.43,-29.21,-28.37,-29.68,1115800,0.0,-4.58,-2.06,-0.59,0.93
普信集团,TROW,2000-02-04,-29.05,-29.86,-29.05,-30.02,577600,0.0,-3.32,-2.23,-0.65,0.48
普信集团,TROW,2000-02-07,-29.02,-30.08,-29.02,-30.14,576400,0.0,-3.75,-0.74,-0.22,0.48
普信集团,TROW,2000-02-08,-29.83,-30.08,-29.8,-30.17,549600,0.0,-1.23,0.0,0.0,0.46
普信集团,TROW,2000-02-09,-30.08,-30.45,-29.68,-30.61,597400,0.0,-3.09,-1.23,-0.37,0.5
普信集团,TROW,2000-02-10,-30.42,-30.58,-29.99,-30.67,464200,0.0,-2.23,-0.43,-0.13,0.39
普信集团,TROW,2000-02-11,-30.61,-30.87,-30.42,-30.92,425800,0.0,-1.64,-0.95,-0.29,0.35
普信集团,TROW,2000-02-14,-30.75,-31.57,-30.7,-31.82,1000000,0.0,-3.63,-2.27,-0.7,0.83
普信集团,TROW,2000-02-15,-31.67,-30.77,-30.42,-31.85,758600,0.0,-4.53,2.53,0.8,0.63
普信集团,TROW,2000-02-16,-30.8,-30.73,-30.42,-31.23,1428800,0.0,-2.63,0.13,0.04,1.19
普信集团,TROW,2000-02-17,-30.73,-31.76,-30.64,-31.95,753600,0.0,-4.26,-3.35,-1.03,0.63
普信集团,TROW,2000-02-18,-31.85,-32.2,-31.67,-32.23,669800,0.0,-1.76,-1.39,-0.44,0.56
普信集团,TROW,2000-02-22,-31.79,-32.1,-31.76,-32.29,464000,0.0,-1.65,0.31,0.1,0.39
普信集团,TROW,2000-02-24,-32.17,-30.73,-30.73,-32.32,1495400,0.0,-4.95,4.27,1.37,1.25
普信集团,TROW,2000-02-25,-30.7,-31.33,-30.67,-31.48,664200,0.0,-2.64,-1.95,-0.6,0.55
普信集团,TROW,2000-02-28,-31.26,-31.29,-31.11,-31.82,873000,0.0,-2.27,0.13,0.04,0.73
普信集团,TROW,2000-02-29,-31.29,-31.95,-31.2,-31.98,1204600,0.0,-2.49,-2.11,-0.66,1.0
普信集团,TROW,2000-03-01,-31.76,-31.76,-31.51,-31.98,791200,0.0,-1.47,0.59,0.19,0.66
普信集团,TROW,2000-03-02,-31.67,-31.26,-31.14,-31.95,1276600,0.0,-2.55,1.57,0.5,1.06
普信集团,TROW,2000-03-03,-31.05,-31.39,-31.05,-31.54,674600,0.0,-1.57,-0.42,-0.13,0.56
普信集团,TROW,2000-03-06,-31.42,-31.61,-31.01,-31.67,633000,0.0,-2.1,-0.7,-0.22,0.53
普信集团,TROW,2000-03-07,-31.42,-32.14,-31.39,-32.23,781200,0.0,-2.66,-1.68,-0.53,0.65
普信集团,TROW,2000-03-08,-32.29,-32.98,-32.26,-33.16,1486000,0.0,-2.8,-2.61,-0.84,1.24
普信集团,TROW,2000-03-09,-32.98,-32.48,-32.23,-33.35,924000,0.0,-3.4,1.52,0.5,0.77
普信集团,TROW,2000-03-10,-32.7,-32.38,-31.79,-32.76,979200,0.0,-2.99,0.31,0.1,0.82
普信集团,TROW,2000-03-13,-32.85,-33.04,-32.66,-33.07,1995200,0.0,-1.27,-2.04,-0.66,1.66
普信集团,TROW,2000-03-14,-33.01,-33.32,-32.88,-33.38,1102600,0.0,-1.51,-0.85,-0.28,0.92
普信集团,TROW,2000-03-15,-33.19,-30.98,-30.92,-33.29,1442200,0.0,-7.11,7.02,2.34,1.2
普信集团,TROW,2000-03-16,-30.61,-30.42,-30.14,-30.98,1861600,0.0,-2.71,1.81,0.56,1.55
普信集团,TROW,2000-03-17,-31.14,-30.24,-30.17,-31.17,1757800,0.0,-3.29,0.59,0.18,1.46
普信集团,TROW,2000-03-20,-30.24,-30.39,-29.92,-30.48,614000,0.0,-1.85,-0.5,-0.15,0.51
普信集团,TROW,2000-03-21,-30.42,-30.42,-30.14,-30.61,430000,0.0,-1.55,-0.1,-0.03,0.36
普信集团,TROW,2000-03-22,-30.36,-30.76,-30.29,-31.01,599400,0.0,-2.37,-1.12,-0.34,0.5
普信集团,TROW,2000-03-23,-30.89,-29.2,-29.14,-31.11,1333400,0.0,-6.4,5.07,1.56,1.11
普信集团,TROW,2000-03-24,-29.35,-29.01,-28.79,-29.54,1370800,0.0,-2.57,0.65,0.19,1.14
普信集团,TROW,2000-03-27,-28.42,-30.04,-28.35,-30.45,992800,0.0,-7.24,-3.55,-1.03,0.83
普信集团,TROW,2000-03-28,-30.2,-30.26,-29.98,-30.73,681400,0.0,-2.5,-0.73,-0.22,0.57
普信集团,TROW,2000-03-29,-29.89,-30.01,-29.17,-30.2,773000,0.0,-3.4,0.83,0.25,0.64
普信集团,TROW,2000-03-30,-30.26,-29.14,-28.73,-30.29,1047600,0.0,-5.2,2.9,0.87,0.87
普信集团,TROW,2000-03-31,-28.98,-28.54,-28.48,-29.64,1248000,0.0,-3.98,2.06,0.6,1.04
普信集团,TROW,2000-04-03,-28.57,-29.07,-28.48,-29.17,775200,0.0,-2.42,-1.86,-0.53,0.65
普信集团,TROW,2000-04-04,-29.1,-29.73,-28.7,-30.54,1198800,0.0,-6.33,-2.27,-0.66,1.0
普信集团,TROW,2000-04-05,-29.67,-29.04,-28.82,-29.92,730800,0.0,-3.7,2.32,0.69,0.61
普信集团,TROW,2000-04-06,-28.96,-29.04,-28.35,-29.76,610600,0.0,-4.86,0.0,0.0,0.51
普信集团,TROW,2000-04-07,-28.92,-28.07,-27.76,-29.2,2039400,0.0,-4.96,3.34,0.97,1.7
普信集团,TROW,2000-04-10,-27.98,-28.17,-27.64,-28.6,710400,0.0,-3.42,-0.36,-0.1,0.59
普信集团,TROW,2000-04-11,-28.02,-28.06,-27.64,-28.79,1196600,0.0,-4.08,0.39,0.11,1.0
普信集团,TROW,2000-04-12,-28.04,-28.64,-27.79,-28.67,1173200,0.0,-3.14,-2.07,-0.58,0.98
普信集团,TROW,2000-04-13,-28.43,-29.54,-28.23,-29.54,728000,0.0,-4.57,-3.14,-0.9,0.61
普信集团,TROW,2000-04-14,-29.73,-31.11,-29.54,-31.37,1360800,0.0,-6.19,-5.31,-1.57,1.13
普信集团,TROW,2000-04-17,-31.54,-30.1,-30.1,-31.67,1357800,0.0,-5.05,3.25,1.01,1.13
普信集团,TROW,2000-04-18,-30.29,-28.7,-28.6,-30.29,1076600,0.0,-5.61,4.65,1.4,0.9
普信集团,TROW,2000-04-19,-28.7,-28.82,-28.6,-29.2,811000,0.0,-2.09,-0.42,-0.12,0.68
普信集团,TROW,2000-04-20,-28.76,-28.39,-28.18,-29.26,834600,0.0,-3.75,1.49,0.43,0.69
普信集团,TROW,2000-04-24,-29.42,-28.39,-28.2,-29.48,940400,0.0,-4.51,0.0,0.0,0.78
普信集团,TROW,2000-04-25,-28.11,-27.78,-27.45,-28.17,1629000,0.0,-2.54,2.15,0.61,1.36
普信集团,TROW,2000-04-26,-29.14,-28.79,-28.42,-29.85,1304600,0.0,-5.15,-3.64,-1.01,1.09
普信集团,TROW,2000-04-27,-29.29,-29.57,-29.17,-29.98,1325400,0.0,-2.81,-2.71,-0.78,1.1
普信集团,TROW,2000-04-28,-29.37,-29.23,-28.82,-29.61,1007400,0.0,-2.67,1.15,0.34,0.84
普信集团,TROW,2000-05-01,-29.18,-29.39,-28.49,-29.54,683200,0.0,-3.59,-0.55,-0.16,0.57
普信集团,TROW,2000-05-02,-29.42,-29.23,-29.23,-30.36,2241600,0.0,-3.84,0.54,0.16,1.87
普信集团,TROW,2000-05-03,-29.79,-30.79,-29.76,-30.92,789600,0.0,-3.97,-5.34,-1.56,0.66
普信集团,TROW,2000-05-04,-30.54,-31.54,-30.42,-31.6,1166200,0.0,-3.83,-2.44,-0.75,0.97
普信集团,TROW,2000-05-05,-31.23,-31.04,-30.73,-31.42,608200,0.0,-2.19,1.59,0.5,0.51
普信集团,TROW,2000-05-08,-30.95,-30.72,-30.48,-31.11,655800,0.0,-2.03,1.03,0.32,0.55
普信集团,TROW,2000-05-09,-30.45,-30.89,-30.1,-31.11,518200,0.0,-3.29,-0.55,-0.17,0.43
普信集团,TROW,2000-05-10,-31.07,-31.54,-30.98,-31.54,518000,0.0,-1.81,-2.1,-0.65,0.43
普信集团,TROW,2000-05-11,-31.26,-31.64,-31.11,-31.79,1095200,0.0,-2.16,-0.32,-0.1,0.91
普信集团,TROW,2000-05-12,-31.64,-31.78,-31.29,-31.86,891600,0.0,-1.8,-0.44,-0.14,0.74
普信集团,TROW,2000-05-15,-31.7,-29.23,-29.07,-31.73,2563200,0.0,-8.37,8.02,2.55,2.13
普信集团,TROW,2000-05-16,-29.23,-28.64,-28.29,-29.48,1089800,0.0,-4.07,2.02,0.59,0.91
普信集团,TROW,2000-05-17,-29.1,-29.29,-28.98,-29.73,836800,0.0,-2.62,-2.27,-0.65,0.7
普信集团,TROW,2000-05-18,-29.32,-28.92,-28.67,-29.35,735200,0.0,-2.32,1.26,0.37,0.61
