股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
泰勒科技,TYL,2001-01-02,1.81,1.75,2.12,1.62,123800,0.0,0.0,0.0,0.0,0.26
泰勒科技,TYL,2001-01-03,1.81,1.81,1.94,1.75,41500,0.0,10.86,3.43,0.06,0.09
泰勒科技,TYL,2001-01-04,1.94,1.75,1.94,1.75,40800,0.0,10.5,-3.31,-0.06,0.09
泰勒科技,TYL,2001-01-05,1.88,1.75,1.88,1.38,46300,0.0,28.57,0.0,0.0,0.1
泰勒科技,TYL,2001-01-08,1.81,1.81,1.88,1.75,13100,0.0,7.43,3.43,0.06,0.03
泰勒科技,TYL,2001-01-09,1.88,2.0,2.0,1.88,50400,0.0,6.63,10.5,0.19,0.11
泰勒科技,TYL,2001-01-10,1.94,1.94,2.0,1.88,33800,0.0,6.0,-3.0,-0.06,0.07
泰勒科技,TYL,2001-01-11,2.0,1.94,2.0,1.88,3200,0.0,6.19,0.0,0.0,0.01
泰勒科技,TYL,2001-01-12,2.0,1.94,2.0,1.81,57700,0.0,9.79,0.0,0.0,0.12
泰勒科技,TYL,2001-01-16,1.94,1.94,2.0,1.94,32200,0.0,3.09,0.0,0.0,0.07
泰勒科技,TYL,2001-01-17,2.0,1.75,2.0,1.69,30200,0.0,15.98,-9.79,-0.19,0.06
泰勒科技,TYL,2001-01-18,1.88,1.62,1.88,1.62,22500,0.0,14.86,-7.43,-0.13,0.05
泰勒科技,TYL,2001-01-19,1.75,1.88,1.94,1.75,13300,0.0,11.73,16.05,0.26,0.03
泰勒科技,TYL,2001-01-22,1.75,1.75,1.94,1.75,29700,0.0,10.11,-6.91,-0.13,0.06
泰勒科技,TYL,2001-01-23,1.62,2.0,2.0,1.62,40200,0.0,21.71,14.29,0.25,0.09
泰勒科技,TYL,2001-01-24,1.94,1.94,1.94,1.88,13300,0.0,3.0,-3.0,-0.06,0.03
泰勒科技,TYL,2001-01-25,2.0,2.06,2.12,1.94,40600,0.0,9.28,6.19,0.12,0.09
泰勒科技,TYL,2001-01-26,2.19,1.81,2.25,1.62,375300,0.0,30.58,-12.14,-0.25,0.8
泰勒科技,TYL,2001-01-29,1.85,1.79,1.85,1.7,19200,0.0,8.29,-1.1,-0.02,0.04
泰勒科技,TYL,2001-01-30,1.89,1.97,1.97,1.85,24900,0.0,6.7,10.06,0.18,0.05
泰勒科技,TYL,2001-01-31,1.87,1.75,1.87,1.65,58300,0.0,11.17,-11.17,-0.22,0.12
泰勒科技,TYL,2001-02-01,1.75,1.79,1.79,1.72,3600,0.0,4.0,2.29,0.04,0.01
泰勒科技,TYL,2001-02-02,1.75,1.71,1.75,1.7,16800,0.0,2.79,-4.47,-0.08,0.04
泰勒科技,TYL,2001-02-05,1.8,1.94,1.98,1.72,4900,0.0,15.2,13.45,0.23,0.01
泰勒科技,TYL,2001-02-06,1.94,1.85,1.98,1.85,16900,0.0,6.7,-4.64,-0.09,0.04
泰勒科技,TYL,2001-02-07,1.9,1.95,1.95,1.8,20100,0.0,8.11,5.41,0.1,0.04
