股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
安德玛-C,UA,2016-04-08,45.27,43.54,45.43,42.49,11947818,0.0,0.0,0.0,0.0,5.49
安德玛-C,UA,2016-04-11,43.36,41.15,43.47,40.85,15359204,0.0,6.02,-5.49,-2.39,7.06
安德玛-C,UA,2016-04-12,41.15,41.4,41.41,40.01,8176733,0.0,3.4,0.61,0.25,3.76
安德玛-C,UA,2016-04-13,41.84,42.96,43.12,41.55,8981033,0.0,3.79,3.77,1.56,4.13
安德玛-C,UA,2016-04-14,43.13,43.48,44.03,43.07,5184562,0.0,2.23,1.21,0.52,2.38
安德玛-C,UA,2016-04-15,42.85,43.08,43.11,42.22,5093345,0.0,2.05,-0.92,-0.4,2.34
安德玛-C,UA,2016-04-18,42.96,43.71,43.74,42.96,4123293,0.0,1.81,1.46,0.63,1.89
安德玛-C,UA,2016-04-19,43.95,43.95,44.49,43.41,3928338,0.0,2.47,0.55,0.24,1.81
安德玛-C,UA,2016-04-20,43.95,43.95,44.37,43.51,6660514,0.0,1.96,0.0,0.0,3.06
安德玛-C,UA,2016-04-21,47.61,46.93,47.8,46.15,15135390,0.0,3.75,6.78,2.98,6.96
安德玛-C,UA,2016-04-22,47.2,46.99,47.94,45.82,8801155,0.0,4.52,0.13,0.06,4.04
安德玛-C,UA,2016-04-25,46.76,46.59,46.89,46.25,6681206,0.0,1.36,-0.85,-0.4,3.07
安德玛-C,UA,2016-04-26,46.54,46.75,47.38,46.25,5796909,0.0,2.43,0.34,0.16,2.66
安德玛-C,UA,2016-04-27,46.56,44.8,46.58,44.3,6500733,0.0,4.88,-4.17,-1.95,2.99
安德玛-C,UA,2016-04-28,44.84,44.66,45.99,44.55,4574746,0.0,3.21,-0.31,-0.14,2.1
安德玛-C,UA,2016-04-29,44.61,43.94,44.66,43.37,4805518,0.0,2.89,-1.61,-0.72,2.21
安德玛-C,UA,2016-05-02,43.89,43.74,44.1,43.16,5358062,0.0,2.14,-0.46,-0.2,2.46
