股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
联合航空,UAL,2018-09-07,87.01,87.68,89.48,86.5,2442210,214640266.0,0.0,0.0,0.0,0.9
联合航空,UAL,2018-09-10,87.68,88.09,88.45,87.15,3205168,282218464.0,1.48,0.47,0.41,1.18
联合航空,UAL,2018-09-11,87.96,89.12,89.35,87.83,3513429,312257952.0,1.73,1.17,1.03,1.29
联合航空,UAL,2018-09-12,88.9,87.8,89.21,87.44,2467606,217125291.0,1.99,-1.48,-1.32,0.91
联合航空,UAL,2018-09-13,87.98,89.58,90.2,87.83,3571736,320026304.0,2.7,2.03,1.78,1.31
联合航空,UAL,2018-09-14,89.74,90.33,90.48,89.49,2448473,220495590.0,1.11,0.84,0.75,0.9
联合航空,UAL,2018-09-17,90.5,90.16,91.39,89.94,1646261,149012666.0,1.61,-0.19,-0.17,0.6
联合航空,UAL,2018-09-18,89.34,90.11,90.53,88.65,1933594,173937686.0,2.09,-0.06,-0.05,0.71
联合航空,UAL,2018-09-19,90.02,89.35,90.61,89.18,2545614,228048753.0,1.59,-0.84,-0.76,0.93
联合航空,UAL,2018-09-20,89.84,89.12,89.92,88.91,2409841,215148146.0,1.13,-0.26,-0.23,0.88
联合航空,UAL,2018-09-21,89.57,89.94,90.25,87.11,4690350,421265056.0,3.52,0.92,0.82,1.72
联合航空,UAL,2018-09-24,89.83,87.84,89.83,87.03,3534890,309727520.0,3.11,-2.33,-2.1,1.3
联合航空,UAL,2018-09-25,87.83,87.92,88.04,86.82,2061663,180585556.0,1.39,0.09,0.08,0.76
联合航空,UAL,2018-09-26,88.85,88.97,89.46,88.46,2031541,180902814.0,1.14,1.19,1.05,0.75
联合航空,UAL,2018-09-27,88.93,88.34,89.99,88.24,2156248,191574958.0,1.97,-0.71,-0.63,0.79
联合航空,UAL,2018-09-28,88.33,89.06,89.34,88.29,2091566,186039880.0,1.19,0.82,0.72,0.77
联合航空,UAL,2018-10-01,89.29,87.61,89.58,87.52,2459934,217171730.0,2.31,-1.63,-1.45,0.9
联合航空,UAL,2018-10-02,87.24,86.71,87.44,85.84,3210476,278185056.0,1.83,-1.03,-0.9,1.18
联合航空,UAL,2018-10-03,87.02,87.39,87.92,86.82,1945359,170022664.0,1.27,0.78,0.68,0.71
联合航空,UAL,2018-10-04,87.03,86.04,87.76,85.52,2751995,236826589.0,2.56,-1.54,-1.35,1.01
联合航空,UAL,2018-10-05,86.12,84.14,86.75,84.02,4242778,359236048.0,3.17,-2.21,-1.9,1.56
联合航空,UAL,2018-10-08,84.0,83.68,84.49,82.37,2897333,242211823.0,2.52,-0.55,-0.46,1.06
联合航空,UAL,2018-10-09,83.71,81.43,84.41,81.28,4287266,350623024.0,3.74,-2.69,-2.25,1.57
联合航空,UAL,2018-10-10,82.8,78.93,82.8,78.87,5573818,442465120.0,4.83,-3.07,-2.5,2.05
联合航空,UAL,2018-10-11,81.09,80.12,81.98,78.93,5567559,448214384.0,3.86,1.51,1.19,2.04
联合航空,UAL,2018-10-12,81.31,80.18,81.47,79.33,2870732,230186257.0,2.67,0.07,0.06,1.05
联合航空,UAL,2018-10-15,80.4,81.34,81.95,80.1,3512635,285772416.0,2.31,1.45,1.16,1.29
联合航空,UAL,2018-10-16,81.6,83.52,84.21,81.23,4965755,413688816.0,3.66,2.68,2.18,1.82
联合航空,UAL,2018-10-17,88.02,88.49,89.48,86.16,10329511,910572736.0,3.98,5.95,4.97,3.79
联合航空,UAL,2018-10-18,89.0,87.09,89.61,86.52,4979982,436618240.0,3.49,-1.58,-1.4,1.83
联合航空,UAL,2018-10-19,87.26,87.43,88.83,87.02,4582744,402035952.0,2.08,0.39,0.34,1.68
联合航空,UAL,2018-10-22,87.84,88.61,89.23,87.34,3820521,338139648.0,2.16,1.35,1.18,1.4
联合航空,UAL,2018-10-23,87.02,86.33,87.61,84.44,5809037,497674400.0,3.58,-2.57,-2.28,2.13
联合航空,UAL,2018-10-24,86.07,82.19,86.71,81.92,5221028,436567936.0,5.55,-4.8,-4.14,1.92
联合航空,UAL,2018-10-25,82.69,85.6,86.27,82.48,4328610,369285264.0,4.61,4.15,3.41,1.59
联合航空,UAL,2018-10-26,84.1,84.63,85.58,82.84,3364347,283818160.0,3.2,-1.13,-0.97,1.23
联合航空,UAL,2018-10-29,85.98,84.99,86.95,83.92,3902045,333077392.0,3.58,0.43,0.36,1.43
联合航空,UAL,2018-10-30,84.38,85.85,86.25,84.38,4363214,372556608.0,2.2,1.01,0.86,1.6
联合航空,UAL,2018-10-31,87.25,85.51,87.7,85.37,3796840,327680464.0,2.71,-0.4,-0.34,1.39
联合航空,UAL,2018-11-01,85.62,88.04,88.47,85.62,3398927,298080624.0,3.33,2.96,2.53,1.25
联合航空,UAL,2018-11-02,88.47,88.68,90.28,88.01,3335964,296599904.0,2.58,0.73,0.64,1.22
联合航空,UAL,2018-11-05,88.98,89.47,89.82,88.28,2735506,244355751.0,1.74,0.89,0.79,1.0
联合航空,UAL,2018-11-06,90.0,89.64,90.25,88.83,2187428,196060137.0,1.59,0.19,0.17,0.8
联合航空,UAL,2018-11-07,90.22,92.16,92.33,89.65,3792231,347964736.0,2.99,2.81,2.52,1.39
联合航空,UAL,2018-11-08,92.09,92.56,92.85,91.53,2460310,227171201.0,1.43,0.43,0.4,0.9
联合航空,UAL,2018-11-09,92.41,92.35,93.6,91.74,4254067,393228192.0,2.01,-0.23,-0.21,1.56
联合航空,UAL,2018-11-12,92.36,91.2,92.69,91.03,2903263,266124691.0,1.8,-1.25,-1.15,1.07
联合航空,UAL,2018-11-13,91.63,92.6,93.38,91.63,3696571,342435376.0,1.92,1.54,1.4,1.36
联合航空,UAL,2018-11-14,93.03,91.79,93.47,91.38,2387001,220404761.0,2.26,-0.87,-0.81,0.88
联合航空,UAL,2018-11-15,91.4,91.98,92.66,89.02,3691475,335861664.0,3.97,0.21,0.19,1.35
联合航空,UAL,2018-11-16,91.84,92.26,92.6,90.07,2837923,260079334.0,2.75,0.3,0.28,1.04
联合航空,UAL,2018-11-19,92.32,92.09,92.95,91.16,2684617,247232343.0,1.94,-0.18,-0.17,0.99
联合航空,UAL,2018-11-20,91.2,91.77,92.79,90.45,3232754,297325680.0,2.54,-0.35,-0.32,1.19
联合航空,UAL,2018-11-21,91.92,92.86,93.38,91.82,3771625,350468032.0,1.7,1.19,1.09,1.38
联合航空,UAL,2018-11-23,93.27,94.84,95.08,92.79,2688683,253779367.0,2.47,2.13,1.98,0.99
联合航空,UAL,2018-11-26,95.56,91.75,95.81,91.73,4244651,393605456.0,4.3,-3.26,-3.09,1.56
联合航空,UAL,2018-11-27,92.37,93.38,94.19,92.13,4035884,376134304.0,2.25,1.78,1.63,1.48
联合航空,UAL,2018-11-28,94.11,94.48,94.72,93.42,3438583,324512672.0,1.39,1.18,1.1,1.26
联合航空,UAL,2018-11-29,94.04,95.07,95.45,94.03,3617702,343620560.0,1.5,0.62,0.59,1.33
联合航空,UAL,2018-11-30,94.9,96.7,96.8,94.9,4033984,388344576.0,2.0,1.71,1.63,1.48
联合航空,UAL,2018-12-03,97.67,96.46,97.85,95.96,2800581,270843520.0,1.95,-0.25,-0.24,1.03
联合航空,UAL,2018-12-04,95.03,91.94,95.53,90.54,5576460,515411280.0,5.17,-4.69,-4.52,2.05
联合航空,UAL,2018-12-06,90.94,93.03,93.23,90.17,3766803,347122752.0,3.33,1.19,1.09,1.38
联合航空,UAL,2018-12-07,92.24,88.23,92.65,87.61,5052598,448864432.0,5.42,-5.16,-4.8,1.85
联合航空,UAL,2018-12-10,88.05,88.55,89.87,87.07,3089484,273616880.0,3.17,0.36,0.32,1.13
联合航空,UAL,2018-12-11,89.49,88.14,89.65,87.53,4525146,399026336.0,2.39,-0.46,-0.41,1.66
联合航空,UAL,2018-12-12,88.92,89.63,90.3,88.35,2868470,256794677.0,2.21,1.69,1.49,1.05
联合航空,UAL,2018-12-13,89.63,87.48,90.15,86.23,3776442,329598448.0,4.37,-2.4,-2.15,1.39
联合航空,UAL,2018-12-14,86.58,87.74,89.85,86.58,2800657,247658184.0,3.74,0.3,0.26,1.03
联合航空,UAL,2018-12-17,87.88,86.21,88.15,85.92,4051907,351081632.0,2.54,-1.74,-1.53,1.49
联合航空,UAL,2018-12-18,87.17,87.8,88.88,87.17,3276839,288806208.0,1.98,1.84,1.59,1.2
联合航空,UAL,2018-12-19,87.78,86.37,88.69,85.39,2715128,235842551.0,3.76,-1.63,-1.43,1.0
联合航空,UAL,2018-12-20,86.28,84.41,86.89,83.26,3966503,336547552.0,4.2,-2.27,-1.96,1.46
联合航空,UAL,2018-12-21,84.04,81.47,85.5,81.25,10687289,878185776.0,5.03,-3.48,-2.94,3.92
联合航空,UAL,2018-12-24,80.91,79.12,81.26,79.05,3338602,266334924.0,2.71,-2.88,-2.35,1.23
联合航空,UAL,2018-12-26,79.85,83.8,83.98,79.85,5253398,434035552.0,5.22,5.92,4.68,1.93
联合航空,UAL,2018-12-27,82.82,83.04,83.51,79.44,4128474,337052448.0,4.86,-0.91,-0.76,1.52
联合航空,UAL,2018-12-28,83.54,83.17,84.74,82.63,2257370,188241524.0,2.54,0.16,0.13,0.83
联合航空,UAL,2018-12-31,83.74,83.73,84.61,82.93,2663686,222682363.0,2.02,0.67,0.56,0.99
联合航空,UAL,2019-01-02,81.69,84.18,84.29,81.41,2973498,248760190.0,3.44,0.54,0.45,1.1
联合航空,UAL,2019-01-03,83.26,80.0,83.26,78.38,6426213,512912848.0,5.8,-4.97,-4.18,2.38
联合航空,UAL,2019-01-04,80.88,82.68,83.95,80.77,3808373,315869248.0,3.98,3.35,2.68,1.41
联合航空,UAL,2019-01-07,82.57,83.23,83.92,81.45,2653000,220244480.0,2.99,0.67,0.55,0.98
联合航空,UAL,2019-01-08,83.3,82.38,84.62,81.89,3910027,322384800.0,3.28,-1.02,-0.85,1.45
