股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
UDR不动产信托,UDR,2001-01-02,-17.53,-17.53,-17.46,-17.65,267700,0.0,0.0,0.0,0.0,0.26
UDR不动产信托,UDR,2001-01-03,-17.53,-17.15,-17.09,-17.53,276500,0.0,-2.51,2.17,0.38,0.27
UDR不动产信托,UDR,2001-01-04,-17.09,-16.96,-16.9,-17.28,424000,0.0,-2.22,1.11,0.19,0.41
UDR不动产信托,UDR,2001-01-05,-17.22,-17.34,-17.15,-17.46,191600,0.0,-1.83,-2.24,-0.38,0.19
UDR不动产信托,UDR,2001-01-08,-17.34,-17.4,-17.22,-17.4,334600,0.0,-1.04,-0.35,-0.06,0.33
UDR不动产信托,UDR,2001-01-09,-17.34,-17.34,-17.22,-17.4,649700,0.0,-1.03,0.34,0.06,0.64
UDR不动产信托,UDR,2001-01-10,-17.2,-17.14,-17.14,-17.33,326900,0.0,-1.1,1.15,0.2,0.32
UDR不动产信托,UDR,2001-01-11,-17.08,-17.08,-16.96,-17.2,554100,0.0,-1.4,0.35,0.06,0.54
UDR不动产信托,UDR,2001-01-12,-17.08,-17.08,-17.02,-17.14,189100,0.0,-0.7,0.0,0.0,0.18
UDR不动产信托,UDR,2001-01-16,-17.14,-17.14,-17.08,-17.33,247200,0.0,-1.46,-0.35,-0.06,0.24
UDR不动产信托,UDR,2001-01-17,-17.14,-17.14,-17.14,-17.33,406600,0.0,-1.11,0.0,0.0,0.4
UDR不动产信托,UDR,2001-01-18,-17.27,-17.14,-17.14,-17.27,146800,0.0,-0.76,0.0,0.0,0.14
UDR不动产信托,UDR,2001-01-19,-17.27,-17.33,-17.08,-17.33,295100,0.0,-1.46,-1.11,-0.19,0.29
UDR不动产信托,UDR,2001-01-22,-17.46,-17.14,-17.14,-17.52,212200,0.0,-2.19,1.1,0.19,0.21
UDR不动产信托,UDR,2001-01-23,-17.27,-17.08,-17.08,-17.27,187200,0.0,-1.11,0.35,0.06,0.18
UDR不动产信托,UDR,2001-01-24,-17.08,-17.14,-17.02,-17.2,190900,0.0,-1.05,-0.35,-0.06,0.19
UDR不动产信托,UDR,2001-01-25,-17.2,-17.02,-16.89,-17.2,254400,0.0,-1.81,0.7,0.12,0.25
UDR不动产信托,UDR,2001-01-26,-17.02,-16.96,-16.83,-17.02,248500,0.0,-1.12,0.35,0.06,0.24
UDR不动产信托,UDR,2001-01-29,-16.93,-16.84,-16.83,-16.96,232000,0.0,-0.77,0.71,0.12,0.23
UDR不动产信托,UDR,2001-01-30,-16.91,-16.56,-16.28,-16.91,429900,0.0,-3.74,1.66,0.28,0.42
UDR不动产信托,UDR,2001-01-31,-16.54,-17.06,-16.53,-17.06,251400,0.0,-3.2,-3.02,-0.5,0.25
UDR不动产信托,UDR,2001-02-01,-16.78,-16.68,-16.54,-16.88,251000,0.0,-1.99,2.23,0.38,0.25
UDR不动产信托,UDR,2001-02-02,-16.88,-16.78,-16.68,-16.92,183900,0.0,-1.44,-0.6,-0.1,0.18
UDR不动产信托,UDR,2001-02-05,-16.88,-16.89,-16.8,-16.93,233000,0.0,-0.77,-0.66,-0.11,0.23
UDR不动产信托,UDR,2001-02-06,-16.91,-16.18,-16.04,-16.92,925100,0.0,-5.21,4.2,0.71,0.91
UDR不动产信托,UDR,2001-02-07,-16.23,-16.31,-16.2,-16.43,290700,0.0,-1.42,-0.8,-0.13,0.28
UDR不动产信托,UDR,2001-02-08,-16.38,-16.48,-16.28,-16.62,192100,0.0,-2.08,-1.04,-0.17,0.19
UDR不动产信托,UDR,2001-02-09,-16.53,-16.78,-16.53,-16.82,114100,0.0,-1.76,-1.82,-0.3,0.11
UDR不动产信托,UDR,2001-02-12,-16.78,-16.55,-16.54,-16.78,493800,0.0,-1.43,1.37,0.23,0.48
UDR不动产信托,UDR,2001-02-13,-16.58,-16.63,-16.53,-16.64,170400,0.0,-0.66,-0.48,-0.08,0.17
UDR不动产信托,UDR,2001-02-14,-16.53,-16.6,-16.53,-16.71,618400,0.0,-1.08,0.18,0.03,0.6
UDR不动产信托,UDR,2001-02-15,-16.63,-16.6,-16.58,-16.67,210900,0.0,-0.54,0.0,0.0,0.21
UDR不动产信托,UDR,2001-02-16,-16.78,-16.64,-16.6,-16.8,117200,0.0,-1.2,-0.24,-0.04,0.11
UDR不动产信托,UDR,2001-02-20,-16.68,-16.73,-16.64,-16.73,472900,0.0,-0.54,-0.54,-0.09,0.46
UDR不动产信托,UDR,2001-02-21,-16.78,-16.55,-16.51,-16.78,310300,0.0,-1.61,1.08,0.18,0.3
UDR不动产信托,UDR,2001-02-22,-16.63,-16.6,-16.54,-16.73,257800,0.0,-1.15,-0.3,-0.05,0.25
UDR不动产信托,UDR,2001-02-23,-16.7,-16.61,-16.54,-16.7,220900,0.0,-0.96,-0.06,-0.01,0.22
UDR不动产信托,UDR,2001-02-26,-16.51,-16.33,-16.28,-16.59,149800,0.0,-1.87,1.69,0.28,0.15
UDR不动产信托,UDR,2001-02-27,-16.33,-16.12,-15.99,-16.52,709800,0.0,-3.25,1.29,0.21,0.69
UDR不动产信托,UDR,2001-02-28,-16.12,-16.02,-15.99,-16.32,258900,0.0,-2.05,0.62,0.1,0.25
UDR不动产信托,UDR,2001-03-01,-16.08,-16.07,-16.0,-16.16,261700,0.0,-1.0,-0.31,-0.05,0.26
UDR不动产信托,UDR,2001-03-02,-16.08,-15.93,-15.78,-16.08,229900,0.0,-1.87,0.87,0.14,0.23
UDR不动产信托,UDR,2001-03-05,-16.03,-15.94,-15.84,-16.06,179300,0.0,-1.38,-0.06,-0.01,0.18
