股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
联合包裹服务,UPS,2000-01-03,8.19,5.58,8.25,5.51,1273200,0.0,36.48,-25.7,-1.93,0.11
联合包裹服务,UPS,2000-01-04,5.51,3.46,5.51,3.15,1385800,0.0,42.29,-37.99,-2.12,0.11
联合包裹服务,UPS,2000-01-05,3.39,6.51,6.51,3.27,1401700,0.0,93.64,88.15,3.05,0.12
联合包裹服务,UPS,2000-01-06,4.39,6.51,6.63,3.52,1959100,0.0,47.77,0.0,0.0,0.16
联合包裹服务,UPS,2000-01-07,6.14,4.89,6.14,4.27,996000,0.0,28.73,-24.88,-1.62,0.08
联合包裹服务,UPS,2000-01-10,5.39,5.58,5.95,4.95,1191700,0.0,20.45,14.11,0.69,0.1
联合包裹服务,UPS,2000-01-11,5.64,3.77,5.95,3.77,1020000,0.0,39.07,-32.44,-1.81,0.08
联合包裹服务,UPS,2000-01-12,4.64,5.89,6.01,3.96,1097700,0.0,54.38,56.23,2.12,0.09
联合包裹服务,UPS,2000-01-13,6.14,6.82,7.01,5.89,1071200,0.0,19.02,15.79,0.93,0.09
联合包裹服务,UPS,2000-01-14,7.38,7.57,7.76,6.82,1160000,0.0,13.78,11.0,0.75,0.1
联合包裹服务,UPS,2000-01-18,7.51,7.2,7.51,5.89,980500,0.0,21.4,-4.89,-0.37,0.08
联合包裹服务,UPS,2000-01-19,7.01,6.76,7.07,5.95,1087300,0.0,15.56,-6.11,-0.44,0.09
联合包裹服务,UPS,2000-01-20,6.63,7.38,7.63,6.63,1972000,0.0,14.79,9.17,0.62,0.16
联合包裹服务,UPS,2000-01-21,7.38,5.76,7.38,5.2,1270100,0.0,29.54,-21.95,-1.62,0.1
联合包裹服务,UPS,2000-01-24,6.39,4.52,6.76,4.52,831400,0.0,38.89,-21.53,-1.24,0.07
联合包裹服务,UPS,2000-01-25,4.14,4.39,5.14,3.27,1263000,0.0,41.37,-2.88,-0.13,0.1
联合包裹服务,UPS,2000-01-26,3.77,3.64,4.14,3.02,933400,0.0,25.51,-17.08,-0.75,0.08
联合包裹服务,UPS,2000-01-27,3.83,3.64,3.89,2.52,1128400,0.0,37.64,0.0,0.0,0.09
联合包裹服务,UPS,2000-01-28,3.64,3.46,4.39,2.52,1324700,0.0,51.37,-4.95,-0.18,0.11
联合包裹服务,UPS,2000-01-31,1.53,-1.47,2.52,-2.46,5745800,0.0,143.93,-142.49,-4.93,0.47
联合包裹服务,UPS,2000-02-01,-1.78,-0.09,0.03,-3.15,4761000,0.0,-216.33,93.88,1.38,0.39
联合包裹服务,UPS,2000-02-02,-1.71,-3.21,-1.53,-4.27,4740600,0.0,-3044.44,-3466.67,-3.12,0.39
联合包裹服务,UPS,2000-02-03,-2.21,-3.83,-1.96,-4.08,1951900,0.0,-66.04,-19.31,-0.62,0.16
联合包裹服务,UPS,2000-02-04,-3.27,-5.08,-3.27,-5.39,1745200,0.0,-55.35,-32.64,-1.25,0.14
联合包裹服务,UPS,2000-02-07,-4.83,-5.7,-4.64,-5.95,1480200,0.0,-25.79,-12.2,-0.62,0.12
联合包裹服务,UPS,2000-02-08,-5.2,-2.09,-2.09,-5.7,2055100,0.0,-63.33,63.33,3.61,0.17
联合包裹服务,UPS,2000-02-09,-1.96,-3.46,-1.84,-3.46,1209400,0.0,-77.51,-65.55,-1.37,0.1
联合包裹服务,UPS,2000-02-10,-3.4,-4.39,-2.96,-4.95,995700,0.0,-57.51,-26.88,-0.93,0.08
联合包裹服务,UPS,2000-02-11,-4.64,-6.33,-4.46,-6.33,1013900,0.0,-42.6,-44.19,-1.94,0.08
联合包裹服务,UPS,2000-02-14,-6.14,-7.07,-5.95,-7.32,2052800,0.0,-21.64,-11.69,-0.74,0.17
联合包裹服务,UPS,2000-02-15,-7.01,-6.51,-6.45,-7.88,1182900,0.0,-20.23,7.92,0.56,0.1
联合包裹服务,UPS,2000-02-16,-6.26,-5.45,-5.02,-6.95,1530000,0.0,-29.65,16.28,1.06,0.13
联合包裹服务,UPS,2000-02-17,-4.95,-3.46,-3.21,-5.33,1036000,0.0,-38.9,36.51,1.99,0.09
联合包裹服务,UPS,2000-02-18,-3.46,-4.52,-2.03,-6.2,1529200,0.0,-120.52,-30.64,-1.06,0.13
联合包裹服务,UPS,2000-02-22,-4.52,-6.45,-4.52,-6.89,1226000,0.0,-52.43,-42.7,-1.93,0.1
联合包裹服务,UPS,2000-02-24,-6.11,-7.05,-6.11,-7.3,1049300,0.0,-18.45,-9.3,-0.6,0.09
联合包裹服务,UPS,2000-02-25,-6.17,-5.61,-5.36,-7.05,961700,0.0,-23.97,20.43,1.44,0.08
联合包裹服务,UPS,2000-02-28,-5.55,-6.11,-5.48,-6.61,565600,0.0,-20.14,-8.91,-0.5,0.05
联合包裹服务,UPS,2000-02-29,-6.11,-6.49,-5.8,-6.61,750900,0.0,-13.26,-6.22,-0.38,0.06
联合包裹服务,UPS,2000-03-01,-6.49,-8.61,-6.42,-9.23,1471000,0.0,-43.3,-32.67,-2.12,0.12
联合包裹服务,UPS,2000-03-02,-8.99,-7.8,-7.49,-9.05,1136600,0.0,-18.12,9.41,0.81,0.09
联合包裹服务,UPS,2000-03-03,-7.8,-8.42,-7.61,-8.55,1030700,0.0,-12.05,-7.95,-0.62,0.09
联合包裹服务,UPS,2000-03-06,-6.73,-8.36,-6.73,-8.61,1431500,0.0,-22.33,0.71,0.06,0.12
联合包裹服务,UPS,2000-03-07,-8.36,-10.49,-8.3,-12.11,2319100,0.0,-45.57,-25.48,-2.13,0.19
联合包裹服务,UPS,2000-03-08,-8.36,-6.8,-6.61,-9.8,2275300,0.0,-30.41,35.18,3.69,0.19
联合包裹服务,UPS,2000-03-09,-6.61,-8.11,-6.61,-8.67,1199700,0.0,-30.29,-19.26,-1.31,0.1
联合包裹服务,UPS,2000-03-10,-7.36,-7.67,-6.73,-8.05,776700,0.0,-16.28,5.43,0.44,0.06
联合包裹服务,UPS,2000-03-13,-8.86,-8.36,-6.92,-8.99,671700,0.0,-26.99,-9.0,-0.69,0.06
联合包裹服务,UPS,2000-03-14,-8.61,-8.55,-7.61,-8.8,1072500,0.0,-14.23,-2.27,-0.19,0.09
联合包裹服务,UPS,2000-03-15,-8.17,-6.17,-5.74,-9.49,2274800,0.0,-43.86,27.84,2.38,0.19
联合包裹服务,UPS,2000-03-16,-5.23,-4.86,-3.49,-6.05,1635300,0.0,-41.49,21.23,1.31,0.14
联合包裹服务,UPS,2000-03-17,-4.05,-5.61,-4.05,-5.61,622400,0.0,-32.1,-15.43,-0.75,0.05
联合包裹服务,UPS,2000-03-20,-4.61,-4.55,-4.24,-5.86,843400,0.0,-28.88,18.89,1.06,0.07
联合包裹服务,UPS,2000-03-21,-4.8,-2.92,-2.74,-5.86,889000,0.0,-68.57,35.82,1.63,0.07
联合包裹服务,UPS,2000-03-22,-2.92,-4.24,-2.05,-4.3,763100,0.0,-77.05,-45.21,-1.32,0.06
联合包裹服务,UPS,2000-03-23,-4.3,-1.49,-1.17,-5.11,1472900,0.0,-92.92,64.86,2.75,0.12
联合包裹服务,UPS,2000-03-24,-1.11,2.64,3.01,-1.3,2148200,0.0,-289.26,277.18,4.13,0.18
联合包裹服务,UPS,2000-03-27,1.89,2.08,2.89,1.51,960400,0.0,52.27,-21.21,-0.56,0.08
联合包裹服务,UPS,2000-03-28,1.39,-0.86,1.89,-1.05,639300,0.0,141.35,-141.35,-2.94,0.05
联合包裹服务,UPS,2000-03-29,0.14,-2.05,0.14,-2.8,869700,0.0,-341.86,-138.37,-1.19,0.07
联合包裹服务,UPS,2000-03-30,-2.3,-2.55,-0.98,-2.8,682400,0.0,-88.78,-24.39,-0.5,0.06
联合包裹服务,UPS,2000-03-31,-1.55,1.87,1.89,-2.92,727100,0.0,-188.63,173.33,4.42,0.06
联合包裹服务,UPS,2000-04-03,0.89,-1.73,0.89,-2.11,830000,0.0,160.43,-192.51,-3.6,0.07
联合包裹服务,UPS,2000-04-04,-1.73,-3.3,-1.36,-5.74,1309000,0.0,-253.18,-90.75,-1.57,0.11
联合包裹服务,UPS,2000-04-05,-4.3,-2.92,-2.86,-4.3,478000,0.0,-43.64,11.52,0.38,0.04
联合包裹服务,UPS,2000-04-06,-2.8,-1.24,-0.92,-2.8,800700,0.0,-64.38,57.53,1.68,0.07
