股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
威富,VFC,2000-01-03,-15.68,-15.71,-15.61,-15.76,216100,0.0,-0.96,-0.58,-0.09,0.19
威富,VFC,2000-01-04,-15.78,-15.79,-15.64,-15.93,192400,0.0,-1.85,-0.51,-0.08,0.17
威富,VFC,2000-01-05,-15.78,-15.87,-15.62,-15.93,296400,0.0,-1.96,-0.51,-0.08,0.26
威富,VFC,2000-01-06,-15.78,-15.98,-15.73,-16.13,454600,0.0,-2.52,-0.69,-0.11,0.39
威富,VFC,2000-01-07,-15.91,-15.82,-15.76,-16.12,514800,0.0,-2.25,1.0,0.16,0.44
威富,VFC,2000-01-10,-15.74,-15.73,-15.64,-15.81,221400,0.0,-1.07,0.57,0.09,0.19
威富,VFC,2000-01-11,-15.68,-15.67,-15.53,-15.73,152800,0.0,-1.27,0.38,0.06,0.13
威富,VFC,2000-01-12,-15.74,-15.65,-15.62,-15.87,231400,0.0,-1.6,0.13,0.02,0.2
威富,VFC,2000-01-13,-15.64,-15.76,-15.59,-15.81,277400,0.0,-1.41,-0.7,-0.11,0.24
威富,VFC,2000-01-14,-15.88,-15.9,-15.74,-15.91,246000,0.0,-1.08,-0.89,-0.14,0.21
威富,VFC,2000-01-18,-15.96,-15.9,-15.81,-15.99,151100,0.0,-1.13,0.0,0.0,0.13
威富,VFC,2000-01-19,-15.93,-15.74,-15.71,-15.93,195300,0.0,-1.38,1.01,0.16,0.17
威富,VFC,2000-01-20,-15.73,-15.79,-15.67,-15.88,257600,0.0,-1.33,-0.32,-0.05,0.22
威富,VFC,2000-01-21,-15.59,-15.76,-15.59,-15.82,265200,0.0,-1.46,0.19,0.03,0.23
威富,VFC,2000-01-24,-15.78,-15.79,-15.76,-15.84,225600,0.0,-0.51,-0.19,-0.03,0.19
威富,VFC,2000-01-25,-15.78,-15.93,-15.74,-16.02,461700,0.0,-1.77,-0.89,-0.14,0.4
威富,VFC,2000-01-26,-15.91,-15.9,-15.88,-15.99,201900,0.0,-0.69,0.19,0.03,0.17
威富,VFC,2000-01-27,-15.87,-16.16,-15.87,-16.33,336200,0.0,-2.89,-1.64,-0.26,0.29
威富,VFC,2000-01-28,-16.15,-16.44,-16.13,-16.61,278900,0.0,-2.97,-1.73,-0.28,0.24
威富,VFC,2000-01-31,-16.44,-16.63,-16.44,-16.7,423500,0.0,-1.58,-1.16,-0.19,0.36
威富,VFC,2000-02-01,-16.56,-16.58,-16.5,-16.86,457700,0.0,-2.16,0.3,0.05,0.39
威富,VFC,2000-02-02,-16.55,-16.5,-16.39,-16.61,327700,0.0,-1.33,0.48,0.08,0.28
威富,VFC,2000-02-03,-16.49,-16.36,-16.29,-16.49,283400,0.0,-1.21,0.85,0.14,0.24
威富,VFC,2000-02-04,-16.36,-16.63,-16.36,-16.67,308200,0.0,-1.89,-1.65,-0.27,0.27
威富,VFC,2000-02-07,-16.63,-16.58,-16.5,-16.87,288500,0.0,-2.22,0.3,0.05,0.25
