股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沃那多房产信托,VNO,2001-01-02,-28.01,-28.57,-27.88,-28.64,328600,0.0,0.0,0.0,0.0,0.38
沃那多房产信托,VNO,2001-01-03,-28.57,-28.45,-28.14,-28.64,199200,0.0,-1.75,0.42,0.12,0.23
沃那多房产信托,VNO,2001-01-04,-28.45,-28.57,-28.38,-28.76,161000,0.0,-1.34,-0.42,-0.12,0.19
沃那多房产信托,VNO,2001-01-05,-28.51,-28.95,-28.51,-29.01,54500,0.0,-1.75,-1.33,-0.38,0.06
沃那多房产信托,VNO,2001-01-08,-28.88,-28.95,-28.7,-29.2,116600,0.0,-1.73,0.0,0.0,0.13
沃那多房产信托,VNO,2001-01-09,-29.2,-29.2,-28.88,-29.26,47200,0.0,-1.31,-0.86,-0.25,0.05
沃那多房产信托,VNO,2001-01-10,-29.2,-29.51,-29.2,-29.64,203900,0.0,-1.51,-1.06,-0.31,0.23
沃那多房产信托,VNO,2001-01-11,-29.57,-30.07,-29.57,-30.14,196900,0.0,-1.93,-1.9,-0.56,0.23
沃那多房产信托,VNO,2001-01-12,-30.32,-30.38,-30.01,-30.38,161600,0.0,-1.23,-1.03,-0.31,0.19
沃那多房产信托,VNO,2001-01-16,-29.76,-30.51,-29.76,-30.64,137900,0.0,-2.9,-0.43,-0.13,0.16
沃那多房产信托,VNO,2001-01-17,-30.51,-30.82,-30.51,-30.95,208200,0.0,-1.44,-1.02,-0.31,0.24
沃那多房产信托,VNO,2001-01-18,-30.57,-30.07,-30.07,-31.07,446000,0.0,-3.24,2.43,0.75,0.51
沃那多房产信托,VNO,2001-01-19,-30.2,-30.14,-29.76,-30.26,98100,0.0,-1.66,-0.23,-0.07,0.11
沃那多房产信托,VNO,2001-01-22,-30.14,-29.88,-29.88,-30.32,341200,0.0,-1.46,0.86,0.26,0.39
