股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
威瑞信,VRSN,2000-01-03,197.25,184.37,200.25,176.0,2270100,0.0,13.09,-0.44,-0.82,11.27
威瑞信,VRSN,2000-01-04,176.25,182.63,194.0,174.25,3002200,0.0,10.71,-0.94,-1.74,14.9
威瑞信,VRSN,2000-01-05,178.25,172.25,179.25,147.63,6886600,0.0,17.31,-5.68,-10.38,34.17
威瑞信,VRSN,2000-01-06,170.63,149.37,175.25,147.25,4003200,0.0,16.26,-13.28,-22.88,19.87
威瑞信,VRSN,2000-01-07,147.75,164.08,169.13,142.19,3803200,0.0,18.04,9.85,14.71,18.87
威瑞信,VRSN,2000-01-10,181.37,176.0,184.5,172.88,2829000,0.0,7.08,7.26,11.92,14.04
威瑞信,VRSN,2000-01-11,174.44,160.06,177.25,159.63,3086900,0.0,10.01,-9.06,-15.94,15.32
威瑞信,VRSN,2000-01-12,162.75,154.67,164.25,150.38,2698100,0.0,8.67,-3.37,-5.39,13.39
威瑞信,VRSN,2000-01-13,156.25,170.25,170.5,155.75,2367500,0.0,9.54,10.07,15.58,11.75
威瑞信,VRSN,2000-01-14,174.5,177.69,178.25,167.0,2871400,0.0,6.61,4.37,7.44,14.25
威瑞信,VRSN,2000-01-18,182.25,191.13,196.25,180.38,3296500,0.0,8.93,7.56,13.44,16.36
威瑞信,VRSN,2000-01-19,193.75,189.38,200.37,187.5,2001900,0.0,6.73,-0.92,-1.75,9.93
威瑞信,VRSN,2000-01-20,194.87,203.25,207.87,192.0,3311100,0.0,8.38,7.32,13.87,16.43
威瑞信,VRSN,2000-01-21,208.13,202.19,208.13,183.87,3977200,0.0,11.94,-0.52,-1.06,19.74
威瑞信,VRSN,2000-01-24,206.25,190.19,209.56,185.75,3228500,0.0,11.78,-5.94,-12.0,16.02
威瑞信,VRSN,2000-01-25,193.88,191.13,194.25,177.25,2458600,0.0,8.94,0.49,0.94,12.2
威瑞信,VRSN,2000-01-26,187.25,184.06,188.13,181.37,1544400,0.0,3.54,-3.7,-7.07,7.66
