股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
芬塔公司,VTR,2000-01-03,-45.54,-45.79,-45.54,-45.79,17100,0.0,-0.55,-0.42,-0.19,0.03
芬塔公司,VTR,2000-01-04,-45.79,-45.79,-45.79,-45.85,39800,0.0,-0.13,0.0,0.0,0.06
芬塔公司,VTR,2000-01-05,-45.85,-45.85,-45.67,-45.85,30400,0.0,-0.39,-0.13,-0.06,0.04
芬塔公司,VTR,2000-01-06,-45.85,-45.79,-45.67,-45.85,27500,0.0,-0.39,0.13,0.06,0.04
芬塔公司,VTR,2000-01-07,-45.85,-45.85,-45.79,-45.91,84500,0.0,-0.26,-0.13,-0.06,0.12
芬塔公司,VTR,2000-01-10,-45.85,-45.79,-45.67,-45.85,54100,0.0,-0.39,0.13,0.06,0.08
芬塔公司,VTR,2000-01-11,-45.91,-45.85,-45.85,-45.91,52300,0.0,-0.13,-0.13,-0.06,0.08
芬塔公司,VTR,2000-01-12,-45.91,-45.91,-45.85,-45.91,15600,0.0,-0.13,-0.13,-0.06,0.02
芬塔公司,VTR,2000-01-13,-45.91,-45.85,-45.73,-45.91,31000,0.0,-0.39,0.13,0.06,0.05
芬塔公司,VTR,2000-01-14,-45.85,-45.79,-45.79,-45.85,36200,0.0,-0.13,0.13,0.06,0.05
芬塔公司,VTR,2000-01-18,-45.79,-45.73,-45.73,-45.85,20600,0.0,-0.26,0.13,0.06,0.03
芬塔公司,VTR,2000-01-19,-45.79,-45.73,-45.73,-45.85,28300,0.0,-0.26,0.0,0.0,0.04
芬塔公司,VTR,2000-01-20,-45.73,-45.79,-45.73,-45.79,32100,0.0,-0.13,-0.13,-0.06,0.05
芬塔公司,VTR,2000-01-21,-45.79,-45.85,-45.79,-45.85,40600,0.0,-0.13,-0.13,-0.06,0.06
芬塔公司,VTR,2000-01-24,-45.85,-46.1,-45.79,-46.1,104500,0.0,-0.68,-0.55,-0.25,0.15
芬塔公司,VTR,2000-01-25,-46.04,-46.29,-46.04,-46.35,357600,0.0,-0.67,-0.41,-0.19,0.53
芬塔公司,VTR,2000-01-26,-46.35,-46.29,-46.17,-46.41,74100,0.0,-0.52,0.0,0.0,0.11
芬塔公司,VTR,2000-01-27,-46.29,-46.29,-46.17,-46.41,108200,0.0,-0.52,0.0,0.0,0.16
芬塔公司,VTR,2000-01-28,-46.35,-46.35,-46.29,-46.41,126200,0.0,-0.26,-0.13,-0.06,0.19
