股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
威瑞森通讯,VZ,2000-01-03,11.94,11.25,12.94,10.94,4194300,0.0,15.54,-12.59,-1.62,0.27
威瑞森通讯,VZ,2000-01-04,11.0,9.31,11.75,8.56,4501900,0.0,28.36,-17.24,-1.94,0.29
威瑞森通讯,VZ,2000-01-05,10.31,11.25,12.12,9.81,5727500,0.0,24.81,20.84,1.94,0.37
威瑞森通讯,VZ,2000-01-06,11.39,10.95,11.39,10.08,4232000,0.0,11.64,-2.67,-0.3,0.27
威瑞森通讯,VZ,2000-01-07,10.58,10.51,10.76,9.51,4536100,0.0,11.42,-4.02,-0.44,0.29
威瑞森通讯,VZ,2000-01-10,10.51,10.2,11.01,9.51,4036200,0.0,14.27,-2.95,-0.31,0.26
威瑞森通讯,VZ,2000-01-11,9.45,9.65,10.08,8.95,3322600,0.0,11.08,-5.39,-0.55,0.21
威瑞森通讯,VZ,2000-01-12,8.08,7.7,9.33,7.7,3856500,0.0,16.89,-20.21,-1.95,0.25
威瑞森通讯,VZ,2000-01-13,8.7,7.26,8.89,7.26,3402900,0.0,21.17,-5.71,-0.44,0.22
威瑞森通讯,VZ,2000-01-14,7.64,8.01,8.33,7.26,2860400,0.0,14.74,10.33,0.75,0.18
威瑞森通讯,VZ,2000-01-18,8.7,10.45,11.64,8.51,4372400,0.0,39.08,30.46,2.44,0.28
威瑞森通讯,VZ,2000-01-19,9.2,9.33,10.2,9.2,2664300,0.0,9.57,-10.72,-1.12,0.17
威瑞森通讯,VZ,2000-01-20,9.76,9.51,10.95,9.51,2438300,0.0,15.43,1.93,0.18,0.16
威瑞森通讯,VZ,2000-01-21,11.58,11.76,13.01,10.7,5132100,0.0,24.29,23.66,2.25,0.33
威瑞森通讯,VZ,2000-01-24,12.01,11.83,12.51,11.64,3515000,0.0,7.4,0.6,0.07,0.23
威瑞森通讯,VZ,2000-01-25,11.76,10.2,11.95,9.89,3975400,0.0,17.41,-13.78,-1.63,0.26
威瑞森通讯,VZ,2000-01-26,10.45,9.45,10.64,9.26,3646000,0.0,13.53,-7.35,-0.75,0.23
威瑞森通讯,VZ,2000-01-27,9.7,9.95,10.45,8.83,2810500,0.0,17.14,5.29,0.5,0.18
威瑞森通讯,VZ,2000-01-28,9.64,9.33,10.58,8.76,3019500,0.0,18.29,-6.23,-0.62,0.19
威瑞森通讯,VZ,2000-01-31,9.26,13.64,14.7,8.76,4832200,0.0,63.67,46.2,4.31,0.31
威瑞森通讯,VZ,2000-02-01,12.45,11.26,13.08,10.95,4203600,0.0,15.62,-17.45,-2.38,0.27
威瑞森通讯,VZ,2000-02-02,11.76,11.01,11.83,10.83,2651600,0.0,8.88,-2.22,-0.25,0.17
威瑞森通讯,VZ,2000-02-03,11.45,10.14,11.83,9.7,2329300,0.0,19.35,-7.9,-0.87,0.15
威瑞森通讯,VZ,2000-02-04,10.45,10.26,11.39,10.01,3059500,0.0,13.61,1.18,0.12,0.2
威瑞森通讯,VZ,2000-02-07,10.26,11.45,11.64,9.64,2980400,0.0,19.49,11.6,1.19,0.19
威瑞森通讯,VZ,2000-02-08,11.51,10.7,12.2,10.39,2760300,0.0,15.81,-6.55,-0.75,0.18
威瑞森通讯,VZ,2000-02-09,10.7,9.51,10.89,9.2,2900100,0.0,15.79,-11.12,-1.19,0.19
威瑞森通讯,VZ,2000-02-10,9.39,8.76,9.45,8.58,2564700,0.0,9.15,-7.89,-0.75,0.17
威瑞森通讯,VZ,2000-02-11,8.64,7.7,8.7,6.14,3090800,0.0,29.22,-12.1,-1.06,0.2
威瑞森通讯,VZ,2000-02-14,7.7,7.01,8.01,6.58,2613000,0.0,18.57,-8.96,-0.69,0.17
威瑞森通讯,VZ,2000-02-15,6.83,5.95,6.83,5.7,3593600,0.0,16.12,-15.12,-1.06,0.23
威瑞森通讯,VZ,2000-02-16,5.76,6.76,7.01,5.76,3370100,0.0,21.01,13.61,0.81,0.22
威瑞森通讯,VZ,2000-02-17,7.51,5.45,7.64,5.2,3020500,0.0,36.09,-19.38,-1.31,0.19
威瑞森通讯,VZ,2000-02-18,5.26,3.58,5.51,3.26,3859200,0.0,41.28,-34.31,-1.87,0.25
威瑞森通讯,VZ,2000-02-22,4.2,3.95,4.51,2.89,3228300,0.0,45.25,10.34,0.37,0.21
威瑞森通讯,VZ,2000-02-23,2.83,1.95,3.76,1.76,3609700,0.0,50.63,-50.63,-2.0,0.23
威瑞森通讯,VZ,2000-02-24,1.76,-0.3,2.2,-0.42,5635800,0.0,134.36,-115.38,-2.25,0.36
威瑞森通讯,VZ,2000-02-25,-0.8,-0.74,1.08,-0.92,4739000,0.0,-666.67,-146.67,-0.44,0.31
威瑞森通讯,VZ,2000-02-28,-0.49,1.58,2.64,-0.61,3887400,0.0,-439.19,313.51,2.32,0.25
威瑞森通讯,VZ,2000-02-29,1.7,0.64,1.83,-0.11,4676000,0.0,122.78,-59.49,-0.94,0.3
威瑞森通讯,VZ,2000-03-01,4.83,6.64,6.7,3.83,7137700,0.0,448.44,937.5,6.0,0.46
威瑞森通讯,VZ,2000-03-02,5.83,6.95,7.08,5.76,4273800,0.0,19.88,4.67,0.31,0.28
威瑞森通讯,VZ,2000-03-03,7.08,7.01,7.83,6.83,3967400,0.0,14.39,0.86,0.06,0.26
威瑞森通讯,VZ,2000-03-06,7.89,8.7,8.7,6.39,3966400,0.0,32.95,24.11,1.69,0.26
威瑞森通讯,VZ,2000-03-07,8.7,7.33,9.45,7.26,3498900,0.0,25.17,-15.75,-1.37,0.23
威瑞森通讯,VZ,2000-03-08,6.51,8.2,8.76,6.51,3127900,0.0,30.7,11.87,0.87,0.2
威瑞森通讯,VZ,2000-03-09,8.08,10.33,10.33,7.51,3646200,0.0,34.39,25.98,2.13,0.24
威瑞森通讯,VZ,2000-03-10,10.14,9.01,10.14,8.51,3583000,0.0,15.78,-12.78,-1.32,0.23
威瑞森通讯,VZ,2000-03-13,8.33,8.89,9.01,7.64,3361500,0.0,15.21,-1.33,-0.12,0.22
威瑞森通讯,VZ,2000-03-14,8.08,7.76,8.39,7.58,3322400,0.0,9.11,-12.71,-1.13,0.21
威瑞森通讯,VZ,2000-03-15,7.83,7.76,8.26,6.7,3812900,0.0,20.1,0.0,0.0,0.25
威瑞森通讯,VZ,2000-03-16,7.76,9.58,9.83,7.01,4697400,0.0,36.34,23.45,1.82,0.3
威瑞森通讯,VZ,2000-03-17,9.76,10.89,11.51,9.45,4531400,0.0,21.5,13.67,1.31,0.29
