股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
西部数据,WDC,2012-07-25,18.18,18.92,19.21,17.87,5841364,0.0,0.0,0.0,0.0,2.37
西部数据,WDC,2012-07-26,24.54,25.72,27.33,24.45,20805849,0.0,15.22,35.94,6.8,8.46
西部数据,WDC,2012-07-27,25.68,26.37,26.52,25.15,7060013,0.0,5.33,2.53,0.65,2.87
西部数据,WDC,2012-07-30,26.56,26.62,27.2,25.95,5856494,0.0,4.74,0.95,0.25,2.38
西部数据,WDC,2012-07-31,25.81,26.22,26.89,25.53,5390612,0.0,5.11,-1.5,-0.4,2.19
西部数据,WDC,2012-08-01,26.68,25.87,26.76,25.61,3599943,0.0,4.39,-1.33,-0.35,1.46
西部数据,WDC,2012-08-02,25.64,26.35,26.92,25.37,3821021,0.0,5.99,1.86,0.48,1.55
西部数据,WDC,2012-08-03,27.14,27.45,27.63,26.7,3767602,0.0,3.53,4.17,1.1,1.53
西部数据,WDC,2012-08-06,27.54,27.7,27.94,27.11,2633243,0.0,3.02,0.91,0.25,1.07
西部数据,WDC,2012-08-07,28.12,28.2,28.45,27.91,3550523,0.0,1.95,1.81,0.5,1.44
西部数据,WDC,2012-08-08,28.08,28.31,28.94,27.76,4292704,0.0,4.18,0.39,0.11,1.75
西部数据,WDC,2012-08-09,28.63,29.48,29.57,28.47,3986642,0.0,3.89,4.13,1.17,1.61
西部数据,WDC,2012-08-10,29.35,30.44,30.61,29.05,4966742,0.0,5.29,3.26,0.96,2.01
西部数据,WDC,2012-08-13,30.44,30.77,30.92,30.14,3808495,0.0,2.56,1.08,0.33,1.54
西部数据,WDC,2012-08-14,30.85,30.45,31.2,30.25,4128739,0.0,3.09,-1.04,-0.32,1.67
西部数据,WDC,2012-08-15,30.49,30.62,30.76,30.05,3486022,0.0,2.33,0.56,0.17,1.41
西部数据,WDC,2012-08-16,30.71,31.86,31.92,30.63,4020733,0.0,4.21,4.05,1.24,1.63
西部数据,WDC,2012-08-17,31.54,31.68,32.39,31.52,1711061,0.0,2.73,-0.56,-0.18,0.69
西部数据,WDC,2012-08-20,31.54,31.68,32.39,31.52,1711061,0.0,2.75,0.0,0.0,0.69
西部数据,WDC,2012-08-21,31.54,31.68,32.39,31.52,1711061,0.0,2.75,0.0,0.0,0.69
西部数据,WDC,2012-08-22,30.73,30.95,31.18,30.11,3221075,0.0,3.38,-2.3,-0.73,1.3
西部数据,WDC,2012-08-23,30.7,29.93,30.7,29.3,5247292,0.0,4.52,-3.3,-1.02,2.12
西部数据,WDC,2012-08-24,29.9,30.08,30.19,29.41,3271723,0.0,2.61,0.5,0.15,1.32
西部数据,WDC,2012-08-27,30.36,30.24,30.79,29.59,2119223,0.0,3.99,0.53,0.16,0.86
西部数据,WDC,2012-08-28,29.89,29.95,30.21,29.32,2883664,0.0,2.94,-0.96,-0.29,1.17
西部数据,WDC,2012-08-29,29.94,29.95,30.15,29.36,1532575,0.0,2.64,0.0,0.0,0.62
西部数据,WDC,2012-08-30,29.68,28.55,29.69,28.28,4360060,0.0,4.71,-4.67,-1.4,1.76
西部数据,WDC,2012-08-31,28.78,28.27,29.43,27.81,3628955,0.0,5.67,-0.98,-0.28,1.47
西部数据,WDC,2012-09-04,28.53,28.77,29.13,28.16,2500419,0.0,3.43,1.77,0.5,1.01
西部数据,WDC,2012-09-05,28.63,28.29,28.78,27.95,2964529,0.0,2.88,-1.67,-0.48,1.2
西部数据,WDC,2012-09-06,27.7,29.56,29.65,27.41,4704457,0.0,7.92,4.49,1.27,1.9
西部数据,WDC,2012-09-07,29.15,28.31,29.2,28.21,3573731,0.0,3.35,-4.23,-1.25,1.45
西部数据,WDC,2012-09-10,28.09,27.63,28.62,27.59,4790584,0.0,3.64,-2.4,-0.68,1.94
西部数据,WDC,2012-09-11,27.74,28.7,29.01,27.51,6037575,0.0,5.43,3.87,1.07,2.44
西部数据,WDC,2012-09-12,28.5,27.93,29.42,27.74,4574124,0.0,5.85,-2.68,-0.77,1.85
西部数据,WDC,2012-09-13,27.72,29.02,29.21,26.78,5392590,0.0,8.7,3.9,1.09,2.18
