股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
WEC能源,WEC,2000-01-03,-23.04,-23.26,-23.04,-23.32,592800,0.0,-1.21,-0.43,-0.1,0.5
WEC能源,WEC,2000-01-04,-23.29,-23.2,-23.16,-23.32,535800,0.0,-0.69,0.26,0.06,0.45
WEC能源,WEC,2000-01-05,-23.16,-22.77,-22.67,-23.2,708400,0.0,-2.28,1.85,0.43,0.6
WEC能源,WEC,2000-01-06,-22.64,-22.8,-22.64,-22.86,680400,0.0,-0.97,-0.13,-0.03,0.57
WEC能源,WEC,2000-01-07,-22.77,-22.67,-22.64,-22.8,376200,0.0,-0.7,0.57,0.13,0.32
WEC能源,WEC,2000-01-10,-22.55,-22.67,-22.55,-22.74,911400,0.0,-0.84,0.0,0.0,0.77
WEC能源,WEC,2000-01-11,-22.61,-22.8,-22.61,-22.8,950600,0.0,-0.84,-0.57,-0.13,0.8
WEC能源,WEC,2000-01-12,-22.74,-22.61,-22.58,-22.74,628400,0.0,-0.7,0.83,0.19,0.53
WEC能源,WEC,2000-01-13,-22.55,-22.7,-22.55,-22.74,485200,0.0,-0.84,-0.4,-0.09,0.41
WEC能源,WEC,2000-01-14,-22.64,-22.86,-22.64,-22.86,628800,0.0,-0.97,-0.7,-0.16,0.53
WEC能源,WEC,2000-01-18,-22.86,-23.04,-22.83,-23.13,605200,0.0,-1.31,-0.79,-0.18,0.51
WEC能源,WEC,2000-01-19,-22.98,-22.8,-22.8,-23.04,382000,0.0,-1.04,1.04,0.24,0.32
WEC能源,WEC,2000-01-20,-22.86,-22.86,-22.8,-22.92,475200,0.0,-0.53,-0.26,-0.06,0.4
WEC能源,WEC,2000-01-21,-22.83,-22.64,-22.58,-22.86,620800,0.0,-1.22,0.96,0.22,0.52
WEC能源,WEC,2000-01-24,-22.61,-22.64,-22.49,-22.64,880800,0.0,-0.66,0.0,0.0,0.74
WEC能源,WEC,2000-01-25,-22.64,-22.7,-22.58,-22.77,752400,0.0,-0.84,-0.27,-0.06,0.63
WEC能源,WEC,2000-01-26,-22.74,-22.74,-22.64,-22.77,468600,0.0,-0.57,-0.18,-0.04,0.39
WEC能源,WEC,2000-01-27,-22.7,-22.8,-22.67,-22.89,566600,0.0,-0.97,-0.26,-0.06,0.48
WEC能源,WEC,2000-01-28,-22.67,-22.89,-22.67,-23.01,852200,0.0,-1.49,-0.39,-0.09,0.72
WEC能源,WEC,2000-01-31,-22.86,-22.92,-22.83,-22.92,786800,0.0,-0.39,-0.13,-0.03,0.66
WEC能源,WEC,2000-02-01,-22.86,-22.86,-22.8,-22.95,467400,0.0,-0.65,0.26,0.06,0.39
WEC能源,WEC,2000-02-02,-22.74,-22.7,-22.58,-22.8,501200,0.0,-0.96,0.7,0.16,0.42
WEC能源,WEC,2000-02-03,-22.67,-22.34,-22.21,-22.7,795800,0.0,-2.16,1.59,0.36,0.67
WEC能源,WEC,2000-02-04,-22.43,-22.61,-22.4,-22.74,474200,0.0,-1.52,-1.21,-0.27,0.4
WEC能源,WEC,2000-02-07,-22.61,-22.92,-22.61,-22.92,842000,0.0,-1.37,-1.37,-0.31,0.71
WEC能源,WEC,2000-02-08,-22.74,-22.77,-22.58,-22.8,420800,0.0,-0.96,0.65,0.15,0.35
WEC能源,WEC,2000-02-09,-22.8,-22.77,-22.67,-22.83,5588800,0.0,-0.7,0.0,0.0,4.7
WEC能源,WEC,2000-02-10,-22.6,-22.75,-22.44,-22.85,1075800,0.0,-1.8,0.09,0.02,0.9
WEC能源,WEC,2000-02-11,-22.72,-22.97,-22.66,-23.0,892200,0.0,-1.49,-0.97,-0.22,0.75
WEC能源,WEC,2000-02-14,-22.94,-22.91,-22.91,-22.97,607800,0.0,-0.26,0.26,0.06,0.51
WEC能源,WEC,2000-02-15,-22.91,-22.97,-22.91,-22.97,582000,0.0,-0.26,-0.26,-0.06,0.49
WEC能源,WEC,2000-02-16,-23.0,-22.97,-22.97,-23.03,394800,0.0,-0.26,0.0,0.0,0.33
WEC能源,WEC,2000-02-17,-22.97,-22.97,-22.94,-23.06,444400,0.0,-0.52,0.0,0.0,0.37
WEC能源,WEC,2000-02-18,-23.03,-23.06,-22.97,-23.19,343800,0.0,-0.96,-0.39,-0.09,0.29
WEC能源,WEC,2000-02-22,-23.0,-23.13,-23.0,-23.13,497400,0.0,-0.56,-0.3,-0.07,0.42
WEC能源,WEC,2000-02-24,-23.19,-23.6,-23.16,-23.69,880600,0.0,-2.29,-2.03,-0.47,0.74
WEC能源,WEC,2000-02-25,-23.66,-23.66,-23.56,-23.72,1185600,0.0,-0.68,-0.25,-0.06,1.0
WEC能源,WEC,2000-02-28,-23.66,-23.56,-23.53,-23.75,1372800,0.0,-0.93,0.42,0.1,1.15
WEC能源,WEC,2000-02-29,-23.53,-23.56,-23.5,-23.63,747400,0.0,-0.55,0.0,0.0,0.63
WEC能源,WEC,2000-03-02,-23.56,-23.47,-23.44,-23.63,524000,0.0,-0.81,0.38,0.09,0.44
WEC能源,WEC,2000-03-03,-23.47,-23.56,-23.44,-23.6,528800,0.0,-0.68,-0.38,-0.09,0.44
WEC能源,WEC,2000-03-06,-23.56,-23.88,-23.53,-23.91,860600,0.0,-1.61,-1.36,-0.32,0.72
WEC能源,WEC,2000-03-07,-23.88,-23.85,-23.75,-23.88,887200,0.0,-0.54,0.13,0.03,0.75
WEC能源,WEC,2000-03-08,-23.75,-24.0,-23.72,-24.0,1244600,0.0,-1.17,-0.63,-0.15,1.04
WEC能源,WEC,2000-03-09,-23.97,-23.81,-23.75,-23.97,619400,0.0,-0.92,0.79,0.19,0.52
WEC能源,WEC,2000-03-10,-23.81,-23.85,-23.75,-23.91,462200,0.0,-0.67,-0.17,-0.04,0.39
WEC能源,WEC,2000-03-13,-23.81,-23.81,-23.78,-23.91,426800,0.0,-0.55,0.17,0.04,0.36
WEC能源,WEC,2000-03-14,-23.81,-23.75,-23.69,-23.88,564600,0.0,-0.8,0.25,0.06,0.47
WEC能源,WEC,2000-03-15,-23.69,-23.41,-23.22,-23.72,756800,0.0,-2.11,1.43,0.34,0.63
WEC能源,WEC,2000-03-16,-23.16,-22.81,-22.66,-23.22,979000,0.0,-2.39,2.56,0.6,0.82
WEC能源,WEC,2000-03-17,-22.94,-22.91,-22.75,-23.13,671000,0.0,-1.67,-0.44,-0.1,0.56
WEC能源,WEC,2000-03-20,-22.88,-22.91,-22.78,-22.91,321000,0.0,-0.57,0.0,0.0,0.27
WEC能源,WEC,2000-03-21,-22.88,-22.85,-22.81,-22.91,444200,0.0,-0.44,0.26,0.06,0.37
WEC能源,WEC,2000-03-22,-22.88,-23.19,-22.85,-23.38,1261600,0.0,-2.32,-1.49,-0.34,1.05
WEC能源,WEC,2000-03-23,-23.13,-23.03,-23.03,-23.16,734800,0.0,-0.56,0.69,0.16,0.61
WEC能源,WEC,2000-03-24,-23.03,-23.1,-22.94,-23.1,346000,0.0,-0.69,-0.3,-0.07,0.29
WEC能源,WEC,2000-03-27,-23.13,-23.03,-22.97,-23.13,525400,0.0,-0.69,0.3,0.07,0.44
WEC能源,WEC,2000-03-28,-23.0,-23.0,-22.94,-23.13,497200,0.0,-0.83,0.13,0.03,0.41
WEC能源,WEC,2000-03-29,-22.91,-22.75,-22.75,-22.91,654600,0.0,-0.7,1.09,0.25,0.55
WEC能源,WEC,2000-03-30,-22.72,-22.6,-22.44,-22.72,627200,0.0,-1.23,0.66,0.15,0.52
WEC能源,WEC,2000-03-31,-22.5,-22.44,-22.44,-22.63,807400,0.0,-0.84,0.71,0.16,0.67
WEC能源,WEC,2000-04-03,-22.44,-22.35,-22.35,-22.5,906400,0.0,-0.67,0.4,0.09,0.76
WEC能源,WEC,2000-04-04,-22.41,-22.31,-22.13,-22.44,912800,0.0,-1.39,0.18,0.04,0.76
WEC能源,WEC,2000-04-05,-22.28,-22.19,-21.97,-22.35,543400,0.0,-1.7,0.54,0.12,0.45
WEC能源,WEC,2000-04-06,-22.16,-22.25,-22.03,-22.35,417000,0.0,-1.44,-0.27,-0.06,0.35
WEC能源,WEC,2000-04-07,-22.38,-22.38,-22.25,-22.47,344600,0.0,-0.99,-0.58,-0.13,0.29
WEC能源,WEC,2000-04-10,-22.38,-22.22,-22.19,-22.5,404400,0.0,-1.39,0.71,0.16,0.34
WEC能源,WEC,2000-04-11,-22.19,-22.13,-22.1,-22.25,486200,0.0,-0.68,0.41,0.09,0.41
WEC能源,WEC,2000-04-12,-22.1,-21.94,-21.78,-22.13,474200,0.0,-1.58,0.86,0.19,0.4
WEC能源,WEC,2000-04-13,-22.1,-21.69,-21.66,-22.1,486600,0.0,-2.01,1.14,0.25,0.41
WEC能源,WEC,2000-04-14,-21.66,-21.97,-21.6,-22.03,431000,0.0,-1.98,-1.29,-0.28,0.36
WEC能源,WEC,2000-04-17,-21.97,-21.78,-21.78,-22.19,578000,0.0,-1.87,0.86,0.19,0.48
WEC能源,WEC,2000-04-18,-21.75,-21.78,-21.75,-21.94,350800,0.0,-0.87,0.0,0.0,0.29
WEC能源,WEC,2000-04-19,-21.85,-21.88,-21.81,-22.16,615600,0.0,-1.61,-0.46,-0.1,0.51
WEC能源,WEC,2000-04-20,-21.88,-21.97,-21.85,-22.03,1072200,0.0,-0.82,-0.41,-0.09,0.89
WEC能源,WEC,2000-04-24,-21.94,-21.63,-21.5,-21.97,592400,0.0,-2.14,1.55,0.34,0.49
WEC能源,WEC,2000-04-25,-21.63,-21.19,-21.13,-21.63,800800,0.0,-2.31,2.03,0.44,0.67
WEC能源,WEC,2000-04-26,-21.16,-21.0,-20.94,-21.19,617000,0.0,-1.18,0.9,0.19,0.51
WEC能源,WEC,2000-04-27,-21.16,-21.5,-21.13,-21.56,1040600,0.0,-2.05,-2.38,-0.5,0.87
WEC能源,WEC,2000-04-28,-21.53,-21.72,-21.53,-21.78,613600,0.0,-1.16,-1.02,-0.22,0.51
WEC能源,WEC,2000-05-01,-21.72,-21.66,-21.66,-21.88,673400,0.0,-1.01,0.28,0.06,0.56
WEC能源,WEC,2000-05-02,-21.81,-22.25,-21.78,-22.28,1787800,0.0,-2.31,-2.72,-0.59,1.49
WEC能源,WEC,2000-05-03,-22.19,-22.16,-22.13,-22.31,808400,0.0,-0.81,0.4,0.09,0.67
WEC能源,WEC,2000-05-04,-22.16,-22.0,-22.0,-22.25,933400,0.0,-1.13,0.72,0.16,0.78
WEC能源,WEC,2000-05-05,-22.0,-22.28,-22.0,-22.31,742800,0.0,-1.41,-1.27,-0.28,0.62
WEC能源,WEC,2000-05-08,-22.16,-21.91,-21.75,-22.22,858000,0.0,-2.11,1.66,0.37,0.71
WEC能源,WEC,2000-05-09,-21.81,-21.78,-21.78,-21.97,5736800,0.0,-0.87,0.59,0.13,4.78
WEC能源,WEC,2000-05-10,-21.71,-21.77,-21.71,-21.81,892400,0.0,-0.46,0.05,0.01,0.74
WEC能源,WEC,2000-05-11,-21.77,-21.59,-21.59,-21.77,500000,0.0,-0.83,0.83,0.18,0.42
WEC能源,WEC,2000-05-12,-21.59,-21.84,-21.56,-21.9,340400,0.0,-1.57,-1.16,-0.25,0.28
WEC能源,WEC,2000-05-15,-21.74,-21.81,-21.62,-21.9,458200,0.0,-1.28,0.14,0.03,0.38
WEC能源,WEC,2000-05-16,-21.74,-21.74,-21.74,-21.9,349400,0.0,-0.73,0.32,0.07,0.29
WEC能源,WEC,2000-05-17,-21.77,-22.06,-21.77,-22.18,440600,0.0,-1.89,-1.47,-0.32,0.37
WEC能源,WEC,2000-05-18,-21.96,-21.96,-21.74,-22.12,371000,0.0,-1.72,0.45,0.1,0.31
WEC能源,WEC,2000-05-19,-21.93,-21.93,-21.77,-22.02,525800,0.0,-1.14,0.14,0.03,0.44
WEC能源,WEC,2000-05-22,-21.87,-21.74,-21.62,-21.93,482600,0.0,-1.41,0.87,0.19,0.4
WEC能源,WEC,2000-05-23,-21.71,-21.81,-21.68,-21.84,450600,0.0,-0.74,-0.32,-0.07,0.38
WEC能源,WEC,2000-05-24,-21.81,-21.68,-21.49,-21.81,720000,0.0,-1.47,0.6,0.13,0.6
WEC能源,WEC,2000-05-25,-21.65,-21.84,-21.62,-21.87,381600,0.0,-1.15,-0.74,-0.16,0.32
WEC能源,WEC,2000-05-26,-21.71,-21.62,-21.49,-21.74,699600,0.0,-1.14,1.01,0.22,0.58
WEC能源,WEC,2000-05-30,-21.62,-21.77,-21.56,-21.93,390400,0.0,-1.71,-0.69,-0.15,0.33
WEC能源,WEC,2000-05-31,-21.65,-21.65,-21.59,-21.71,489200,0.0,-0.55,0.55,0.12,0.41
WEC能源,WEC,2000-06-01,-21.59,-21.68,-21.59,-21.74,490000,0.0,-0.69,-0.14,-0.03,0.41
WEC能源,WEC,2000-06-05,-21.9,-22.09,-21.87,-22.21,504800,0.0,-1.57,-1.89,-0.41,0.42
WEC能源,WEC,2000-06-06,-22.12,-22.02,-21.9,-22.12,477000,0.0,-1.0,0.32,0.07,0.4
WEC能源,WEC,2000-06-07,-21.96,-21.99,-21.93,-22.02,383400,0.0,-0.41,0.14,0.03,0.32
WEC能源,WEC,2000-06-08,-22.12,-22.12,-22.06,-22.15,564400,0.0,-0.41,-0.59,-0.13,0.47
WEC能源,WEC,2000-06-12,-21.87,-21.87,-21.81,-21.96,308200,0.0,-0.68,1.13,0.25,0.26
WEC能源,WEC,2000-06-13,-21.93,-21.87,-21.81,-21.93,355400,0.0,-0.55,0.0,0.0,0.3
WEC能源,WEC,2000-06-14,-21.81,-21.87,-21.74,-21.9,497200,0.0,-0.73,0.0,0.0,0.41
WEC能源,WEC,2000-06-15,-21.99,-21.62,-21.52,-21.99,550600,0.0,-2.15,1.14,0.25,0.46
WEC能源,WEC,2000-06-16,-21.77,-21.65,-21.59,-21.77,547800,0.0,-0.83,-0.14,-0.03,0.46
WEC能源,WEC,2000-06-19,-21.71,-21.81,-21.62,-21.84,433600,0.0,-1.02,-0.74,-0.16,0.36
WEC能源,WEC,2000-06-20,-21.81,-21.9,-21.71,-21.99,509600,0.0,-1.28,-0.41,-0.09,0.42
