股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Welltower Inc,WELL,2018-02-28,38.79,36.39,38.79,35.74,3342649,175046632.0,0.0,0.0,0.0,0.9
Welltower Inc,WELL,2018-03-01,35.94,36.54,37.33,35.52,2684605,141521776.0,4.97,0.41,0.15,0.72
Welltower Inc,WELL,2018-03-02,36.37,36.82,36.9,35.99,2385856,125737428.0,2.49,0.77,0.28,0.64
Welltower Inc,WELL,2018-03-05,36.54,37.96,38.1,36.54,3113707,167878467.0,4.24,3.1,1.14,0.84
Welltower Inc,WELL,2018-03-06,37.52,36.75,37.81,36.17,3070529,162555936.0,4.32,-3.19,-1.21,0.83
Welltower Inc,WELL,2018-03-07,36.67,37.86,37.96,36.54,2579971,138351478.0,3.86,3.02,1.11,0.69
Welltower Inc,WELL,2018-03-08,37.82,37.46,37.98,37.23,2214950,118683956.0,1.98,-1.06,-0.4,0.6
Welltower Inc,WELL,2018-03-09,37.6,37.45,37.6,36.95,2122424,113229236.0,1.74,-0.03,-0.01,0.57
Welltower Inc,WELL,2018-03-12,37.4,38.62,38.71,37.19,3202481,174516643.0,4.06,3.12,1.17,0.86
Welltower Inc,WELL,2018-03-13,39.02,37.65,39.13,37.54,2994542,161857232.0,4.12,-2.51,-0.97,0.81
Welltower Inc,WELL,2018-03-14,37.68,37.42,38.0,37.01,1845711,98698757.0,2.63,-0.61,-0.23,0.5
Welltower Inc,WELL,2018-03-15,37.53,37.64,37.84,37.39,2170371,116622678.0,1.2,0.59,0.22,0.58
Welltower Inc,WELL,2018-03-16,37.51,37.89,38.07,37.28,3609632,194511228.0,2.1,0.66,0.25,0.97
Welltower Inc,WELL,2018-03-19,37.77,37.14,37.98,36.73,1832786,97639297.0,3.3,-1.98,-0.75,0.49
Welltower Inc,WELL,2018-03-20,37.18,37.04,37.73,36.88,2306800,122929607.0,2.29,-0.27,-0.1,0.62
Welltower Inc,WELL,2018-03-21,36.83,36.34,37.09,35.76,3058221,160607965.0,3.59,-1.89,-0.7,0.82
Welltower Inc,WELL,2018-03-22,36.31,36.64,38.04,36.22,2715279,144785716.0,5.01,0.83,0.3,0.73
Welltower Inc,WELL,2018-03-23,36.74,35.92,36.95,35.76,2434425,127694683.0,3.25,-1.97,-0.72,0.65
Welltower Inc,WELL,2018-03-26,36.27,36.03,36.39,35.79,1662793,86674909.0,1.67,0.31,0.11,0.45
Welltower Inc,WELL,2018-03-27,36.03,37.17,37.84,35.61,2099491,111627660.0,6.19,3.16,1.14,0.56
Welltower Inc,WELL,2018-03-28,37.35,38.75,39.31,37.3,3770609,206772905.0,5.41,4.25,1.58,1.01
Welltower Inc,WELL,2018-03-29,38.74,38.32,38.75,37.92,2897364,157613188.0,2.14,-1.11,-0.43,0.78
Welltower Inc,WELL,2018-04-02,38.26,37.86,38.43,37.54,2311956,124884772.0,2.32,-1.2,-0.46,0.62
Welltower Inc,WELL,2018-04-03,38.05,37.64,38.05,36.69,2906410,155751091.0,3.59,-0.58,-0.22,0.78
Welltower Inc,WELL,2018-04-04,37.46,39.05,39.4,37.28,2637255,144801680.0,5.63,3.75,1.41,0.71
Welltower Inc,WELL,2018-04-05,38.9,38.62,38.9,37.8,2565736,139528498.0,2.82,-1.1,-0.43,0.69
Welltower Inc,WELL,2018-04-06,38.86,38.9,39.76,38.61,2814139,155709588.0,2.98,0.73,0.28,0.76
Welltower Inc,WELL,2018-04-09,38.9,38.38,38.9,37.85,2129041,116199916.0,2.7,-1.34,-0.52,0.57
Welltower Inc,WELL,2018-04-10,38.51,37.89,38.6,37.77,2183477,118298320.0,2.16,-1.28,-0.49,0.59
Welltower Inc,WELL,2018-04-11,37.6,37.88,38.75,37.6,1658866,89949985.0,3.04,-0.03,-0.01,0.45
Welltower Inc,WELL,2018-04-12,37.84,36.43,37.84,36.16,3191925,168198686.0,4.44,-3.83,-1.45,0.86
Welltower Inc,WELL,2018-04-13,36.24,36.52,36.52,35.71,2014691,105347174.0,2.22,0.25,0.09,0.54
Welltower Inc,WELL,2018-04-16,36.55,36.43,36.66,35.82,2629425,137901324.0,2.3,-0.25,-0.09,0.71
Welltower Inc,WELL,2018-04-17,36.64,37.27,37.55,36.46,2345931,125105949.0,2.99,2.31,0.84,0.63
Welltower Inc,WELL,2018-04-18,37.29,36.73,37.47,36.59,1587587,84115996.0,2.36,-1.45,-0.54,0.43
Welltower Inc,WELL,2018-04-19,36.6,35.81,36.89,35.16,2066668,107072677.0,4.71,-2.5,-0.92,0.56
Welltower Inc,WELL,2018-04-20,35.98,35.07,36.16,34.98,2146407,110324222.0,3.3,-2.07,-0.74,0.58
Welltower Inc,WELL,2018-04-23,35.0,34.57,35.13,34.26,2071871,104989074.0,2.48,-1.43,-0.5,0.56
Welltower Inc,WELL,2018-04-24,34.64,34.91,35.46,34.02,2514839,127903885.0,4.17,0.98,0.34,0.68
Welltower Inc,WELL,2018-04-25,34.64,34.41,34.91,33.47,2709182,136335366.0,4.12,-1.43,-0.5,0.73
Welltower Inc,WELL,2018-04-26,34.55,33.9,34.95,33.49,4997202,250381211.0,4.24,-1.48,-0.51,1.34
Welltower Inc,WELL,2018-04-27,34.83,36.77,37.12,34.19,4565616,240313977.0,8.64,8.47,2.87,1.23
Welltower Inc,WELL,2018-04-30,36.94,37.33,37.4,36.26,3894748,206912011.0,3.1,1.52,0.56,1.05
Welltower Inc,WELL,2018-05-01,37.45,38.75,39.22,37.25,4965920,271214080.0,5.28,3.8,1.42,1.33
Welltower Inc,WELL,2018-05-02,38.5,38.94,39.11,37.49,4050303,221381265.0,4.18,0.49,0.19,1.09
Welltower Inc,WELL,2018-05-03,39.03,39.38,39.89,38.61,2365231,131305616.0,3.29,1.13,0.44,0.64
Welltower Inc,WELL,2018-05-04,39.31,40.07,40.17,39.29,2354535,131926232.0,2.23,1.75,0.69,0.63
Welltower Inc,WELL,2018-05-07,40.14,40.47,40.52,39.86,2491642,138448444.0,1.65,1.0,0.4,0.67
Welltower Inc,WELL,2018-05-08,40.26,39.9,40.28,39.57,2927662,161272544.0,1.75,-1.41,-0.57,0.79
Welltower Inc,WELL,2018-05-09,39.63,40.14,40.22,39.34,2091868,115510331.0,2.21,0.6,0.24,0.56
Welltower Inc,WELL,2018-05-10,40.42,40.9,40.9,40.32,1371938,76730497.0,1.44,1.89,0.76,0.37
Welltower Inc,WELL,2018-05-11,40.96,41.01,41.26,40.53,1725807,96753165.0,1.78,0.27,0.11,0.46
Welltower Inc,WELL,2018-05-14,40.79,40.27,40.83,39.91,1805642,100205615.0,2.24,-1.8,-0.74,0.49
Welltower Inc,WELL,2018-05-15,39.86,39.6,40.26,39.4,2834153,155410969.0,2.14,-1.66,-0.67,0.76
Welltower Inc,WELL,2018-05-16,39.86,39.6,40.01,39.34,2141594,117356305.0,1.69,0.0,0.0,0.58
Welltower Inc,WELL,2018-05-17,39.58,38.69,39.58,38.54,1836833,99276835.0,2.63,-2.3,-0.91,0.49
Welltower Inc,WELL,2018-05-18,38.29,39.03,39.53,38.29,4423643,239996000.0,3.2,0.88,0.34,1.19
Welltower Inc,WELL,2018-05-21,39.64,39.94,40.23,38.52,1862333,102132738.0,4.38,2.33,0.91,0.5
Welltower Inc,WELL,2018-05-22,39.94,40.44,40.82,39.31,2055605,114279078.0,3.78,1.25,0.5,0.55
Welltower Inc,WELL,2018-05-23,40.67,41.54,41.73,40.61,2562850,145108346.0,2.77,2.72,1.1,0.69
Welltower Inc,WELL,2018-05-24,41.57,41.01,41.66,40.58,1737042,97422973.0,2.6,-1.28,-0.53,0.47
Welltower Inc,WELL,2018-05-25,40.87,41.63,41.66,40.87,1460251,82722605.0,1.93,1.51,0.62,0.39
Welltower Inc,WELL,2018-05-29,41.56,41.79,42.07,41.25,1988938,113325988.0,1.97,0.38,0.16,0.53
Welltower Inc,WELL,2018-05-30,41.64,42.3,42.56,41.25,1613971,92571779.0,3.13,1.22,0.51,0.43
Welltower Inc,WELL,2018-05-31,42.14,42.41,42.5,41.94,2165625,124625392.0,1.32,0.26,0.11,0.58
Welltower Inc,WELL,2018-06-01,42.3,42.78,43.18,42.3,1473508,85560020.0,2.07,0.87,0.37,0.4
Welltower Inc,WELL,2018-06-04,42.92,42.53,43.09,42.08,1640986,94655953.0,2.36,-0.58,-0.25,0.44
Welltower Inc,WELL,2018-06-05,42.74,42.17,42.96,42.15,2038162,117388969.0,1.9,-0.85,-0.36,0.55
Welltower Inc,WELL,2018-06-06,42.26,42.29,42.57,41.62,1377386,78991390.0,2.25,0.28,0.12,0.37
Welltower Inc,WELL,2018-06-07,42.28,42.35,42.71,41.91,1603524,92295538.0,1.89,0.14,0.06,0.43
Welltower Inc,WELL,2018-06-08,42.54,42.75,42.82,42.27,977826,56621204.0,1.3,0.94,0.4,0.26
Welltower Inc,WELL,2018-06-11,42.76,43.06,43.16,42.44,1308421,76158825.0,1.68,0.73,0.31,0.35
Welltower Inc,WELL,2018-06-12,42.77,43.07,43.36,42.67,2353726,137148680.0,1.6,0.02,0.01,0.63
Welltower Inc,WELL,2018-06-13,43.01,41.59,43.4,41.56,2362541,135765665.0,4.27,-3.44,-1.48,0.64
Welltower Inc,WELL,2018-06-14,41.76,42.4,42.7,41.76,1636357,94257682.0,2.26,1.95,0.81,0.44
Welltower Inc,WELL,2018-06-15,42.51,42.26,42.82,42.16,2888003,166335543.0,1.56,-0.33,-0.14,0.78
Welltower Inc,WELL,2018-06-18,42.16,41.76,42.52,41.36,1372073,78167955.0,2.74,-1.18,-0.5,0.37
Welltower Inc,WELL,2018-06-19,41.71,41.97,42.68,41.67,1861087,106738472.0,2.42,0.5,0.21,0.5
Welltower Inc,WELL,2018-06-20,41.9,43.14,43.26,41.79,1403529,81369937.0,3.5,2.79,1.17,0.38
Welltower Inc,WELL,2018-06-21,43.24,43.56,43.74,42.79,1576746,92379124.0,2.2,0.97,0.42,0.42
Welltower Inc,WELL,2018-06-22,43.56,43.81,43.97,43.14,2089092,123217322.0,1.91,0.57,0.25,0.56
Welltower Inc,WELL,2018-06-25,43.83,44.06,44.35,43.09,1716504,101539758.0,2.88,0.57,0.25,0.46
Welltower Inc,WELL,2018-06-26,44.34,44.2,44.65,44.01,2174470,129509460.0,1.45,0.32,0.14,0.58
Welltower Inc,WELL,2018-06-27,44.43,44.67,44.97,44.01,1751490,104972558.0,2.17,1.06,0.47,0.47
Welltower Inc,WELL,2018-06-28,44.78,47.12,48.21,44.32,3803737,235690327.0,8.71,5.48,2.45,1.02
Welltower Inc,WELL,2018-06-29,46.81,47.45,47.78,46.49,2995434,187597180.0,2.74,0.7,0.33,0.81
Welltower Inc,WELL,2018-07-02,47.27,46.84,47.63,45.88,2630593,162706398.0,3.69,-1.29,-0.61,0.71
Welltower Inc,WELL,2018-07-03,46.43,47.66,48.49,46.4,1328804,83766556.0,4.46,1.75,0.82,0.36
Welltower Inc,WELL,2018-07-05,47.56,48.59,48.69,46.88,1984301,125631073.0,3.8,1.95,0.93,0.53
Welltower Inc,WELL,2018-07-06,48.69,49.16,49.22,48.6,2047483,131557075.0,1.28,1.17,0.57,0.55
Welltower Inc,WELL,2018-07-09,49.13,47.98,49.18,47.45,1876761,118656639.0,3.52,-2.4,-1.18,0.5
Welltower Inc,WELL,2018-07-10,48.08,48.01,48.41,47.68,1723664,109100808.0,1.52,0.06,0.03,0.46
Welltower Inc,WELL,2018-07-11,48.03,47.85,48.33,47.61,1132500,71530572.0,1.5,-0.33,-0.16,0.3
Welltower Inc,WELL,2018-07-12,48.04,47.92,48.14,47.6,879129,55487314.0,1.13,0.15,0.07,0.24
Welltower Inc,WELL,2018-07-13,48.14,47.44,48.28,47.16,1172430,73593711.0,2.34,-1.0,-0.48,0.32
Welltower Inc,WELL,2018-07-16,47.37,47.35,47.58,46.5,1465028,91568154.0,2.28,-0.19,-0.09,0.39
Welltower Inc,WELL,2018-07-17,47.64,46.9,47.66,46.77,1640097,102112465.0,1.88,-0.95,-0.45,0.44
Welltower Inc,WELL,2018-07-18,46.8,46.56,47.14,46.08,1199360,74057927.0,2.26,-0.72,-0.34,0.32
Welltower Inc,WELL,2018-07-19,46.51,47.53,47.77,46.35,1405934,88117346.0,3.05,2.08,0.97,0.38
Welltower Inc,WELL,2018-07-20,47.56,48.25,48.35,47.17,2424806,153179330.0,2.48,1.51,0.72,0.65
Welltower Inc,WELL,2018-07-23,48.15,48.49,48.76,47.86,3333312,212129763.0,1.87,0.5,0.24,0.9
Welltower Inc,WELL,2018-07-24,48.41,48.0,48.41,47.22,3362391,212152575.0,2.45,-1.01,-0.49,0.9
Welltower Inc,WELL,2018-07-25,48.18,48.73,49.18,48.06,1619673,103675568.0,2.33,1.52,0.73,0.44
Welltower Inc,WELL,2018-07-26,48.92,49.07,49.32,48.5,1815641,116648259.0,1.68,0.7,0.34,0.49
Welltower Inc,WELL,2018-07-27,47.03,46.57,48.89,45.88,3390178,209559715.0,6.13,-5.09,-2.5,0.91
Welltower Inc,WELL,2018-07-30,46.54,46.46,46.56,45.5,2137647,131325541.0,2.28,-0.24,-0.11,0.57
Welltower Inc,WELL,2018-07-31,46.75,47.36,47.75,46.58,3830279,239937244.0,2.52,1.94,0.9,1.03
Welltower Inc,WELL,2018-08-01,47.06,47.72,47.85,46.31,1988230,124334489.0,3.25,0.76,0.36,0.53
Welltower Inc,WELL,2018-08-02,47.73,47.93,48.02,47.26,2288170,144298047.0,1.59,0.44,0.21,0.62
Welltower Inc,WELL,2018-08-03,48.05,49.08,49.47,47.92,2129336,137069346.0,3.23,2.4,1.15,0.57
Welltower Inc,WELL,2018-08-06,49.16,49.01,49.47,48.55,1479961,93612719.0,1.87,-0.14,-0.07,0.4
Welltower Inc,WELL,2018-08-07,48.88,49.46,49.52,48.7,2151867,136915617.0,1.67,0.92,0.45,0.58
Welltower Inc,WELL,2018-08-08,49.38,49.12,49.79,48.92,1630597,103668626.0,1.76,-0.69,-0.34,0.44
Welltower Inc,WELL,2018-08-09,49.24,49.09,49.57,48.99,2465240,156714015.0,1.18,-0.06,-0.03,0.66
Welltower Inc,WELL,2018-08-10,49.0,48.77,49.43,48.53,1933183,122098520.0,1.83,-0.65,-0.32,0.52
Welltower Inc,WELL,2018-08-13,48.62,48.98,49.01,48.15,1453370,91750223.0,1.76,0.43,0.21,0.39
Welltower Inc,WELL,2018-08-14,49.03,49.61,50.07,48.98,1823116,116684652.0,2.23,1.29,0.63,0.49
Welltower Inc,WELL,2018-08-15,49.67,50.97,51.24,49.67,2162287,140796135.0,3.16,2.74,1.36,0.58
Welltower Inc,WELL,2018-08-16,50.63,51.31,51.49,50.31,1949127,127718548.0,2.32,0.67,0.34,0.52
Welltower Inc,WELL,2018-08-17,51.47,52.33,52.35,51.3,2311879,153460344.0,2.05,1.99,1.02,0.62
Welltower Inc,WELL,2018-08-20,52.61,52.26,52.98,52.06,3840710,256929498.0,1.76,-0.13,-0.07,1.03
Welltower Inc,WELL,2018-08-21,52.23,52.02,52.31,51.59,1989146,132052043.0,1.38,-0.46,-0.24,0.53
Welltower Inc,WELL,2018-08-22,52.08,51.89,52.19,51.55,1324010,87633577.0,1.23,-0.25,-0.13,0.36
Welltower Inc,WELL,2018-08-23,51.99,51.54,52.06,51.44,1799610,118837489.0,1.19,-0.67,-0.35,0.48
Welltower Inc,WELL,2018-08-24,51.3,51.57,51.69,50.65,1236337,81319717.0,2.02,0.06,0.03,0.33
Welltower Inc,WELL,2018-08-27,51.57,51.54,51.62,50.97,1634533,107389213.0,1.26,-0.06,-0.03,0.44
Welltower Inc,WELL,2018-08-28,51.48,52.44,52.46,51.28,1477753,98162197.0,2.29,1.75,0.9,0.4
Welltower Inc,WELL,2018-08-29,52.52,52.31,52.65,52.31,1578183,105373434.0,0.65,-0.25,-0.13,0.42
Welltower Inc,WELL,2018-08-30,52.48,52.21,52.53,52.06,1431704,95392284.0,0.9,-0.19,-0.1,0.38
Welltower Inc,WELL,2018-08-31,52.28,52.34,52.79,51.99,2080196,138712865.0,1.53,0.25,0.13,0.56
Welltower Inc,WELL,2018-09-04,52.18,51.86,52.6,51.58,2825940,187256321.0,1.95,-0.92,-0.48,0.76
Welltower Inc,WELL,2018-09-05,51.61,52.9,53.14,51.21,1898493,127426718.0,3.72,2.01,1.04,0.51
Welltower Inc,WELL,2018-09-06,52.96,53.09,53.33,52.79,1745927,117766562.0,1.02,0.36,0.19,0.47
Welltower Inc,WELL,2018-09-07,52.52,52.02,52.65,51.91,1330866,88451605.0,1.39,-2.02,-1.07,0.36
Welltower Inc,WELL,2018-09-10,52.59,52.49,52.99,52.32,1809401,121074375.0,1.29,0.9,0.47,0.49
Welltower Inc,WELL,2018-09-11,52.22,52.48,52.67,51.92,1089953,72837306.0,1.43,-0.02,-0.01,0.29
Welltower Inc,WELL,2018-09-12,52.49,52.3,52.74,52.24,1198175,79973597.0,0.95,-0.34,-0.18,0.32
Welltower Inc,WELL,2018-09-13,52.62,52.78,52.96,52.18,1897759,127261759.0,1.49,0.92,0.48,0.51
Welltower Inc,WELL,2018-09-14,52.58,52.04,52.58,51.26,1778134,117579349.0,2.5,-1.4,-0.74,0.48
Welltower Inc,WELL,2018-09-17,52.01,52.44,52.59,51.6,2210732,147559855.0,1.9,0.77,0.4,0.59
Welltower Inc,WELL,2018-09-18,52.49,52.07,52.62,51.68,1767992,117422964.0,1.79,-0.71,-0.37,0.48
Welltower Inc,WELL,2018-09-19,52.12,51.12,52.12,51.0,2714812,178786441.0,2.15,-1.82,-0.95,0.73
Welltower Inc,WELL,2018-09-20,51.05,51.2,51.33,50.41,2465572,161298287.0,1.8,0.16,0.08,0.66
Welltower Inc,WELL,2018-09-21,50.66,51.13,51.29,50.5,3686874,240902865.0,1.54,-0.14,-0.07,0.99
