股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
玩美,PERF,2022-10-31,15.8,10.99,21.03,9.16,760141,11512995.0,0.0,0.0,0.0,0.54
玩美,PERF,2022-11-01,10.15,9.02,10.61,8.04,174132,1644486.0,23.38,-17.93,-1.97,0.12
玩美,PERF,2022-11-02,7.09,7.2,7.85,7.09,113482,842025.0,8.43,-20.18,-1.82,0.08
玩美,PERF,2022-11-03,7.3,7.25,7.62,7.09,59986,441842.0,7.36,0.69,0.05,0.04
玩美,PERF,2022-11-04,7.0,9.17,9.81,6.52,423407,3475519.0,45.38,26.48,1.92,0.3
玩美,PERF,2022-11-07,10.6,8.56,10.6,8.51,237215,2270470.0,22.79,-6.65,-0.61,0.17
玩美,PERF,2022-11-08,8.6,7.61,9.0,7.51,61181,505072.0,17.41,-11.1,-0.95,0.04
玩美,PERF,2022-11-09,7.15,7.29,7.53,7.15,61747,448559.0,4.99,-4.2,-0.32,0.04
玩美,PERF,2022-11-10,7.35,7.73,8.17,7.35,33672,255355.0,11.25,6.04,0.44,0.02
玩美,PERF,2022-11-11,7.45,7.12,8.1,7.0,28918,211748.0,14.23,-7.89,-0.61,0.02
玩美,PERF,2022-11-14,7.29,7.47,7.93,7.29,28868,218134.0,8.99,4.92,0.35,0.02
玩美,PERF,2022-11-15,7.35,9.95,12.75,7.35,935573,10153782.0,72.29,33.2,2.48,0.67
玩美,PERF,2022-11-16,10.13,8.93,10.25,8.81,143472,1324426.0,14.47,-10.25,-1.02,0.1
玩美,PERF,2022-11-17,8.4,9.95,12.45,8.4,945156,9911650.0,45.35,11.42,1.02,0.68
玩美,PERF,2022-11-18,9.41,8.59,10.7,8.5,510998,5069644.0,22.11,-13.67,-1.36,0.37
玩美,PERF,2022-11-21,8.11,8.66,8.89,8.0,194403,1626932.0,10.36,0.81,0.07,0.14
玩美,PERF,2022-11-22,8.64,5.27,8.85,4.9,703978,4581082.0,45.61,-39.15,-3.39,0.5
玩美,PERF,2022-11-23,5.75,7.34,8.3,5.57,3928231,28741912.0,51.8,39.28,2.07,2.81
玩美,PERF,2022-11-25,7.54,7.21,7.7,6.82,255375,1847227.0,11.99,-1.77,-0.13,0.18
玩美,PERF,2022-11-28,6.99,7.42,7.54,6.99,55358,400851.0,7.63,2.91,0.21,0.04
玩美,PERF,2022-11-29,7.82,7.3,7.82,7.12,45458,334004.0,9.43,-1.62,-0.12,0.03
玩美,PERF,2022-11-30,7.49,7.25,8.19,7.12,155094,1185383.0,14.66,-0.68,-0.05,0.11
玩美,PERF,2022-12-01,7.24,7.37,7.81,7.2,85173,634548.0,8.41,1.66,0.12,0.06
玩美,PERF,2022-12-02,7.31,7.2,7.67,7.2,95257,703301.0,6.38,-2.31,-0.17,0.07
玩美,PERF,2022-12-05,7.25,5.78,7.39,5.6,325319,2120073.0,24.86,-19.72,-1.42,0.23
玩美,PERF,2022-12-06,6.2,6.38,6.51,6.1,102491,646462.0,7.09,10.38,0.6,0.07
玩美,PERF,2022-12-07,6.5,6.3,6.5,6.04,27359,172783.0,7.21,-1.25,-0.08,0.02
玩美,PERF,2022-12-08,6.75,6.2,6.75,6.16,43813,282250.0,9.37,-1.59,-0.1,0.03
玩美,PERF,2022-12-09,6.17,6.1,6.69,6.09,27654,170756.0,9.68,-1.61,-0.1,0.02
玩美,PERF,2022-12-12,6.08,6.12,6.23,6.0,34546,210754.0,3.77,0.33,0.02,0.03
玩美,PERF,2022-12-13,6.26,6.12,6.6,6.12,15982,100239.0,7.84,0.0,0.0,0.01
玩美,PERF,2022-12-14,6.5,6.3,6.6,6.3,45027,288364.0,4.9,2.94,0.18,0.04
玩美,PERF,2022-12-15,6.25,6.4,6.54,6.25,54954,351760.0,4.6,1.59,0.1,0.05
玩美,PERF,2022-12-16,6.5,6.55,6.9,6.5,54614,362485.0,6.25,2.34,0.15,0.05
玩美,PERF,2022-12-19,7.0,7.02,7.41,6.98,109111,773486.0,6.56,7.18,0.47,0.09
玩美,PERF,2022-12-20,7.06,7.0,7.32,6.92,63165,443452.0,5.7,-0.28,-0.02,0.05
玩美,PERF,2022-12-21,7.01,7.07,7.25,7.0,8164,57613.0,3.57,1.0,0.07,0.01
玩美,PERF,2022-12-22,7.03,7.0,7.15,7.0,13426,94158.0,2.12,-0.99,-0.07,0.01
玩美,PERF,2022-12-23,7.0,7.05,7.34,7.0,11267,80704.0,4.86,0.71,0.05,0.01
玩美,PERF,2022-12-27,7.06,7.16,7.17,7.0,9689,68488.0,2.41,1.56,0.11,0.01
玩美,PERF,2022-12-28,7.21,7.11,7.21,7.0,6394,45312.0,2.93,-0.7,-0.05,0.01
玩美,PERF,2022-12-29,7.15,7.14,7.4,7.14,30381,218077.0,3.66,0.42,0.03,0.03
玩美,PERF,2022-12-30,7.14,7.14,7.24,7.14,4332,31023.0,1.4,0.0,0.0,0.0
玩美,PERF,2023-01-03,7.2,7.2,7.39,7.2,3692,26843.0,2.66,0.84,0.06,0.0
玩美,PERF,2023-01-04,7.45,7.31,7.45,7.24,2511,18383.0,2.92,1.53,0.11,0.0
玩美,PERF,2023-01-05,7.25,7.02,7.25,7.0,15673,111203.0,3.42,-3.97,-0.29,0.01
玩美,PERF,2023-01-06,7.16,7.36,7.39,7.13,10399,75159.0,3.7,4.84,0.34,0.01
玩美,PERF,2023-01-09,7.29,7.26,7.29,7.2,15159,109382.0,1.22,-1.36,-0.1,0.01
玩美,PERF,2023-01-10,7.3,7.2,7.3,7.2,5544,40032.0,1.38,-0.83,-0.06,0.0
玩美,PERF,2023-01-11,7.26,6.9,7.37,6.9,19870,140659.0,6.53,-4.17,-0.3,0.02
玩美,PERF,2023-01-12,7.2,7.28,7.28,7.2,10689,77116.0,1.16,5.51,0.38,0.01
玩美,PERF,2023-01-13,7.2,7.21,7.32,7.2,1503,10919.0,1.65,-0.96,-0.07,0.0
玩美,PERF,2023-01-17,7.69,7.45,7.69,7.25,6613,49246.0,6.1,3.33,0.24,0.01
玩美,PERF,2023-01-18,7.4,7.34,7.49,7.2,11266,82625.0,3.89,-1.48,-0.11,0.01
玩美,PERF,2023-01-19,7.46,6.92,7.46,6.92,28365,202225.0,7.36,-5.72,-0.42,0.02
玩美,PERF,2023-01-20,7.2,7.2,7.29,7.2,12060,86905.0,1.3,4.05,0.28,0.01
玩美,PERF,2023-01-23,7.2,7.2,7.32,7.2,4773,34419.0,1.67,0.0,0.0,0.0
玩美,PERF,2023-01-24,7.2,7.35,7.56,7.2,2780,20419.0,5.0,2.08,0.15,0.0
玩美,PERF,2023-01-25,7.27,7.33,7.4,7.27,2815,20602.0,1.77,-0.27,-0.02,0.0
