股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沃尔玛,WMT,2000-01-03,35.34,33.78,35.97,32.47,8375500,0.0,9.7,-6.4,-2.31,0.37
沃尔玛,WMT,2000-01-04,32.47,31.28,32.78,31.16,6748000,0.0,4.8,-7.4,-2.5,0.3
沃尔玛,WMT,2000-01-05,30.85,29.97,31.34,29.16,7023600,0.0,6.97,-4.19,-1.31,0.31
沃尔玛,WMT,2000-01-06,29.97,30.66,31.53,29.66,6547000,0.0,6.24,2.3,0.69,0.29
沃尔玛,WMT,2000-01-07,31.47,35.47,35.91,31.47,7980800,0.0,14.48,15.69,4.81,0.36
沃尔玛,WMT,2000-01-10,34.22,34.22,34.47,32.59,6716700,0.0,5.3,-3.52,-1.25,0.3
沃尔玛,WMT,2000-01-11,34.03,33.22,34.72,32.59,4945200,0.0,6.22,-2.92,-1.0,0.22
沃尔玛,WMT,2000-01-12,33.16,32.03,33.72,32.03,4087800,0.0,5.09,-3.58,-1.19,0.18
沃尔玛,WMT,2000-01-13,32.97,32.09,33.09,31.97,5021600,0.0,3.5,0.19,0.06,0.22
沃尔玛,WMT,2000-01-14,30.97,31.47,32.91,30.97,6313400,0.0,6.05,-1.93,-0.62,0.28
沃尔玛,WMT,2000-01-18,30.16,32.53,33.41,30.03,6443400,0.0,10.74,3.37,1.06,0.29
沃尔玛,WMT,2000-01-19,32.22,31.03,32.78,30.97,4825500,0.0,5.56,-4.61,-1.5,0.22
沃尔玛,WMT,2000-01-20,31.41,30.35,31.47,29.47,5742700,0.0,6.45,-2.19,-0.68,0.26
沃尔玛,WMT,2000-01-21,30.91,29.41,30.91,29.03,6953900,0.0,6.19,-3.1,-0.94,0.31
沃尔玛,WMT,2000-01-24,30.41,26.35,30.41,24.47,7805500,0.0,20.2,-10.4,-3.06,0.35
沃尔玛,WMT,2000-01-25,26.78,28.1,28.16,26.47,6405900,0.0,6.41,6.64,1.75,0.29
沃尔玛,WMT,2000-01-26,28.1,28.91,29.03,26.97,4543100,0.0,7.33,2.88,0.81,0.2
沃尔玛,WMT,2000-01-27,28.28,26.1,28.47,24.85,7325200,0.0,12.52,-9.72,-2.81,0.33
沃尔玛,WMT,2000-01-28,25.85,22.1,25.85,20.47,14034700,0.0,20.61,-15.33,-4.0,0.63
沃尔玛,WMT,2000-01-31,21.53,21.72,22.47,21.1,7974200,0.0,6.2,-1.72,-0.38,0.36
沃尔玛,WMT,2000-02-01,21.97,25.66,26.47,21.91,8364100,0.0,20.99,18.14,3.94,0.37
沃尔玛,WMT,2000-02-02,25.85,25.35,27.1,24.91,6037200,0.0,8.53,-1.21,-0.31,0.27
沃尔玛,WMT,2000-02-03,25.35,25.35,25.78,23.22,7004100,0.0,10.1,0.0,0.0,0.31
沃尔玛,WMT,2000-02-04,24.91,23.28,24.91,22.97,6555200,0.0,7.65,-8.17,-2.07,0.29
沃尔玛,WMT,2000-02-07,23.6,22.72,23.6,21.6,6045800,0.0,8.59,-2.41,-0.56,0.27
沃尔玛,WMT,2000-02-08,24.28,26.47,26.66,23.85,8579500,0.0,12.37,16.51,3.75,0.38
沃尔玛,WMT,2000-02-09,26.97,24.78,27.1,24.28,8220300,0.0,10.65,-6.38,-1.69,0.37
沃尔玛,WMT,2000-02-10,24.6,23.97,25.35,23.78,4592500,0.0,6.34,-3.27,-0.81,0.21
沃尔玛,WMT,2000-02-11,24.41,23.03,24.47,22.6,4820500,0.0,7.8,-3.92,-0.94,0.22
沃尔玛,WMT,2000-02-14,23.66,25.85,25.85,23.47,5805600,0.0,10.33,12.24,2.82,0.26
沃尔玛,WMT,2000-02-15,23.91,24.97,24.97,21.97,9713300,0.0,11.61,-3.4,-0.88,0.43
沃尔玛,WMT,2000-02-16,23.47,19.72,23.47,19.66,13589100,0.0,15.26,-21.03,-5.25,0.61
沃尔玛,WMT,2000-02-17,19.91,15.35,20.47,14.97,24770500,0.0,27.89,-22.16,-4.37,1.11
沃尔玛,WMT,2000-02-18,15.47,14.72,16.47,14.22,19396900,0.0,14.66,-4.1,-0.63,0.87
沃尔玛,WMT,2000-02-22,16.22,15.1,16.28,13.72,12344100,0.0,17.39,2.58,0.38,0.55
沃尔玛,WMT,2000-02-23,15.41,13.97,15.47,13.72,12876900,0.0,11.59,-7.48,-1.13,0.57
沃尔玛,WMT,2000-02-24,13.97,14.85,14.85,10.41,19433000,0.0,31.78,6.3,0.88,0.87
沃尔玛,WMT,2000-02-25,11.28,11.47,12.28,10.6,16913300,0.0,11.31,-22.76,-3.38,0.76
沃尔玛,WMT,2000-02-28,11.53,13.16,13.91,11.53,17839500,0.0,20.75,14.73,1.69,0.8
沃尔玛,WMT,2000-02-29,14.91,15.72,16.72,14.91,17201300,0.0,13.75,19.45,2.56,0.77
沃尔玛,WMT,2000-03-01,16.85,15.97,16.97,14.47,10169100,0.0,15.9,1.59,0.25,0.45
沃尔玛,WMT,2000-03-02,19.72,17.53,19.85,17.41,15544200,0.0,15.28,9.77,1.56,0.69
沃尔玛,WMT,2000-03-03,19.1,19.6,20.28,18.47,10791300,0.0,10.33,11.81,2.07,0.48
沃尔玛,WMT,2000-03-06,19.6,17.47,19.66,15.6,10495600,0.0,20.71,-10.87,-2.13,0.47
沃尔玛,WMT,2000-03-07,16.6,14.53,16.6,14.1,9727300,0.0,14.31,-16.83,-2.94,0.43
沃尔玛,WMT,2000-03-08,14.28,15.28,16.28,12.6,10023600,0.0,25.33,5.16,0.75,0.45
沃尔玛,WMT,2000-03-09,15.97,15.91,16.41,13.85,7947700,0.0,16.75,4.12,0.63,0.35
沃尔玛,WMT,2000-03-10,16.72,14.91,16.72,14.41,7008600,0.0,14.52,-6.29,-1.0,0.31
沃尔玛,WMT,2000-03-13,13.22,14.66,14.91,12.85,7732300,0.0,13.82,-1.68,-0.25,0.35
