股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
埃克森美孚,XOM,2001-01-02,-29.9,-29.29,-29.23,-29.95,13045800,0.0,0.0,0.0,0.0,0.38
埃克森美孚,XOM,2001-01-03,-29.29,-30.26,-29.13,-30.26,20762200,0.0,-3.86,-3.31,-0.97,0.6
埃克森美孚,XOM,2001-01-04,-30.17,-30.85,-30.13,-31.09,24495600,0.0,-3.17,-1.95,-0.59,0.71
埃克森美孚,XOM,2001-01-05,-30.85,-30.76,-30.31,-30.87,18775600,0.0,-1.82,0.29,0.09,0.54
埃克森美孚,XOM,2001-01-08,-30.7,-30.85,-30.53,-30.88,11056600,0.0,-1.14,-0.29,-0.09,0.32
埃克森美孚,XOM,2001-01-09,-30.92,-31.07,-30.92,-31.21,11501400,0.0,-0.94,-0.71,-0.22,0.33
埃克森美孚,XOM,2001-01-10,-31.01,-31.32,-30.96,-31.46,20512200,0.0,-1.61,-0.8,-0.25,0.59
埃克森美孚,XOM,2001-01-11,-31.17,-31.13,-30.85,-31.23,10962000,0.0,-1.21,0.61,0.19,0.32
埃克森美孚,XOM,2001-01-12,-31.13,-30.87,-30.82,-31.34,11886200,0.0,-1.67,0.84,0.26,0.34
埃克森美孚,XOM,2001-01-16,-31.1,-31.12,-30.96,-31.43,15585000,0.0,-1.52,-0.81,-0.25,0.45
埃克森美孚,XOM,2001-01-17,-31.31,-31.51,-31.21,-31.67,14482800,0.0,-1.48,-1.25,-0.39,0.42
埃克森美孚,XOM,2001-01-18,-31.43,-31.79,-31.42,-31.82,17176400,0.0,-1.27,-0.89,-0.28,0.5
埃克森美孚,XOM,2001-01-19,-31.85,-31.71,-31.6,-31.9,20242600,0.0,-0.94,0.25,0.08,0.58
埃克森美孚,XOM,2001-01-22,-31.63,-31.51,-31.42,-31.76,13857600,0.0,-1.07,0.63,0.2,0.4
埃克森美孚,XOM,2001-01-23,-31.45,-31.12,-31.09,-31.54,11131600,0.0,-1.43,1.24,0.39,0.32
埃克森美孚,XOM,2001-01-24,-31.01,-31.17,-30.95,-31.32,12849400,0.0,-1.19,-0.16,-0.05,0.37
埃克森美孚,XOM,2001-01-25,-30.99,-30.95,-30.87,-31.07,13593600,0.0,-0.64,0.71,0.22,0.39
埃克森美孚,XOM,2001-01-26,-30.95,-31.32,-30.93,-31.4,11859400,0.0,-1.52,-1.2,-0.37,0.34
埃克森美孚,XOM,2001-01-29,-31.56,-31.52,-31.27,-31.65,10492000,0.0,-1.21,-0.64,-0.2,0.3
